Agent,Personal_Score,Shared_Score,Overall_Score
Fallon Carrington,8.88888888888889,7.888888888888889,8.38888888888889
Love Quinn,8.555555555555555,8.11111111111111,8.333333333333332
"Christine ""Lady Bird"" McPherson",8.0,7.777777777777778,7.888888888888889
Skyler White,7.888888888888889,7.0,7.444444444444445
Joe Biden,7.888888888888889,6.222222222222222,7.055555555555555
Walter White,7.666666666666667,6.444444444444445,7.055555555555555
Tyler Durden,7.444444444444445,6.0,6.722222222222222
Michael Scott,7.444444444444445,6.555555555555555,7.0
Hannibal Lecter,7.0,5.555555555555555,6.277777777777778
Dwight K. Schrute,5.444444444444445,4.888888888888889,5.166666666666667
