Agent,Personal_Score,Shared_Score,Personal_Confidence,Shared_Confidence,Overall_Score,Overall_Confidence
Fallon Carrington,8.88888888888889,8.777777777777779,0.9055555555555556,0.911111111111111,8.833333333333334,0.9083333333333332
Skyler White,8.777777777777779,8.555555555555555,0.9055555555555556,0.9111111111111112,8.666666666666668,0.9083333333333334
"Christine ""Lady Bird"" McPherson",8.777777777777779,8.444444444444445,0.8944444444444445,0.8944444444444445,8.61111111111111,0.8944444444444445
Tyler Durden,8.555555555555555,7.444444444444445,0.8999999999999999,0.8722222222222222,8.0,0.8861111111111111
Love Quinn,8.444444444444445,8.555555555555555,0.8722222222222222,0.8944444444444445,8.5,0.8833333333333333
Hannibal Lecter,8.222222222222221,6.666666666666667,0.8944444444444445,0.8777777777777778,7.444444444444445,0.8861111111111111
Dwight K. Schrute,8.222222222222221,7.888888888888889,0.8833333333333333,0.9055555555555556,8.055555555555555,0.8944444444444444
Walter White,8.11111111111111,7.444444444444445,0.8999999999999999,0.911111111111111,7.777777777777778,0.9055555555555554
Joe Biden,8.11111111111111,7.0,0.8722222222222222,0.8777777777777778,7.555555555555555,0.875
Michael Scott,7.666666666666667,7.666666666666667,0.8555555555555555,0.8888888888888888,7.666666666666667,0.8722222222222222
