Agent,Personal_Score,Shared_Score,Personal_Confidence,Shared_Confidence,Overall_Score,Overall_Confidence
Fallon Carrington,8.88888888888889,7.888888888888889,0.911111111111111,0.9111111111111112,8.38888888888889,0.9111111111111111
Skyler White,8.88888888888889,8.0,0.9144444444444445,0.8666666666666667,8.444444444444445,0.8905555555555555
Tyler Durden,8.666666666666666,7.777777777777778,0.911111111111111,0.8777777777777778,8.222222222222221,0.8944444444444444
Love Quinn,8.11111111111111,7.111111111111111,0.8833333333333333,0.8444444444444446,7.611111111111111,0.8638888888888889
Dwight K. Schrute,7.555555555555555,7.111111111111111,0.8777777777777778,0.8666666666666667,7.333333333333333,0.8722222222222222
Walter White,7.444444444444445,6.444444444444445,0.8833333333333333,0.8555555555555556,6.944444444444445,0.8694444444444445
Michael Scott,7.333333333333333,5.888888888888889,0.8777777777777778,0.8277777777777778,6.611111111111111,0.8527777777777779
Joe Biden,7.333333333333333,7.666666666666667,0.8388888888888889,0.8611111111111112,7.5,0.8500000000000001
"Christine ""Lady Bird"" McPherson",7.222222222222222,7.777777777777778,0.8444444444444446,0.8666666666666667,7.5,0.8555555555555556
Hannibal Lecter,6.888888888888889,5.444444444444445,0.8388888888888889,0.8333333333333335,6.166666666666667,0.8361111111111112
