Agent,Personal_Score,Shared_Score,Personal_Confidence,Shared_Confidence,Overall_Score,Overall_Confidence
Walter White,8.5,7.555555555555555,0.9125,0.8833333333333334,8.027777777777779,0.8979166666666667
Love Quinn,8.444444444444445,8.555555555555555,0.8944444444444444,0.8999999999999999,8.5,0.8972222222222221
"Christine ""Lady Bird"" McPherson",8.444444444444445,8.333333333333334,0.8833333333333333,0.9055555555555556,8.38888888888889,0.8944444444444444
Skyler White,8.375,8.25,0.89375,0.89375,8.3125,0.89375
Joe Biden,8.333333333333334,8.875,0.8722222222222222,0.9125000000000001,8.604166666666668,0.8923611111111112
Fallon Carrington,8.222222222222221,8.222222222222221,0.8777777777777778,0.8833333333333334,8.222222222222221,0.8805555555555555
Tyler Durden,8.142857142857142,7.111111111111111,0.8857142857142858,0.8555555555555555,7.6269841269841265,0.8706349206349207
Dwight K. Schrute,8.0,7.777777777777778,0.88125,0.8833333333333333,7.888888888888889,0.8822916666666667
Hannibal Lecter,7.875,7.5,0.85625,0.8833333333333334,7.6875,0.8697916666666667
Michael Scott,7.714285714285714,7.5,0.8642857142857142,0.86875,7.607142857142858,0.8665178571428571
