Agent,Personal_Score,Shared_Score,Personal_Confidence,Shared_Confidence,Overall_Score,Overall_Confidence
Fallon Carrington,8.88888888888889,7.888888888888889,0.911111111111111,0.9111111111111112,8.38888888888889,0.9111111111111111
Skyler White,8.88888888888889,8.5,0.9144444444444445,0.8875000000000001,8.694444444444445,0.9009722222222223
Tyler Durden,8.666666666666666,7.777777777777778,0.911111111111111,0.8777777777777778,8.222222222222221,0.8944444444444444
Love Quinn,8.11111111111111,7.25,0.8833333333333333,0.8625,7.680555555555555,0.8729166666666667
"Christine ""Lady Bird"" McPherson",7.714285714285714,7.777777777777778,0.8857142857142858,0.8666666666666667,7.746031746031746,0.8761904761904762
Dwight K. Schrute,7.555555555555555,7.625,0.8777777777777778,0.8875,7.590277777777778,0.8826388888888889
Joe Biden,7.5,8.25,0.85625,0.8812500000000001,7.875,0.86875
Michael Scott,7.5,6.25,0.8999999999999999,0.84375,6.875,0.871875
Walter White,7.444444444444445,6.444444444444445,0.8833333333333333,0.8555555555555556,6.944444444444445,0.8694444444444445
Hannibal Lecter,6.875,6.0,0.8500000000000001,0.9,6.4375,0.875
