Agent,Personal_Score,Shared_Score,Personal_Confidence,Shared_Confidence,Overall_Score,Overall_Confidence
"Christine ""Lady Bird"" McPherson",8.444444444444445,8.333333333333334,0.8833333333333333,0.9055555555555556,8.38888888888889,0.8944444444444444
Love Quinn,8.444444444444445,8.555555555555555,0.8944444444444444,0.8999999999999999,8.5,0.8972222222222221
Joe Biden,8.333333333333334,8.444444444444445,0.8722222222222222,0.8888888888888888,8.38888888888889,0.8805555555555555
Walter White,8.222222222222221,7.555555555555555,0.8888888888888888,0.8833333333333334,7.888888888888888,0.8861111111111111
Fallon Carrington,8.222222222222221,8.222222222222221,0.8777777777777778,0.8833333333333334,8.222222222222221,0.8805555555555555
Skyler White,8.11111111111111,7.777777777777778,0.8722222222222222,0.8722222222222222,7.944444444444445,0.8722222222222222
Hannibal Lecter,7.777777777777778,6.444444444444445,0.8388888888888888,0.8222222222222223,7.111111111111111,0.8305555555555555
Dwight K. Schrute,7.777777777777778,7.777777777777778,0.8611111111111112,0.8833333333333333,7.777777777777778,0.8722222222222222
Tyler Durden,7.666666666666667,7.111111111111111,0.8444444444444444,0.8555555555555555,7.388888888888889,0.85
Michael Scott,7.333333333333333,7.111111111111111,0.8277777777777778,0.85,7.222222222222221,0.8388888888888889
