Behaviour Code,Definition,Personality Trait Links,Type of Act,Example
Inquire,Ask direct question,"Openness, Conscientiousness",Information Acquisition,"""Can you explain why this formula works in practice?"""
Clarify,Seek explanation,"Openness, Agreeableness",Information Acquisition,"""Do you mean I shouldn't try the experiment independently yet?"""
Probe,Ask deeper detail,Openness,Information Acquisition,"""What do you mean by calling the reaction unstable?"""
Challenge,Test claim,"Openness, Low Agreeableness",Information Acquisition,"""But how do you know this method is always reliable?"""
Request Example,Ask for illustration,Openness,Information Acquisition,"""Can you show me a time this technique failed?"""
Check Understanding,Verify comprehension,"Conscientiousness, Agreeableness",Information Acquisition,"""So you're saying small errors can ruin the whole batch, right?"""
Interrupt,Cut in,"Extraversion, Low Agreeableness",Information Acquisition,"""Just stop and tell me the answer directly!"""
Badger,Press repeatedly,Neuroticism,Information Acquisition,"""Why? Why? Why can't it work differently?"""
Twist Question,Trap question,Low Agreeableness,Information Acquisition,"""So you admit your first explanation was wrong?"""
Inform,Share fact,Conscientiousness,Information Provision,"""You must heat it to 200°C for stability."""
Elaborate,Add detail,Openness,Information Provision,"""The temperature matters because molecular bonds are more fragile at lower heat."""
Correct,Rectify,"Conscientiousness, Low Agreeableness",Information Provision,"""Actually, it's not sodium chloride, it's sodium carbonate."""
Advise,Suggest practice,"Conscientiousness, Agreeableness",Information Provision,"""I recommend measuring twice before mixing."""
Warn,Issue caution,Neuroticism,Information Provision,"""If you rush this step, the mixture could explode."""
Give Example,Illustrate,"Openness, Extraversion",Information Provision,"""It's like baking—too much flour ruins the cake."""
Dismiss,Reject,Low Agreeableness,Information Provision,"""That's not important right now."""
Over-explain,Patronize,Low Agreeableness,Information Provision,"""Clearly you don't get it, so let me dumb it down."""
Withhold,Omit,Low Agreeableness,Information Provision,"""I'll keep the final step to myself for now."""
Encourage,Motivate,"Agreeableness, Extraversion",Relationship Building,"""You're improving faster than most beginners."""
Self-disclose,Share vulnerability,"Openness, Neuroticism",Relationship Building,"""I used to panic during my first experiments too."""
Compliment,Affirm ability,Agreeableness,Relationship Building,"""You're very precise with your measurements."""
Humor / Banter,Lighten mood,Extraversion,Relationship Building,"""If this blows up, at least we'll have fireworks!"""
Express Gratitude,Appreciate,Agreeableness,Relationship Building,"""Thanks for double-checking my notes."""
Show Interest,Attend,Agreeableness,Relationship Building,"""How did you come up with that idea?"""
Exclude,Shut out,Low Agreeableness,Relationship Building,"""This discussion isn't for you to join."""
Mock,Tease hostilely,Low Agreeableness,Relationship Building,"""Wow, you're a regular Einstein."""
Ridicule,Humiliate,"Neuroticism, Low Agreeableness",Relationship Building,"""You'll never get this right, you're too slow."""
Empathize,Validate,Agreeableness,Relationship Maintenance,"""I know it's stressful, but you're doing fine."""
Politeness,Respectful phrasing,"Conscientiousness, Agreeableness",Relationship Maintenance,"""Could you please explain that again?"""
Encourage,Sustain motivation,"Agreeableness, Extraversion",Relationship Maintenance,"""We're almost there, keep pushing."""
Check-in,Reassure,"Agreeableness, Neuroticism",Relationship Maintenance,"""Are we still on the same page here?"""
De-escalate,Calm conflict,Agreeableness,Relationship Maintenance,"""Let's pause before we argue further."""
Repair Attempt,Restore harmony,Agreeableness,Relationship Maintenance,"""Sorry if I came across too harsh earlier."""
Sarcasm,Dismissive humor,Low Agreeableness,Relationship Maintenance,"""Oh sure, you're the master chemist now."""
Stonewall,Withdraw,"Neuroticism, Low Agreeableness",Relationship Maintenance,""". . . (silence, no response)"""
Passive-aggressive,Indirect resistance,Neuroticism,Relationship Maintenance,"""Fine, I'll do it. . . someday."""
Withdraw,Detach,Low Extraversion,Relationship Maintenance,"""Whatever, do it yourself."""
Assert Authority,Establish role,"Conscientiousness, Dominance",Identity Recognition,"""I've taught this for 20 years—you need to follow my lead."""
Defer / Yield,Accept other's role,"Agreeableness, Low Dominance",Identity Recognition,"""You're more experienced, so I'll follow you."""
Acknowledge Expertise,Recognize status,Agreeableness,Identity Recognition,"""You're clearly skilled at precision."""
Attribute / Label,Highlight quality,Agreeableness,Identity Recognition,"""You're a natural problem-solver."""
Defend Identity,Protect image,"Neuroticism, Extraversion",Identity Recognition,"""I might be new, but I'm capable of learning."""
Challenge Status,Question role,Low Agreeableness,Identity Recognition,"""Why should you always be in charge?"""
