base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""'}",Cooperation,"The shared goal 'Being committed to a cause' aligns best with 'Cooperation' as the agents are working together towards a common environmental objective. However, their personal goals reflect different social intentions within this cooperation: one agent seeks to inspire and motivate through emotional connection (relationship building), while the other aims to strategically persuade through logical argumentation (information provision). This creates an interesting dynamic where both work towards the same cause but through distinct interpersonal approaches.","To inspire the other agent through emotional appeals and personal stories about environmental loss, making them feel more deeply connected to the cause.","To persuade the other agent through logical arguments and factual evidence about environmental impact, making them more analytically convinced of the cause's importance.","""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""",Passionate Advocate,Strategic Planner,"{'scenario_context': ""[Agent 1] and [Agent 2] are members of a local environmental group, sitting together at a small cafe after a successful community clean-up event. They are reviewing the day's accomplishments and discussing plans for their next initiative, a tree-planting drive. Both are committed to the cause but approach the planning phase with different methods."", 'explanation': ""This context establishes a cooperative, low-tension setting (Easy difficulty) where a shared goal (planning the next initiative) is naturally present. The cafe provides a relaxed, realistic environment for interpersonal interaction. The roles are clearly defined: [Agent 1]'s personal goal to inspire through emotion is supported by the reflective, post-event mood, while [Agent 2]'s goal to persuade through logic is supported by the analytical task of planning a future project.""}"
"{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing, entertaining others""'}",Relationship Building,"The shared goal of 'Amusing, entertaining others' aligns most closely with the 'Relationship Building' category. This is because humor and entertainment are often used as social tools to foster connection, rapport, and positive feelings between individuals, which is the core of relationship building. The personal goals are designed to reflect distinct social intentions: one agent aims to actively influence the social atmosphere by initiating humor, while the other seeks to understand and validate the first agent's efforts through positive reinforcement. Their roles as 'The Comedian' and 'The Appreciative Audience' logically support these goals and the shared objective.",To establish a lighthearted and jovial social atmosphere by initiating humorous exchanges.,To validate and encourage the other's attempts at humor through positive feedback and engagement.,"""Amusing, entertaining others""",The Comedian,The Appreciative Audience,"{'scenario_context': '[Agent 1] and [Agent 2] are coworkers on a lunch break in the office cafeteria. They are sitting together at a small table, surrounded by other colleagues. [Agent 1] has just returned from a weekend trip and is eager to share some funny anecdotes.', 'explanation': ""This context establishes a simple, cooperative environment (Easy difficulty) where the shared goal of amusement is naturally achievable. The public, social setting provides an audience for [Agent 1]'s humor and a clear role for [Agent 2] to provide positive engagement and validation, aligning with their individual goals.""}"
"{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being, avoiding pain""'}",Conflict Resolution,"The shared goal 'Protecting my well-being, avoiding pain' aligns most closely with 'Conflict Resolution' as it involves managing interpersonal tensions that could threaten individual well-being. Agent 1's personal goal focuses on asserting boundaries to prevent emotional harm, while Agent 2's goal centers on de-escalating tension to maintain harmony. Their roles as 'Assertive Defender' and 'Harmony Seeker' reflect complementary approaches to resolving conflict while protecting their respective well-being.",To assert personal boundaries firmly to prevent the other from causing emotional distress.,To de-escalate potential tension by adopting a conciliatory tone to avoid reciprocal harm.,"""Protecting my well-being, avoiding pain""",Assertive Defender,Harmony Seeker,"{'scenario_context': ""Two colleagues, [Agent 1] and [Agent 2], are working together on a shared project. [Agent 1] has been feeling overwhelmed by [Agent 2]'s tendency to frequently check in and offer unsolicited advice, perceiving it as micromanagement. [Agent 2] is unaware of this impact and is motivated by a genuine desire to be supportive and ensure a smooth, conflict-free collaboration. They are now in a breakout room after a team meeting to discuss the project's next steps."", 'explanation': ""This context establishes a common workplace scenario where a shared goal of project success and mutual well-being exists. The personal goals are naturally integrated: [Agent 1]'s role as the Assertive Defender is triggered by the perceived emotional distress, while [Agent 2]'s role as the Harmony Seeker is activated by the desire to maintain a positive, low-tension interaction. The 'Easy' difficulty is reflected in their fundamentally cooperative relationship and the straightforward setting, making a resolution attainable.""}"
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others, cooperating, giving support""'}",Cooperation,"The shared goal 'Helping others, cooperating, giving support' aligns most directly with the 'Cooperation' category, as it involves working together toward a common beneficial outcome. However, to create a rich interpersonal dynamic, the agents' personal goals are designed to reflect different motivations within this cooperative framework. Agent 1's goal focuses on providing emotional support and validation (a form of giving support), while Agent 2's goal focuses on understanding the other's perspective to offer appropriate help (a form of information acquisition for cooperation). This creates a scenario where both agents are cooperating but through distinct interpersonal approaches that can lead to interesting attributions about each other's behavior.",To make the other agent feel emotionally validated and supported through attentive listening and affirming responses.,To identify the specific type of support the other agent needs by carefully probing their concerns and emotional state.,"""Helping others, cooperating, giving support""",Supportive Listener,Needs Assessor,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues working together on a community volunteer project. They are taking a short break in a quiet corner of the shared office space. [Agent 1] has just returned from a difficult meeting with a project stakeholder and appears slightly distressed. [Agent 2], noticing this, has initiated this conversation to offer support and ensure the project's collaborative success."", 'explanation': ""This context establishes a simple, cooperative environment where both agents' goals are naturally aligned. The shared goal of 'helping others' is reflected in their joint volunteer project. [Agent 1]'s role as a 'Supportive Listener' and goal to provide emotional validation is triggered by their colleague's apparent distress. [Agent 2]'s role as a 'Needs Assessor' and goal to probe for specific support needs is initiated by their observation of [Agent 1]'s state, creating a straightforward and attainable interpersonal dynamic.""}"
"{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive, exciting, fascinating, impressing others""'}",Identity Recognition,"The shared goal 'Being socially attractive, exciting, fascinating, impressing others' is best aligned with the 'Identity Recognition' category. This category focuses on individuals seeking to be seen, validated, and appreciated for a specific identity or set of qualities they wish to project. The personal goals are designed to reflect distinct social intentions: one agent aims to actively construct and project a fascinating persona, while the other aims to validate and affirm that projected identity. The roles of 'The Charmer' and 'The Admirer' logically support these goals within a social context where mutual impression management is key.",To be perceived as fascinating and impressive by steering the conversation towards topics that showcase their unique knowledge and experiences.,"To validate the other's projected fascinating identity by expressing genuine interest, asking follow-up questions, and offering compliments.","""Being socially attractive, exciting, fascinating, impressing others""",The Charmer,The Admirer,"{'scenario_context': 'Two acquaintances, [Agent 1] and [Agent 2], are at a casual networking event for creative professionals. They are standing near a refreshment table, holding drinks, surrounded by the gentle hum of other conversations. Their shared goal is to be socially attractive and impress others in the room, establishing themselves as fascinating individuals.', 'explanation': ""This context provides a realistic and common social setting (a networking event) where the goal of being impressive is naturally relevant. The environment is low-pressure and cooperative ('Easy' difficulty), allowing both agents to pursue their individual goals: [Agent 1] can easily steer the conversation to showcase their knowledge, and [Agent 2] has ample opportunity to ask questions and offer validation without significant tension or challenge.""}"
"{'Abbreviation': 'Cared for', 'Full label': '""Being taken care of""'}",Relationship Building,"The shared goal 'Being taken care of' aligns most closely with 'Relationship Building' as it involves establishing a supportive dynamic where one party provides care and the other receives it, forming a foundational interpersonal connection. Agent 1's personal goal focuses on establishing themselves as a competent caregiver to gain trust, while Agent 2's goal is to assess the sincerity of the offered care to feel emotionally secure. Their roles as 'Supportive Caregiver' and 'Vulnerable Recipient' create a complementary dynamic for exploring this care-based relationship.",To establish oneself as a competent and trustworthy caregiver to gain the other's reliance and appreciation.,To assess the sincerity and quality of the care being offered to feel emotionally secure and understood.,"""Being taken care of""",Supportive Caregiver,Vulnerable Recipient,"{'scenario_context': ""[Agent 1] has offered to help [Agent 2], who is recovering from a minor surgery, by preparing meals and assisting with light chores for the day. They are in [Agent 2]'s tidy and comfortable living room. [Agent 1] has just arrived with a bag of groceries."", 'explanation': ""This context establishes a simple, cooperative scenario where the shared goal of 'being taken care of' is easily attainable. [Agent 1]'s role as the caregiver is activated by performing concrete, helpful tasks, allowing them to demonstrate competence. [Agent 2] is in a position to passively receive this care and assess its quality from a place of physical vulnerability, which aligns with their goal of evaluating the caregiver's sincerity to feel secure. The environment is neutral and comfortable, minimizing external tension and focusing the interaction on the core social dynamic.""}"
"{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Relationship Building,"The shared goal 'Accepting life’s limitations' aligns most closely with Relationship Building. This category focuses on developing mutual understanding and emotional support, which is essential when confronting life's inevitable constraints. The scenario involves two agents with complementary approaches: one seeks validation for their perspective while the other aims to provide pragmatic reframing. Their personal goals are designed to be interactionally measurable through conversational behavior—Agent 1's goal manifests through seeking reassurance and emotional alignment, while Agent 2's goal appears through practical guidance and perspective-shifting. The roles ('Seeker of Validation' and 'Pragmatic Guide') reflect their distinct social positions and motivations within this context.",To seek emotional validation and reassurance from the other agent that their feelings about life's limitations are understood and accepted.,To encourage the other agent to reframe their perspective on limitations by highlighting potential opportunities or alternative viewpoints.,"""Accepting life’s limitations""",Seeker of Validation,Pragmatic Guide,"{'scenario_context': '[Agent 1] and [Agent 2] are colleagues on their lunch break in a quiet corner of the office cafeteria. [Agent 1], feeling disheartened after missing a promotion, initiates a conversation about their frustration with career ceilings and the feeling of being stuck. [Agent 2], who has a reputation for being practical and solution-oriented, listens attentively. Their shared goal is to accept life’s limitations, but [Agent 1] personally seeks emotional validation for their disappointment, while [Agent 2] aims to guide the conversation toward finding a positive, alternative perspective on the situation.', 'explanation': ""This context is 'Easy' because the setting is a cooperative, low-stakes lunch break between colleagues. The shared goal of acceptance is naturally aligned with a common personal experience like a career setback. [Agent 1]'s need for validation is a simple, direct emotional goal, and [Agent 2]'s role as a pragmatic guide is a common and socially acceptable way to offer support, making the goals easily attainable through a calm conversation.""}"
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals, fighting for things I believe in""'}",Identity Recognition,"The shared goal 'Pursuing my ideals, fighting for things I believe in' is best aligned with the 'Identity Recognition' category. This is because the core of this pursuit is often about having one's deeply held values and beliefs seen, validated, and acknowledged by others. The interaction focuses on whether each agent's personal ideals are recognized by the other, creating a scenario ripe for exploring attribution theory as agents interpret each other's support or opposition through their own dispositional and situational lenses.",To persuade the other agent to validate their core ideal as morally correct.,To assert their own contrasting ideal without directly invalidating the other's perspective.,"""Pursuing my ideals, fighting for things I believe in""",The Idealist,The Pragmatist,"{'scenario_context': '[Agent 1] and [Agent 2] are colleagues volunteering for a local community organization. They are setting up for a fundraising event for a cause they both support. [Agent 1] insists on using only ethically sourced, expensive materials for the event decorations to fully embody the purity of their shared cause. [Agent 2] is focused on using the limited budget to maximize the funds raised, preferring cost-effective, readily available supplies.', 'explanation': ""This context establishes a realistic, low-stakes cooperative setting (Easy difficulty) where both agents share the overarching goal of a successful fundraiser. It naturally introduces the conflict between [Agent 1]'s idealistic goal of moral validation through action and [Agent 2]'s pragmatic goal of asserting a contrasting, efficiency-focused ideal, all within the 'Identity Recognition' category.""}"
"{'Abbreviation': 'Flexibility', 'Full label': '""Having flexibility of viewpoint, being broad-minded, open""'}",Information Acquisition,"The shared goal of 'Having flexibility of viewpoint, being broad-minded, open' aligns most closely with the 'Information Acquisition' category. This is because the core of being open-minded involves actively seeking out and considering new information, perspectives, and evidence that may challenge one's own pre-existing beliefs. This process is fundamental to achieving genuine flexibility of thought. Agent 1's personal goal is to actively solicit and understand the other's differing perspective, embodying the role of an Inquisitive Learner. Agent 2's personal goal is to cautiously test the other's receptiveness before sharing a vulnerable perspective, embodying the role of a Cautious Contributor. Their goals are distinct yet complementary, focusing on the seeking and tentative offering of information, which drives the interaction toward the shared goal.","To actively solicit and understand the other agent's differing perspective on a contentious issue by asking probing, open-ended questions that demonstrate genuine curiosity.","To cautiously test the other agent's openness and receptivity by introducing a novel but vulnerable perspective in a gradual, measured way, gauging reactions before elaborating further.","""Having flexibility of viewpoint, being broad-minded, open""",Inquisitive Learner,Cautious Contributor,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues participating in a voluntary workplace workshop on 'Innovative Problem Solving.' They have been paired together for a breakout session. Their shared task is to brainstorm and propose a new, more flexible approach to a common internal process. [Agent 1], an inquisitive learner, is genuinely eager to understand [Agent 2]'s unique thoughts. [Agent 2], a cautious contributor, has a novel idea but is hesitant to share it fully, worried it might be dismissed as too unconventional."", 'explanation': ""The workshop setting provides a natural and low-stakes context for the shared goal of being open-minded. [Agent 1]'s role as an inquisitive learner is supported by the collaborative brainstorming task, which requires soliciting ideas. [Agent 2]'s role as a cautious contributor is facilitated by the common workplace fear of proposing a vulnerable, novel perspective that might be rejected, making their goal to test the waters before fully committing psychologically grounded. The 'Easy' difficulty is maintained as the environment is explicitly cooperative and designed for open exchange.""}"
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents, siblings, grandparents""'}",Relationship Maintenance,"The shared goal 'Feeling close to my parents, siblings, grandparents' is fundamentally about fostering and maintaining emotional intimacy and connection within a family unit. This aligns most strongly with the 'Relationship Maintenance' category, as it focuses on preserving and strengthening existing bonds rather than building new ones or resolving conflicts. The personal goals are designed to reflect distinct social intentions: one agent seeks to affirm the family's positive identity to foster closeness, while the other seeks to understand and validate the other's emotional state to achieve the same shared goal. Their roles as 'Supportive Confidant' and 'Empathic Listener' logically support these goals and the context of a personal family conversation.",To affirm the family's positive qualities and shared history to make the other feel a stronger sense of belonging and closeness.,To elicit and validate the other's personal feelings about the family to create a deeper emotional connection.,"""Feeling close to my parents, siblings, grandparents""",Supportive Confidant,Empathic Listener,"{'scenario_context': 'Two siblings, [Agent 1] and [Agent 2], are at their family home sorting through old photo albums in the living room after a large, positive family dinner. The shared goal is to feel closer to their parents, siblings, and grandparents by reminiscing.', 'explanation': ""The context places the agents in a relaxed, positive, and cooperative environment (Easy difficulty) directly tied to family. The activity of looking at photo albums naturally facilitates both [Agent 1]'s goal of affirming the family's positive qualities and shared history and [Agent 2]'s goal of eliciting and validating personal feelings about that history.""}"
