base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""'}",Cooperation,"The shared goal 'Being committed to a cause' aligns best with 'Cooperation' as the agents are working together towards a common environmental objective. However, their personal goals reflect different social intentions within this cooperation: one agent seeks to inspire and motivate through emotional connection (relationship building), while the other aims to strategically persuade through logical argumentation (information provision). This creates an interesting dynamic where both work towards the same cause but through distinct interpersonal approaches.","To inspire the other agent through emotional appeals and personal stories about environmental loss, making them feel more deeply connected to the cause.","To persuade the other agent through logical arguments and factual evidence about environmental impact, making them more analytically convinced of the cause's importance.","""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""",Passionate Advocate,Strategic Planner,"{'scenario_context': ""[Agent 1] and [Agent 2] are co-leaders of a local environmental action group. They are in a small, cluttered office the night before a critical city council meeting where they will present a proposal to block a new commercial development project threatening a local wetland. The shared goal is to finalize a powerful, unified presentation that will convince the council to protect the area. [Agent 1]'s personal goal is to craft a presentation centered on emotional, personal stories from community members who will lose their connection to the land, believing this is the only way to truly move the councilors. [Agent 2]'s personal goal is to structure the presentation around hard data, cost-benefit analyses, and legal precedents, convinced that emotional appeals will be dismissed as sentimental and weaken their case. The pressure is high, with limited time and the knowledge that a disjointed strategy will likely result in failure."", 'explanation': ""The scenario is set to 'Hard' difficulty by creating a high-pressure, time-sensitive situation with a significant consequence for failure. The agents' personal goals, while both aimed at success, are fundamentally opposed in their approach (emotional vs. logical persuasion). This creates inherent tension and a challenging negotiation dynamic, as integrating both styles into a single, coherent presentation is a complex task. The context is kept realistic and psychologically grounded by focusing on the interpersonal conflict between co-leaders with different expertise and convictions under stress.""}"
"{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing, entertaining others""'}",Relationship Building,"The shared goal of 'Amusing, entertaining others' aligns most closely with the 'Relationship Building' category. This is because humor and entertainment are often used as social tools to foster connection, rapport, and positive feelings between individuals, which is the core of relationship building. The personal goals are designed to reflect distinct social intentions: one agent aims to actively influence the social atmosphere by initiating humor, while the other seeks to understand and validate the first agent's efforts through positive reinforcement. Their roles as 'The Comedian' and 'The Appreciative Audience' logically support these goals and the shared objective.",To establish a lighthearted and jovial social atmosphere by initiating humorous exchanges.,To validate and encourage the other's attempts at humor through positive feedback and engagement.,"""Amusing, entertaining others""",The Comedian,The Appreciative Audience,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues at a high-stakes company awards dinner. [Agent 1], a mid-level manager known for their sharp wit but also for recent professional setbacks, is the scheduled after-dinner speaker tasked with delivering a humorous roast of the senior executives to lighten the formal mood. [Agent 2], a well-respected senior colleague who is generally amiable but acutely aware of the tense corporate climate and recent layoffs, is seated at the head table and is expected to signal to the rest of the audience how to receive the potentially risky humor. The shared goal is to amuse and entertain the anxious crowd, but [Agent 1]'s personal goal is to re-establish their social standing and prove their value through comedy, while [Agent 2]'s goal is to carefully validate only the appropriate jokes to maintain morale without encouraging anything that could be perceived as offensive or insubordinate."", 'explanation': ""This scenario is 'Hard' difficulty because it introduces high tension through the professional stakes and recent setbacks, making the shared goal of entertainment precarious. [Agent 1]'s need for personal redemption through humor conflicts with the high-risk context, and [Agent 2]'s role as a validator is complicated by their need to police the content for appropriateness, creating a natural conflict between their individual goals that challenges the shared objective.""}"
"{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being, avoiding pain""'}",Conflict Resolution,"The shared goal 'Protecting my well-being, avoiding pain' aligns most closely with 'Conflict Resolution' as it involves managing interpersonal tensions that could threaten individual well-being. Agent 1's personal goal focuses on asserting boundaries to prevent emotional harm, while Agent 2's goal centers on de-escalating tension to maintain harmony. Their roles as 'Assertive Defender' and 'Harmony Seeker' reflect complementary approaches to resolving conflict while protecting their respective well-being.",To assert personal boundaries firmly to prevent the other from causing emotional distress.,To de-escalate potential tension by adopting a conciliatory tone to avoid reciprocal harm.,"""Protecting my well-being, avoiding pain""",Assertive Defender,Harmony Seeker,"{'scenario_context': ""[Agent 1] and [Agent 2] are longtime friends and roommates. [Agent 1] has just returned home after a stressful day at work. [Agent 2] had promised to handle a shared, unpleasant chore—deep cleaning the kitchen—but it was left completely undone. The shared goal is to protect their individual well-being and avoid the emotional pain of a conflict. [Agent 1]'s personal goal is to assert firm boundaries to prevent further emotional distress from broken promises. [Agent 2]'s personal goal is to de-escalate the palpable tension by immediately adopting a conciliatory tone to avoid reciprocal anger and harm to the friendship."", 'explanation': ""This scenario is 'Hard' because the broken promise creates immediate high tension and a direct challenge to the shared goal of avoiding pain. [Agent 1]'s need to assert boundaries is in direct opposition to [Agent 2]'s instinct to avoid conflict, making the situation volatile. The realistic, high-stakes interpersonal dynamic forces both agents to navigate their conflicting personal goals while trying to preserve their relationship, creating a complex and psychologically grounded setup for the subsequent conversation.""}"
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others, cooperating, giving support""'}",Cooperation,"The shared goal 'Helping others, cooperating, giving support' aligns most directly with the 'Cooperation' category, as it involves working together toward a common beneficial outcome. However, to create a rich interpersonal dynamic, the agents' personal goals are designed to reflect different motivations within this cooperative framework. Agent 1's goal focuses on providing emotional support and validation (a form of giving support), while Agent 2's goal focuses on understanding the other's perspective to offer appropriate help (a form of information acquisition for cooperation). This creates a scenario where both agents are cooperating but through distinct interpersonal approaches that can lead to interesting attributions about each other's behavior.",To make the other agent feel emotionally validated and supported through attentive listening and affirming responses.,To identify the specific type of support the other agent needs by carefully probing their concerns and emotional state.,"""Helping others, cooperating, giving support""",Supportive Listener,Needs Assessor,"{'scenario_context': ""[Agent 1] and [Agent 2] are two crisis hotline volunteers debriefing after a particularly difficult and emotionally draining call. The shared goal is to cooperatively process the event to provide mutual support and ensure they are both mentally prepared for the next shift. [Agent 1], the Supportive Listener, feels [Agent 2] is internalizing the caller's trauma and is personally driven to make them feel emotionally validated through attentive listening and affirming responses. [Agent 2], the Needs Assessor, is personally focused on identifying the specific type of support [Agent 1] requires, believing their colleague's compassionate nature might be leading to burnout, and is carefully probing their concerns and emotional state to determine the most effective intervention."", 'explanation': ""This scenario is 'Hard' because the high-stress, emotionally charged context creates inherent tension. The agents' personal goals, while both rooted in support, are in potential conflict: one seeks emotional validation while the other seeks a clinical assessment of needs. This misalignment, coupled with the fatigue and heightened emotions from the difficult call, creates a challenging dynamic where achieving their shared cooperative goal of mutual support is complicated by their different approaches to providing and receiving it.""}"
"{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive, exciting, fascinating, impressing others""'}",Identity Recognition,"The shared goal 'Being socially attractive, exciting, fascinating, impressing others' is best aligned with the 'Identity Recognition' category. This category focuses on individuals seeking to be seen, validated, and appreciated for a specific identity or set of qualities they wish to project. The personal goals are designed to reflect distinct social intentions: one agent aims to actively construct and project a fascinating persona, while the other aims to validate and affirm that projected identity. The roles of 'The Charmer' and 'The Admirer' logically support these goals within a social context where mutual impression management is key.",To be perceived as fascinating and impressive by steering the conversation towards topics that showcase their unique knowledge and experiences.,"To validate the other's projected fascinating identity by expressing genuine interest, asking follow-up questions, and offering compliments.","""Being socially attractive, exciting, fascinating, impressing others""",The Charmer,The Admirer,"{'scenario_context': '[Agent 1] and [Agent 2] are at a high-stakes networking event for elite professionals in the art world. Both are relative newcomers trying to gain a foothold in this exclusive circle. The shared goal is to be perceived as fascinating and impressive to the influential attendees milling around them. [Agent 1], feeling the pressure to prove their worth, is acutely aware that a prominent critic is within earshot of their conversation. [Agent 2], while also needing to make an impression, is intimidated by the crowd and fears saying the wrong thing, making their role as an engaged admirer feel like a high-wire performance.', 'explanation': ""This context is 'Hard' difficulty because the high-pressure, evaluative environment creates significant tension. [Agent 1]'s goal to steer the conversation is challenged by the risk of appearing try-hard or being overheard misrepresenting themselves. [Agent 2]'s goal to validate is complicated by their own anxiety and the need to perform admiration authentically under scrutiny, making the shared goal of mutual impressiveness fragile and difficult to coordinate.""}"
"{'Abbreviation': 'Cared for', 'Full label': '""Being taken care of""'}",Relationship Building,"The shared goal 'Being taken care of' aligns most closely with 'Relationship Building' as it involves establishing a supportive dynamic where one party provides care and the other receives it, forming a foundational interpersonal connection. Agent 1's personal goal focuses on establishing themselves as a competent caregiver to gain trust, while Agent 2's goal is to assess the sincerity of the offered care to feel emotionally secure. Their roles as 'Supportive Caregiver' and 'Vulnerable Recipient' create a complementary dynamic for exploring this care-based relationship.",To establish oneself as a competent and trustworthy caregiver to gain the other's reliance and appreciation.,To assess the sincerity and quality of the care being offered to feel emotionally secure and understood.,"""Being taken care of""",Supportive Caregiver,Vulnerable Recipient,"{'scenario_context': ""[Agent 1] and [Agent 2] are in [Agent 2]'s apartment following a minor but painful medical procedure [Agent 2] underwent earlier that day. [Agent 1], a friend who has volunteered to help, is preparing a meal in the kitchen. Their shared goal is for [Agent 2] to be taken care of. However, [Agent 1], who is highly conscientious but also has a need for validation, is meticulously following a complex recipe to prove their competence, creating a prolonged and somewhat stressful atmosphere. [Agent 2], who is in significant discomfort and feels emotionally raw, is silently observing from the living room couch, growing increasingly anxious that the care is performative rather than genuinely attentive to their immediate needs for comfort and rest."", 'explanation': ""This context establishes a 'Hard' difficulty scenario by introducing tension between the agents' individual goals. [Agent 1]'s goal to prove their worth creates a situation where the care feels conditional and delayed, directly conflicting with [Agent 2]'s immediate need for emotional security and authentic understanding. The post-procedure vulnerability of [Agent 2] heightens the stakes, making the misalignment of their approaches to the shared goal more pronounced and psychologically charged.""}"
"{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Relationship Building,"The shared goal 'Accepting life’s limitations' aligns most closely with Relationship Building. This category focuses on developing mutual understanding and emotional support, which is essential when confronting life's inevitable constraints. The scenario involves two agents with complementary approaches: one seeks validation for their perspective while the other aims to provide pragmatic reframing. Their personal goals are designed to be interactionally measurable through conversational behavior—Agent 1's goal manifests through seeking reassurance and emotional alignment, while Agent 2's goal appears through practical guidance and perspective-shifting. The roles ('Seeker of Validation' and 'Pragmatic Guide') reflect their distinct social positions and motivations within this context.",To seek emotional validation and reassurance from the other agent that their feelings about life's limitations are understood and accepted.,To encourage the other agent to reframe their perspective on limitations by highlighting potential opportunities or alternative viewpoints.,"""Accepting life’s limitations""",Seeker of Validation,Pragmatic Guide,"{'scenario_context': '[Agent 1] and [Agent 2] are colleagues who have worked together for years on a community arts project. They are meeting for coffee after a project committee meeting where their most ambitious proposal, a public mural celebrating local youth, was definitively rejected due to budget constraints. [Agent 1], who had passionately championed the project, is visibly dejected. [Agent 2], while also disappointed, is already thinking about next steps. The shared goal is to accept this significant limitation and find a way to move forward together, but their personal approaches are in direct tension. [Agent 1] needs to feel that their grief over the lost opportunity is validated before they can consider moving on, while [Agent 2] believes the quickest path to acceptance is to immediately pivot to discussing a new, more feasible idea.', 'explanation': ""This context sets up a 'Hard' difficulty scenario by creating a high-tension situation rooted in a concrete, meaningful failure. The shared goal is philosophically abstract ('accepting life's limitations') but is grounded in a specific, relatable professional disappointment. The agents' individual goals are inherently conflicting: one requires sitting with negative emotions, while the other demands forward-moving action. Their established relationship adds depth, making the interaction more charged and psychologically complex, as their differing coping mechanisms threaten to create a rift precisely when they need to be united.""}"
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals, fighting for things I believe in""'}",Identity Recognition,"The shared goal 'Pursuing my ideals, fighting for things I believe in' is best aligned with the 'Identity Recognition' category. This is because the core of this pursuit is often about having one's deeply held values and beliefs seen, validated, and acknowledged by others. The interaction focuses on whether each agent's personal ideals are recognized by the other, creating a scenario ripe for exploring attribution theory as agents interpret each other's support or opposition through their own dispositional and situational lenses.",To persuade the other agent to validate their core ideal as morally correct.,To assert their own contrasting ideal without directly invalidating the other's perspective.,"""Pursuing my ideals, fighting for things I believe in""",The Idealist,The Pragmatist,"{'scenario_context': ""Two colleagues, [Agent 1] and [Agent 2], are in a quiet conference room after hours, reviewing a final proposal for a high-stakes community project they have co-developed. Their shared goal is to finalize the proposal for submission, a project that represents their deeply held belief in 'pursuing ideals and fighting for what they believe in'. [Agent 1], driven by a need for moral validation, seeks to frame the project's core message as an uncompromising ethical stand. [Agent 2], while equally invested, believes the proposal must be tempered with practical concessions to ensure its acceptance and real-world impact, creating a tense negotiation over the project's fundamental identity."", 'explanation': ""The context establishes a high-stakes, time-sensitive situation (after hours, final proposal) where the shared goal is concrete but the path to achieving it is conflicted. The Idealist's personal goal (moral validation) directly clashes with the Pragmatist's goal (asserting a contrasting, practical approach), creating inherent tension. The quiet, isolated setting amplifies the psychological pressure, forcing a difficult negotiation over the project's core identity, which is central to both agents' self-concept, making alignment exceptionally challenging.""}"
"{'Abbreviation': 'Flexibility', 'Full label': '""Having flexibility of viewpoint, being broad-minded, open""'}",Information Acquisition,"The shared goal of 'Having flexibility of viewpoint, being broad-minded, open' aligns most closely with the 'Information Acquisition' category. This is because the core of being open-minded involves actively seeking out and considering new information, perspectives, and evidence that may challenge one's own pre-existing beliefs. This process is fundamental to achieving genuine flexibility of thought. Agent 1's personal goal is to actively solicit and understand the other's differing perspective, embodying the role of an Inquisitive Learner. Agent 2's personal goal is to cautiously test the other's receptiveness before sharing a vulnerable perspective, embodying the role of a Cautious Contributor. Their goals are distinct yet complementary, focusing on the seeking and tentative offering of information, which drives the interaction toward the shared goal.","To actively solicit and understand the other agent's differing perspective on a contentious issue by asking probing, open-ended questions that demonstrate genuine curiosity.","To cautiously test the other agent's openness and receptivity by introducing a novel but vulnerable perspective in a gradual, measured way, gauging reactions before elaborating further.","""Having flexibility of viewpoint, being broad-minded, open""",Inquisitive Learner,Cautious Contributor,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues on a corporate ethics committee tasked with drafting a new policy on the responsible use of generative AI. Their shared goal is to produce a broad-minded and flexible framework that can adapt to diverse viewpoints and rapidly evolving technology. The committee is under significant pressure, as a previous draft was rejected by senior leadership for being too rigid and narrow. [Agent 1], an inquisitive learner, believes the key to success is to actively solicit and deeply understand [Agent 2]'s potentially differing perspective on a contentious issue: whether AI should be used for predictive behavioral analysis in hiring. [Agent 2], a cautious contributor, possesses a novel but vulnerable perspective, having personally witnessed the negative consequences of such technology in a previous role. Their goal is to cautiously test [Agent 1]'s openness by introducing this perspective in a gradual, measured way, gauging for defensive or dismissive reactions before deciding whether to elaborate further with their full experience and evidence."", 'explanation': ""This scenario is 'Hard' because it places the agents in a high-stakes, professional environment with a recent history of failure, creating underlying tension. The contentious issue (AI in hiring) is personally and ethically charged. The goals are in direct psychological tension: [Agent 1]'s need for immediate, probing inquiry directly challenges [Agent 2]'s need for a safe, gradual disclosure. This mismatch makes achieving both the shared goal (a flexible policy) and their individual goals (soliciting understanding vs. testing receptivity) inherently difficult, as it requires navigating significant interpersonal risk and vulnerability.""}"
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents, siblings, grandparents""'}",Relationship Maintenance,"The shared goal 'Feeling close to my parents, siblings, grandparents' is fundamentally about fostering and maintaining emotional intimacy and connection within a family unit. This aligns most strongly with the 'Relationship Maintenance' category, as it focuses on preserving and strengthening existing bonds rather than building new ones or resolving conflicts. The personal goals are designed to reflect distinct social intentions: one agent seeks to affirm the family's positive identity to foster closeness, while the other seeks to understand and validate the other's emotional state to achieve the same shared goal. Their roles as 'Supportive Confidant' and 'Empathic Listener' logically support these goals and the context of a personal family conversation.",To affirm the family's positive qualities and shared history to make the other feel a stronger sense of belonging and closeness.,To elicit and validate the other's personal feelings about the family to create a deeper emotional connection.,"""Feeling close to my parents, siblings, grandparents""",Supportive Confidant,Empathic Listener,"{'scenario_context': ""[Agent 1] and [Agent 2], two adult siblings, are sorting through old family belongings in their late grandparents' attic, a task they must complete before the house is sold. The shared goal of feeling close to their family is challenged by the palpable tension of a recent, unresolved argument about the division of sentimental heirlooms. The dusty, emotionally charged space is filled with memories, but also with the unspoken hurt and competition that has strained their relationship."", 'explanation': ""This scenario is 'Hard' because the shared goal of fostering closeness is directly opposed by the situational tension of a recent conflict and the inherently sensitive task of dividing a family legacy. [Agent 1]'s goal to affirm positive family qualities is difficult when recent events highlight negativity, and [Agent 2]'s goal to validate personal feelings is complicated by the risk of reopening the argument. The setting creates a realistic, high-stakes interpersonal challenge where achieving their individual and shared goals requires navigating significant emotional obstacles.""}"
