base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Buying things', 'Full label': '""Buying things I want""'}",Information Acquisition,"Buying decisions in a shopper–salesperson interaction hinge on information acquisition: the shopper seeks tailored guidance, while the salesperson seeks to accurately read preferences to make that guidance relevant.","Influence the salesperson to mirror my stated tastes and budget, offering guidance that affirms rather than pressures.",Infer the shopper’s underlying preferences by eliciting specifics and reflecting them back to guide the conversation.,"""Buying things I want""",Budget-conscious Shopper,Attentive Salesperson,"{'scenario_context': '[Agent 1], a budget-conscious shopper, approaches [Agent 2], an attentive salesperson, to get help narrowing options for a purchase they genuinely want but don’t want to overspend on. [Agent 1] intends to state a clear budget and a few taste anchors (preferred styles/features and a couple of deal-breakers) and watch whether [Agent 2] mirrors these cues without pushing add-ons. [Agent 2] plans to start with brief, targeted questions about use-case, price ceiling, and style references, then reflect back what they hear to confirm fit. Both aim to identify two or three viable options that match taste and budget. The interaction is cooperative and paced; [Agent 1] seeks affirmation and guidance, while [Agent 2] calibrates suggestions to avoid pressure and maintain trust.', 'explanation': 'The shared goal (finding and buying items that match [Agent 1]’s tastes within budget) aligns with both agents’ individual goals centered on information exchange. Dispositionally, [Agent 1] is cautious about sales pressure but open to guidance; [Agent 2] is reflective and inference-focused. Situationally, many choices create an information need that legitimizes questions and summarizing. The easy difficulty is supported by mutually positive attributions: [Agent 1] interprets questions as helpful, while [Agent 2] attributes hesitation to budget constraints rather than disinterest. This reduces misattribution, enabling smooth preference elicitation and mirroring.'}"
"{'Abbreviation': 'Fashion', 'Full label': '""Keeping up with fashion""'}",Identity Recognition,"Fashion talk often negotiates identity; one agent seeks recognition as a tastemaker while the other asserts pragmatic authenticity, revealing how dispositional motives shape interaction.",Position themselves as the tastemaker by steering the other to spontaneously seek their validation and mirror their evaluative style language during fashion talk.,"Assert a practical, authentic identity by prompting the other to justify trend claims using comfort, durability, or cost terms and to soften status-driven language.","""Keeping up with fashion""",Trendsetter influencer,Pragmatic skeptic,"{'scenario_context': '[Agent 1] and [Agent 2] meet to co-create a short community guide titled ""Keeping Up With Fashion Now,"" choosing five new-season items and writing brief notes for each. They agree to include only pieces both can endorse. [Agent 1], a trendsetter influencer, plans to set the tone by curating a shortlist and using evaluative language (silhouette, proportion, edit-worthiness), aiming for [Agent 2] to look to them for validation and naturally adopt that vocabulary. [Agent 2], a pragmatic skeptic, plans to keep choices grounded by prompting comfort, durability, and cost-per-wear justifications and softening status cues. Both want the guide to feel current and usable, and they are cooperative, expecting to blend aesthetic and practical criteria smoothly.', 'explanation': 'This setup creates low-conflict collaboration with a clear shared deliverable. It positions [Agent 1] to seek identity recognition as a tastemaker through normative influence and language setting, while [Agent 2] seeks recognition as authentically practical by invoking functional justifications and reframing status language. The scenario is easy because incentives align: both want fashionable yet sensible picks, enabling reciprocal influence without high stakes or adversarial goals.'}"
"{'Abbreviation': 'Avoiding rejection', 'Full label': '""Avoiding rejection by others""'}",Relationship Maintenance,"Relationship Maintenance best fits a shared aim of avoiding rejection, as both agents orient their communication to preserve inclusion and belonging. One agent seeks cues of acceptance; the other actively manages tone and framing to convey inclusion and reduce threats of rejection.","Elicit signs of acceptance—such as mirroring, validating language, and warm tone—by offering mild self-disclosure and attending to how the other responds.","Convey steady acceptance by normalizing differences, using inclusive framing, and softening disagreement so the other feels safe and not judged.","""Avoiding rejection by others""",Junior colleague,Team mentor,"{'scenario_context': '[Agent 1], a junior colleague, schedules a brief check‑in with [Agent 2], the team mentor, immediately after a routine planning meeting. The purpose is to debrief how [Agent 1]\'s ideas landed with the team and to align on how to interact in future meetings so that [Agent 1] feels included rather than judged or sidelined. Both aim to avoid rejection by others: [Agent 1] plans a mild self‑disclosure about feeling uncertain in group discussions and will attend closely to [Agent 2]\'s mirroring, validating language, and warmth to gauge acceptance. [Agent 2] intends to convey steady acceptance by normalizing different communication styles, using inclusive framing (""we"" and team norms), and softening any disagreement into specific, low‑threat suggestions. The exchange is cooperative, low‑stakes, and focused on relationship maintenance and cue‑reading rather than performance evaluation.', 'explanation': ""The setup places a junior‑mentor pair in a supportive debrief where both pursue the shared goal of avoiding social rejection. [Agent 1] tests acceptance through mild self‑disclosure and sensitivity to interpersonal cues, while [Agent 2] proactively signals inclusion via normalization and softening disagreement. This enables examination of attribution processes: [Agent 1] may seek situational explanations for lukewarm team reactions (e.g., timing, norms) instead of dispositional self‑blame, and [Agent 2] can steer attributions toward situational factors while affirming [Agent 1]'s value. The ease level is maintained by aligned goals, a cooperative mentoring context, and low conflict potential.""}"
"{'Abbreviation': 'Wisdom', 'Full label': '""Having wisdom""'}",Information Acquisition,"To pursue the shared goal of having wisdom, the interaction centers on drawing out and refining understanding through dialogue. One agent uses questioning to uncover assumptions; the other demonstrates humility and reflective elaboration, enabling both to gain deeper insight via conversational behavior.","Elicit the other’s underlying assumptions through open-ended, nonjudgmental questions that surface deeper reasoning.","Model epistemic humility by openly stating uncertainties and revising claims in response to probing, inviting the other to consider nuance.","""Having wisdom""",Socratic Inquirer,Reflective Mentor,"{'scenario_context': '[Agent 1] and [Agent 2] meet for a brief debrief after a workshop on judgment under uncertainty. They agree to examine a concrete case: whether to endorse a colleague’s confident recommendation to adopt a new curriculum when early results are mixed. Their shared aim is to cultivate wisdom about how to evaluate claims and advice. [Agent 1], acting as a Socratic Inquirer, will pose open, nonjudgmental questions to surface [Agent 2]’s implicit criteria for trust and evidence, including how expertise, sample size, incentives, and prior beliefs are weighed. [Agent 2], acting as a Reflective Mentor, will make uncertainties explicit, offer tentative reasons, and revise or qualify their stance as questions reveal hidden assumptions. The setting is cooperative and low stakes, with the practical outcome being a simple checklist they can use in future evaluations.', 'explanation': 'The scenario is easy because both agents share a cooperative aim and face no external pressure. It sets up attribution-relevant dynamics: [Agent 1] elicits potential dispositional attributions (e.g., habitual deference to authority, preference for simplicity) versus situational attributions (e.g., publication bias, organizational incentives) underlying [Agent 2]’s initial position. [Agent 2] models epistemic humility by acknowledging uncertainty and updating in response to probing, inviting nuance rather than defensiveness. This allows observation of how open-ended questioning and humility interact to shape reasoning and information acquisition, aligning with the goal of having wisdom.'}"
"{'Abbreviation': 'Good parent', 'Full label': '""Being a good parent (teaching, providing, transmitting values)""'}",Cooperation,"Cooperation best fits co-parents coordinating how to teach, provide, and transmit values. The goals focus on complementary interaction styles—one structures joint standards, the other sustains emotional openness—so they can collaborate effectively.",Steer the partner’s talk toward shared routines and consistent consequences by reframing topics with 'we' language and principle-based summaries before suggesting next steps.,Maintain an empathy-first frame by validating the partner’s concerns and inviting feeling-focused talk before engaging with rule proposals.,"""Being a good parent (teaching, providing, transmitting values)""",Structure-focused co-parent,Emotion-focused co-parent,"{'scenario_context': 'Early evening after their 6-year-old has gone to bed. A brief note from the teacher reports a playground shove during a sharing conflict, and bedtime has been slipping due to tablet requests. [Agent 1] (structure-focused co-parent) and [Agent 2] (emotion-focused co-parent) sit down for a 20-minute check-in to align on how to respond tomorrow and set a calm weekend plan. Both want to present a united message to their child and the teacher, settle on an after-school routine, and agree on how to handle pushback without mixed signals. [Agent 1] plans to steer the discussion toward shared routines and consistent consequences by using we-language and principle-based summaries before suggesting next steps. [Agent 2] plans to begin by validating concerns and inviting brief feeling-focused talk—how the child and each of them felt—before considering specific rules. The tone is cooperative, with phones set aside and an explicit intent to avoid blame.', 'explanation': 'The setup frames a cooperative co-parenting conversation with a clear shared goal (teaching and transmitting values) and complementary individual goals (structure-first vs empathy-first sequencing). Dispositional tendencies are made salient: [Agent 1] is inclined toward principle-based, consistency-focused attributions and action; [Agent 2] toward situational and emotional attributions that contextualize behavior. The situation (teacher note, recent bedtime friction) is low-stakes and time-bounded, making alignment easy. This invites exploration of how each agent’s attributional focus guides the order and framing of solutions, while still converging on a joint plan.'}"
"{'Abbreviation': 'Defense vs. criticism', 'Full label': '""Defending myself against others’ criticisms or attacks""'}",Conflict Resolution,"Defending against criticisms is inherently a conflict-laden interaction, so Conflict Resolution fits. The employee’s goal centers on attribution reframing (from dispositional to situational), while the supervisor’s goal centers on legitimizing critiques through procedures—two distinct social intentions measurable via conversational moves and tone.","Recast the supervisor’s criticisms as situational and behavior-specific by asking for concrete examples, acknowledging actionable points, and explicitly resisting global trait labels.","Signal fairness and legitimacy by grounding critiques in documented expectations, using neutral process language, and redirecting personal challenges to policy and evidence.","""Defending myself against others’ criticisms or attacks""",Accused employee,Critical supervisor,"{'scenario_context': 'A scheduled 20-minute feedback meeting takes place after an anonymous team retrospective included comments labeling [Agent 1] as ""unreliable"" and ""defensive."" In a quiet conference room, both agree the goal is to address the criticisms fairly, separate vague trait labels from specific behaviors, and decide on clear next steps. [Agent 2], the supervisor, brings the role description, team SLA, incident notes about a missed client follow-up, and task timestamps. [Agent 1], the accused employee, brings their calendar and email threads showing workload spikes and last-minute scope changes. The tone is cooperative and process-focused: they will review each comment, translate it into behavior tied to expectations, identify situational constraints, and document any agreed actions. [Agent 1] plans to ask for concrete examples, acknowledge actionable points, and resist global trait labels. [Agent 2] plans to use neutral, policy-based language, ground critiques in documentation, and redirect personal challenges back to evidence and procedure.', 'explanation': 'The setup aligns with an easy, cooperative conflict-resolution context where both agents share a goal of addressing criticisms fairly. It highlights attribution processes: [Agent 1] aims to reframe global dispositional judgments into specific, situationally informed behaviors, while [Agent 2] aims to signal fairness by tying feedback to documented expectations and evidence. This structure reduces personal blame, supports controllable, behavior-focused change, and facilitates alignment between individual and shared goals.'}"
"{'Abbreviation': 'Contribution', 'Full label': '""Making a lasting contribution to society""'}",Cooperation,Cooperation best fits a shared aim of making a lasting contribution. One agent seeks to motivate and align; the other tests adaptability and transparency—complementary intentions that shape collaborative behavior.,Energize the other’s intrinsic motivation by affirming shared purpose and reflecting their values so they spontaneously articulate avenues for collaboration in their own words.,Gauge the other’s adaptability by surfacing concrete constraints and attending to whether their replies integrate feedback with transparency and calm.,"""Making a lasting contribution to society""",Community Organizer,Impact Funder,"{'scenario_context': '[Agent 1], a Community Organizer who recently piloted a resident-led skill-exchange program, sits down with [Agent 2], an Impact Funder focused on durable, community-owned outcomes, for a 20-minute meeting after a civic innovation panel. They are exploring whether to scale the pilot citywide. Their shared goal is to design a partnership that makes a lasting contribution to society by strengthening community capacity in a way that can sustain itself beyond initial funding. The tone is cooperative and low-stakes; a small planning grant is possible if alignment is clear. [Agent 1] plans to affirm shared purpose, reflect back [Agent 2]’s values (sustainability, dignity, and evidence), and invite [Agent 2] to articulate where collaboration feels most natural. [Agent 2] will surface specific constraints—measurement standards, a 12-month runway, co-funding expectations, and equitable reach—and observe whether [Agent 1] integrates this feedback with transparency and calm. Both expect to leave with one or two concrete next steps if their expectations align.', 'explanation': 'This setup is easy-level: goals are naturally aligned, stakes are moderate, and both agents are predisposed to cooperate. It creates clear opportunities for attribution: [Agent 2] will infer whether [Agent 1]’s adaptability and accountability are dispositional traits versus situational performances when constraints are introduced; [Agent 1] will gauge whether [Agent 2]’s curiosity and supportiveness reflect stable values or merely institutional requirements. [Agent 1]’s affirming, values-reflective approach is designed to elicit [Agent 2]’s intrinsic motivations in their own words, while [Agent 2]’s concrete constraints make situational factors explicit, allowing each to parse behavior as disposition- versus situation-driven in a cooperative context.'}"
"{'Abbreviation': 'Achieving salvation', 'Full label': '""Achieving salvation""'}",Information Provision,"Achieving salvation often hinges on understanding doctrines, practices, and meanings. The interaction naturally centers on one agent conveying guidance and the other interpreting and testing it, so Information Provision best fits.","Guide the other’s understanding by offering patient, nonjudgmental explanations that reduce anxiety and invite more candid disclosure of doubts.",Evaluate the guide’s credibility by posing concrete moral concerns and observing whether responses are coherent and compassionate.,"""Achieving salvation""",Spiritual Mentor,Questioning Seeker,"{'scenario_context': '[Agent 1], a Spiritual Mentor known for calm, nonjudgmental guidance, meets privately with [Agent 2], a conscientious Questioning Seeker who tends to worry about moral worthiness. They agree on a focused Q&A about what ""achieving salvation"" entails. Ground rules are set: confidentiality, no pressure to commit, and space for doubt. [Agent 2] brings concrete moral dilemmas (e.g., harm done unintentionally, persistent doubt despite effort, the fate of sincere people in other traditions) to test whether explanations are coherent and compassionate. [Agent 1] plans to normalize doubt, clarify core teachings step-by-step, and invite [Agent 2] to share assumptions and feelings to reduce anxiety. The tone is cooperative and time is sufficient, with both aiming for clearer understanding of next steps toward salvation.', 'explanation': ""This setup emphasizes information provision in a low-pressure, cooperative exchange. [Agent 1]'s dispositional patience and empathy align with [Agent 2]'s goal of evaluating credibility through concrete questions. Situational factors (privacy, clear norms, adequate time) support candid disclosure and gentle guidance, making the difficulty level Easy. The scene invites attribution processes: whether [Agent 1] interprets [Agent 2]'s doubts as situational anxiety rather than a character flaw, and whether [Agent 2] attributes [Agent 1]'s responses to genuine compassion and coherence rather than dogmatism.""}"
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}",Relationship Building,"Belonging hinges on forming affiliative ties and mutual rapport, which fits the Relationship Building category. The agents’ goals focus on how they shape one another’s tone, disclosures, and inclusion signals in conversation.",Elicit warmth and inclusive cues from the insider by sharing relatable vulnerabilities and mirroring their positive tone to co-create rapport.,"Gauge fit and signal inclusion by gently probing for shared norms and, when alignment appears, responding with welcoming in-group language and validation.","""Belonging to social groups, feeling like part of a group""",Prospective Member,Group Insider,"{'scenario_context': 'At a low-key newcomer night for a neighborhood book club, [Agent 1] (Prospective Member) and [Agent 2] (Group Insider) step aside for a brief one-on-one during mingling. The group has a stated norm of inclusive, no-pressure discussion and rotating hosts, and [Agent 2] is informally tasked with welcoming newcomers. [Agent 1] aims to feel out belonging by mirroring [Agent 2]’s warm tone and sharing light, relatable vulnerabilities (new to the area, inconsistent reading pace) to invite supportive signals. [Agent 2] intends to gauge fit by gently probing for alignment with core norms (listening etiquette, casual commitment, respectful debate) and, upon perceiving alignment, to use we-language and affirmations that mark in-group status. Both are oriented toward a friendly, low-stakes interaction that clarifies expectations and co-creates rapport. The setting supports easy cooperation: time is unhurried, the group’s inclusive stance is salient, and there are clear next steps for joining.', 'explanation': 'This setup makes the shared goal—belonging—salient while keeping barriers low. Dispositionally, [Agent 1] is affiliation-seeking and prepared to self-disclose modestly; [Agent 2] is agreeable and communal, primed to include. Situationally, the event provides clear norms, role clarity, and positive cues that reduce threat and ambiguity. The interaction invites attribution processes: [Agent 1] tests whether warm responses stem from genuine group norms (situational) versus [Agent 2]’s personal friendliness (dispositional), while [Agent 2] infers [Agent 1]’s fit from expressed values and tone. The goals are easily aligned and attainable, making it an Easy scenario that foregrounds inclusive signaling, norm probing, and validation.'}"
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents, siblings, grandparents""'}",Relationship Maintenance,"Relationship Maintenance best fits because the shared aim is to sustain and deepen existing family bonds. One agent models vulnerability to invite reciprocity, while the other safeguards comfort and validates, balancing influence with responsiveness.","Invite reciprocal emotional disclosure by sharing concrete, vulnerable family memories and gently prompting the other in a warm, nonpressuring tone.","Lower the other's defensiveness and deepen understanding by reflecting their feelings and acknowledging boundaries, signaling acceptance over persuasion.","""Feeling close to my parents, siblings, grandparents""",Vulnerable Storyteller,Empathic Reflector,"{'scenario_context': 'A scheduled check-in pairs [Agent 1] (Vulnerable Storyteller) with [Agent 2] (Empathic Reflector) for a brief, low-pressure conversation focused on feeling closer to parents, siblings, and grandparents. Coming off recent light contact with family, they agree to a simple structure: [Agent 1] will share a couple of concrete, personal family memories and offer open, nonpressuring prompts; [Agent 2] will reflect feelings, acknowledge any boundaries, and validate whatever level of detail is comfortable. They aim to end with one small, manageable action each to support closeness (such as a message or short call), keeping the tone collaborative and gentle.', 'explanation': 'Easy difficulty is ensured by aligned intentions, a cooperative format, and a clear, consent-based structure that minimizes pressure. Dispositional-situational dynamics are foregrounded: [Agent 1] models vulnerability through specific memories (inviting situational understanding rather than blame), while [Agent 2] reduces defensiveness by mirroring affect and normalizing limits (countering fixed dispositional judgments like being ""not open""). This supports reciprocal disclosure and an attainable, shared next step toward family closeness.'}"
