base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,difficulty
"{'Abbreviation': 'Firm values', 'Full label': '""Having firm values""'}",Identity Recognition,"The shared goal 'Having firm values' is best aligned with the 'Identity Recognition' category, as it involves agents asserting, understanding, and negotiating their core beliefs and principles. This creates a scenario where dispositional traits and situational factors interact, as one agent (the Advocate) is motivated to persuade and align the other with their values, while the second agent (the Questioner) is driven to critically examine and understand the depth and consistency of those same values. Their personal goals are distinct, measurable through conversational behavior (e.g., persuasive language vs. probing questions), and reflect a fundamental social intention to influence and understand, respectively.",To persuade the other agent to adopt their value system as the correct one.,To critically examine the other agent's values for consistency and depth.,"""Having firm values""",Moral Advocate,Skeptical Inquirer,"{'scenario_context': ""Two agents are participating in a structured community ethics workshop where attendees are encouraged to discuss their personal values. They are seated at a small table in a quiet corner of the room, each having just finished writing a brief statement about their core principles. Their shared task is to have a constructive conversation that demonstrates firm values. [Agent 1], who has prepared a clear and passionate argument, seeks to persuade their partner. [Agent 2], having read their partner's statement, is ready to engage with it through a series of logical questions."", 'explanation': ""This context establishes a cooperative, low-stakes environment (Easy difficulty) where the shared goal of 'having firm values' is the explicit purpose of the workshop. The roles are naturally integrated: the Moral Advocate ([Agent 1]) is primed to advocate, and the Skeptical Inquirer ([Agent 2]) is primed to examine, both within the safe bounds of the exercise. Their individual goals are directly aligned with the workshop's intent, making them easily attainable through simple discussion.""}",Easy
"{'Abbreviation': 'Aspirations', 'Full label': '""Achieving my aspirations""'}",Relationship Building,"The shared goal 'Achieving my aspirations' is fundamentally about personal growth and ambition, which often requires external support, guidance, and validation. The 'Relationship Building' category best aligns with this, as achieving aspirations frequently involves forming new connections to gain mentorship, encouragement, or collaborative opportunities. This context sets the stage for two distinct interpersonal dynamics: one agent seeking guidance and validation, and the other offering support and direction.",To seek and secure the other's validation of their plan as a viable path to success.,To guide the other toward a more pragmatic and structured approach to their aspirations.,"""Achieving my aspirations""",Aspiring Visionary,Pragmatic Mentor,"{'scenario_context': ""[Agent 1], an aspiring visionary, has arranged a meeting with [Agent 2], their pragmatic and experienced mentor, at a quiet corner of a local coffee shop. [Agent 1] has drafted a bold, ambitious plan for a new creative venture and is eager to present it. Their shared goal is to achieve their aspirations, but [Agent 1]'s personal goal is to secure [Agent 2]'s enthusiastic validation that their plan is a viable path to success. [Agent 2]'s personal goal is to carefully guide [Agent 1] toward a more pragmatic and structured approach, ensuring the aspirations are grounded in reality."", 'explanation': ""This context establishes a cooperative, low-tension 'Easy' scenario. The shared goal of achieving aspirations is clear, and the agents' individual goals—seeking validation and offering guidance—are naturally aligned within a mentor-mentee relationship. The coffee shop setting is a common, realistic space for such a discussion, focusing the scene on the interpersonal dynamic rather than complex environmental details.""}",Easy
"{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Relationship Building,"The shared goal 'Accepting life’s limitations' aligns most closely with Relationship Building. This category focuses on developing mutual understanding and emotional support, which is essential when confronting life's inevitable constraints. The scenario involves two agents with complementary approaches: one seeks validation for their perspective while the other aims to provide pragmatic reframing. Their personal goals are designed to be interactionally measurable through conversational behavior—Agent 1's goal manifests through seeking reassurance and emotional alignment, while Agent 2's goal appears through practical guidance and perspective-shifting. The roles ('Seeker of Validation' and 'Pragmatic Guide') reflect their distinct social positions and motivations within this context.",To seek emotional validation and reassurance from the other agent that their feelings about life's limitations are understood and accepted.,To encourage the other agent to reframe their perspective on limitations by highlighting potential opportunities or alternative viewpoints.,"""Accepting life’s limitations""",Seeker of Validation,Pragmatic Guide,"{'scenario_context': '[Agent 1] and [Agent 2] are colleagues on their lunch break in a quiet corner of the office cafeteria. [Agent 1], feeling disheartened after missing a promotion, initiates a conversation about their frustration with career ceilings and the feeling of being stuck. [Agent 2], who has a reputation for being practical and solution-oriented, listens attentively. Their shared goal is to accept life’s limitations, but [Agent 1] personally seeks emotional validation for their disappointment, while [Agent 2] aims to guide the conversation toward finding a positive, alternative perspective on the situation.', 'explanation': ""This context is 'Easy' because the setting is a cooperative, low-stakes lunch break between colleagues. The shared goal of acceptance is naturally aligned with a common personal experience like a career setback. [Agent 1]'s need for validation is a simple, direct emotional goal, and [Agent 2]'s role as a pragmatic guide is a common and socially acceptable way to offer support, making the goals easily attainable through a calm conversation.""}",Easy
"{'Abbreviation': 'Having friends', 'Full label': '""Having friends I love, close companionship""'}",Relationship Maintenance,"The shared goal 'Having friends I love, close companionship' aligns most closely with Relationship Maintenance, as it focuses on preserving and deepening existing emotional bonds rather than initiating new ones. For this scenario, Agent 1's personal goal is to seek validation of their importance in the friendship, which manifests through conversational behaviors like fishing for compliments or reassurance. Agent 2's personal goal is to gently encourage emotional openness, demonstrated through supportive questioning and creating a safe space for vulnerability. Their roles—'The Needy Friend' and 'The Supportive Confidant'—complement these goals and create a dynamic where both dispositional traits and situational factors influence their interaction.",To seek validation that they are a valued and important part of the friendship,To gently encourage the other to open up emotionally and share deeper feelings,"""Having friends I love, close companionship""",The Needy Friend,The Supportive Confidant,"{'scenario_context': '[Agent 1] and [Agent 2] are close friends meeting for their regular coffee date at a quiet, familiar cafe. The shared goal for both is to maintain and nurture their valued friendship through companionship. [Agent 1], feeling insecure, has come to the meeting hoping to receive explicit reassurance from [Agent 2] that they are a cherished and important friend. [Agent 2], who is perceptive and caring, has noticed [Agent 1] has been somewhat distant lately and hopes to create a safe, comfortable space for them to share their feelings and deepen their emotional connection.', 'explanation': ""This context establishes a simple, cooperative setting (an easy, familiar meeting) where both agents' individual goals are naturally aligned with the shared relationship goal. [Agent 1]'s need for validation is a clear expression of their role, while [Agent 2]'s goal to encourage openness fits their supportive role, creating a straightforward dynamic for the subsequent conversation.""}",Easy
"{'Abbreviation': 'Seeking equality', 'Full label': '""Being involved in seeking equality, brotherhood, equal opportunity for all""'}",Cooperation,"The shared goal of 'seeking equality, brotherhood, equal opportunity for all' aligns most closely with the 'Cooperation' category, as it inherently involves working together toward a common, prosocial objective. To create a dynamic interaction, the agents are assigned complementary roles and personal goals. The Advocate's goal is to persuade and inspire commitment, while the Skeptic's goal is to critically evaluate the plan's feasibility. This setup allows for an analysis of how dispositional optimism and pragmatism interact within a cooperative framework, driving a conversation that balances idealism with practical concerns.","To persuade the other agent to fully commit to a specific, actionable plan for promoting equality.",To critically evaluate the proposed plan's feasibility and ensure risks are mitigated before agreeing.,"""Being involved in seeking equality, brotherhood, equal opportunity for all""",Idealistic Advocate,Pragmatic Evaluator,"{'scenario_context': ""[Agent 1] and [Agent 2] are members of a university student union's diversity and inclusion committee. They are meeting in a quiet corner of the campus library to finalize the details for an upcoming 'Equality Week' – a series of events aimed at promoting understanding and equal opportunity for all students on campus. Their shared goal is to create a successful and impactful event. [Agent 1], the idealistic advocate, has drafted a detailed proposal for a new peer-mentorship program to be launched during the week and is eager to get it approved. [Agent 2], the pragmatic evaluator, has the proposal and is reviewing the logistical and budgetary requirements before the plan can be formally submitted to the committee for a vote."", 'explanation': ""This context establishes a simple, cooperative setting (a university committee) where both agents share the overarching goal of promoting equality through a specific event. Their individual goals are naturally integrated into this process: one agent is tasked with creating the plan (persuasion), and the other is tasked with reviewing it (evaluation). The low-stakes, collaborative environment of a student committee aligns with the 'Easy' difficulty, as there is no inherent high tension or major conflict, making the alignment of their goals readily attainable.""}",Easy
"{'Abbreviation': 'Looking distinguished', 'Full label': '""Carrying myself well, looking distinguished""'}",Identity Recognition,"The shared goal 'Carrying myself well, looking distinguished' primarily concerns how individuals present themselves and wish to be perceived by others. This aligns most closely with the 'Identity Recognition' category, as it involves agents seeking validation, acknowledgment, or a specific impression of their social identity and personal qualities from their interaction partner.",To elicit compliments and validation from the other agent regarding their appearance and demeanor.,"To subtly challenge the other agent's projected image by offering measured, constructive feedback rather than outright praise.","""Carrying myself well, looking distinguished""",Image-Conscious Peer,Candid Confidant,"{'scenario_context': ""[Agent 1] and [Agent 2] are at a formal alumni networking event for their university. [Agent 1], who has taken great care with their attire and posture, approaches [Agent 2] near the refreshments. Their shared goal is to project a distinguished and polished image to their peers and potential connections. [Agent 1]'s personal goal is to receive direct compliments and validation for their appearance and sophisticated demeanor. [Agent 2]'s personal goal is to support their friend's confidence while offering subtle, constructive observations to help them appear more genuinely polished, rather than simply offering empty praise."", 'explanation': ""The alumni event provides a natural, low-stakes setting where projecting a distinguished image is a clear shared goal. The 'Easy' difficulty is maintained by framing the agents as peers with a fundamentally cooperative relationship; [Agent 2]'s goal to offer feedback is rooted in a desire to help, not to undermine, making the conflict between their goals mild and easily resolvable. The context is psychologically grounded as it taps into common social anxieties and the role of a confidant in managing self-presentation.""}",Easy
"{'Abbreviation': 'Things in order', 'Full label': '""Keeping things in order (my desk, office, house, etc.)""'}",Cooperation,"The shared goal 'Keeping things in order' is fundamentally a cooperative task that requires joint effort and coordination. The social goal category 'Cooperation' best captures this, as it involves working together harmoniously to achieve a common objective. The personal goals are designed to reflect distinct social intentions that influence the interaction: one agent seeks validation for their efforts to maintain a positive self-image within the partnership, while the other aims to subtly guide the process to ensure their preferred standard of order is met, reflecting a more controlling disposition. The roles of 'Validating Partner' and 'Subtle Director' align with these goals, placing the agents in complementary social positions.",To seek acknowledgment from the other agent that their contribution to maintaining order is valuable and appreciated.,To gently steer the organizing process according to their own preferred methods without appearing overtly critical.,"""Keeping things in order (my desk, office, house, etc.)""",Validating Partner,Subtle Director,"{'scenario_context': ""Two colleagues, [Agent 1] and [Agent 2], are tasked with reorganizing a shared, chronically cluttered office supply closet before an important client visit. The space is small and the disarray is significant, requiring a coordinated effort under a tight deadline. Both agents have a shared, urgent goal of creating a pristine and functional space, but [Agent 1]'s personal goal is to have their meticulous efforts and past attempts to organize the closet explicitly acknowledged, while [Agent 2]'s personal goal is to implement a new, complex labeling system they've designed without directly criticizing [Agent 1]'s previous methods."", 'explanation': ""This scenario is 'Hard' because the high-stakes pressure of the client visit and the physical constraints of the small, messy closet create inherent tension. The shared goal is difficult to achieve due to the scale of the task and the time constraint. The individual goals are in subtle conflict: [Agent 1]'s need for validation is vulnerable to being overlooked in the rush, while [Agent 2]'s desire to introduce a new system risks being perceived as a critique of [Agent 1]'s past work, making their goal of appearing non-critical exceptionally challenging to navigate.""}",Hard
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents, siblings, grandparents""'}",Relationship Maintenance,"The shared goal 'Feeling close to my parents, siblings, grandparents' is fundamentally about fostering and maintaining emotional intimacy and connection within a family unit. This aligns most strongly with the 'Relationship Maintenance' category, as it focuses on preserving and strengthening existing bonds rather than building new ones or resolving conflicts. The personal goals are designed to reflect distinct social intentions: one agent seeks to affirm the family's positive identity to foster closeness, while the other seeks to understand and validate the other's emotional state to achieve the same shared goal. Their roles as 'Supportive Confidant' and 'Empathic Listener' logically support these goals and the context of a personal family conversation.",To affirm the family's positive qualities and shared history to make the other feel a stronger sense of belonging and closeness.,To elicit and validate the other's personal feelings about the family to create a deeper emotional connection.,"""Feeling close to my parents, siblings, grandparents""",Supportive Confidant,Empathic Listener,"{'scenario_context': ""[Agent 1] and [Agent 2], two adult siblings, are sorting through old family belongings in their late grandparents' attic, a task they must complete before the house is sold. The shared goal of feeling close to their family is challenged by the palpable tension of a recent, unresolved argument about the division of sentimental heirlooms. The dusty, emotionally charged space is filled with memories, but also with the unspoken hurt and competition that has strained their relationship."", 'explanation': ""This scenario is 'Hard' because the shared goal of fostering closeness is directly opposed by the situational tension of a recent conflict and the inherently sensitive task of dividing a family legacy. [Agent 1]'s goal to affirm positive family qualities is difficult when recent events highlight negativity, and [Agent 2]'s goal to validate personal feelings is complicated by the risk of reopening the argument. The setting creates a realistic, high-stakes interpersonal challenge where achieving their individual and shared goals requires navigating significant emotional obstacles.""}",Hard
"{'Abbreviation': 'Ethical', 'Full label': '""Being an ethical person""'}",Identity Recognition,"The shared goal 'Being an ethical person' is fundamentally about aligning one's actions with a moral code. This aligns most strongly with the 'Identity Recognition' category, as the agents are negotiating and validating their own and each other's ethical identities through their interaction. Their personal goals are designed to be distinct yet complementary social intentions: one agent seeks to affirm its ethical stance by gaining validation, while the other seeks to understand the ethical framework behind the other's actions. Their roles, 'The Moral Affirmer' and 'The Principled Inquirer', logically support these goals and the social context of discussing ethics.",To have their ethical choices and reasoning validated by the other agent.,To probe and understand the depth and consistency of the other agent's ethical principles.,"""Being an ethical person""",The Moral Affirmer,The Principled Inquirer,"{'scenario_context': ""[Agent 1] and [Agent 2] are members of a university ethics committee reviewing a complex case involving a promising student athlete, [Name Redacted], who was caught plagiarizing a significant portion of a final paper. The committee must decide whether to recommend expulsion, which would also terminate the student's scholarship and athletic career, or a lesser penalty. [Agent 1] has drafted a preliminary recommendation for expulsion, arguing it is the only ethically consistent choice. [Agent 2] has requested this meeting to discuss the recommendation before the full committee vote. They sit across a table in a quiet conference room, the case file open between them."", 'explanation': ""The scenario establishes a high-stakes, realistic context where the shared goal of 'being an ethical person' is directly tested by a difficult decision with serious consequences. [Agent 1]'s personal goal (validation of their ethical reasoning) is challenged by [Agent 2]'s role as an inquisitor probing for consistency, creating inherent tension. The 'Hard' difficulty arises from the moral dilemma itself and the interpersonal dynamic where one agent's stance is under direct scrutiny by the other, making validation and understanding difficult to achieve.""}",Hard
"{'Abbreviation': 'Erotic relationship', 'Full label': '""Having an erotic relationship""'}",Relationship Building,"The shared goal 'Having an erotic relationship' inherently involves building a deep, intimate connection between two individuals. This aligns most closely with the 'Relationship Building' category, as it focuses on developing emotional bonds, trust, and mutual understanding, which are foundational to an erotic relationship. The personal goals are designed to reflect distinct social intentions: one agent seeks to build trust through emotional openness, while the other aims to understand compatibility through subtle cues. These goals are interactionally measurable through conversational behavior, such as tone, responsiveness, and depth of dialogue, without relying on explicit agreements or external actions.",To build trust by gradually revealing personal vulnerabilities and emotional depth.,To assess emotional and physical compatibility through subtle conversational cues and responsiveness.,"""Having an erotic relationship""",Emotional Initiator,Compatibility Assessor,"{'scenario_context': ""[Agent 1] and [Agent 2] are on their third date, having dinner at an intimate, softly lit restaurant. They have both expressed a strong mutual attraction and a shared desire to explore a deeper, erotic relationship. [Agent 1], feeling a growing connection, seeks to build trust by carefully revealing a past emotional wound that made them guarded about intimacy. [Agent 2], while attracted, is acutely aware of past relationships that failed due to incompatibility and is intently observing [Agent 1]'s reactions for signs of emotional availability and physical chemistry, fearing another misstep."", 'explanation': ""The scenario is set to 'Hard' difficulty because the goals are in inherent tension. [Agent 1]'s strategy of building trust through vulnerability is high-risk, as revealing past wounds could be perceived as emotional baggage, directly conflicting with [Agent 2]'s goal of assessing for compatibility and responsiveness. The pressure of a third date and the explicit shared goal of an erotic relationship heightens the stakes, making the conversation a delicate balancing act where a misstep by either agent could jeopardize the entire endeavor.""}",Hard
