base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role
"{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""'}",Cooperation,"The shared goal 'Being committed to a cause' aligns best with 'Cooperation' as the agents are working together towards a common environmental objective. However, their personal goals reflect different social intentions within this cooperation: one agent seeks to inspire and motivate through emotional connection (relationship building), while the other aims to strategically persuade through logical argumentation (information provision). This creates an interesting dynamic where both work towards the same cause but through distinct interpersonal approaches.","To inspire the other agent through emotional appeals and personal stories about environmental loss, making them feel more deeply connected to the cause.","To persuade the other agent through logical arguments and factual evidence about environmental impact, making them more analytically convinced of the cause's importance.","""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""",Passionate Advocate,Strategic Planner
"{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing, entertaining others""'}",Relationship Building,"The shared goal of 'Amusing, entertaining others' aligns most closely with the 'Relationship Building' category. This is because humor and entertainment are often used as social tools to foster connection, rapport, and positive feelings between individuals, which is the core of relationship building. The personal goals are designed to reflect distinct social intentions: one agent aims to actively influence the social atmosphere by initiating humor, while the other seeks to understand and validate the first agent's efforts through positive reinforcement. Their roles as 'The Comedian' and 'The Appreciative Audience' logically support these goals and the shared objective.",To establish a lighthearted and jovial social atmosphere by initiating humorous exchanges.,To validate and encourage the other's attempts at humor through positive feedback and engagement.,"""Amusing, entertaining others""",The Comedian,The Appreciative Audience
"{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being, avoiding pain""'}",Conflict Resolution,"The shared goal 'Protecting my well-being, avoiding pain' aligns most closely with 'Conflict Resolution' as it involves managing interpersonal tensions that could threaten individual well-being. Agent 1's personal goal focuses on asserting boundaries to prevent emotional harm, while Agent 2's goal centers on de-escalating tension to maintain harmony. Their roles as 'Assertive Defender' and 'Harmony Seeker' reflect complementary approaches to resolving conflict while protecting their respective well-being.",To assert personal boundaries firmly to prevent the other from causing emotional distress.,To de-escalate potential tension by adopting a conciliatory tone to avoid reciprocal harm.,"""Protecting my well-being, avoiding pain""",Assertive Defender,Harmony Seeker
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others, cooperating, giving support""'}",Cooperation,"The shared goal 'Helping others, cooperating, giving support' aligns most directly with the 'Cooperation' category, as it involves working together toward a common beneficial outcome. However, to create a rich interpersonal dynamic, the agents' personal goals are designed to reflect different motivations within this cooperative framework. Agent 1's goal focuses on providing emotional support and validation (a form of giving support), while Agent 2's goal focuses on understanding the other's perspective to offer appropriate help (a form of information acquisition for cooperation). This creates a scenario where both agents are cooperating but through distinct interpersonal approaches that can lead to interesting attributions about each other's behavior.",To make the other agent feel emotionally validated and supported through attentive listening and affirming responses.,To identify the specific type of support the other agent needs by carefully probing their concerns and emotional state.,"""Helping others, cooperating, giving support""",Supportive Listener,Needs Assessor
"{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive, exciting, fascinating, impressing others""'}",Identity Recognition,"The shared goal 'Being socially attractive, exciting, fascinating, impressing others' is best aligned with the 'Identity Recognition' category. This category focuses on individuals seeking to be seen, validated, and appreciated for a specific identity or set of qualities they wish to project. The personal goals are designed to reflect distinct social intentions: one agent aims to actively construct and project a fascinating persona, while the other aims to validate and affirm that projected identity. The roles of 'The Charmer' and 'The Admirer' logically support these goals within a social context where mutual impression management is key.",To be perceived as fascinating and impressive by steering the conversation towards topics that showcase their unique knowledge and experiences.,"To validate the other's projected fascinating identity by expressing genuine interest, asking follow-up questions, and offering compliments.","""Being socially attractive, exciting, fascinating, impressing others""",The Charmer,The Admirer
"{'Abbreviation': 'Cared for', 'Full label': '""Being taken care of""'}",Relationship Building,"The shared goal 'Being taken care of' aligns most closely with 'Relationship Building' as it involves establishing a supportive dynamic where one party provides care and the other receives it, forming a foundational interpersonal connection. Agent 1's personal goal focuses on establishing themselves as a competent caregiver to gain trust, while Agent 2's goal is to assess the sincerity of the offered care to feel emotionally secure. Their roles as 'Supportive Caregiver' and 'Vulnerable Recipient' create a complementary dynamic for exploring this care-based relationship.",To establish oneself as a competent and trustworthy caregiver to gain the other's reliance and appreciation.,To assess the sincerity and quality of the care being offered to feel emotionally secure and understood.,"""Being taken care of""",Supportive Caregiver,Vulnerable Recipient
"{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Relationship Building,"The shared goal 'Accepting life’s limitations' aligns most closely with Relationship Building. This category focuses on developing mutual understanding and emotional support, which is essential when confronting life's inevitable constraints. The scenario involves two agents with complementary approaches: one seeks validation for their perspective while the other aims to provide pragmatic reframing. Their personal goals are designed to be interactionally measurable through conversational behavior—Agent 1's goal manifests through seeking reassurance and emotional alignment, while Agent 2's goal appears through practical guidance and perspective-shifting. The roles ('Seeker of Validation' and 'Pragmatic Guide') reflect their distinct social positions and motivations within this context.",To seek emotional validation and reassurance from the other agent that their feelings about life's limitations are understood and accepted.,To encourage the other agent to reframe their perspective on limitations by highlighting potential opportunities or alternative viewpoints.,"""Accepting life’s limitations""",Seeker of Validation,Pragmatic Guide
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals, fighting for things I believe in""'}",Identity Recognition,"The shared goal 'Pursuing my ideals, fighting for things I believe in' is best aligned with the 'Identity Recognition' category. This is because the core of this pursuit is often about having one's deeply held values and beliefs seen, validated, and acknowledged by others. The interaction focuses on whether each agent's personal ideals are recognized by the other, creating a scenario ripe for exploring attribution theory as agents interpret each other's support or opposition through their own dispositional and situational lenses.",To persuade the other agent to validate their core ideal as morally correct.,To assert their own contrasting ideal without directly invalidating the other's perspective.,"""Pursuing my ideals, fighting for things I believe in""",The Idealist,The Pragmatist
"{'Abbreviation': 'Flexibility', 'Full label': '""Having flexibility of viewpoint, being broad-minded, open""'}",Information Acquisition,"The shared goal of 'Having flexibility of viewpoint, being broad-minded, open' aligns most closely with the 'Information Acquisition' category. This is because the core of being open-minded involves actively seeking out and considering new information, perspectives, and evidence that may challenge one's own pre-existing beliefs. This process is fundamental to achieving genuine flexibility of thought. Agent 1's personal goal is to actively solicit and understand the other's differing perspective, embodying the role of an Inquisitive Learner. Agent 2's personal goal is to cautiously test the other's receptiveness before sharing a vulnerable perspective, embodying the role of a Cautious Contributor. Their goals are distinct yet complementary, focusing on the seeking and tentative offering of information, which drives the interaction toward the shared goal.","To actively solicit and understand the other agent's differing perspective on a contentious issue by asking probing, open-ended questions that demonstrate genuine curiosity.","To cautiously test the other agent's openness and receptivity by introducing a novel but vulnerable perspective in a gradual, measured way, gauging reactions before elaborating further.","""Having flexibility of viewpoint, being broad-minded, open""",Inquisitive Learner,Cautious Contributor
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents, siblings, grandparents""'}",Relationship Maintenance,"The shared goal 'Feeling close to my parents, siblings, grandparents' is fundamentally about fostering and maintaining emotional intimacy and connection within a family unit. This aligns most strongly with the 'Relationship Maintenance' category, as it focuses on preserving and strengthening existing bonds rather than building new ones or resolving conflicts. The personal goals are designed to reflect distinct social intentions: one agent seeks to affirm the family's positive identity to foster closeness, while the other seeks to understand and validate the other's emotional state to achieve the same shared goal. Their roles as 'Supportive Confidant' and 'Empathic Listener' logically support these goals and the context of a personal family conversation.",To affirm the family's positive qualities and shared history to make the other feel a stronger sense of belonging and closeness.,To elicit and validate the other's personal feelings about the family to create a deeper emotional connection.,"""Feeling close to my parents, siblings, grandparents""",Supportive Confidant,Empathic Listener
