base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Being clean', 'Full label': '""Being clean , neat (personal care)""'}",Cooperation,"The shared goal 'Being clean, neat (personal care)' lends itself well to the social goal category of 'Cooperation', as maintaining cleanliness often requires mutual effort and understanding. We define personal goals for each agent that reflect their individual motivations while contributing to the shared goal. Agent 1's personal goal focuses on organizing shared spaces, reflecting a need for control and order, while Agent 2's goal emphasizes hygiene practices, highlighting health concerns. The roles of 'Organizer' and 'Health Advocate' naturally emerge from these goals, shaping how each agent approaches the interaction.",Ensure shared spaces are consistently tidy and organized,Maintain strict hygiene standards in personal and shared areas,"""Being clean , neat (personal care)""",Organizer,Health Advocate,"{'scenario_context': 'Agent 1 (Organizer) and Agent 2 (Health Advocate) share a dormitory room in college. While Agent 1 is primarily focused on keeping shared spaces tidy and organized, Agent 2 prioritizes strict hygiene standards for both personal and shared areas. They agree that cleanliness and neatness are essential and aim to maintain a harmonious living environment by collaborating.', 'explanation': 'This context sets up an interpersonal scenario where both agents share a common goal of maintaining cleanliness, but slightly differ in their priorities—organization vs. hygiene. Since the difficulty level is Easy, their goals are naturally aligned and compatible, promoting cooperation.'}"
"{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}",Cooperation,"To investigate attribution theory, we chose 'Cooperation' as the social goal category since it directly involves shared goals and joint efforts, aligning well with the shared goal of 'Accomplishing difficult things.' Agent 1's personal goal focuses on promoting efficiency to achieve the task, reflecting a pragmatic disposition, while Agent 2's goal emphasizes fostering morale, highlighting interpersonal sensitivity. Their roles—Project Leader and Team Motivator—complement each other, allowing observation of how dispositional traits (task-oriented vs. people-oriented) interact with situational demands.",Ensure the team optimizes resources and time to complete the difficult task efficiently.,Maintain high team morale and mutual support throughout the challenging task.,"""Accomplishing difficult things""",Project Leader,Team Motivator,"{'scenario_context': 'A professional team is working on a tight-deadline project that requires both efficiency and high morale to succeed. The shared goal is to accomplish this difficult task collaboratively. [Agent 1], the Project Leader, focuses on optimizing resources and time to ensure efficiency, while [Agent 2], the Team Motivator, prioritizes maintaining team morale and mutual support throughout the challenge.', 'explanation': 'This scenario sets up a straightforward cooperative environment where the agents’ goals (efficiency and morale) align naturally but require different approaches, making it an easy difficulty level.'}"
"{'Abbreviation': 'Finding higher meaning', 'Full label': '""Finding higher meaning in life , coherence , harmony , oneness""'}",Relationship Building,"To explore how dispositional traits and situational factors influence social behavior in the pursuit of higher meaning, coherence, harmony, and oneness, we selected the social goal category 'Relationship Building'. This category is apt as finding higher meaning often involves deepening interpersonal connections and understanding differing perspectives. The agents' personal goals reflect contrasting yet complementary motivations that align with the shared goal.",To convince the other agent that higher meaning is found through individual introspection and self-discovery.,To persuade the other agent that higher meaning arises from communal bonds and shared experiences.,"""Finding higher meaning in life , coherence , harmony , oneness""",Spiritual Seeker (focuses on solitary practices like meditation),Community Guide (emphasizes group rituals and collective wisdom),"{'scenario_context': 'Two agents, [Agent 1] and [Agent 2], meet at a peaceful garden retreat designed for contemplation and discussion. The retreat encourages participants to explore different paths toward finding higher meaning in life. Both agents share a desire to achieve coherence, harmony, and oneness, but they hold differing views on how to attain these states. [Agent 1], a spiritual seeker, prefers solitary practices like meditation and believes that introspection is the key to uncovering deeper truths. Meanwhile, [Agent 2], a community guide, advocates for group rituals and collective wisdom as the foundation for shared enlightenment. The tranquil setting provides a neutral and supportive environment for their exchange of ideas.', 'explanation': 'The scenario sets up an easy-level interaction where both agents are naturally inclined to discuss their differing philosophies in a cooperative setting. The retreat environment fosters openness, making it likely that their goals—both shared and individual—can be explored without tension.'}"
"{'Abbreviation': 'Being better than others', 'Full label': '""Being better than others , beating others""'}",Competition,"Given the shared goal of 'Being better than others, beating others,' the most fitting social goal category is 'Competition.' This category naturally aligns with the desire to outperform others. Each agent's personal goal should reflect their individual approach to competition, shaped by their social roles.",Outperform the other agent in demonstrating superior skills or knowledge to gain recognition.,Undermine the other agent's confidence or performance subtly to assert dominance.,"""Being better than others , beating others""",Achiever,Saboteur,"{'scenario_context': ""Two agents, [Agent 1] and [Agent 2], are participating in a competitive team-based trivia game at a local community event. The shared goal is to outperform other teams and win the competition. [Agent 1], driven by the desire to showcase superior knowledge and gain recognition, focuses on answering questions correctly and quickly. [Agent 2], however, aims to subtly undermine [Agent 1]'s confidence by questioning their answers or intentionally hesitating during collaborative discussions, all while maintaining the appearance of contributing to the team's success."", 'explanation': ""The scenario sets up a competitive context where both agents outwardly strive for a shared goal (winning the trivia game) but have conflicting personal motivations—[Agent 1] seeks validation through competence, while [Agent 2] employs covert tactics to assert dominance. The simplicity of the trivia format (an 'Easy' difficulty) ensures the goals remain straightforward to pursue despite underlying tensions.""}"
"{'Abbreviation': 'Achieving salvation', 'Full label': '""Achieving salvation""'}",Relationship Building,"Given the shared goal of 'Achieving salvation,' we chose the 'Relationship Building' category because salvation is often a deeply personal yet communal concept in many religious or spiritual contexts. Agents must navigate interpersonal dynamics to align their personal paths to salvation with mutual understanding or support.",To convince the other agent that strict adherence to religious doctrine is essential for salvation.,To persuade the other agent that personal introspection and ethical living (outside formal doctrine) are sufficient for salvation.,"""Achieving salvation""",Devout Believer,Spiritual Seeker,"{'scenario_context': 'Two acquaintances, [Agent 1] and [Agent 2], meet at a quiet café after a community gathering where the topic of salvation was briefly discussed. Both share a deep interest in spirituality and the concept of achieving salvation, but approach it differently. [Agent 1], a Devout Believer, firmly holds that salvation comes only through strict adherence to religious doctrine, while [Agent 2], a Spiritual Seeker, believes that personal introspection and ethical living outside formal doctrine can lead to salvation. Their shared goal is to understand and achieve salvation, but each aims to persuade the other of their own perspective.', 'explanation': 'This context sets up an interpersonal situation in an easy, cooperative setting where both agents share a common interest but differ in their approaches. The café provides a neutral, relaxed environment conducive to open discussion.'}"
"{'Abbreviation': 'Easy life', 'Full label': '""Having an easy and comfortable life""'}",Relationship Maintenance,"We selected 'Relationship Maintenance' as the social goal category because maintaining harmonious relationships is crucial for achieving an 'easy and comfortable life'. This involves balancing individual needs with shared goals, making it ideal for studying attribution theory through agent interactions.","To ensure the other agent feels valued and heard in the relationship, fostering mutual comfort.",To minimize potential conflicts by accommodating the other agent's preferences.,"""Having an easy and comfortable life""",The Empath (focused on emotional harmony and active listening).,The Accommodator (prioritizes avoiding tension and compromising).,"{'scenario_context': ""[Agent 1] and [Agent 2] are long-time partners sharing a cozy apartment. One evening, they are deciding how to spend their free time together over the weekend. Both want to ensure their time is relaxing and enjoyable, aligning with their shared goal of having an easy and comfortable life. [Agent 1], as The Empath, seeks to make [Agent 2] feel valued by actively listening and suggesting activities that cater to mutual comfort. [Agent 2], as The Accommodator, prefers to avoid disagreement and is open to [Agent 1]'s suggestions to minimize any potential tension."", 'explanation': ""This scenario sets up a low-stakes, cooperative interaction where both agents' goals naturally align (emotional harmony and conflict avoidance). The context allows for easy exploration of attribution theory—how each agent interprets the other's behavior (e.g., Is [Agent 1]'s suggestion driven by care or control? Does [Agent 2]'s accommodation reflect selflessness or passivity?). The simplicity ensures the difficulty level remains 'Easy.'""}"
"{'Abbreviation': 'Avoiding failure', 'Full label': '""Avoiding failure""'}",Cooperation,"To investigate attribution theory in the context of avoiding failure, we selected the social goal category 'Cooperation' as it aligns well with shared goals and allows us to explore how dispositional traits and situational factors influence collaborative behavior. Each agent has a distinct personal goal that reflects their unique perspective while contributing to the shared goal of avoiding failure. The roles assigned ('Team Leader' and 'Supportive Peer') shape their interaction styles and emphasize their differing approaches to achieving both personal and shared objectives.",Ensure collective accountability to minimize individual blame,Provide constructive feedback to prevent repeated mistakes,"""Avoiding failure""",Team Leader,Supportive Peer,"{'scenario_context': 'A project team has just completed a critical phase of their work, but the results fell short of expectations. The team leader [Agent 1] has called a brief meeting with [Agent 2], a supportive peer known for their constructive approach, to discuss how to move forward. The shared goal is to avoid further failure by addressing the issues collaboratively. [Agent 1] wants to ensure that the team collectively acknowledges accountability to minimize individual blame, while [Agent 2] aims to provide thoughtful feedback to help prevent similar mistakes in the future.', 'explanation': 'This scenario is designed to be easy as both agents share a cooperative goal with naturally aligned incentives. The interpersonal tension is low, and the roles are complementary rather than conflicting.'}"
"{'Abbreviation': 'Pleasing God', 'Full label': '""Pleasing God""'}",Relationship Building,"We selected 'Relationship Building' as the social goal category because 'Pleasing God' often involves deepening one's spiritual connection and fostering communal bonds, which aligns well with relationship-building motivations. The personal goals reflect distinct yet complementary perspectives on how to achieve this shared spiritual objective.",To convince the other agent that rigorous adherence to religious rituals is the most authentic way to please God,"To demonstrate that cultivating personal virtues (e.g., kindness, humility) matters more than rituals when pleasing God","""Pleasing God""",Devout Traditionalist (emphasizes scriptural literalism and ceremonial observance),Spiritual Humanist (prioritizes ethical living and divine connection through actions),"{'scenario_context': '[Agent 1], a Devout Traditionalist, and [Agent 2], a Spiritual Humanist, meet during a communal prayer gathering at their local place of worship. Both agents share a sincere desire to please God but hold differing views on how best to do so. The atmosphere is peaceful and respectful, with both agents willing to engage in an earnest discussion about their beliefs.', 'explanation': ""The scenario sets up a cooperative yet contrasting discussion environment where both agents pursue the shared goal ('Pleasing God') while advocating for their personal perspectives (ritual adherence vs. ethical cultivation). The Easy difficulty ensures low tension, focusing on respectful dialogue rather than conflict.""}"
"{'Abbreviation': 'Being playful', 'Full label': '""Being playful , cheerful , acting for fun""'}",Relationship Building,"To align with the shared goal of 'Being playful, cheerful, acting for fun,' the 'Relationship Building' social goal category is chosen. This category emphasizes creating positive interactions and bonding experiences, which naturally fits a playful and cheerful context.",Initiate fun activities to showcase creativity and charm the other agent.,Engage enthusiastically with the first agent's ideas to foster mutual enjoyment.,"""Being playful , cheerful , acting for fun""",The Entertainer,The Enthusiast,"{'scenario_context': ""Agent 1 and Agent 2 are at a lively outdoor festival filled with music, games, and colorful decorations. The sun is shining, and the atmosphere is buzzing with excitement. Both agents are surrounded by people laughing and enjoying themselves, setting the perfect backdrop for playful interaction. Agent 1, eager to showcase creativity and charm, spots a fun photo booth nearby with quirky props and costumes. Agent 2, always enthusiastic, notices Agent 1's excitement and is immediately drawn to join in the fun."", 'explanation': 'The scenario creates a lighthearted and cooperative environment where both agents naturally align their goals—Agent 1 wanting to initiate fun activities and Agent 2 eager to engage enthusiastically. The festival setting provides ample opportunities for playful interaction without conflict or tension.'}"
"{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing , entertaining others""'}",Relationship Building,"The chosen social goal category 'Amusing, entertaining others' fits well with 'Relationship Building' as it involves creating joy and connection through humor. The two agents will have distinct personal goals that align with their roles in entertaining others while maintaining their individual perspectives.",To establish themselves as the funniest person in the room by delivering the most memorable jokes.,To create a warm and inclusive atmosphere where everyone feels comfortable laughing together.,"""Amusing , entertaining others""",Stand-Up Comedian,Social Host,"{'scenario_context': 'The scene is set at a casual house party hosted by [Agent 2], a warm and sociable Social Host who aims to create a welcoming environment where all guests feel comfortable and included. Among the guests is [Agent 1], a confident Stand-Up Comedian who seeks to showcase their humor and leave a lasting impression by delivering the funniest jokes of the evening. Both agents share a common goal of amusing and entertaining others, contributing to the lively atmosphere.', 'explanation': ""This scenario provides a simple and cooperative setting where the agents' goals—entertaining others—are naturally aligned. [Agent 1] focuses on personal recognition through humor, while [Agent 2] prioritizes collective enjoyment and inclusivity.""}"
