base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role
"{'Abbreviation': 'Buying things', 'Full label': '""Buying things I want""'}",Information Acquisition,"Buying decisions in a shopper–salesperson interaction hinge on information acquisition: the shopper seeks tailored guidance, while the salesperson seeks to accurately read preferences to make that guidance relevant.","Influence the salesperson to mirror my stated tastes and budget, offering guidance that affirms rather than pressures.",Infer the shopper’s underlying preferences by eliciting specifics and reflecting them back to guide the conversation.,"""Buying things I want""",Budget-conscious Shopper,Attentive Salesperson
"{'Abbreviation': 'Fashion', 'Full label': '""Keeping up with fashion""'}",Identity Recognition,"Fashion talk often negotiates identity; one agent seeks recognition as a tastemaker while the other asserts pragmatic authenticity, revealing how dispositional motives shape interaction.",Position themselves as the tastemaker by steering the other to spontaneously seek their validation and mirror their evaluative style language during fashion talk.,"Assert a practical, authentic identity by prompting the other to justify trend claims using comfort, durability, or cost terms and to soften status-driven language.","""Keeping up with fashion""",Trendsetter influencer,Pragmatic skeptic
"{'Abbreviation': 'Avoiding rejection', 'Full label': '""Avoiding rejection by others""'}",Relationship Maintenance,"Relationship Maintenance best fits a shared aim of avoiding rejection, as both agents orient their communication to preserve inclusion and belonging. One agent seeks cues of acceptance; the other actively manages tone and framing to convey inclusion and reduce threats of rejection.","Elicit signs of acceptance—such as mirroring, validating language, and warm tone—by offering mild self-disclosure and attending to how the other responds.","Convey steady acceptance by normalizing differences, using inclusive framing, and softening disagreement so the other feels safe and not judged.","""Avoiding rejection by others""",Junior colleague,Team mentor
"{'Abbreviation': 'Wisdom', 'Full label': '""Having wisdom""'}",Information Acquisition,"To pursue the shared goal of having wisdom, the interaction centers on drawing out and refining understanding through dialogue. One agent uses questioning to uncover assumptions; the other demonstrates humility and reflective elaboration, enabling both to gain deeper insight via conversational behavior.","Elicit the other’s underlying assumptions through open-ended, nonjudgmental questions that surface deeper reasoning.","Model epistemic humility by openly stating uncertainties and revising claims in response to probing, inviting the other to consider nuance.","""Having wisdom""",Socratic Inquirer,Reflective Mentor
"{'Abbreviation': 'Good parent', 'Full label': '""Being a good parent (teaching, providing, transmitting values)""'}",Cooperation,"Cooperation best fits co-parents coordinating how to teach, provide, and transmit values. The goals focus on complementary interaction styles—one structures joint standards, the other sustains emotional openness—so they can collaborate effectively.",Steer the partner’s talk toward shared routines and consistent consequences by reframing topics with 'we' language and principle-based summaries before suggesting next steps.,Maintain an empathy-first frame by validating the partner’s concerns and inviting feeling-focused talk before engaging with rule proposals.,"""Being a good parent (teaching, providing, transmitting values)""",Structure-focused co-parent,Emotion-focused co-parent
"{'Abbreviation': 'Defense vs. criticism', 'Full label': '""Defending myself against others’ criticisms or attacks""'}",Conflict Resolution,"Defending against criticisms is inherently a conflict-laden interaction, so Conflict Resolution fits. The employee’s goal centers on attribution reframing (from dispositional to situational), while the supervisor’s goal centers on legitimizing critiques through procedures—two distinct social intentions measurable via conversational moves and tone.","Recast the supervisor’s criticisms as situational and behavior-specific by asking for concrete examples, acknowledging actionable points, and explicitly resisting global trait labels.","Signal fairness and legitimacy by grounding critiques in documented expectations, using neutral process language, and redirecting personal challenges to policy and evidence.","""Defending myself against others’ criticisms or attacks""",Accused employee,Critical supervisor
"{'Abbreviation': 'Contribution', 'Full label': '""Making a lasting contribution to society""'}",Cooperation,Cooperation best fits a shared aim of making a lasting contribution. One agent seeks to motivate and align; the other tests adaptability and transparency—complementary intentions that shape collaborative behavior.,Energize the other’s intrinsic motivation by affirming shared purpose and reflecting their values so they spontaneously articulate avenues for collaboration in their own words.,Gauge the other’s adaptability by surfacing concrete constraints and attending to whether their replies integrate feedback with transparency and calm.,"""Making a lasting contribution to society""",Community Organizer,Impact Funder
"{'Abbreviation': 'Achieving salvation', 'Full label': '""Achieving salvation""'}",Information Provision,"Achieving salvation often hinges on understanding doctrines, practices, and meanings. The interaction naturally centers on one agent conveying guidance and the other interpreting and testing it, so Information Provision best fits.","Guide the other’s understanding by offering patient, nonjudgmental explanations that reduce anxiety and invite more candid disclosure of doubts.",Evaluate the guide’s credibility by posing concrete moral concerns and observing whether responses are coherent and compassionate.,"""Achieving salvation""",Spiritual Mentor,Questioning Seeker
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}",Relationship Building,"Belonging hinges on forming affiliative ties and mutual rapport, which fits the Relationship Building category. The agents’ goals focus on how they shape one another’s tone, disclosures, and inclusion signals in conversation.",Elicit warmth and inclusive cues from the insider by sharing relatable vulnerabilities and mirroring their positive tone to co-create rapport.,"Gauge fit and signal inclusion by gently probing for shared norms and, when alignment appears, responding with welcoming in-group language and validation.","""Belonging to social groups, feeling like part of a group""",Prospective Member,Group Insider
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents, siblings, grandparents""'}",Relationship Maintenance,"Relationship Maintenance best fits because the shared aim is to sustain and deepen existing family bonds. One agent models vulnerability to invite reciprocity, while the other safeguards comfort and validates, balancing influence with responsiveness.","Invite reciprocal emotional disclosure by sharing concrete, vulnerable family memories and gently prompting the other in a warm, nonpressuring tone.","Lower the other's defensiveness and deepen understanding by reflecting their feelings and acknowledging boundaries, signaling acceptance over persuasion.","""Feeling close to my parents, siblings, grandparents""",Vulnerable Storyteller,Empathic Reflector
"{'Abbreviation': 'Peace of mind', 'Full label': '""Having peace of mind""'}",Relationship Maintenance,"Peace of mind in an interpersonal context relies on preserving emotional security and trust. Relationship Maintenance fits because both agents pursue stability through tone, validation, and boundaries—behaviors observable in dialogue that reflect dispositional tendencies and situational cues.","Elicit steady, empathic validation from the other by sharing worries in a vulnerable tone and nudging the exchange toward reflective listening rather than problem-solving.","Convey predictability and psychological safety by reflecting the other's feelings first, then offering concise reassurances and gentle boundaries to prevent rumination spirals.","""Having peace of mind""",Anxious partner,Grounding partner
"{'Abbreviation': 'Cared for', 'Full label': '""Being taken care of""'}",Relationship Maintenance,"Being taken care of hinges on sustaining emotional security and responsiveness between partners, which fits Relationship Maintenance. One agent seeks to draw out nurturing behavior; the other aims to provide steady, empathetic care to preserve a sense of safety.","Influence the other to adopt a nurturing, attentive stance by sharing vulnerability and affirming empathetic, soothing responses.","Convey dependable care by reflecting feelings, offering gentle check-ins, and providing reassurance before distress escalates.","""Being taken care of""",Care Recipient,Attentive Caregiver
"{'Abbreviation': 'Freedom of choice', 'Full label': '""Having freedom of choice""'}",Identity Recognition,"Freedom of choice hinges on having one’s autonomy recognized and respected in interaction, making Identity Recognition the best fit.",Influence the other to openly state their preferences by presenting options without pressure and affirming any expressed choice as valid.,Assess whether their autonomy is respected by stating clear boundaries and observing if the other acknowledges and adapts without minimizing or pushing back.,"""Having freedom of choice""",Choice Facilitator,Boundary Setter
"{'Abbreviation': 'Easy life', 'Full label': '""Having an easy and comfortable life""'}",Cooperation,"A comfortable life hinges on coordinated choices that reduce mutual effort, so Cooperation best fits. One agent will gently steer toward convenient options, while the other preserves personal ease by testing suggestions and setting soft limits.",Steer the interaction toward low-effort joint choices by positively framing simple options and soothing any urgency the other expresses.,Protect their own ease by calmly probing for hidden burdens in suggestions and softly declining when a proposal feels pressuring.,"""Having an easy and comfortable life""",Ease Promoter,Boundary Setter
"{'Abbreviation': 'Own guidelines', 'Full label': '""Setting and following my own guidelines""'}",Identity Recognition,"Identity Recognition fits because the scenario centers on having one’s self-authored standards acknowledged and respected in interaction. One agent asserts boundaries; the other actively validates and adapts to them, enabling both to set and follow their own guidelines without coercion.",Influence the other to treat my self-set guidelines as the default frame by calmly restating boundaries and redirecting prescriptive suggestions back to my terms.,"Signal recognition of the other's autonomy by mirroring their terms, asking consent before offering input, and presenting my ideas as optional within their stated limits.","""Setting and following my own guidelines""",Boundary Setter,Autonomy Validator
"{'Abbreviation': 'Stability', 'Full label': '""Having stability in life, avoiding change, adhering to my ways and life style""'}",Relationship Maintenance,"Relationship Maintenance best matches a shared desire for stability and adherence to existing ways. The agents’ goals are distinct: one aims to steer interaction away from change (boundary-setting influence), while the other aims to validate and stabilize the interaction (affirming responsiveness).",Steer the conversation back to established routines whenever change is implied by affirming what already works and reframing suggestions toward current practices to signal preference for continuity.,"Convey acceptance of the other’s existing ways by mirroring their wording, paraphrasing their values, and asking continuity-focused questions that emphasize predictability over novelty.","""Having stability in life, avoiding change, adhering to my ways and life style""",Routine Gatekeeper,Stability Validator
"{'Abbreviation': 'Learning art', 'Full label': '""Learning more about art""'}",Information Acquisition,"Information Acquisition best fits the shared aim of learning about art. The agents take complementary intentions: one elicits and affirms explanations, while the other constructively challenges and refines them.","Elicit the other's knowledge and interpretations by asking open-ended, curiosity-driven questions and affirming useful details to guide deeper explanation.","Refine the other's claims by politely challenging vague points, offering counterexamples, and requesting justifications to pressure-test understanding.","""Learning more about art""",Curious novice,Critical enthusiast
"{'Abbreviation': 'Being affectionate', 'Full label': '""Being affectionate toward others""'}",Relationship Maintenance,"Affection supports ongoing closeness, so Relationship Maintenance fits best. One agent seeks to heighten warmth through expressive affection, while the other maintains comfort and security by validating and pacing the exchange—complementary intentions that sustain affectionate bonds.","Elicit reciprocated warmth by using affectionate language and gentle self-disclosure to draw the other into a more intimate, tender tone.","Convey care and safety by reflecting feelings, affirming disclosures, and pacing the interaction to keep both comfortable without dulling warmth.","""Being affectionate toward others""",Affection Initiator,Empathic Validator
"{'Abbreviation': 'Educational degree', 'Full label': '""Obtaining an advanced educational degree""'}",Cooperation,"Cooperation best aligns because both peers intend to coordinate efforts toward the degree; their goals contrast influence (shaping joint commitment) with understanding/boundary protection (assessing reliability and asserting limits), allowing attributions about motives and constraints to emerge through dialogue.","Shape the other's stance toward joint work by consistently inviting co-planning and affirming their ideas, aiming for the other to mirror 'we' language and build on proposals.",Gauge and protect personal boundaries by transparently stating constraints and observing whether the other responds with concrete accommodations rather than vague pressure.,"""Obtaining an advanced educational degree""",Study plan organizer,Time-constrained peer
"{'Abbreviation': 'Being ambitious', 'Full label': '""Being ambitious, hard-working""'}",Identity Recognition,Identity Recognition best fits because the shared goal centers on being seen and treated as ambitious and hard-working; the interaction hinges on signaling and validating that identity.,"Influence the other to perceive them as genuinely ambitious and diligent by framing ideas as commitments, responding to challenges without defensiveness, and emphasizing steady routines over one-off wins.","Assess the depth and stability of the other's ambition by probing motives, trade-offs, and reactions to setbacks, offering calibrated affirmation only when responses show reflection and persistence.","""Being ambitious, hard-working""",Ambitious mentee,Evaluative mentor
"{'Abbreviation': 'Looking fit', 'Full label': '""Looking physically fit""'}",Cooperation,Cooperation aligns with a shared desire to look physically fit because both agents benefit from coordinating encouragement and pacing. The goals focus on how each shapes or interprets the other’s responses to sustain joint motivation.,"Steer the partner’s mindset toward steady effort by validating concerns and reframing setbacks as normal, keeping the tone optimistic and autonomy-supportive.","Gauge whether the partner is genuinely supportive by disclosing insecurities and asking clarifying questions, preferring empathetic responses over pressure to decide how closely to engage.","""Looking physically fit""",Peer Coach,Cautious Partner
"{'Abbreviation': 'Things in order', 'Full label': '""Keeping things in order (my desk, office, house, etc.)""'}",Cooperation,"Keeping shared spaces orderly requires coordinated routines and joint problem-solving, so Cooperation best fits. The Household Organizer aims to influence interaction tone and structure; the Flexible Roommate aims to understand priorities and preserve autonomy—distinct intentions that shape how they talk to each other.","Guide the other toward shared tidying norms by using calm I-statements, naming concrete expectations, and reframing complaints into collaborative choices.","Surface which standards matter most to the organizer by asking for rationales, reflecting them back, and proposing flexible boundaries that protect autonomy.","""Keeping things in order (my desk, office, house, etc.)""",Household Organizer,Flexible Roommate
"{'Abbreviation': 'Intellectual conversations', 'Full label': '""Having intellectual experiences, conversations, discussing interesting topics""'}",Cooperation,"To co-create rich intellectual conversations, the agents need to coordinate complementary interaction strategies. Choosing Cooperation aligns with a shared aim of exploring ideas together. One agent works to elicit and scaffold the other’s reasoning; the other stress-tests ideas to refine them. These paired intentions are observable via questioning, paraphrasing, counterexamples, and reframing—without relying on explicit agreement.","Guide the other to expand and clarify their reasoning by using open how/why prompts, reflective paraphrasing, and targeted requests for examples in a supportive tone that invites elaboration.","Strengthen the dialogue by respectfully introducing counterexamples and alternative frames to the other’s claims, signaling openness to revision while pressing for precision and consistency.","""Having intellectual experiences, conversations, discussing interesting topics""",Socratic Inquirer,Constructive Skeptic
"{'Abbreviation': 'Support from others', 'Full label': '""Receiving support from others on projects I believe in""'}",Cooperation,"Cooperation fits because both agents aim to align their interaction toward mutual support: one cultivates alignment and enthusiasm, the other assesses fit and reliability while sustaining a collaborative tone.","Elicit the other’s spontaneous use of enthusiastic, inclusive language by framing the project around shared values and reflecting their concerns constructively.","Gauge the advocate’s credibility and openness by using probing, clarification-seeking questions while keeping a respectful, cautiously supportive tone that encourages candid responses.","""Receiving support from others on projects I believe in""",Project Champion,Skeptical Collaborator
"{'Abbreviation': 'Standing up for beliefs', 'Full label': '""Standing up for my beliefs""'}",Identity Recognition,Identity Recognition fits because standing up for beliefs centers on asserting and having the self-definition acknowledged during interaction.,"Assert their belief as a core part of self by using firm I-statements, correcting mischaracterizations, and declining to dilute the stance when pressed.",Uphold a belief in open critique by probing with curiosity-led questions while explicitly validating the right of the other person to hold their view and avoiding dismissive language.,"""Standing up for my beliefs""",Values Advocate,Respectful Skeptic
"{'Abbreviation': 'Others’ trust', 'Full label': '""Having others’ trust""'}",Relationship Building,Trust is central to relationship building. One agent aims to signal reliability through transparency and empathic responses; the other evaluates sincerity through calibrated probing and contingent warmth. Their roles (team lead and skeptical colleague) naturally structure this dynamic.,"Encourage the other’s willingness to rely on them by responding to doubts with calm transparency—acknowledging limits, reflecting the other’s concerns, and stating intentions without overpromising.","Assess the other’s sincerity by raising concrete risks and observing whether they admit uncertainty and address concerns directly, rewarding candor with a warmer, more collaborative tone.","""Having others’ trust""",Team lead,Skeptical colleague
"{'Abbreviation': 'Feeling safe', 'Full label': '""Feeling safe and secure""'}",Relationship Maintenance,"Feeling safe and secure is sustained by responsive, trusting bonds. Relationship Maintenance fits because safety emerges from how partners validate, disclose, and respect boundaries. One agent’s dispositional caregiving and the other’s vigilant self-protection interact with situational cues to shape reassurance, openness, and boundary-setting in dialogue.","Reduce the other’s felt threat by steadily validating their emotions and using warm, nonjudgmental language that signals dependable support.","Gauge the other’s trustworthiness by sharing worries in a feeling-focused way and asserting boundaries if responses feel minimizing, staying open when responses feel attuned.","""Feeling safe and secure""",Reassuring caregiver,Vigilant confider
"{'Abbreviation': 'Erotic relationship', 'Full label': '""Having an erotic relationship""'}",Relationship Building,"Relationship Building best fits a shared desire to move from acquaintance to intimate partners while calibrating comfort and consent. One agent pursues gentle escalation through attunement; the other prioritizes boundary expression and tests respect—creating complementary intentions that reveal dispositional tendencies (approach vs. caution) interacting with situational cues (tone, pacing, responsiveness).","Gently escalate flirtation by introducing warmer, suggestive subtext only when the partner’s language and tone show enthusiasm, and promptly de-escalate when cues become neutral or hesitant.","Maintain clear boundaries and preferred pace by explicitly naming comfort levels and redirecting suggestive turns, while rewarding respectful attunement with warmer reciprocity and playful self-disclosure.","""Having an erotic relationship""",Attuned initiator,Boundary-setting evaluator
"{'Abbreviation': 'Religious traditions', 'Full label': '""Engaging in religious traditions""'}",Cooperation,"Cooperation best fits because engaging in religious traditions often requires coordinating preferences, comfort levels, and timing so both can participate meaningfully. One agent aims to shape a collaborative plan that lowers pressure, while the other tests for openness and respect to decide how to engage.","Foster joint engagement by framing each ritual as an optional, shared choice and mirroring the other’s stated comfort levels to reduce perceived pressure.",Assess the guide’s openness by candidly voicing uncertainties and boundaries and monitoring whether responses acknowledge and validate those concerns before moving forward.,"""Engaging in religious traditions""",Tradition Guide,Questioning Newcomer
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others, cooperating, giving support""'}",Cooperation,"Cooperation best fits a shared aim of helping, supporting, and working together. One agent focuses on coordinating direction, while the other sustains morale and trust—complementary intentions that foster effective cooperation.",Shape a shared course of action by synthesizing both perspectives and using inclusive language that gently aligns the partner toward joint steps.,Maintain cooperative momentum by validating the partner’s ideas and reflecting their feelings to convey steady support and confidence.,"""Helping others, cooperating, giving support""",Support Facilitator,Affirming Collaborator
"{'Abbreviation': 'Being disciplined', 'Full label': '""Being disciplined, able to follow-through with projects I start, following my intentions with behavior""'}",Cooperation,"Cooperation best fits the shared goal of building disciplined follow-through because both agents work together to shape each other’s behavior. To probe attribution theory, one agent intentionally reframes causes (effort/strategy vs fixed traits), while the other evaluates whether that support respects autonomy, adjusting openness accordingly.","Influence the other to describe lapses and successes in terms of controllable effort and strategy by consistently reflecting and affirming such attributions, so the other begins framing their own behavior that way in conversation.","Assess whether the other’s guidance is autonomy-respecting and non-judgmental; respond with greater openness and self-generated plans only when their tone and prompts show permission and respect, and assert boundaries if it feels pressuring.","""Being disciplined, able to follow-through with projects I start, following my intentions with behavior""",Supportive accountability coach,Autonomy-seeking striver
"{'Abbreviation': 'Being good looking', 'Full label': '""Being good looking""'}",Identity Recognition,"Identity Recognition best fits the shared goal because the interaction centers on being seen and acknowledged as attractive. One agent seeks recognition of attractiveness through subtle self-presentation, while the other regulates and authenticates that recognition with credible, caring feedback.","Subtly steer the other to spontaneously frame me as attractive by using modest self-disclosure and playful bids for notice, without directly asking for compliments.","Convey credible, caring appraisal by offering specific, concrete affirmations and gently pushing back on flattery-seeking cues to keep praise sincere.","""Being good looking""",Image-Seeker,Honest Mirror
"{'Abbreviation': 'Being better than others', 'Full label': '""Being better than others, beating others""'}",Competition,"Competition best matches the shared goal. One agent adopts a skeptical, undermining strategy (probing and correcting), while the other projects dominance (reframing challenges and spotlighting achievements). Their intentions are detectable via tone, questioning, and topic steering.",Erode the other’s perceived superiority by baiting them into overclaiming and then exposing inconsistencies through pointed questions and corrective remarks.,Maintain perceived dominance by confidently reframing any challenge as proof of higher standards and steering the exchange toward personal standout achievements.,"""Being better than others, beating others""",Status challenger,Dominant self-promoter
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals, fighting for things I believe in""'}",Cooperation,Cooperation best fits because the shared aim of fighting for one’s ideals requires coordinating tactics and aligning how they communicate those ideals to work together effectively.,"Influence the other to adopt morally assertive, non‑hedging framing of our cause by affirming value‑laden statements and redirecting tentative language toward principled terms.","Diagnose the other’s openness to pragmatic trade‑offs by proposing coalition‑friendly framings and tracking whether they respond with inclusive, solution‑seeking language or renewed rigidity.","""Pursuing my ideals, fighting for things I believe in""",Moral Advocate,Pragmatic Organizer
"{'Abbreviation': 'Providing family', 'Full label': '""Providing my spouse or children (or both) with a feeling of financial security and a home to come back to""'}",Cooperation,"The shared aim of creating financial security and a stable home is best served by Cooperation. One agent centers on understanding the partner’s priorities to reduce misattribution and defensiveness, while the other seeks to shape attitudes toward disciplined saving through supportive reframing. These complementary intentions foster joint action without relying on explicit agreements.",Understand the partner’s security priorities by eliciting and accurately reflecting their concerns before suggesting any changes.,"Influence the partner toward disciplined saving by reframing cutbacks as joint investments in stability while keeping a calm, supportive tone.","""Providing my spouse or children (or both) with a feeling of financial security and a home to come back to""",Empathic Listener,Supportive Persuader
