base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role
"{'Abbreviation': 'Being ambitious', 'Full label': '""Being ambitious , hard-working""'}",Identity Recognition,"Identity Recognition best matches a shared aim of being (and being seen as) ambitious and hard-working. It naturally elicits attributional judgments about whether drive is a stable personal trait or a situational display, and it creates clear, evaluable conversational outcomes (explicit acknowledgment, evidence, commitments).","As a junior analyst, get my manager to explicitly acknowledge me as 'ambitious and hard-working' during the conversation and to commit to assigning me one high-visibility stretch task, contingent on my presenting a concrete plan with at least two milestones, timeline, and a brief risk/mitigation note.","As the team manager, accurately judge whether the analyst’s ambition reflects a stable disposition rather than a situational bid by eliciting at least two specific past examples of hard work/initiative and a feasible milestone-based plan; end the conversation by either (a) explicitly recognizing the trait and offering a stretch assignment with agreed milestones, or (b) stating why recognition is deferred and prescribing clear next steps.","""Being ambitious , hard-working""",Junior Analyst seeking recognition and stretch opportunities,Team Manager responsible for opportunity allocation and talent assessment
"{'Abbreviation': 'Peace of mind', 'Full label': '""Having peace of mind""'}",Conflict Resolution,"Peace of mind is often disrupted by unresolved tensions and uncertainty. Choosing Conflict Resolution centers the agents on negotiating clear boundaries that reduce stressors. The agents are roommates whose differing routines create friction; each personal goal is concrete, testable in dialogue, and aligned to the shared goal of peace of mind.","By the end of the conversation, secure explicit verbal commitments to: (a) quiet hours from 10:00 PM–7:00 AM on weeknights, (b) no gatherings on weeknights, and (c) 48-hour notice for any weekend guests—plus a brief acknowledgment that recent late-night noise disrupted sleep.","By the end of the conversation, obtain agreement to: (a) practice music on weekdays between 5:00–7:00 PM, (b) host friends on Fridays until 11:00 PM with 48-hour notice, and (c) use a shared calendar for notices—plus a verbal assurance that these arrangements are acceptable.","""Having peace of mind""",Boundary-setting roommate seeking predictable quiet,Sociable roommate negotiating accommodations
"{'Abbreviation': 'Being popular', 'Full label': '""Being in the center of things , being popular""'}",Identity Recognition,"Popularity hinges on being seen by others as central and influential. Identity Recognition fits best because each agent seeks explicit acknowledgment from the other that confirms a high-status identity. The roles create different pathways to claim status: one via online visibility, the other via control of offline access. The goals are measurable through counts of acknowledgments and concrete public commitments stated in dialogue.","Get at least two explicit acknowledgments from Agent 2 that I am popular or central, and secure Agent 2's clear commitment to introduce me as the go-to person at the next group event.","Get at least two explicit acknowledgments from Agent 1 that I am popular, central, or a trend setter, and secure Agent 1's explicit commitment to promote my upcoming event via a pinned post or tagged story within 24 hours.","""Being in the center of things , being popular""",Image-Builder (Social Media Maven): leverages follower metrics and narratives to claim centrality and steers conversation toward visibility and reach.,"Gatekeeper (Event Organizer and Connector): controls access to people and events, using invitations and spotlights to assert centrality."
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals , fighting for things I believe in""'}",Cooperation,Cooperation was chosen because both agents share the overarching ideal of acting on their beliefs but must coordinate tactics and safeguards to move from conviction to joint action. The personal goals are complementary and measurable through explicit commitments captured in dialogue: one agent drives a concrete action plan; the other ensures the plan aligns with core values and inclusion.,"By the end of the conversation, secure Agent 2’s explicit agreement to a 4-point action plan: (1) a one-sentence cause statement, (2) one primary tactic to pursue first, (3) a public action date within 30 days, and (4) task assignments with deadlines—including Agent 2 committing to at least two tasks (e.g., booking a venue and drafting a press release) with specific dates.","Ensure the agreed plan explicitly includes three non-negotiables: (1) non-violent tactics only, (2) accessibility measures for any event (ASL interpreter and step-free venue), and (3) a community listening session scheduled before the public action; obtain Agent 1’s verbal confirmation that these items are written into the plan and that messaging centers affected community voices.","""Pursuing my ideals , fighting for things I believe in""",Campaign Strategist (task-oriented organizer driving planning and commitments),Community Advocate (values and inclusion lead safeguarding ethics and representation)
"{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability , agility""'}",Cooperation,"Cooperation best fits because both agents share the outcome of improving agility and must coordinate complementary actions—one structures the plan and ensures safety/commitment, the other supplies constraints, negotiates details, and commits. Each personal goal is measurable through concrete conversation outcomes (plan elements agreed, questions asked, commitments made).","Co-create and secure explicit agreement on a 4-week agility plan (3 sessions/week, ≥5 named drills per session with intensity and progression rules), define baseline and follow-up tests (e.g., 5–10–5 shuttle, single-leg hop), verify equipment and safety constraints, and have the trainee restate the plan and commit to specific training days.","Communicate personal constraints (time, injury history, equipment), set a concrete agility target (e.g., 5% faster 5–10–5 shuttle in 4 weeks), ask at least three clarifying questions, request substitutions if needed, summarize the agreed plan, and commit to specific training days and times.","""Having physical ability , agility""","Agility coach/trainer responsible for assessment, instruction, safety checks, and securing commitment.","Trainee/athlete responsible for disclosing constraints, seeking clarity, and committing to the plan."
"{'Abbreviation': 'Being carefree', 'Full label': '""Being lighthearted , carefree , enjoying life""'}",Relationship Maintenance,"Chosen to focus on Relationship Maintenance because the shared goal centers on sustaining a positive, playful emotional climate. The personal goals translate this into measurable conversational behaviors (humor, affirmations, light planning) that can be evaluated later. The roles create complementary dispositions—one gently structures fun, the other amplifies spontaneity—supporting the shared aim of being lighthearted and carefree.","By the end of the conversation, co-create one simple, fun plan to do together within the next 7 days (activity + a day/time window), while keeping the vibe light by making at least 2 playful remarks and redirecting any stressful topics within 2 turns.","Keep the interaction carefree by sharing at least 2 playful stories or jokes, explicitly affirming Agent 1’s ideas at least 3 times with positive emotion or laughter cues, and ensuring the plan stays flexible (no more than one fixed constraint) while proposing at least one spontaneous element.","""Being lighthearted , carefree , enjoying life""",Gentle Planner — steers the chat toward a low-pressure shared plan using humor and quick reframing away from stress.,"Playful Catalyst — injects spontaneity and positive affect, resists over-structuring, and keeps the tone fun and free."
"{'Abbreviation': 'Being recognized', 'Full label': '""Being admired , recognized by others""'}",Identity Recognition,"Identity Recognition best fits because the shared goal is to be admired and recognized. The personal goals specify explicit acknowledgments and public actions that can be verified in dialogue. The roles (Project Lead and Lead Engineer) naturally shape how each agent negotiates credit and visibility, supporting analysis of attribution tendencies.","By the end of the conversation, secure Agent 2’s explicit agreement to: (1) list Agent 1 as the primary presenter and project owner for the upcoming launch at the all-hands, and (2) provide two concrete, quotable compliments about Agent 1’s leadership or vision to include in the announcement.","By the end of the conversation, secure Agent 1’s explicit agreement to: (1) add Agent 2 as co-presenter and name them as lead engineer in the launch materials, and (2) commit to posting a public Slack recognition tagging Agent 2 by a specific date.","""Being admired , recognized by others""",Project Lead (Product Manager) responsible for framing the project narrative and external recognition.,Lead Engineer responsible for the core technical solution and seeking fair credit for specialized contributions.
"{'Abbreviation': 'Looking fit', 'Full label': '""Looking physically fit""'}",Cooperation,"Cooperation fits because both agents share the outcome of looking physically fit and must jointly design a feasible plan. The roles and goals are framed to surface dispositional (e.g., conscientiousness, image motivation) and situational (e.g., time limits, knee sensitivity, no gym access) attributions during negotiation, enabling evaluation via concrete conversational milestones.","Co-design with Agent 2 a 4-week, appearance-oriented plan during the conversation: specify 3 workout sessions per week (named days/times) with listed exercises and sets; agree on 5 diet/lifestyle actions; set 2 check-in dates; and get Agent 2’s explicit verbal commitment to take and share weekly progress photos.","Ensure the plan fits my constraints: max 45 minutes per session, no gym equipment, and knee-friendly options; obtain at least two alternatives per leg exercise; define my aesthetic targets (flatter waist and more shoulder definition) and a 6-week event deadline; secure one motivational strategy that avoids blame by focusing on tweakable situations; and confirm by summarizing the plan back to Agent 1.","""Looking physically fit""","Supportive, evidence-driven fitness coach friend who structures options, translates goals into actionable routines, and frames setbacks as situational.","Image-motivated, time-pressured partner who voices constraints, seeks reassurance, negotiates practicality, and co-decides on commitments."
"{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive , exciting , fascinating , impressing others""'}",Identity Recognition,"The shared goal centers on impression management—being seen as exciting, fascinating, and impressive—which maps most directly to Identity Recognition. The agents’ personal goals operationalize this by using clear conversational markers of recognition: one seeks a public-facing endorsement (status conferral), the other seeks deference to their taste (status acknowledgment). Their roles—an Innovator aiming to dazzle and a Curator acting as a gatekeeper—structure how each pursues recognition in the exchange.","Secure an explicit commitment from Agent 2 to feature or introduce Agent 1 to their audience (e.g., 'I'll post about this' or 'I'll introduce you to X') during the conversation.",Elicit at least two explicit requests from Agent 1 for Agent 2’s opinion or approval on how to present themselves to impress others.,"""Being socially attractive , exciting , fascinating , impressing others""",Daring Innovator (flashy founder–storyteller showcasing novel achievements),Cultural Curator and Gatekeeper (trendsetting influencer who evaluates and endorses)
"{'Abbreviation': 'Nutrition', 'Full label': '""Being physiologically healthy , maintaining a healthy weight , eating nutritious foods""'}",Cooperation,"Cooperation best fits because achieving healthy weight and nutritious eating requires coordinated planning and resource management. The agents adopt complementary roles—one optimizes nutrition and feasibility of meals, the other manages budget, pantry use, and adherence—so their success depends on joint decisions. Personal goals are concrete and testable within a conversation (specific plans, numbers, and commitments).","By the end of the conversation, secure agreement on a 7-day meal plan that: lists 7 breakfasts, 7 lunches, and 7 dinners; keeps each main meal within 400–700 kcal and at least 25 g protein; ensures at least 5 total servings of vegetables/fruit per day; includes at least 2 meatless dinners; and confirms weekday prep time of 45 minutes or less.","By the end of the conversation, ensure the plan: fits a total grocery budget of $90 or less; uses at least 3 existing pantry items; replaces sugary snacks with 3 named healthy alternatives; sets two specific midweek/weekend accountability check-in times; and designates one controlled weekend treat that stays within the calorie budget.","""Being physiologically healthy , maintaining a healthy weight , eating nutritious foods""",Nutrition Planner & Home Cook,Budget-Conscious Grocery Shopper & Accountability Partner
