base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Being ambitious', 'Full label': '""Being ambitious , hard-working""'}",Identity Recognition,"Identity Recognition best matches a shared aim of being (and being seen as) ambitious and hard-working. It naturally elicits attributional judgments about whether drive is a stable personal trait or a situational display, and it creates clear, evaluable conversational outcomes (explicit acknowledgment, evidence, commitments).","As a junior analyst, get my manager to explicitly acknowledge me as 'ambitious and hard-working' during the conversation and to commit to assigning me one high-visibility stretch task, contingent on my presenting a concrete plan with at least two milestones, timeline, and a brief risk/mitigation note.","As the team manager, accurately judge whether the analyst’s ambition reflects a stable disposition rather than a situational bid by eliciting at least two specific past examples of hard work/initiative and a feasible milestone-based plan; end the conversation by either (a) explicitly recognizing the trait and offering a stretch assignment with agreed milestones, or (b) stating why recognition is deferred and prescribing clear next steps.","""Being ambitious , hard-working""",Junior Analyst seeking recognition and stretch opportunities,Team Manager responsible for opportunity allocation and talent assessment,"{'scenario_context': 'A 30-minute weekly 1:1 between [Agent 1] (Junior Analyst) and [Agent 2] (Team Manager) takes place in a quiet office huddle room on a calm Tuesday afternoon, midway through the quarter. The team is preparing a cross-functional pilot to streamline monthly KPI reporting for leadership, and [Agent 2] has discretion to assign a visible stretch role: coordinating the pilot’s analytics workstream and presenting interim results to stakeholders. Both agents share the identity-oriented goal of surfacing and recognizing traits of being ambitious and hard-working in a constructive, forward-looking way. [Agent 1] arrives with a concise, one-page proposal for the pilot role that includes: (1) two clear milestones (Milestone A: align data definitions and confirm data pipelines with Finance and Sales by Week 3; Milestone B: deliver a beta KPI dashboard with alert thresholds and a validation memo by Week 6), (2) a timeline laid out across six weeks with key dependencies, and (3) a brief risk/mitigation note (risks: delayed data access or conflicting KPI definitions; mitigations: early stakeholder mapping, scheduled decision checkpoints, and a fallback manual extract protocol). To support a stable-trait evaluation, [Agent 1] has two specific past examples ready: leading a two-night push to validate anomalies in last quarter’s revenue dashboard ahead of a board review, and proactively building an automation script that cut weekly reporting prep time by six hours across the team. [Agent 2] is positively disposed—having noticed [Agent 1] taking initiative in standups—and intends to probe for consistency, ownership under time pressure, and learning from setbacks to judge whether [Agent 1]’s ambition reflects a stable disposition rather than a situational bid for recognition. The plan is that, if the examples and proposal appear robust and feasible, [Agent 2] can explicitly acknowledge [Agent 1] as ambitious and hard-working and tentatively assign the stretch role with agreed milestones; if not, [Agent 2] will defer recognition and prescribe specific next steps. The environment is cooperative, with no competing candidate immediately queued and a relatively light operational load this week, making alignment and decision-making straightforward.', 'explanation': 'This setup is easy-level: goals are aligned, there is an available stretch assignment, and both agents are motivated and prepared. The context enables [Agent 2] to assess disposition versus situational impression management by soliciting two concrete past examples and reviewing a milestone-based plan, while giving [Agent 1] a clear path to earn explicit trait recognition and a stretch commitment.'}"
"{'Abbreviation': 'Peace of mind', 'Full label': '""Having peace of mind""'}",Conflict Resolution,"Peace of mind is often disrupted by unresolved tensions and uncertainty. Choosing Conflict Resolution centers the agents on negotiating clear boundaries that reduce stressors. The agents are roommates whose differing routines create friction; each personal goal is concrete, testable in dialogue, and aligned to the shared goal of peace of mind.","By the end of the conversation, secure explicit verbal commitments to: (a) quiet hours from 10:00 PM–7:00 AM on weeknights, (b) no gatherings on weeknights, and (c) 48-hour notice for any weekend guests—plus a brief acknowledgment that recent late-night noise disrupted sleep.","By the end of the conversation, obtain agreement to: (a) practice music on weekdays between 5:00–7:00 PM, (b) host friends on Fridays until 11:00 PM with 48-hour notice, and (c) use a shared calendar for notices—plus a verbal assurance that these arrangements are acceptable.","""Having peace of mind""",Boundary-setting roommate seeking predictable quiet,Sociable roommate negotiating accommodations,"{'scenario_context': 'A calm, pre-scheduled roommate check-in on a Sunday early evening takes place at the shared kitchen table of a two-bedroom apartment with thin walls. [Agent 1], a boundary-setting roommate who needs predictable quiet due to early morning work calls, has brought a notepad and the building’s posted quiet-hours policy. [Agent 2], a sociable roommate who practices music and likes to host occasionally, has their phone open to a shared calendar app. Last Tuesday’s late-night noise (which disrupted [Agent 1]’s sleep) and a brief text acknowledgment from [Agent 2] prompted this meeting. Both have already expressed willingness to find a predictable routine so the home feels peaceful and considerate. They intend to create a simple, written roommate agreement that covers quiet hours, guest notice, music practice times, and Friday hosting parameters, and to enter notices on a shared calendar before taping the agreement to the fridge.', 'explanation': 'The setting is low-tension and collaborative (Easy difficulty): a planned check-in with tools at hand (building policy, shared calendar, notepad) and a prior acknowledgment of the issue. The shared goal—having peace of mind—is foregrounded through a predictable routine and a written agreement. [Agent 1]’s personal goals (quiet hours 10 PM–7 AM on weeknights, no weeknight gatherings, 48-hour notice for weekend guests, and a brief acknowledgment of recent disruption) naturally fit the agenda. [Agent 2]’s goals (music practice 5–7 PM on weekdays, Friday hosting until 11 PM with 48-hour notice, and using a shared calendar plus verbal assurance these terms are acceptable) are also explicitly relevant. The cooperative environment and clear structure make alignment and explicit commitments straightforward.'}"
"{'Abbreviation': 'Being popular', 'Full label': '""Being in the center of things , being popular""'}",Identity Recognition,"Popularity hinges on being seen by others as central and influential. Identity Recognition fits best because each agent seeks explicit acknowledgment from the other that confirms a high-status identity. The roles create different pathways to claim status: one via online visibility, the other via control of offline access. The goals are measurable through counts of acknowledgments and concrete public commitments stated in dialogue.","Get at least two explicit acknowledgments from Agent 2 that I am popular or central, and secure Agent 2's clear commitment to introduce me as the go-to person at the next group event.","Get at least two explicit acknowledgments from Agent 1 that I am popular, central, or a trend setter, and secure Agent 1's explicit commitment to promote my upcoming event via a pinned post or tagged story within 24 hours.","""Being in the center of things , being popular""",Image-Builder (Social Media Maven): leverages follower metrics and narratives to claim centrality and steers conversation toward visibility and reach.,"Gatekeeper (Event Organizer and Connector): controls access to people and events, using invitations and spotlights to assert centrality.","{'scenario_context': 'Setting: A quiet high-top table in the greenroom of a downtown creative collective, 20 minutes before the weekly ""Creator Circuit"" meetup opens its doors. [Agent 2], the event organizer, has the run-of-show, a stack of VIP wristbands, and a mic check scheduled. [Agent 1], a social media maven, is reviewing analytics and recent engagement spikes on their phone. The room has a media wall, a flyer stack for [Agent 2]’s upcoming rooftop mixer with a QR code, and a reserved segment in tonight’s program titled ""Community Shout-Outs."" Shared goal: Both want to be seen at the center of the community—visible, popular, and indispensable—by coordinating how tonight’s shout-outs, intros, and posts will spotlight them. Personal goals: [Agent 1] aims to secure at least two explicit acknowledgments from [Agent 2] that they are popular or central, plus [Agent 2]’s clear commitment to introduce [Agent 1] as the go-to person at the next group event. [Agent 2] aims to receive at least two explicit acknowledgments from [Agent 1] that they’re popular, central, or a trendsetter, and to secure [Agent 1]’s explicit commitment to promote the rooftop mixer via a pinned post or tagged story within 24 hours. Resources and leverage: [Agent 2] controls access to the mic, the introductions, and spotlight moments; [Agent 1] controls reach through follower metrics and content formats. The conversation will revolve around finalizing the intro script, deciding which hashtags and handles are used tonight, setting a photo-op moment near the media wall, and confirming cross-promotion timing. The atmosphere is cooperative, with clear mutual benefit and minimal friction.', 'explanation': 'This setup is easy because the agents’ incentives are naturally aligned: [Agent 2] gains promotional reach while [Agent 1] gains formal recognition and stage positioning. Time is short but not pressured, encouraging straightforward commitments. Dispositional motives (status-seeking, influence management) and situational factors (control of the mic and guest list vs. control of audience reach) interact clearly, creating a low-tension exchange of social capital that supports the shared goal of being perceived as central and popular.'}"
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals , fighting for things I believe in""'}",Cooperation,Cooperation was chosen because both agents share the overarching ideal of acting on their beliefs but must coordinate tactics and safeguards to move from conviction to joint action. The personal goals are complementary and measurable through explicit commitments captured in dialogue: one agent drives a concrete action plan; the other ensures the plan aligns with core values and inclusion.,"By the end of the conversation, secure Agent 2’s explicit agreement to a 4-point action plan: (1) a one-sentence cause statement, (2) one primary tactic to pursue first, (3) a public action date within 30 days, and (4) task assignments with deadlines—including Agent 2 committing to at least two tasks (e.g., booking a venue and drafting a press release) with specific dates.","Ensure the agreed plan explicitly includes three non-negotiables: (1) non-violent tactics only, (2) accessibility measures for any event (ASL interpreter and step-free venue), and (3) a community listening session scheduled before the public action; obtain Agent 1’s verbal confirmation that these items are written into the plan and that messaging centers affected community voices.","""Pursuing my ideals , fighting for things I believe in""",Campaign Strategist (task-oriented organizer driving planning and commitments),Community Advocate (values and inclusion lead safeguarding ethics and representation),"{'scenario_context': 'A calm early-evening planning session is set in a quiet meeting room at the Downtown Accessibility Coalition hub. The city has released a draft budget that reduces paratransit hours and pauses planned bus stop accessibility upgrades, prompting a coalition response. City Council is expected to discuss the budget in five weeks, so a visible, non-violent public action within the next 30 days is both feasible and timely. The room has a whiteboard, a wall calendar, a laptop with a press release template open, and a list of step-free venues nearby; a small grant for interpretation services is available if requested by Friday. [Agent 1], the Campaign Strategist, brings a printed 4-point planning worksheet (cause statement, first tactic, action date, task/deadline assignments) and a short list of potential tactics that can be executed quickly. [Agent 2], the Community Advocate, brings a non-negotiables checklist (non-violent tactics only; accessibility measures including ASL and a step-free venue; a community listening session before any public action) and anonymized quotes from riders with disabilities who are willing to share their experiences if the messaging centers their voices. Both agents share the broader purpose of pursuing ideals and fighting for what they believe in, and they have a positive working relationship from prior collaborations. The coalition’s partner groups are on standby and generally supportive. The goal of this meeting is to leave with a concise, concrete plan that honors inclusion and representation while being operationally clear. The situation is low-conflict: resources are available, venue options are identified, and both agents already agree on non-violence and centering impacted community members; they mainly need to sequence steps, set a date, and assign tasks so the plan can move immediately.', 'explanation': 'This setup makes cooperation straightforward: timelines are clear, resources are accessible, and the agents’ values already align. It also supports attribution theory analysis by juxtaposing dispositional tendencies (e.g., [Agent 1]’s task-oriented drive for commitments; [Agent 2]’s values-driven insistence on inclusion) with situational factors (the impending budget timeline, available accessibility resources, and a supportive coalition) to observe how each agent explains constraints, negotiates priorities, and attributes successes or delays when finalizing a shared action plan.'}"
"{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability , agility""'}",Cooperation,"Cooperation best fits because both agents share the outcome of improving agility and must coordinate complementary actions—one structures the plan and ensures safety/commitment, the other supplies constraints, negotiates details, and commits. Each personal goal is measurable through concrete conversation outcomes (plan elements agreed, questions asked, commitments made).","Co-create and secure explicit agreement on a 4-week agility plan (3 sessions/week, ≥5 named drills per session with intensity and progression rules), define baseline and follow-up tests (e.g., 5–10–5 shuttle, single-leg hop), verify equipment and safety constraints, and have the trainee restate the plan and commit to specific training days.","Communicate personal constraints (time, injury history, equipment), set a concrete agility target (e.g., 5% faster 5–10–5 shuttle in 4 weeks), ask at least three clarifying questions, request substitutions if needed, summarize the agreed plan, and commit to specific training days and times.","""Having physical ability , agility""","Agility coach/trainer responsible for assessment, instruction, safety checks, and securing commitment.","Trainee/athlete responsible for disclosing constraints, seeking clarity, and committing to the plan.","{'scenario_context': 'Setting: Saturday morning at a quiet community recreation center gym. The main basketball court has been reserved for 60 minutes. Cones, an agility ladder, six mini-hurdles, resistance bands, a foam roller, a tape measure, athletic tape/chalk for marking lines, a stopwatch, and a first-aid kit are laid out near one sideline. The floor is dry, the space is cordoned off with cones for a 10m x 15m training area, and there’s easy access to water and restrooms.\n\nRoles and purpose: [Agent 1] (agility coach/trainer) is meeting [Agent 2] (trainee/athlete) for an intake and plan-design session focused on improving on-field agility over the next four weeks. The shared goal is to build physical agility capacity. This session will include setting baseline tests, agreeing on a 4-week plan with 3 sessions per week, and confirming safety and equipment needs. \n\nContextual background: [Agent 2] plays recreational soccer with a new season starting in five weeks and wants to feel quicker in direction changes. They report a mild right ankle sprain from eight months ago (fully recovered) and occasional next-day knee stiffness after intense sprints, but no current pain. They have supportive footwear on and brought an ankle brace just in case. A PAR-Q form is completed and clear. [Agent 2] owns an agility ladder and resistance bands at home and can access a nearby park with a flat grass field if needed.\n\nConstraints and availability: [Agent 2] works 9–5 on weekdays, is typically free Tuesday and Thursday evenings after 6:00 PM and Saturday mornings. They will be out of town next Friday evening through Sunday morning in week 3. They’d like a plan that can be done at the gym or at the park without timing gates, using a phone stopwatch if needed.\n\nPlanned scope: [Agent 1] intends to introduce and demonstrate baseline measures (e.g., 5–10–5 shuttle, single-leg hop tests), discuss safety checks and warm-up/cool-down routines, and co-create a progressive, 3x/week agility program (at least five named drills per session) with clear intensity and progression rules. [Agent 2] aims to set a concrete agility target (e.g., improving the 5–10–5 by about 5% in four weeks), communicate any limits or preferences, ask clarifying questions (timing methods, soreness management, substitutions if the ankle/knee feels off), and agree to specific training days and times.\n\nIntended outcome of this meeting: Both parties leave with an agreed 4-week plan, defined baseline and follow-up test dates, verified equipment and safety considerations for gym and park settings, and a verbal restatement of the plan by [Agent 2] including the exact training days and times they commit to.', 'explanation': 'This easy, cooperative scenario aligns the shared goal of improving agility with [Agent 1]’s objective to formalize a structured, safe 4-week plan and [Agent 2]’s objective to set a concrete performance target, clarify constraints, and commit to training times. The environment is supportive with minimal obstacles, and relevant situational details (equipment availability, time windows, minor injury history) naturally invite discussion of tests, progression rules, substitutions, and commitment without introducing conflict.'}"
"{'Abbreviation': 'Being carefree', 'Full label': '""Being lighthearted , carefree , enjoying life""'}",Relationship Maintenance,"Chosen to focus on Relationship Maintenance because the shared goal centers on sustaining a positive, playful emotional climate. The personal goals translate this into measurable conversational behaviors (humor, affirmations, light planning) that can be evaluated later. The roles create complementary dispositions—one gently structures fun, the other amplifies spontaneity—supporting the shared aim of being lighthearted and carefree.","By the end of the conversation, co-create one simple, fun plan to do together within the next 7 days (activity + a day/time window), while keeping the vibe light by making at least 2 playful remarks and redirecting any stressful topics within 2 turns.","Keep the interaction carefree by sharing at least 2 playful stories or jokes, explicitly affirming Agent 1’s ideas at least 3 times with positive emotion or laughter cues, and ensuring the plan stays flexible (no more than one fixed constraint) while proposing at least one spontaneous element.","""Being lighthearted , carefree , enjoying life""",Gentle Planner — steers the chat toward a low-pressure shared plan using humor and quick reframing away from stress.,"Playful Catalyst — injects spontaneity and positive affect, resists over-structuring, and keeps the tone fun and free.","{'scenario_context': 'Early evening on a quiet, sunlit café patio, [Agent 1] and [Agent 2] decide to check in and plan a light, carefree hangout sometime in the next 7 days. They’re sipping iced drinks, people-watching, and scrolling a neighborhood events list on their phones. The week’s forecast is mild with no rain, and their calendars are mostly open. The only gentle constraints: [Agent 2] prefers evenings after 6 p.m. rather than early mornings, and [Agent 1] would like something simple that takes under two hours. Nearby, there are low-pressure options that don’t require reservations—mini-golf, a riverside sunset walk with soft-serve stands, a small arcade, and a free outdoor movie on one weeknight. A cheesy 80s song plays from the café speaker, reminding them of shared inside jokes, and they both recall a silly mini-golf mishap from months ago. Their shared aim is to keep things lighthearted and pick one easy plan (an activity plus a day/time window) without getting bogged down in details or logistics. They agree to avoid heavy topics like work stress or budgeting minutiae; if they come up, they’ll steer back to playful territory. The plan should stay flexible—at most one fixed constraint like “after 6 p.m.”—leaving room for a spontaneous twist the day-of, such as choosing the dessert spot on the fly or flipping a coin between two casual options.', 'explanation': 'This setting fosters an easy, cooperative tone suited to relationship maintenance and the shared goal of staying carefree. There are multiple low-effort, fun activities available that require no booking, so alignment is natural and stakes are low. [Agent 1] (Gentle Planner) can smoothly guide toward one simple plan and time window while using humor and quickly reframing any stressful topics. [Agent 2] (Playful Catalyst) has clear openings to add jokes and short playful stories (inside jokes, 80s song cue, past mini-golf mishap), enthusiastically affirm [Agent 1]’s ideas, and preserve flexibility by resisting over-structuring and suggesting a spontaneous element. With light constraints (evenings after 6 p.m., under two hours) and a good weather forecast, the goals are easily attainable, keeping the difficulty level easy.'}"
"{'Abbreviation': 'Being recognized', 'Full label': '""Being admired , recognized by others""'}",Identity Recognition,"Identity Recognition best fits because the shared goal is to be admired and recognized. The personal goals specify explicit acknowledgments and public actions that can be verified in dialogue. The roles (Project Lead and Lead Engineer) naturally shape how each agent negotiates credit and visibility, supporting analysis of attribution tendencies.","By the end of the conversation, secure Agent 2’s explicit agreement to: (1) list Agent 1 as the primary presenter and project owner for the upcoming launch at the all-hands, and (2) provide two concrete, quotable compliments about Agent 1’s leadership or vision to include in the announcement.","By the end of the conversation, secure Agent 1’s explicit agreement to: (1) add Agent 2 as co-presenter and name them as lead engineer in the launch materials, and (2) commit to posting a public Slack recognition tagging Agent 2 by a specific date.","""Being admired , recognized by others""",Project Lead (Product Manager) responsible for framing the project narrative and external recognition.,Lead Engineer responsible for the core technical solution and seeking fair credit for specialized contributions.,"{'scenario_context': 'Mid-morning in a quiet huddle room, one week before the company all-hands where a high-visibility feature launch will be showcased. [Agent 1], the Project Lead (Product Manager), and [Agent 2], the Lead Engineer, are in a 30-minute working session with the launch deck, the marketing announcement doc, and the internal recognition plan open on a shared screen. The Comms team has requested final inputs by 3 p.m.: the speaker lineup fields (""Primary Presenter,"" ""Co-presenter,"" ""Project Owner,"" and ""Lead Engineer""), two short pull-quotes about leadership/vision for the announcement, and a confirmation of any planned public Slack recognition posts. The CEO will introduce the segment, and the #announcements and #kudos channels are monitored closely by leadership, making recognition highly visible. Both agents want the launch to reflect well on them and the team so they are seen as admired, credible contributors. The relationship between [Agent 1] and [Agent 2] is positive and collaborative from prior releases, and both have the authority to finalize these materials without escalation. Personal aims are aligned with the shared goal: [Agent 1] wants explicit confirmation to be listed as primary presenter and project owner and to secure two quotable compliments from [Agent 2] about [Agent 1]’s leadership/vision; [Agent 2] wants explicit confirmation to be added as co-presenter, named as lead engineer in the deck and announcement, and to get [Agent 1]’s commitment to post a public Slack recognition tagging [Agent 2] by a specific date. There is light time pressure but no conflict or competing priorities, and both agents can edit the documents live during the meeting.', 'explanation': 'This setup is cooperative and low-friction: both agents share the goal of public recognition and their personal goals are complementary (primary presenter vs. co-presenter; project owner vs. lead engineer). Clear deliverables and a mild deadline create a natural reason to secure explicit agreements. The environment emphasizes visibility and credit, supporting easy alignment without adversarial stakes.'}"
"{'Abbreviation': 'Looking fit', 'Full label': '""Looking physically fit""'}",Cooperation,"Cooperation fits because both agents share the outcome of looking physically fit and must jointly design a feasible plan. The roles and goals are framed to surface dispositional (e.g., conscientiousness, image motivation) and situational (e.g., time limits, knee sensitivity, no gym access) attributions during negotiation, enabling evaluation via concrete conversational milestones.","Co-design with Agent 2 a 4-week, appearance-oriented plan during the conversation: specify 3 workout sessions per week (named days/times) with listed exercises and sets; agree on 5 diet/lifestyle actions; set 2 check-in dates; and get Agent 2’s explicit verbal commitment to take and share weekly progress photos.","Ensure the plan fits my constraints: max 45 minutes per session, no gym equipment, and knee-friendly options; obtain at least two alternatives per leg exercise; define my aesthetic targets (flatter waist and more shoulder definition) and a 6-week event deadline; secure one motivational strategy that avoids blame by focusing on tweakable situations; and confirm by summarizing the plan back to Agent 1.","""Looking physically fit""","Supportive, evidence-driven fitness coach friend who structures options, translates goals into actionable routines, and frames setbacks as situational.","Image-motivated, time-pressured partner who voices constraints, seeks reassurance, negotiates practicality, and co-decides on commitments.","{'scenario_context': 'A calm Sunday morning at [Agent 1]’s kitchen table. They have a 60-minute planning block, laptops open to a shared document and calendar. The shared aim is to look physically fit, and they want to co-design a practical, appearance-focused 4-week plan ahead of [Agent 2]’s friend’s beach wedding in six weeks. [Agent 1], a supportive, evidence-driven fitness coach friend, has simple bodyweight templates and brief summaries to translate goals into actionable routines. [Agent 2], image-motivated and time-pressured, arrives with clear constraints: each session must be 45 minutes or less, use no gym equipment, and be knee-friendly; they also want at least two alternatives for any leg-focused exercise. [Agent 2]’s aesthetic targets are a flatter waist and more shoulder definition, and their typical available windows are early mornings or weekday lunch breaks. The two intend to leave the session with: three named days/times per week, each with specific exercises and sets; five agreed diet/lifestyle actions; two calendar check-in dates; and [Agent 2]’s explicit commitment to take and share weekly progress photos. They will include one motivational strategy that focuses on tweakable situations (such as planning prompts or environment setup) rather than blame. [Agent 2] will confirm practicality by summarizing the plan back to [Agent 1]. The setting is friendly and cooperative, with no anticipated conflicts and an emphasis on aligning the plan to [Agent 2]’s constraints.', 'explanation': 'The context aligns a shared appearance goal with personal aims: [Agent 1] structures an evidence-based, supportive plan, while [Agent 2] ensures session length, equipment-free, and knee-friendly constraints are met, secures alternatives for leg work, states aesthetic targets and a six-week deadline, and confirms understanding by summarizing. The scene is low-friction and collaborative, making it easy to finalize specific workouts, five lifestyle actions, two check-ins, a weekly photo commitment, and a situation-focused motivational strategy.'}"
"{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive , exciting , fascinating , impressing others""'}",Identity Recognition,"The shared goal centers on impression management—being seen as exciting, fascinating, and impressive—which maps most directly to Identity Recognition. The agents’ personal goals operationalize this by using clear conversational markers of recognition: one seeks a public-facing endorsement (status conferral), the other seeks deference to their taste (status acknowledgment). Their roles—an Innovator aiming to dazzle and a Curator acting as a gatekeeper—structure how each pursues recognition in the exchange.","Secure an explicit commitment from Agent 2 to feature or introduce Agent 1 to their audience (e.g., 'I'll post about this' or 'I'll introduce you to X') during the conversation.",Elicit at least two explicit requests from Agent 1 for Agent 2’s opinion or approval on how to present themselves to impress others.,"""Being socially attractive , exciting , fascinating , impressing others""",Daring Innovator (flashy founder–storyteller showcasing novel achievements),Cultural Curator and Gatekeeper (trendsetting influencer who evaluates and endorses),"{'scenario_context': '[Agent 2] is hosting a curated ""Ones to Watch"" segment at an invitation‑only rooftop launch for a culture magazine during the city’s design week. Their media team has a 5‑minute open slot in tonight’s live stream and an empty slide on tomorrow’s newsletter lineup. A branded step‑and‑repeat, ring lights, and a content capture booth are set up nearby, with a producer waiting for [Agent 2]’s go‑ahead.\n\n[Agent 1], a flashy founder–storyteller, arrives with a striking, portable prototype: a kinetic, AI‑driven light sculpture that generates patterns in sync with soundtrack clips. They have two alternate taglines, two edits of a 20‑second sizzle, and a press kit on a tablet. The festival crowd is drifting toward the main stage in 15 minutes, giving [Agent 1] and [Agent 2] a quiet corner to huddle and quickly align.\n\nBoth want to look exciting and culturally relevant in front of nearby VIPs and early‑arriving creators. [Agent 1] aims to secure an explicit commitment from [Agent 2] to feature them—either a promise to post tonight or an introduction to a key editor/brand partner. [Agent 2], as a gatekeeper, wants [Agent 1] to actively seek their guidance on presentation—asking for input on which tagline to use, which edit to run, and how to position the origin story to impress the audience. The theme of the night (“Future Forms”) neatly matches [Agent 1]’s piece, making collaboration low‑friction and mutually flattering.', 'explanation': 'The setting is cooperative and low‑stakes: [Agent 2] already has a content gap and an audience primed for discovery, while [Agent 1] arrives prepared with polished materials and clear alignment to the event’s theme. This naturally supports the shared goal of appearing socially attractive and impressive. It also facilitates individual goals: [Agent 1] can easily prompt an explicit feature/intro commitment, and [Agent 2] can elicit at least two requests for their approval (e.g., choosing a tagline and a video edit), keeping the difficulty level easy.'}"
"{'Abbreviation': 'Nutrition', 'Full label': '""Being physiologically healthy , maintaining a healthy weight , eating nutritious foods""'}",Cooperation,"Cooperation best fits because achieving healthy weight and nutritious eating requires coordinated planning and resource management. The agents adopt complementary roles—one optimizes nutrition and feasibility of meals, the other manages budget, pantry use, and adherence—so their success depends on joint decisions. Personal goals are concrete and testable within a conversation (specific plans, numbers, and commitments).","By the end of the conversation, secure agreement on a 7-day meal plan that: lists 7 breakfasts, 7 lunches, and 7 dinners; keeps each main meal within 400–700 kcal and at least 25 g protein; ensures at least 5 total servings of vegetables/fruit per day; includes at least 2 meatless dinners; and confirms weekday prep time of 45 minutes or less.","By the end of the conversation, ensure the plan: fits a total grocery budget of $90 or less; uses at least 3 existing pantry items; replaces sugary snacks with 3 named healthy alternatives; sets two specific midweek/weekend accountability check-in times; and designates one controlled weekend treat that stays within the calorie budget.","""Being physiologically healthy , maintaining a healthy weight , eating nutritious foods""",Nutrition Planner & Home Cook,Budget-Conscious Grocery Shopper & Accountability Partner,"{'scenario_context': 'Sunday afternoon in a shared apartment kitchen, [Agent 1] (Nutrition Planner & Home Cook) and [Agent 2] (Budget-Conscious Grocery Shopper & Accountability Partner) sit at the table with a weekly store flyer, a grocery store app, a calorie-tracking app, and a whiteboard meal grid labeled Monday–Sunday. They are preparing the week ahead, aiming to eat nutritiously, maintain a healthy weight, and feel physically well. Both work 9–5 on weekdays and prefer quick breakfasts, packable lunches, and dinners that can be prepped in 45 minutes or less on weeknights. They agree to plan three main meals per day, incorporate at least five servings of fruits/vegetables daily, keep each main meal between 400–700 kcal with at least 25 g of protein, include at least two meatless dinners, replace sugary snacks with three healthier named alternatives, set two specific accountability check-in times (one midweek and one on the weekend), designate one controlled weekend treat that still fits within the calorie budget, use at least three pantry items, and keep the total new grocery spend at or under $90. \n\nThe pantry inventory available to reduce costs includes: brown rice (2 lb), rolled oats (1 lb), canned black beans (2), canned chickpeas (2), canned tomatoes (2), whole-wheat pasta (1 lb), peanut butter (half jar), canned tuna (3), extra-virgin olive oil, assorted spices, frozen mixed vegetables (1 bag), quinoa (1 lb). Basic perishables on hand that should be used soon: a half-bag of spinach, 6 carrots, 1 onion, and 2 apples. Nearby store weekly specials that [Agent 2] has clipped digital coupons for include: chicken breast $1.99/lb, extra-firm tofu $1.69/pack, eggs $2.29/dozen, Greek yogurt (32 oz) $4.99, cottage cheese $2.99, broccoli crowns $1.49/lb, bell peppers 3 for $2.50, whole-wheat tortillas $1.99, frozen berries $3.99. The kitchen has an oven, stove, sheet pans, an Instant Pot, a blender, and meal-prep containers. \n\nPersonal aims within the shared goal: [Agent 1] wants to leave the table with a finalized 7-day plan that clearly lists 7 breakfasts, 7 lunches, and 7 dinners that meet the calorie/protein targets, ensure at least five total servings of vegetables/fruit per day, include at least two meatless dinners, and confirm that weekday prep times will be 45 minutes or less. [Agent 2] wants to ensure the plan fits a total grocery budget of $90 or less, leverages at least three pantry items, swaps sugary snacks for three specific healthy alternatives, sets two exact check-in times (one midweek, one weekend), and includes one controlled weekend treat within the calorie budget. Their schedules show open windows Wednesday 7:00–7:15 pm and Sunday morning 10:00–10:15 am for possible check-ins. Treat ideas on the table include a small gelato cup, a dark-chocolate square, or frozen yogurt bark, contingent on calories. Both are omnivores, comfortable with meatless meals, have no food allergies, prefer minimal food waste, and are motivated to cooperate to keep the process simple and successful.', 'explanation': 'This setup positions [Agent 1] and [Agent 2] in a low-conflict, resource-rich environment with aligned incentives: [Agent 1] focuses on nutrition and practicality; [Agent 2] ensures budget adherence and accountability. Clear constraints (budget, pantry use, prep time, nutrition targets) and available tools (coupons, apps, equipment) make the goals attainable. Shared preferences, no dietary restrictions, and pre-identified check-in windows further reduce friction, making the scenario Easy and conducive to cooperative planning.'}"
