base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Buying things', 'Full label': '""Buying things I want""'}",Information Acquisition,"Buying decisions in a shopper–salesperson interaction hinge on information acquisition: the shopper seeks tailored guidance, while the salesperson seeks to accurately read preferences to make that guidance relevant.","Influence the salesperson to mirror my stated tastes and budget, offering guidance that affirms rather than pressures.",Infer the shopper’s underlying preferences by eliciting specifics and reflecting them back to guide the conversation.,"""Buying things I want""",Budget-conscious Shopper,Attentive Salesperson,"{'scenario_context': '[Agent 1], a budget-conscious shopper with a strict ceiling and a prior bad sales experience, seeks a laptop that matches personal tastes (light creative work, long battery, minimalist design) without feeling steered. [Agent 1] frames preferences in tentative terms and references a lower online price to test whether guidance will mirror stated priorities and budget. [Agent 2], an attentive salesperson, aims to infer underlying preferences by eliciting specifics and reflecting them back, yet faces end-of-day quota pressure and a manager promoting a higher-margin model and accessory bundle. The midrange option that best fits [Agent 1]’s stated needs is low in stock, pushing trade-off talk. [Agent 1] is alert to subtle upsell cues and withholds full information until trust is earned. [Agent 2] must ask diagnostic questions about actual use, design taste, and budget flexibility without sounding leading. Both share the goal of identifying a purchase that aligns with what [Agent 1] truly wants, but time pressure, stock constraints, and perceived motives raise tension and ambiguity around how much to disclose and how to interpret the other’s intent.', 'explanation': 'This setup creates a high-difficulty information-acquisition interaction. [Agent 1] wants affirming, mirrored guidance within a strict budget and is primed to attribute probing as pressure (dispositional attribution of pushiness), while [Agent 2], under situational pressures (quota, promotion, stock), risks attributing hesitancy to indecisiveness rather than past experience. Ambiguous preference statements, strategic withholding of information, and trade-offs from stock limits make inference and mirroring challenging. The shared goal (buying what [Agent 1] wants) is strained by conflicting incentives and time pressure, forcing both agents to manage impressions, test motives, and continually adjust attributions to move the conversation forward.'}"
"{'Abbreviation': 'Fashion', 'Full label': '""Keeping up with fashion""'}",Identity Recognition,"Fashion talk often negotiates identity; one agent seeks recognition as a tastemaker while the other asserts pragmatic authenticity, revealing how dispositional motives shape interaction.",Position themselves as the tastemaker by steering the other to spontaneously seek their validation and mirror their evaluative style language during fashion talk.,"Assert a practical, authentic identity by prompting the other to justify trend claims using comfort, durability, or cost terms and to soften status-driven language.","""Keeping up with fashion""",Trendsetter influencer,Pragmatic skeptic,"{'scenario_context': '[Agent 1] (Trendsetter influencer) and [Agent 2] (Pragmatic skeptic) are co-hosting a live ""Fall Edit"" segment for a boutique that will publish their joint list of five ""must-have"" items to help viewers keep up with fashion. They must agree on a single list in 10 minutes under a shared budget cap, while an on-screen counter shows which host’s phrasing drives clicks on affiliate links. The boutique is nudging a high-margin, viral item whose durability is uncertain. An audience chat reacts in real time and a post-event recap will rank which host’s criteria viewers cited when purchasing.\n\nShared goal: present a coherent, useful list that signals currency in fashion.\n- [Agent 1]’s personal goal: establish themselves as the tastemaker by steering how items are evaluated (e.g., silhouette, proportion, directional, quiet-luxury), prompting [Agent 2] to seek their validation and adopt their evaluative language.\n- [Agent 2]’s personal goal: assert an authentic, practical identity by pushing justifications in terms of comfort, durability, and cost (e.g., fabric, construction, cost-per-wear), and by softening or reframing status-driven talk.\n\nTension points are immediate: they must reconcile a trendy, fragile-looking piece versus sturdier options; viewers reward status language, while skeptics in the chat demand utility. Both understand their reputations and metrics will be compared publicly, and the sponsor’s nudge conflicts with the budget and quality concerns. They are expected to avoid long debates yet produce shared rationales on the spot.', 'explanation': 'This setup pits identity-signaling against authenticity under time pressure, public evaluation, and conflicting incentives. [Agent 1] is motivated to frame taste and elicit deference and linguistic mirroring; [Agent 2] is motivated to re-anchor claims in utility and force concrete justification. Because affiliate tracking and a sponsor’s push can be interpreted as dispositional (status-seeking or contrarianism) or situational (platform incentives, limited budget), each agent is primed to make contested attributions about the other’s motives. The need to agree on a single list while being scored on whose criteria prevail creates high-stakes, real-time tension that makes both the shared goal and individual goals difficult to achieve.'}"
"{'Abbreviation': 'Avoiding rejection', 'Full label': '""Avoiding rejection by others""'}",Relationship Maintenance,"Relationship Maintenance best fits a shared aim of avoiding rejection, as both agents orient their communication to preserve inclusion and belonging. One agent seeks cues of acceptance; the other actively manages tone and framing to convey inclusion and reduce threats of rejection.","Elicit signs of acceptance—such as mirroring, validating language, and warm tone—by offering mild self-disclosure and attending to how the other responds.","Convey steady acceptance by normalizing differences, using inclusive framing, and softening disagreement so the other feels safe and not judged.","""Avoiding rejection by others""",Junior colleague,Team mentor,"{'scenario_context': ""[Agent 1], a junior colleague, joins a tightly timed 1:1 with [Agent 2], the team mentor, minutes after a stand-up where [Agent 1]'s idea was briskly set aside by senior teammates. Tomorrow's high-stakes design review will put [Agent 1] in front of the same group, and [Agent 2] must pass along feedback that some peers perceive [Agent 1] as coming on too strong in discussions. The meeting is framed as a quick prep and check-in, but [Agent 2] also has an upcoming calibration meeting where collaboration will be evaluated.\n\nBoth aim to avoid rejection by others: [Agent 1] seeks cues of acceptance from [Agent 2]—mirroring, validating language, warm tone—by offering mild self-disclosure about feeling unsure after the stand-up and watching how [Agent 2] responds. [Agent 2] intends to convey steady acceptance—normalizing differences and using inclusive framing—while still delivering concrete, potentially ego-threatening guidance and asking for behavior adjustments to fit team norms. Time pressure, a power imbalance, and the need to relay third-party criticism make acceptance signals ambiguous and easy to misread, raising the risk that supportive intent is attributed as judgment or distance."", 'explanation': 'Hard difficulty arises from conflicting demands: [Agent 2] must both coach and evaluate, deliver negative social feedback, and do so under time pressure; [Agent 1] is sensitized by a recent public dismissal. Ambiguous nonverbal and verbal cues heighten attributional ambiguity, inviting dispositional attributions of rejection by [Agent 1] to what [Agent 2] intends as situationally constrained mentoring. The shared goal of avoiding rejection collides with personal goals around self-disclosure and softening disagreement, making alignment effortful and fragile.'}"
"{'Abbreviation': 'Wisdom', 'Full label': '""Having wisdom""'}",Information Acquisition,"To pursue the shared goal of having wisdom, the interaction centers on drawing out and refining understanding through dialogue. One agent uses questioning to uncover assumptions; the other demonstrates humility and reflective elaboration, enabling both to gain deeper insight via conversational behavior.","Elicit the other’s underlying assumptions through open-ended, nonjudgmental questions that surface deeper reasoning.","Model epistemic humility by openly stating uncertainties and revising claims in response to probing, inviting the other to consider nuance.","""Having wisdom""",Socratic Inquirer,Reflective Mentor,"{'scenario_context': 'Twenty minutes before they must present a joint recommendation to a hospital board on whether to suspend a new patient-triage algorithm after a harm incident, [Agent 1] and [Agent 2] meet behind closed doors. Their shared aim is having wisdom—arriving at a responsible, well-reasoned judgment under uncertainty. [Agent 2], a reflective mentor who previously endorsed the algorithm in public guidance, now faces equivocal internal data and political scrutiny. [Agent 1], a Socratic inquirer, intends to surface [Agent 2]’s underlying assumptions about causality, acceptable risk, and moral responsibility through open-ended, nonjudgmental probing. [Agent 2] aims to model epistemic humility by stating uncertainties and revising claims if warranted, while also protecting credibility, team morale, and ongoing projects tied to the algorithm. High stakes, severe time pressure, status asymmetry, and fear of reputational loss make defensiveness, face-saving, and misattributions likely, complicating their effort to jointly acquire accurate information and reach a wise stance.', 'explanation': 'The setup is hard due to time pressure, public pre-commitments by [Agent 2], ambiguous and politically charged evidence, and status dynamics that raise identity threat and reputational risk. Dispositional aims (Socratic inquiry; epistemic humility) collide with situational pressures that promote self-serving attributions, defensiveness, and premature closure. The scene foregrounds how both agents’ traits interact with context to shape whether they can extract deeper assumptions, update beliefs, and coordinate on a wise recommendation.'}"
"{'Abbreviation': 'Good parent', 'Full label': '""Being a good parent (teaching, providing, transmitting values)""'}",Cooperation,"Cooperation best fits co-parents coordinating how to teach, provide, and transmit values. The goals focus on complementary interaction styles—one structures joint standards, the other sustains emotional openness—so they can collaborate effectively.",Steer the partner’s talk toward shared routines and consistent consequences by reframing topics with 'we' language and principle-based summaries before suggesting next steps.,Maintain an empathy-first frame by validating the partner’s concerns and inviting feeling-focused talk before engaging with rule proposals.,"""Being a good parent (teaching, providing, transmitting values)""",Structure-focused co-parent,Emotion-focused co-parent,"{'scenario_context': 'Fifteen minutes before a joint school-counselor meeting, [Agent 1] and [Agent 2] have to align on how to respond to their 13-year-old’s two-day suspension for skipping classes and being online late into the night. Teachers cite missing assignments and hostile messages in group chats; both households have inconsistent screen rules and curfews. The counselor has asked for a single, united plan that includes how they’ll talk to the child tonight and what consequences and routines will follow across both homes. Last week, [Agent 2] lifted a grounding after a tearful meltdown, which the child referenced to the teacher as evidence that rules aren’t firm; [Agent 1] was contacted about “mixed messages.” Each expects to be blamed if the plan sounds either too harsh or too lenient, and they disagree about why the behavior happened (poor structure versus emotional overwhelm). There is time pressure, a history of arguments escalating in front of the child, and a need to coordinate two households without contradicting each other.', 'explanation': 'This setup makes cooperation difficult by combining time pressure, identity threat, and divergent causal attributions: [Agent 1] leans toward dispositional explanations (lack of discipline) and wants to reframe the talk with we-language, principles, and consistent consequences; [Agent 2] leans toward situational explanations (stress, anxiety) and intends to validate feelings and invite emotion-focused discussion before rule-setting. Both share the goal of being good parents and presenting a united plan, but their methods compete for conversational control, creating a high-tension context for attribution-driven misunderstandings and alignment challenges.'}"
"{'Abbreviation': 'Defense vs. criticism', 'Full label': '""Defending myself against others’ criticisms or attacks""'}",Conflict Resolution,"Defending against criticisms is inherently a conflict-laden interaction, so Conflict Resolution fits. The employee’s goal centers on attribution reframing (from dispositional to situational), while the supervisor’s goal centers on legitimizing critiques through procedures—two distinct social intentions measurable via conversational moves and tone.","Recast the supervisor’s criticisms as situational and behavior-specific by asking for concrete examples, acknowledging actionable points, and explicitly resisting global trait labels.","Signal fairness and legitimacy by grounding critiques in documented expectations, using neutral process language, and redirecting personal challenges to policy and evidence.","""Defending myself against others’ criticisms or attacks""",Accused employee,Critical supervisor,"{'scenario_context': 'A closed-door, end-of-quarter review meeting. Thirty minutes before [Agent 2] must finalize performance ratings that could trigger a formal improvement plan, [Agent 1] has been asked to respond to a draft review that uses global labels like ""unreliable"" and ""poor attitude."" The critique references three documented incidents: a missed handoff on the Q3 rollout, a tense client escalation call, and inconsistent attendance at daily standups. [Agent 1] brings emails and Jira timelines showing late upstream inputs, shifting priorities, and prior notice of asynchronous updates; [Agent 2] brings the expectations rubric, timestamps, and meeting logs, with HR copied on the draft but not present. Both anticipate reputational stakes and limited time. The shared goal is defensive: [Agent 1] seeks to reframe criticisms as situational and behavior-specific by asking for concrete examples, acknowledging actionable points, and resisting global trait labels; [Agent 2] seeks to establish fairness and legitimacy by anchoring critiques to documented expectations, using neutral process language, and redirecting personal challenges to policy and evidence. Power asymmetry, time pressure, and ambiguous causality set a high-tension context for the exchange.', 'explanation': 'This setup pits dispositional versus situational attributions under identity threat and time pressure. [Agent 1] will try to shift causal explanations from personal traits to context and behaviors while preserving face; [Agent 2] will try to maintain authority and procedural justice by tying judgments to evidence and policy. The ambiguity of the incidents invites the fundamental attribution error, while power dynamics and the risk of a PIP intensify defensiveness and make alignment on a shared resolution difficult.'}"
"{'Abbreviation': 'Contribution', 'Full label': '""Making a lasting contribution to society""'}",Cooperation,Cooperation best fits a shared aim of making a lasting contribution. One agent seeks to motivate and align; the other tests adaptability and transparency—complementary intentions that shape collaborative behavior.,Energize the other’s intrinsic motivation by affirming shared purpose and reflecting their values so they spontaneously articulate avenues for collaboration in their own words.,Gauge the other’s adaptability by surfacing concrete constraints and attending to whether their replies integrate feedback with transparency and calm.,"""Making a lasting contribution to society""",Community Organizer,Impact Funder,"{'scenario_context': 'On a 45-minute video call billed as the final diligence step for a potential three-year grant to expand a resident-led leadership initiative, [Agent 1] (Community Organizer) and [Agent 2] (Impact Funder) must decide whether to proceed. Both seek a lasting contribution to society through durable, community-owned capacity rather than short-term wins. Tension is high: the funder’s conditional pledge expires in 72 hours and requires 1:1 matching within 90 days, monthly job-placement metrics, and adoption of a central tech platform. [Agent 1]’s model prioritizes slower participatory governance, flexible funds, and co-created metrics; a partner just withdrew, a city permit is delayed, and a public budget cut opened an 18% gap. After a site visit where residents criticized ""scalable"" approaches, [Agent 2]’s board is wary of diffuse outcomes following a recent compliance failure by another grantee; a journalist has asked both parties about strings-attached philanthropy. In this call, [Agent 1] aims to affirm shared purpose and reflect [Agent 2]’s values so that [Agent 2] articulates collaboration avenues in their own words. [Agent 2] plans to surface concrete constraints and watch whether [Agent 1] integrates feedback with transparency and calm. If alignment is not reached, funds will be redirected to a national intermediary.', 'explanation': 'The scene embeds cooperative intent within power asymmetry, time pressure, and contested definitions of impact, heightening the risk of misattribution. [Agent 2] could interpret [Agent 1]’s hesitations as dispositional rigidity rather than responses to concrete constraints; [Agent 1] could see [Agent 2]’s firmness as control-seeking instead of board-driven accountability. Each agent’s personal goal directly probes attributional processes: energizing intrinsic motivation via value reflection versus testing adaptability under constraint. The setup elicits fundamental attribution error, self-serving bias, and emotion-regulation demands, making cooperation difficult yet diagnostically rich for observing how dispositional and situational factors shape behavior.'}"
"{'Abbreviation': 'Achieving salvation', 'Full label': '""Achieving salvation""'}",Information Provision,"Achieving salvation often hinges on understanding doctrines, practices, and meanings. The interaction naturally centers on one agent conveying guidance and the other interpreting and testing it, so Information Provision best fits.","Guide the other’s understanding by offering patient, nonjudgmental explanations that reduce anxiety and invite more candid disclosure of doubts.",Evaluate the guide’s credibility by posing concrete moral concerns and observing whether responses are coherent and compassionate.,"""Achieving salvation""",Spiritual Mentor,Questioning Seeker,"{'scenario_context': 'Early evening in a small counseling room just off a busy community hall. After a sermon that emphasized the urgency of ""salvation,"" [Agent 2] requested a private meeting with [Agent 1]. They have 30 minutes before the room is needed again, and hallway noise and occasional knocks signal limited privacy. The shared goal is to clarify what ""achieving salvation"" practically requires and what it means for moral responsibility. [Agent 1], the Spiritual Mentor, aims to lower [Agent 2]’s anxiety by offering patient, nonjudgmental explanations and to invite candid disclosure of doubts. [Agent 2], the Questioning Seeker, arrives with written, concrete moral dilemmas (e.g., harm versus forgiveness, fate of outsiders, past wrongdoing) and plans to test the mentor’s credibility by probing for coherent and compassionate answers. Complicating factors include: [Agent 2]’s past negative religious experiences, a family ultimatum about committing to the faith, concern about judgment, and uncertainty about confidentiality; [Agent 1]’s recent criticism from peers for being ""too lenient,"" institutional expectations to uphold doctrine, and awareness that [Agent 2] may share the guidance with skeptical friends. Power dynamics, time pressure, and reputation concerns heighten tension.', 'explanation': 'This setup creates high stakes and evaluative pressure, making information provision difficult. Dispositional factors: [Agent 1]’s gentle, mentoring style and role-bound commitment to doctrine; [Agent 2]’s analytic skepticism and vigilance after moral injury. Situational factors: time limits, privacy uncertainty, potential audience via sharing, family pressure, and a recent hardline sermon. Likely attribution patterns: [Agent 1] may see [Agent 2]’s pushback as trait-level defiance or trauma-driven caution; [Agent 2] may see [Agent 1]’s confidence as institutional loyalty rather than genuine care. These attributions can escalate or de-escalate anxiety depending on whether explanations are framed compassionately and concretely. The shared goal (understanding a path to salvation) conflicts with institutional constraints and reputational concerns, making it hard for [Agent 1] to be both clear and nonjudgmental, and for [Agent 2] to assess coherence without triggering defensiveness.'}"
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}",Relationship Building,"Belonging hinges on forming affiliative ties and mutual rapport, which fits the Relationship Building category. The agents’ goals focus on how they shape one another’s tone, disclosures, and inclusion signals in conversation.",Elicit warmth and inclusive cues from the insider by sharing relatable vulnerabilities and mirroring their positive tone to co-create rapport.,"Gauge fit and signal inclusion by gently probing for shared norms and, when alignment appears, responding with welcoming in-group language and validation.","""Belonging to social groups, feeling like part of a group""",Prospective Member,Group Insider,"{'scenario_context': 'Pre-meeting mingle at a corporate employee resource group for first‑generation professionals. [Agent 1], a new hire hoping to join the inner circle, approaches [Agent 2], a visible insider with a ""Core Team"" badge. The group is tense after a recent leak of confidential personal stories from a prior session; leadership asked core members to be cautious about onboarding newcomers and to reinforce norms around confidentiality and mutual support. The meeting starts in five minutes; several insiders hover nearby, using in‑group jargon. [Agent 1] aims to elicit warmth and inclusion by sharing relatable vulnerabilities and mirroring [Agent 2]’s tone. [Agent 2] must gauge fit by gently probing for alignment with group norms and, if aligned, signaling welcome with validating, in‑group language. Barriers: [Agent 1] works in the compliance unit that investigated the leak, risking suspicion of ulterior motives; [Agent 1] arrived late due to a manager’s ping, risking an impression of flakiness; [Agent 2] is fatigued from handling fallout and may appear curt. Both want to feel part of the group, yet the stakes, ambiguity of norms, and time pressure make rapport fragile and judgments high‑risk.', 'explanation': 'The scenario heightens attributional ambiguity: [Agent 1] may mistake [Agent 2]’s guardedness as dispositional coldness instead of a situational role constraint; [Agent 2] may interpret [Agent 1]’s self‑disclosure and mirroring as strategic ingratiation tied to compliance rather than genuine affinity. Time pressure, status asymmetry, and public visibility increase reliance on heuristics (warmth/competence cues, in‑group language) and raise the chance of fundamental attribution error. Success requires careful signaling and norm alignment despite strong situational pressures that can be misread as traits.'}"
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents, siblings, grandparents""'}",Relationship Maintenance,"Relationship Maintenance best fits because the shared aim is to sustain and deepen existing family bonds. One agent models vulnerability to invite reciprocity, while the other safeguards comfort and validates, balancing influence with responsiveness.","Invite reciprocal emotional disclosure by sharing concrete, vulnerable family memories and gently prompting the other in a warm, nonpressuring tone.","Lower the other's defensiveness and deepen understanding by reflecting their feelings and acknowledging boundaries, signaling acceptance over persuasion.","""Feeling close to my parents, siblings, grandparents""",Vulnerable Storyteller,Empathic Reflector,"{'scenario_context': '[Agent 1] and [Agent 2] sit in a parked car outside a multigenerational family dinner convened to discuss care plans after a grandparent’s recent fall. Minutes before going in, they agree to a short, focused practice conversation. Their shared goal is to feel closer to parents, siblings, and grandparents during the evening. [Agent 1], in the role of Vulnerable Storyteller, intends to recall specific, tender family memories (e.g., bedtime routines, shared holiday rituals) and gently invite reciprocal sharing without pressure. [Agent 2], in the role of Empathic Reflector, plans to mirror [Agent 1]’s feelings and validate boundaries to reduce defensiveness rather than persuade. The scene is tense: a sibling recently labeled [Agent 1] “too sensitive,” and a fresh text from a parent reads, “Let’s not rehash old stuff tonight.” [Agent 1] tends to read interruptions as rejection and assume relatives are cold (dispositional attributions), priming withdrawal. [Agent 2] habitually reframes family behavior as stress-driven (situational attributions), which [Agent 1] has previously experienced as minimizing. There is time pressure, a history of talks turning into debates, and uncertainty about how much vulnerability is safe to share. They set a quick check-in to negotiate boundaries before entering.', 'explanation': 'Hard difficulty arises from competing attributional lenses under time pressure: [Agent 1] is primed to make dispositional attributions about family coldness and may defensively shut down; [Agent 2] favors situational attributions that risk sounding invalidating. Prior ruptures (being called ""too sensitive"") and a parental preemptive boundary (“don’t rehash old stuff”) amplify threat, making it harder for [Agent 1] to disclose vulnerably and for [Agent 2] to reflect without sliding into advice or persuasion. The shared goal (felt closeness) conflicts with immediate cues that discourage emotional talk, forcing both agents to carefully calibrate disclosure, reflection, and boundary-respecting in a high-stakes moment.'}"
