scenario_idx,scenario,replicate_id,subcategory,difficulty,slot_id,agent_a_id,agent_b_id,agent_a_name,agent_b_name,pair_L1,pair_L1_bin
4,"{'scenario_context': '[Agent 1] and [Agent 2] are volunteers at a local community center organizing a weekly food distribution program for families in need. Their shared goal is to ensure the event runs smoothly and that all attendees receive the necessary support. [Agent 1], as the Support Facilitator, focuses on efficiently distributing food and addressing immediate concerns, while [Agent 2], the Relationship Builder, aims to create a welcoming atmosphere and build trust with the attendees for future engagements. The setting is a busy but orderly hall where volunteers and recipients interact.'}",2,Cooperation,Easy,Easy_Cooperation_S004_R02,77104,12063,Love Quinn,Neil Perry,0.75,Similar
4,"{'scenario_context': ""[Agent 1] and [Agent 2] are working together in a community outreach program aimed at providing immediate relief to homeless individuals during a severe winter storm. [Agent 1], as the Support Facilitator, is focused on distributing essential supplies like blankets, food, and warm clothing as efficiently as possible to address the urgent needs of the homeless population. [Agent 2], the Relationship Builder, is prioritizing building rapport with the recipients to ensure they feel valued and supported beyond the immediate crisis, with the hope of encouraging them to engage with long-term services like shelters and job training programs. The tension arises as [Agent 1] feels that [Agent 2]'s approach is slowing down the distribution process, potentially leaving some individuals without critical aid, while [Agent 2] believes [Agent 1]'s urgency is undermining the trust-building necessary for sustained support. The shared goal of helping others is complicated by the conflicting priorities of immediate effectiveness versus long-term relationship fostering, creating a high-stakes environment where both agents must navigate their differences to succeed.""}",4,Cooperation,Hard,Hard_Cooperation_S004_R04,13,1667,Dwight K. Schrute,Elliot Alderson,2.25,Different
47,"{'scenario_context': 'A local environmental advocacy group is hosting a town hall meeting to rally support for a new initiative to reduce plastic waste in the community. [Agent 1], a Motivational Speaker known for their impassioned speeches, has been invited to inspire the audience with personal stories of how small actions can lead to significant environmental change. Their goal is to ignite a sense of urgency and commitment in the attendees, hoping to convert passive listeners into active participants. [Agent 2], an Event Organizer with a reputation for meticulous planning, is responsible for ensuring the meeting runs smoothly and that the group’s objectives are clearly communicated. Their goal is to coordinate volunteers, manage logistics, and present a structured plan for upcoming clean-up drives and policy advocacy efforts. Tensions arise as [Agent 1]’s spontaneous and emotionally charged approach clashes with [Agent 2]’s need for order and precision, creating a challenging dynamic where both must navigate their differing styles to achieve the shared goal of mobilizing the community.'}",6,Cooperation,Hard,Hard_Cooperation_S047_R06,6818,9240,Tyler Durden,"Christine ""Lady Bird"" McPherson",0.75,Similar
19,"{'scenario_context': ""[Agent 1], a dedicated but inexperienced trainee, and [Agent 2], an intense and demanding motivator, are paired together for a rigorous agility training session in a high-performance gym. Both share the goal of enhancing physical ability and agility, but their approaches clash: [Agent 1] seeks gradual improvement through structured exercises and constructive feedback, while [Agent 2] believes in pushing limits through relentless challenges and minimal encouragement. Tension mounts as [Agent 1] struggles to keep up with [Agent 2]'s intense regimen, while [Agent 2] grows frustrated with what they perceive as [Agent 1]'s lack of commitment. The shared goal hangs in the balance as their personal motivations and methods collide.""}",1,Cooperation,Hard,Hard_Cooperation_S019_R01,2304,5635,Joe Biden,Clementine Kruczynski,2.25,Different
19,"{'scenario_context': ""[Agent 1], a dedicated but inexperienced trainee, and [Agent 2], an intense and demanding motivator, are paired together for a rigorous agility training session in a high-performance gym. Both share the goal of enhancing physical ability and agility, but their approaches clash: [Agent 1] seeks gradual improvement through structured exercises and constructive feedback, while [Agent 2] believes in pushing limits through relentless challenges and minimal encouragement. Tension mounts as [Agent 1] struggles to keep up with [Agent 2]'s intense regimen, while [Agent 2] grows frustrated with what they perceive as [Agent 1]'s lack of commitment. The shared goal hangs in the balance as their personal motivations and methods collide.""}",5,Cooperation,Hard,Hard_Cooperation_S019_R05,395614,14746,Han Mi-nyeo / No. 212,James Cook,0.25,Similar
45,"{'scenario_context': 'In a small automotive repair shop, [Agent 1], an enthusiastic apprentice, and [Agent 2], a seasoned mechanic mentor, are working together to fix a car engine that has been brought in for repairs. The shared goal is to successfully diagnose and repair the engine, demonstrating their mechanical ability. [Agent 1] aims to gain hands-on experience by assisting in practical tasks and learning from [Agent 2]. Meanwhile, [Agent 2] is focused on sharing technical knowledge, demonstrating expertise, and ensuring the task is completed efficiently.'}",3,Cooperation,Easy,Easy_Cooperation_S045_R03,14751,2862,Jair Bolsonaro,Hannibal Lecter,2.75,Different
4,"{'scenario_context': '[Agent 1] and [Agent 2] are volunteers at a local community center organizing a weekly food distribution program for families in need. Their shared goal is to ensure the event runs smoothly and that all attendees receive the necessary support. [Agent 1], as the Support Facilitator, focuses on efficiently distributing food and addressing immediate concerns, while [Agent 2], the Relationship Builder, aims to create a welcoming atmosphere and build trust with the attendees for future engagements. The setting is a busy but orderly hall where volunteers and recipients interact.'}",5,Cooperation,Easy,Easy_Cooperation_S004_R05,535,18737,Walter White,Fallon Carrington,0.5,Similar
28,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues participating in a casual workplace debate club. The topic for today's discussion is 'The Importance of Standing Up for One's Beliefs.' [Agent 1], as an Advocate, is passionate about encouraging others to stay true to their convictions. [Agent 2], as a Skeptic, enjoys questioning ideas to deepen understanding. Both agents share the goal of exploring the topic meaningfully, but [Agent 1] aims to persuade [Agent 2] to acknowledge the validity of their beliefs without compromising, while [Agent 2] seeks to challenge [Agent 1]'s views in a respectful manner that prompts reflection.""}",4,Conflict Resolution,Easy,Easy_ConflictResolution_S028_R04,672,5635,Skyler White,Clementine Kruczynski,2.25,Different
24,"{'scenario_context': ""[Agent 1] and [Agent 2] are close friends who regularly meet to discuss life challenges and support each other. Today, they are sitting in a quiet cafe, having agreed to talk about [Agent 1]'s recent struggle with accepting personal limitations due to a chronic health condition. [Agent 1] seeks emotional support to come to terms with these limitations without feeling resentful, while [Agent 2] aims to offer practical advice on how [Agent 1] can adapt daily routines and activities to better accommodate these limitations. Their shared goal is to help [Agent 1] accept life’s limitations in a healthy and constructive way.""}",2,Conflict Resolution,Easy,Easy_ConflictResolution_S024_R02,8797,11,Gretchen Wieners,Monica Geller,0.75,Similar
32,"{'scenario_context': ""[Agent 1], an apprentice eager to learn new skills for greater self-reliance, seeks guidance from [Agent 2], a mentor dedicated to teaching others to foster mutual self-sufficiency. They meet in a workshop setting, surrounded by tools and materials, where [Agent 2] is preparing to share expertise on a practical skill that aligns with [Agent 1]'s goal of becoming more independent. Both are motivated by cooperation and a shared desire to achieve self-sufficiency, creating a straightforward and supportive environment for their interaction.""}",7,Cooperation,Easy,Easy_Cooperation_S032_R07,1667,1713,Elliot Alderson,Joe Rogan,2.5,Different
3,"{'scenario_context': ""In a community meeting to decide on new guidelines for shared public spaces, [Agent 1], the Autonomy Advocate, fiercely defends the right of individuals to make personal choices without interference, emphasizing the importance of personal freedom. Meanwhile, [Agent 2], the Mediator, strives to balance the diverse opinions of the group, aiming to find a middle ground where everyone's freedom of choice is respected without causing division. The tension arises as [Agent 1] resists any compromise perceived as limiting individual autonomy, while [Agent 2] pushes for consensus, creating a challenging dynamic where both shared and individual goals seem difficult to reconcile.""}",2,Conflict Resolution,Hard,Hard_ConflictResolution_S003_R02,40440,12,Jules Vaughn,Michael Scott,1.0,Similar
45,"{'scenario_context': ""[Agent 1], an eager apprentice, and [Agent 2], a seasoned mentor, are working together in a small, cluttered garage on a complex mechanical repair project. The shared goal is to complete the repair successfully, demonstrating their mechanical ability. However, [Agent 1] is keen on taking a hands-on approach to learn through trial and error, while [Agent 2] insists on strict adherence to technical procedures to ensure efficiency and accuracy. The tension arises from [Agent 1]'s desire for experiential learning and [Agent 2]'s focus on precision and time constraints, making collaboration challenging.""}",3,Cooperation,Hard,Hard_Cooperation_S045_R03,14751,1713,Jair Bolsonaro,Joe Rogan,2.5,Different
4,"{'scenario_context': '[Agent 1] and [Agent 2] are volunteers at a local community center organizing a weekly food distribution program for families in need. Their shared goal is to ensure the event runs smoothly and that all attendees receive the necessary support. [Agent 1], as the Support Facilitator, focuses on efficiently distributing food and addressing immediate concerns, while [Agent 2], the Relationship Builder, aims to create a welcoming atmosphere and build trust with the attendees for future engagements. The setting is a busy but orderly hall where volunteers and recipients interact.'}",6,Cooperation,Easy,Easy_Cooperation_S004_R06,8797,11,Gretchen Wieners,Monica Geller,0.75,Similar
47,"{'scenario_context': 'A local environmental advocacy group is hosting a town hall meeting to rally support for a new initiative to reduce plastic waste in the community. [Agent 1], a Motivational Speaker known for their impassioned speeches, has been invited to inspire the audience with personal stories of how small actions can lead to significant environmental change. Their goal is to ignite a sense of urgency and commitment in the attendees, hoping to convert passive listeners into active participants. [Agent 2], an Event Organizer with a reputation for meticulous planning, is responsible for ensuring the meeting runs smoothly and that the group’s objectives are clearly communicated. Their goal is to coordinate volunteers, manage logistics, and present a structured plan for upcoming clean-up drives and policy advocacy efforts. Tensions arise as [Agent 1]’s spontaneous and emotionally charged approach clashes with [Agent 2]’s need for order and precision, creating a challenging dynamic where both must navigate their differing styles to achieve the shared goal of mobilizing the community.'}",1,Cooperation,Hard,Hard_Cooperation_S047_R01,672,2862,Skyler White,Hannibal Lecter,2.75,Different
3,"{'scenario_context': ""In a community meeting to decide on new guidelines for shared public spaces, [Agent 1], the Autonomy Advocate, fiercely defends the right of individuals to make personal choices without interference, emphasizing the importance of personal freedom. Meanwhile, [Agent 2], the Mediator, strives to balance the diverse opinions of the group, aiming to find a middle ground where everyone's freedom of choice is respected without causing division. The tension arises as [Agent 1] resists any compromise perceived as limiting individual autonomy, while [Agent 2] pushes for consensus, creating a challenging dynamic where both shared and individual goals seem difficult to reconcile.""}",3,Conflict Resolution,Hard,Hard_ConflictResolution_S003_R03,77104,12063,Love Quinn,Neil Perry,0.75,Similar
4,"{'scenario_context': ""[Agent 1] and [Agent 2] are working together in a community outreach program aimed at providing immediate relief to homeless individuals during a severe winter storm. [Agent 1], as the Support Facilitator, is focused on distributing essential supplies like blankets, food, and warm clothing as efficiently as possible to address the urgent needs of the homeless population. [Agent 2], the Relationship Builder, is prioritizing building rapport with the recipients to ensure they feel valued and supported beyond the immediate crisis, with the hope of encouraging them to engage with long-term services like shelters and job training programs. The tension arises as [Agent 1] feels that [Agent 2]'s approach is slowing down the distribution process, potentially leaving some individuals without critical aid, while [Agent 2] believes [Agent 1]'s urgency is undermining the trust-building necessary for sustained support. The shared goal of helping others is complicated by the conflicting priorities of immediate effectiveness versus long-term relationship fostering, creating a high-stakes environment where both agents must navigate their differences to succeed.""}",3,Cooperation,Hard,Hard_Cooperation_S004_R03,40440,13,Jules Vaughn,Dwight K. Schrute,2.25,Different
28,"{'scenario_context': ""In a community meeting discussing the introduction of a controversial new policy, [Agent 1], an Advocate, passionately argues for the policy's alignment with their deeply held values and its potential benefits for the community. [Agent 2], a Skeptic, questions the policy's ethical implications and practical feasibility, aiming to provoke thoughtful reconsideration. Both agents share the goal of standing up for their beliefs, but their approaches clash—[Agent 1] seeks unwavering acknowledgment of their perspective, while [Agent 2] strives to foster critical reflection without disrespect. The tension is high as neither wants to compromise their stance, yet mutual respect is a fragile thread holding the discussion together.""}",1,Conflict Resolution,Hard,Hard_ConflictResolution_S028_R01,12,395614,Michael Scott,Han Mi-nyeo / No. 212,0.75,Similar
3,"{'scenario_context': ""In a community meeting, [Agent 1], the Autonomy Advocate, strongly emphasizes the importance of individual freedom and choice, seeking to ensure their decisions are respected without outside interference. Meanwhile, [Agent 2], the Mediator, works to facilitate understanding and compromise among members with differing opinions, aiming to uphold collective freedom of choice for all. The shared goal is to maintain a harmonious environment where everyone's freedom of choice is preserved.""}",6,Conflict Resolution,Easy,Easy_ConflictResolution_S003_R06,535,2304,Walter White,Joe Biden,2.25,Different
3,"{'scenario_context': ""In a community meeting, [Agent 1], the Autonomy Advocate, strongly emphasizes the importance of individual freedom and choice, seeking to ensure their decisions are respected without outside interference. Meanwhile, [Agent 2], the Mediator, works to facilitate understanding and compromise among members with differing opinions, aiming to uphold collective freedom of choice for all. The shared goal is to maintain a harmonious environment where everyone's freedom of choice is preserved.""}",3,Conflict Resolution,Easy,Easy_ConflictResolution_S003_R03,6818,18737,Tyler Durden,Fallon Carrington,1.0,Similar
24,"{'scenario_context': ""[Agent 1] and [Agent 2] are close friends who have been navigating a difficult period in their lives. Recently, [Agent 1] received a diagnosis that significantly limits their physical capabilities, forcing them to reconsider long-held personal and professional aspirations. [Agent 2], who has always been pragmatic and solution-oriented, is trying to help [Agent 1] adapt to this new reality. They meet at [Agent 1]'s home, where [Agent 1] is struggling to come to terms with the emotional weight of their limitations, while [Agent 2] is focused on brainstorming practical adjustments to daily life. The shared goal is to accept life’s limitations, but [Agent 1] seeks emotional validation and acceptance, whereas [Agent 2] is intent on finding actionable steps to mitigate the impact of these limitations. The tension arises from [Agent 1]'s need for emotional support conflicting with [Agent 2]'s drive to solve problems, making the reconciliation of their goals particularly challenging.""}",3,Conflict Resolution,Hard,Hard_ConflictResolution_S024_R03,1713,14746,Joe Rogan,James Cook,2.5,Different
19,"{'scenario_context': ""[Agent 1], a trainee focused on improving personal agility, meets [Agent 2], a motivator, at a fitness center. The shared goal is to enhance physical ability and agility through cooperative exercises. [Agent 1] aims to improve their agility with the help of [Agent 2]'s guidance and feedback, while [Agent 2] seeks to challenge and inspire [Agent 1] to push their limits. The setting is a well-equipped gym with open space for agility drills, creating an ideal environment for their joint efforts.""}",2,Cooperation,Easy,Easy_Cooperation_S019_R02,12,9240,Michael Scott,"Christine ""Lady Bird"" McPherson",1.0,Similar
