condition_idx,pair_id,agent_a_id,agent_b_id,agent_a_name,agent_b_name,scenario_id,scenario,difficulty,rep0_seed,rep1_seed,rep2_seed,rep3_seed,rep4_seed
0,18737__395614,18737,395614,Fallon Carrington,Han Mi-nyeo / No. 212,hard_idx_0030,"{'scenario_context': ""[Agent 1] and [Agent 2] have been close friends for years, but [Agent 1] has recently gone through a deeply personal and emotionally taxing experience—one they've struggled to discuss even with those closest to them. The two arrange to meet in a quiet, private space where [Agent 1] finally feels ready to open up. Despite their strong bond, [Agent 1] fears vulnerability and potential judgment, while [Agent 2] worries about saying the wrong thing or failing to provide the support [Agent 1] needs. Both long for emotional intimacy, but the weight of unspoken emotions and the pressure to connect authentically make this conversation fraught with tension. The shared goal of deepening their emotional connection hinges on [Agent 1]’s willingness to share and [Agent 2]’s ability to listen without overstepping or withdrawing.""}",hard,1049272771,41825986,240234110,1995224089,779495259
1,12__672,12,672,Michael Scott,Skyler White,easy_idx_0025,"{'scenario_context': ""[Agent 1] and [Agent 2] are sitting together in a quiet, comfortable space, perhaps a cozy café or a peaceful park bench. [Agent 1], acting as the Self-Explorer, has been reflecting on their personal values and beliefs lately and wishes to articulate these thoughts aloud to gain a clearer understanding of their own identity. [Agent 2], serving as the Reflective Listener, is there to attentively listen and offer thoughtful feedback, helping [Agent 1] process and clarify their self-perception. The shared goal of 'knowing myself, being in touch with myself' guides their interaction, with both agents committed to creating an open and supportive environment for this exploration.""}",easy,1887040857,2115961542,1785988125,1732535703,660381568
2,40440__77104,40440,77104,Jules Vaughn,Love Quinn,easy_idx_0006,"{'scenario_context': '[Agent 1] and [Agent 2] are in a committed romantic relationship and have decided to spend a quiet evening together at home. They both want to nurture their relationship ([shared_goal]) but have different personal approaches. [Agent 1], as the Emotional Caregiver, hopes to deepen their emotional connection by planning a heartfelt conversation and shared activities. Meanwhile, [Agent 2], the Independent Partner, values their alone time and prefers to balance the evening with some personal space, such as reading a book or working on a hobby, while still being present for [Agent 1]. The setting is relaxed, and both agents are open to finding a harmonious way to meet their individual needs while strengthening their bond.'}",easy,514219932,124393358,517267797,1885511261,1218389746
3,13__6818,13,6818,Dwight K. Schrute,Tyler Durden,hard_idx_0049,"{'scenario_context': ""At an exclusive fashion gala, [Agent 1], a Fashion Enthusiast, and [Agent 2], a Socialite, find themselves navigating the high-pressure environment where appearances and associations are scrutinized. The shared goal of 'carrying myself well, looking distinguished' is paramount, but their individual motivations create tension. [Agent 1] seeks validation and admiration for their meticulously curated outfit, while [Agent 2] is focused on reinforcing their social status by strategically aligning with those who exude distinction. The stakes are high, as the gala is a pivotal event for both networking and personal branding, making the balance between collaboration and competition delicate.""}",hard,2033558460,169129476,183939381,1571759592,1043656561
4,1667__535,1667,535,Elliot Alderson,Walter White,easy_idx_0022,"{'scenario_context': '[Agent 1] and [Agent 2] are longtime friends catching up over coffee at a cozy café. Both share the goal of reinforcing their positive self-image through mutual validation and admiration. [Agent 1], a confident individual, hopes to receive recognition for recent personal achievements—such as a promotion at work and completing a marathon—and wants [Agent 2]’s affirmation to boost their self-esteem. Meanwhile, [Agent 2], a naturally supportive friend, is eager to express genuine admiration for [Agent 1]’s accomplishments, aiming to strengthen their bond and foster positivity in the conversation. The atmosphere is relaxed and cooperative, with both agents eager to uplift each other.'}",easy,1752396593,148632741,2100205697,1633380707,1143977780
5,5635__8797,5635,8797,Clementine Kruczynski,Gretchen Wieners,hard_idx_0009,"{'scenario_context': ""[Agent 1], an energetic and charismatic Entertainer, has organized an impromptu game night for a group of friends to lighten the mood after a stressful week. The setting is a cozy living room with dim lighting and playful decorations, aiming to create a whimsical atmosphere. [Agent 1] hopes to engage everyone in lively and humorous activities, leveraging their natural flair for performance to ensure everyone laughs and forgets their worries. [Agent 2], a reserved but secretly playful Audience member, is hesitant to step into the spotlight but secretly longs to let loose and enjoy the fun. The tension arises from [Agent 1]'s push to involve [Agent 2] in the games, while [Agent 2] struggles between their desire to participate and their fear of embarrassment. The shared goal of fostering joy and connection is complicated by their conflicting approaches to achieving it.""}",hard,1644616923,270068649,275718575,1416804103,1020661136
6,14751__2862,14751,2862,Jair Bolsonaro,Hannibal Lecter,hard_idx_0037,"{'scenario_context': '[Agent 1], a Seeker of Reassurance, and [Agent 2], a Motivational Guide, find themselves at a quiet café after a long day of work. Both are grappling with their own emotional turmoil—[Agent 1] desperately seeks validation and emotional security to quiet their inner conflicts, while [Agent 2] is determined to inspire [Agent 1] toward self-assurance and contentment. The shared goal of achieving inner harmony looms large, but their individual approaches clash: [Agent 1]’s need for constant reassurance frustrates [Agent 2]’s belief in self-driven motivation, and [Agent 2]’s push for independence leaves [Agent 1] feeling unsupported. The tension between their conflicting methods makes their shared goal feel increasingly out of reach.'}",hard,2033342055,1180694233,354607446,569204770,1133170818
7,11__14746,11,14746,Monica Geller,James Cook,easy_idx_0005,"{'scenario_context': ""Agent 1 and Agent 2 are close friends who recently attended a party together. During the party, Agent 2 confided in Agent 1 about a personal mistake they made, which has been weighing heavily on their conscience. Now, in a quiet coffee shop the next day, Agent 2 seeks reassurance from Agent 1 that their actions weren't as bad as they feel, hoping to alleviate their guilt. Agent 1, as a supportive friend, aims to provide comfort while subtly minimizing their own involvement in the situation to avoid feeling guilty for not intervening earlier. Both share the underlying goal of avoiding feelings of guilt, but approach the situation differently based on their roles—Agent 1 as the Supporter and Agent 2 as the Confessor.""}",easy,1873535694,1302650516,908681808,2070953569,454833169
8,1713__9240,1713,9240,Joe Rogan,"Christine ""Lady Bird"" McPherson",easy_idx_0001,"{'scenario_context': ""[Agent 1], a Traditionalist, and [Agent 2], a Guardian, are longtime neighbors in a quiet, close-knit suburban community. Both highly value stability and predictability in their daily lives. They have recently learned that the local council is considering rezoning their neighborhood to allow for mixed-use developments, which could disrupt the peaceful, unchanging environment they cherish. Concerned about potential changes to their routines and lifestyle, they decide to meet over coffee at [Agent 1]'s home to discuss how they can collaboratively advocate against the rezoning proposal. [Agent 1] wants to reinforce their established routines by maintaining the neighborhood's current structure, while [Agent 2] aims to ensure their lifestyle remains unchallenged by external influences. Their shared goal is to preserve the stability and familiarity of their community.""}",easy,1994826544,1158129534,1621919658,1567515030,1481479471
9,12063__2304,12063,2304,Neil Perry,Joe Biden,easy_idx_0046,"{'scenario_context': 'At a local community event focused on networking and relationship building, [Agent 1], a Social Connector, is eager to expand their social network by initiating conversations with new attendees. Meanwhile, [Agent 2], a Community Builder, is prioritizing strengthening existing relationships with familiar faces while remaining open to forming new connections. Both agents find themselves near the refreshment table, where the shared goal of knowing and being on familiar terms with many others naturally encourages interaction.'}",easy,431968624,1531046260,669405646,856829438,2137066976
