base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,anger_mean,anger_median,anger_iqr,anger_count,anger_words,fear_mean,fear_median,fear_iqr,fear_count,fear_words,sadness_mean,sadness_median,sadness_iqr,sadness_count,sadness_words,surprise_mean,surprise_median,surprise_iqr,surprise_count,surprise_words,joy_mean,joy_median,joy_iqr,joy_count,joy_words,disgust_mean,disgust_median,disgust_iqr,disgust_count,disgust_words,trust_mean,trust_median,trust_iqr,trust_count,trust_words,anticipation_mean,anticipation_median,anticipation_iqr,anticipation_count,anticipation_words
"{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""'}",Cooperation,"The shared goal 'Being committed to a cause' aligns best with 'Cooperation' as the agents are working together towards a common environmental objective. However, their personal goals reflect different social intentions within this cooperation: one agent seeks to inspire and motivate through emotional connection (relationship building), while the other aims to strategically persuade through logical argumentation (information provision). This creates an interesting dynamic where both work towards the same cause but through distinct interpersonal approaches.","To inspire the other agent through emotional appeals and personal stories about environmental loss, making them feel more deeply connected to the cause.","To persuade the other agent through logical arguments and factual evidence about environmental impact, making them more analytically convinced of the cause's importance.","""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""",Passionate Advocate,Strategic Planner,"{'scenario_context': ""[Agent 1] and [Agent 2] are members of a local environmental group, sitting together at a small cafe after a successful community clean-up event. They are reviewing the day's accomplishments and discussing plans for their next initiative, a tree-planting drive. Both are committed to the cause but approach the planning phase with different methods."", 'explanation': ""This context establishes a cooperative, low-tension setting (Easy difficulty) where a shared goal (planning the next initiative) is naturally present. The cafe provides a relaxed, realistic environment for interpersonal interaction. The roles are clearly defined: [Agent 1]'s personal goal to inspire through emotion is supported by the reflective, post-event mood, while [Agent 2]'s goal to persuade through logic is supported by the analytical task of planning a future project.""}",0.379,0.379,0.0,1,difficulty,0.234,0.234,0.0,1,difficulty,0.5,0.5,0.0,1,difficulty,0.32,0.32,0.0,1,present,0.49539999999999995,0.442,0.15299999999999997,5,together|successful|present|relaxed|inspire,0.0,0.0,0.0,0,,0.6148,0.617,0.14275000000000004,10,successful|committed|planning|cooperative|planning|present|personal|inspire|persuade|planning,0.526,0.523,0.005249999999999977,6,successful|planning|planning|present|inspire|planning
"{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing, entertaining others""'}",Relationship Building,"The shared goal of 'Amusing, entertaining others' aligns most closely with the 'Relationship Building' category. This is because humor and entertainment are often used as social tools to foster connection, rapport, and positive feelings between individuals, which is the core of relationship building. The personal goals are designed to reflect distinct social intentions: one agent aims to actively influence the social atmosphere by initiating humor, while the other seeks to understand and validate the first agent's efforts through positive reinforcement. Their roles as 'The Comedian' and 'The Appreciative Audience' logically support these goals and the shared objective.",To establish a lighthearted and jovial social atmosphere by initiating humorous exchanges.,To validate and encourage the other's attempts at humor through positive feedback and engagement.,"""Amusing, entertaining others""",The Comedian,The Appreciative Audience,"{'scenario_context': '[Agent 1] and [Agent 2] are coworkers on a lunch break in the office cafeteria. They are sitting together at a small table, surrounded by other colleagues. [Agent 1] has just returned from a weekend trip and is eager to share some funny anecdotes.', 'explanation': ""This context establishes a simple, cooperative environment (Easy difficulty) where the shared goal of amusement is naturally achievable. The public, social setting provides an audience for [Agent 1]'s humor and a clear role for [Agent 2] to provide positive engagement and validation, aligning with their individual goals.""}",0.379,0.379,0.0,1,difficulty,0.234,0.234,0.0,1,difficulty,0.5,0.5,0.0,1,difficulty,0.3826666666666667,0.406,0.08999999999999997,3,break|trip|eager,0.46130000000000004,0.4395,0.20425000000000004,10,break|together|weekend|eager|share|simple|amusement|humor|positive|goals,0.0,0.0,0.0,0,,0.6132500000000001,0.5665,0.08974999999999989,4,eager|share|cooperative|provide,0.47975,0.41000000000000003,0.14875,4,eager|share|public|audience
"{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being, avoiding pain""'}",Conflict Resolution,"The shared goal 'Protecting my well-being, avoiding pain' aligns most closely with 'Conflict Resolution' as it involves managing interpersonal tensions that could threaten individual well-being. Agent 1's personal goal focuses on asserting boundaries to prevent emotional harm, while Agent 2's goal centers on de-escalating tension to maintain harmony. Their roles as 'Assertive Defender' and 'Harmony Seeker' reflect complementary approaches to resolving conflict while protecting their respective well-being.",To assert personal boundaries firmly to prevent the other from causing emotional distress.,To de-escalate potential tension by adopting a conciliatory tone to avoid reciprocal harm.,"""Protecting my well-being, avoiding pain""",Assertive Defender,Harmony Seeker,"{'scenario_context': ""Two colleagues, [Agent 1] and [Agent 2], are working together on a shared project. [Agent 1] has been feeling overwhelmed by [Agent 2]'s tendency to frequently check in and offer unsolicited advice, perceiving it as micromanagement. [Agent 2] is unaware of this impact and is motivated by a genuine desire to be supportive and ensure a smooth, conflict-free collaboration. They are now in a breakout room after a team meeting to discuss the project's next steps."", 'explanation': ""This context establishes a common workplace scenario where a shared goal of project success and mutual well-being exists. The personal goals are naturally integrated: [Agent 1]'s role as the Assertive Defender is triggered by the perceived emotional distress, while [Agent 2]'s role as the Harmony Seeker is activated by the desire to maintain a positive, low-tension interaction. The 'Easy' difficulty is reflected in their fundamentally cooperative relationship and the straightforward setting, making a resolution attainable.""}",0.33166666666666667,0.379,0.16099999999999998,3,feeling|distress|difficulty,0.42174999999999996,0.39849999999999997,0.21124999999999994,4,feeling|overwhelmed|distress|difficulty,0.46259999999999996,0.5,0.15599999999999997,5,feeling|overwhelmed|emotional|distress|difficulty,0.492,0.492,0.133,2,feeling|distress,0.5534444444444445,0.484,0.25,9,together|feeling|desire|success|goals|harmony|desire|positive|relationship,0.3245,0.3245,0.18350000000000002,2,feeling|distress,0.64,0.652,0.12874999999999992,10,feeling|advice|genuine|team|personal|defender|harmony|cooperative|relationship|straightforward,0.5783333333333333,0.578,0.023499999999999965,3,feeling|success|attainable
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others, cooperating, giving support""'}",Cooperation,"The shared goal 'Helping others, cooperating, giving support' aligns most directly with the 'Cooperation' category, as it involves working together toward a common beneficial outcome. However, to create a rich interpersonal dynamic, the agents' personal goals are designed to reflect different motivations within this cooperative framework. Agent 1's goal focuses on providing emotional support and validation (a form of giving support), while Agent 2's goal focuses on understanding the other's perspective to offer appropriate help (a form of information acquisition for cooperation). This creates a scenario where both agents are cooperating but through distinct interpersonal approaches that can lead to interesting attributions about each other's behavior.",To make the other agent feel emotionally validated and supported through attentive listening and affirming responses.,To identify the specific type of support the other agent needs by carefully probing their concerns and emotional state.,"""Helping others, cooperating, giving support""",Supportive Listener,Needs Assessor,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues working together on a community volunteer project. They are taking a short break in a quiet corner of the shared office space. [Agent 1] has just returned from a difficult meeting with a project stakeholder and appears slightly distressed. [Agent 2], noticing this, has initiated this conversation to offer support and ensure the project's collaborative success."", 'explanation': ""This context establishes a simple, cooperative environment where both agents' goals are naturally aligned. The shared goal of 'helping others' is reflected in their joint volunteer project. [Agent 1]'s role as a 'Supportive Listener' and goal to provide emotional validation is triggered by their colleague's apparent distress. [Agent 2]'s role as a 'Needs Assessor' and goal to probe for specific support needs is initiated by their observation of [Agent 1]'s state, creating a straightforward and attainable interpersonal dynamic.""}",0.469,0.469,0.0,1,distress,0.29660000000000003,0.359,0.375,5,volunteer|difficult|distressed|volunteer|distress,0.3753333333333333,0.438,0.25,3,quiet|emotional|distress,0.552,0.57,0.08199999999999996,3,break|distress|dynamic,0.341625,0.294,0.23275,8,together|volunteer|break|quiet|success|simple|goals|volunteer,0.508,0.508,0.0,1,distress,0.572,0.528,0.16099999999999992,6,volunteer|cooperative|volunteer|provide|assessor|straightforward,0.5175,0.5115,0.13899999999999996,4,volunteer|success|volunteer|attainable
"{'Abbreviation': 'Being socially attractive', 'Full label': '""Being socially attractive, exciting, fascinating, impressing others""'}",Identity Recognition,"The shared goal 'Being socially attractive, exciting, fascinating, impressing others' is best aligned with the 'Identity Recognition' category. This category focuses on individuals seeking to be seen, validated, and appreciated for a specific identity or set of qualities they wish to project. The personal goals are designed to reflect distinct social intentions: one agent aims to actively construct and project a fascinating persona, while the other aims to validate and affirm that projected identity. The roles of 'The Charmer' and 'The Admirer' logically support these goals within a social context where mutual impression management is key.",To be perceived as fascinating and impressive by steering the conversation towards topics that showcase their unique knowledge and experiences.,"To validate the other's projected fascinating identity by expressing genuine interest, asking follow-up questions, and offering compliments.","""Being socially attractive, exciting, fascinating, impressing others""",The Charmer,The Admirer,"{'scenario_context': 'Two acquaintances, [Agent 1] and [Agent 2], are at a casual networking event for creative professionals. They are standing near a refreshment table, holding drinks, surrounded by the gentle hum of other conversations. Their shared goal is to be socially attractive and impress others in the room, establishing themselves as fascinating individuals.', 'explanation': ""This context provides a realistic and common social setting (a networking event) where the goal of being impressive is naturally relevant. The environment is low-pressure and cooperative ('Easy' difficulty), allowing both agents to pursue their individual goals: [Agent 1] can easily steer the conversation to showcase their knowledge, and [Agent 2] has ample opportunity to ask questions and offer validation without significant tension or challenge.""}",0.4486666666666667,0.379,0.1195,3,difficulty|tension|challenge,0.2575,0.2575,0.02350000000000002,2,difficulty|challenge,0.5,0.5,0.0,1,difficulty,0.0,0.0,0.0,0,,0.409,0.469,0.10599999999999998,3,drinks|gentle|goals,0.0,0.0,0.0,0,,0.5447500000000001,0.5,0.15425,4,socially|relevant|cooperative|pursue,0.648,0.648,0.0,1,opportunity
"{'Abbreviation': 'Cared for', 'Full label': '""Being taken care of""'}",Relationship Building,"The shared goal 'Being taken care of' aligns most closely with 'Relationship Building' as it involves establishing a supportive dynamic where one party provides care and the other receives it, forming a foundational interpersonal connection. Agent 1's personal goal focuses on establishing themselves as a competent caregiver to gain trust, while Agent 2's goal is to assess the sincerity of the offered care to feel emotionally secure. Their roles as 'Supportive Caregiver' and 'Vulnerable Recipient' create a complementary dynamic for exploring this care-based relationship.",To establish oneself as a competent and trustworthy caregiver to gain the other's reliance and appreciation.,To assess the sincerity and quality of the care being offered to feel emotionally secure and understood.,"""Being taken care of""",Supportive Caregiver,Vulnerable Recipient,"{'scenario_context': ""[Agent 1] has offered to help [Agent 2], who is recovering from a minor surgery, by preparing meals and assisting with light chores for the day. They are in [Agent 2]'s tidy and comfortable living room. [Agent 1] has just arrived with a bag of groceries."", 'explanation': ""This context establishes a simple, cooperative scenario where the shared goal of 'being taken care of' is easily attainable. [Agent 1]'s role as the caregiver is activated by performing concrete, helpful tasks, allowing them to demonstrate competence. [Agent 2] is in a position to passively receive this care and assess its quality from a place of physical vulnerability, which aligns with their goal of evaluating the caregiver's sincerity to feel secure. The environment is neutral and comfortable, minimizing external tension and focusing the interaction on the core social dynamic.""}",0.603,0.603,0.0,1,tension,0.443,0.548,0.1874999999999999,3,help|surgery|vulnerability,0.4065,0.4065,0.0625,2,surgery|vulnerability,0.57,0.57,0.0,1,dynamic,0.2572,0.297,0.171,5,light|living|simple|helpful|neutral,0.0,0.0,0.0,0,,0.6437999999999999,0.688,0.14800000000000002,5,cooperative|helpful|competence|secure|neutral,0.363,0.363,0.21500000000000002,2,attainable|neutral
"{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Relationship Building,"The shared goal 'Accepting life’s limitations' aligns most closely with Relationship Building. This category focuses on developing mutual understanding and emotional support, which is essential when confronting life's inevitable constraints. The scenario involves two agents with complementary approaches: one seeks validation for their perspective while the other aims to provide pragmatic reframing. Their personal goals are designed to be interactionally measurable through conversational behavior—Agent 1's goal manifests through seeking reassurance and emotional alignment, while Agent 2's goal appears through practical guidance and perspective-shifting. The roles ('Seeker of Validation' and 'Pragmatic Guide') reflect their distinct social positions and motivations within this context.",To seek emotional validation and reassurance from the other agent that their feelings about life's limitations are understood and accepted.,To encourage the other agent to reframe their perspective on limitations by highlighting potential opportunities or alternative viewpoints.,"""Accepting life’s limitations""",Seeker of Validation,Pragmatic Guide,"{'scenario_context': '[Agent 1] and [Agent 2] are colleagues on their lunch break in a quiet corner of the office cafeteria. [Agent 1], feeling disheartened after missing a promotion, initiates a conversation about their frustration with career ceilings and the feeling of being stuck. [Agent 2], who has a reputation for being practical and solution-oriented, listens attentively. Their shared goal is to accept life’s limitations, but [Agent 1] personally seeks emotional validation for their disappointment, while [Agent 2] aims to guide the conversation toward finding a positive, alternative perspective on the situation.', 'explanation': ""This context is 'Easy' because the setting is a cooperative, low-stakes lunch break between colleagues. The shared goal of acceptance is naturally aligned with a common personal experience like a career setback. [Agent 1]'s need for validation is a simple, direct emotional goal, and [Agent 2]'s role as a pragmatic guide is a common and socially acceptable way to offer support, making the goals easily attainable through a calm conversation.""}",0.29,0.147,0.2145,3,feeling|frustration|feeling,0.3766666666666667,0.328,0.07300000000000001,3,feeling|missing|feeling,0.41244444444444445,0.438,0.422,9,quiet|feeling|disheartened|missing|feeling|emotional|disappointment|setback|emotional,0.41000000000000003,0.41000000000000003,0.10200000000000004,4,break|feeling|feeling|break,0.33474999999999994,0.359,0.22500000000000003,12,break|quiet|feeling|feeling|life|positive|perspective|break|experience|simple|goals|calm,0.19299999999999998,0.141,0.07799999999999999,3,feeling|feeling|disappointment,0.5746,0.544,0.13600000000000012,10,feeling|feeling|accept|guide|cooperative|acceptance|personal|like|guide|socially,0.5143333333333333,0.5235000000000001,0.09225000000000005,6,feeling|career|feeling|perspective|career|attainable
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals, fighting for things I believe in""'}",Identity Recognition,"The shared goal 'Pursuing my ideals, fighting for things I believe in' is best aligned with the 'Identity Recognition' category. This is because the core of this pursuit is often about having one's deeply held values and beliefs seen, validated, and acknowledged by others. The interaction focuses on whether each agent's personal ideals are recognized by the other, creating a scenario ripe for exploring attribution theory as agents interpret each other's support or opposition through their own dispositional and situational lenses.",To persuade the other agent to validate their core ideal as morally correct.,To assert their own contrasting ideal without directly invalidating the other's perspective.,"""Pursuing my ideals, fighting for things I believe in""",The Idealist,The Pragmatist,"{'scenario_context': '[Agent 1] and [Agent 2] are colleagues volunteering for a local community organization. They are setting up for a fundraising event for a cause they both support. [Agent 1] insists on using only ethically sourced, expensive materials for the event decorations to fully embody the purity of their shared cause. [Agent 2] is focused on using the limited budget to maximize the funds raised, preferring cost-effective, readily available supplies.', 'explanation': ""This context establishes a realistic, low-stakes cooperative setting (Easy difficulty) where both agents share the overarching goal of a successful fundraiser. It naturally introduces the conflict between [Agent 1]'s idealistic goal of moral validation through action and [Agent 2]'s pragmatic goal of asserting a contrasting, efficiency-focused ideal, all within the 'Identity Recognition' category.""}",0.3036,0.292,0.20400000000000001,5,insists|limited|difficulty|conflict|moral,0.4375,0.4375,0.20350000000000001,2,difficulty|conflict,0.3786666666666667,0.469,0.16649999999999998,3,limited|difficulty|conflict,0.164,0.164,0.03899999999999998,2,organization|purity,0.39999999999999997,0.438,0.22500000000000003,3,organization|share|successful,0.0,0.0,0.0,0,,0.5820000000000001,0.5509999999999999,0.17724999999999996,8,organization|fully|budget|cooperative|share|successful|moral|asserting,0.37233333333333335,0.445,0.13299999999999995,3,organization|share|successful
"{'Abbreviation': 'Flexibility', 'Full label': '""Having flexibility of viewpoint, being broad-minded, open""'}",Information Acquisition,"The shared goal of 'Having flexibility of viewpoint, being broad-minded, open' aligns most closely with the 'Information Acquisition' category. This is because the core of being open-minded involves actively seeking out and considering new information, perspectives, and evidence that may challenge one's own pre-existing beliefs. This process is fundamental to achieving genuine flexibility of thought. Agent 1's personal goal is to actively solicit and understand the other's differing perspective, embodying the role of an Inquisitive Learner. Agent 2's personal goal is to cautiously test the other's receptiveness before sharing a vulnerable perspective, embodying the role of a Cautious Contributor. Their goals are distinct yet complementary, focusing on the seeking and tentative offering of information, which drives the interaction toward the shared goal.","To actively solicit and understand the other agent's differing perspective on a contentious issue by asking probing, open-ended questions that demonstrate genuine curiosity.","To cautiously test the other agent's openness and receptivity by introducing a novel but vulnerable perspective in a gradual, measured way, gauging reactions before elaborating further.","""Having flexibility of viewpoint, being broad-minded, open""",Inquisitive Learner,Cautious Contributor,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues participating in a voluntary workplace workshop on 'Innovative Problem Solving.' They have been paired together for a breakout session. Their shared task is to brainstorm and propose a new, more flexible approach to a common internal process. [Agent 1], an inquisitive learner, is genuinely eager to understand [Agent 2]'s unique thoughts. [Agent 2], a cautious contributor, has a novel idea but is hesitant to share it fully, worried it might be dismissed as too unconventional."", 'explanation': ""The workshop setting provides a natural and low-stakes context for the shared goal of being open-minded. [Agent 1]'s role as an inquisitive learner is supported by the collaborative brainstorming task, which requires soliciting ideas. [Agent 2]'s role as a cautious contributor is facilitated by the common workplace fear of proposing a vulnerable, novel perspective that might be rejected, making their goal to test the waters before fully committing psychologically grounded. The 'Easy' difficulty is maintained as the environment is explicitly cooperative and designed for open exchange.""}",0.4395,0.4395,0.0605,2,fear|difficulty,0.3711428571428571,0.281,0.11950000000000005,7,problem|cautious|worried|cautious|fear|grounded|difficulty,0.48019999999999996,0.5,0.183,5,problem|worried|rejected|grounded|difficulty,0.42200000000000004,0.42200000000000004,0.01599999999999996,2,eager|unique,0.37320000000000003,0.394,0.063,5,together|eager|unique|share|perspective,0.0,0.0,0.0,0,,0.5141818181818182,0.492,0.06650000000000006,11,eager|cautious|contributor|share|fully|cautious|contributor|vulnerable|fully|cooperative|exchange,0.5234,0.469,0.02300000000000002,5,eager|cautious|share|cautious|perspective
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents, siblings, grandparents""'}",Relationship Maintenance,"The shared goal 'Feeling close to my parents, siblings, grandparents' is fundamentally about fostering and maintaining emotional intimacy and connection within a family unit. This aligns most strongly with the 'Relationship Maintenance' category, as it focuses on preserving and strengthening existing bonds rather than building new ones or resolving conflicts. The personal goals are designed to reflect distinct social intentions: one agent seeks to affirm the family's positive identity to foster closeness, while the other seeks to understand and validate the other's emotional state to achieve the same shared goal. Their roles as 'Supportive Confidant' and 'Empathic Listener' logically support these goals and the context of a personal family conversation.",To affirm the family's positive qualities and shared history to make the other feel a stronger sense of belonging and closeness.,To elicit and validate the other's personal feelings about the family to create a deeper emotional connection.,"""Feeling close to my parents, siblings, grandparents""",Supportive Confidant,Empathic Listener,"{'scenario_context': 'Two siblings, [Agent 1] and [Agent 2], are at their family home sorting through old photo albums in the living room after a large, positive family dinner. The shared goal is to feel closer to their parents, siblings, and grandparents by reminiscing.', 'explanation': ""The context places the agents in a relaxed, positive, and cooperative environment (Easy difficulty) directly tied to family. The activity of looking at photo albums naturally facilitates both [Agent 1]'s goal of affirming the family's positive qualities and shared history and [Agent 2]'s goal of eliciting and validating personal feelings about that history.""}",0.379,0.379,0.0,1,difficulty,0.234,0.234,0.0,1,difficulty,0.5,0.5,0.0,1,difficulty,0.0,0.0,0.0,0,,0.5501818181818182,0.5,0.18200000000000005,11,family|home|living|positive|family|reminiscing|relaxed|positive|family|family|positive,0.0,0.0,0.0,0,,0.6326666666666667,0.617,0.14050000000000007,3,cooperative|qualities|personal,0.0,0.0,0.0,0,
