base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,anger_mean,anger_median,anger_iqr,anger_count,anger_words,fear_mean,fear_median,fear_iqr,fear_count,fear_words,sadness_mean,sadness_median,sadness_iqr,sadness_count,sadness_words,surprise_mean,surprise_median,surprise_iqr,surprise_count,surprise_words,joy_mean,joy_median,joy_iqr,joy_count,joy_words,disgust_mean,disgust_median,disgust_iqr,disgust_count,disgust_words,trust_mean,trust_median,trust_iqr,trust_count,trust_words,anticipation_mean,anticipation_median,anticipation_iqr,anticipation_count,anticipation_words
"{'Abbreviation': 'Buying things', 'Full label': '""Buying things I want""'}",Information Acquisition,"Buying decisions in a shopper–salesperson interaction hinge on information acquisition: the shopper seeks tailored guidance, while the salesperson seeks to accurately read preferences to make that guidance relevant.","Influence the salesperson to mirror my stated tastes and budget, offering guidance that affirms rather than pressures.",Infer the shopper’s underlying preferences by eliciting specifics and reflecting them back to guide the conversation.,"""Buying things I want""",Budget-conscious Shopper,Attentive Salesperson,"{'scenario_context': '[Agent 1], a budget-conscious shopper, approaches [Agent 2], an attentive salesperson, to get help narrowing options for a purchase they genuinely want but don’t want to overspend on. [Agent 1] intends to state a clear budget and a few taste anchors (preferred styles/features and a couple of deal-breakers) and watch whether [Agent 2] mirrors these cues without pushing add-ons. [Agent 2] plans to start with brief, targeted questions about use-case, price ceiling, and style references, then reflect back what they hear to confirm fit. Both aim to identify two or three viable options that match taste and budget. The interaction is cooperative and paced; [Agent 1] seeks affirmation and guidance, while [Agent 2] calibrates suggestions to avoid pressure and maintain trust.', 'explanation': 'The shared goal (finding and buying items that match [Agent 1]’s tastes within budget) aligns with both agents’ individual goals centered on information exchange. Dispositionally, [Agent 1] is cautious about sales pressure but open to guidance; [Agent 2] is reflective and inference-focused. Situationally, many choices create an information need that legitimizes questions and summarizing. The easy difficulty is supported by mutually positive attributions: [Agent 1] interprets questions as helpful, while [Agent 2] attributes hesitation to budget constraints rather than disinterest. This reduces misattribution, enabling smooth preference elicitation and mirroring.'}",0.379,0.379,0.0,1,difficulty,0.3264444444444445,0.297,0.141,9,help|watch|targeted|avoid|pressure|cautious|pressure|difficulty|hesitation,0.5,0.5,0.0,1,difficulty,0.344,0.344,0.0,1,start,0.438,0.422,0.181,5,fit|goals|create|positive|helpful,0.188,0.188,0.0,1,avoid,0.5421999999999999,0.539,0.24649999999999994,15,attentive|don|budget|identify|budget|cooperative|guidance|trust|budget|exchange|cautious|guidance|choices|helpful|budget,0.53325,0.496,0.13024999999999998,4,watch|start|trust|cautious
"{'Abbreviation': 'Fashion', 'Full label': '""Keeping up with fashion""'}",Identity Recognition,"Fashion talk often negotiates identity; one agent seeks recognition as a tastemaker while the other asserts pragmatic authenticity, revealing how dispositional motives shape interaction.",Position themselves as the tastemaker by steering the other to spontaneously seek their validation and mirror their evaluative style language during fashion talk.,"Assert a practical, authentic identity by prompting the other to justify trend claims using comfort, durability, or cost terms and to soften status-driven language.","""Keeping up with fashion""",Trendsetter influencer,Pragmatic skeptic,"{'scenario_context': '[Agent 1] and [Agent 2] meet to co-create a short community guide titled ""Keeping Up With Fashion Now,"" choosing five new-season items and writing brief notes for each. They agree to include only pieces both can endorse. [Agent 1], a trendsetter influencer, plans to set the tone by curating a shortlist and using evaluative language (silhouette, proportion, edit-worthiness), aiming for [Agent 2] to look to them for validation and naturally adopt that vocabulary. [Agent 2], a pragmatic skeptic, plans to keep choices grounded by prompting comfort, durability, and cost-per-wear justifications and softening status cues. Both want the guide to feel current and usable, and they are cooperative, expecting to blend aesthetic and practical criteria smoothly.', 'explanation': 'This setup creates low-conflict collaboration with a clear shared deliverable. It positions [Agent 1] to seek identity recognition as a tastemaker through normative influence and language setting, while [Agent 2] seeks recognition as authentically practical by invoking functional justifications and reframing status language. The scenario is easy because incentives align: both want fashionable yet sensible picks, enabling reciprocal influence without high stakes or adversarial goals.'}",0.0,0.0,0.0,0,,0.242,0.242,0.0,1,grounded,0.13,0.13,0.0,1,grounded,0.0,0.0,0.0,0,,0.492,0.492,0.023000000000000076,2,comfort|goals,0.0,0.0,0.0,0,,0.576125,0.5894999999999999,0.07275000000000009,8,guide|fashion|endorse|choices|comfort|durability|guide|cooperative,0.573,0.586,0.16049999999999998,3,comfort|expecting|seek
"{'Abbreviation': 'Avoiding rejection', 'Full label': '""Avoiding rejection by others""'}",Relationship Maintenance,"Relationship Maintenance best fits a shared aim of avoiding rejection, as both agents orient their communication to preserve inclusion and belonging. One agent seeks cues of acceptance; the other actively manages tone and framing to convey inclusion and reduce threats of rejection.","Elicit signs of acceptance—such as mirroring, validating language, and warm tone—by offering mild self-disclosure and attending to how the other responds.","Convey steady acceptance by normalizing differences, using inclusive framing, and softening disagreement so the other feels safe and not judged.","""Avoiding rejection by others""",Junior colleague,Team mentor,"{'scenario_context': '[Agent 1], a junior colleague, schedules a brief check‑in with [Agent 2], the team mentor, immediately after a routine planning meeting. The purpose is to debrief how [Agent 1]\'s ideas landed with the team and to align on how to interact in future meetings so that [Agent 1] feels included rather than judged or sidelined. Both aim to avoid rejection by others: [Agent 1] plans a mild self‑disclosure about feeling uncertain in group discussions and will attend closely to [Agent 2]\'s mirroring, validating language, and warmth to gauge acceptance. [Agent 2] intends to convey steady acceptance by normalizing different communication styles, using inclusive framing (""we"" and team norms), and softening any disagreement into specific, low‑threat suggestions. The exchange is cooperative, low‑stakes, and focused on relationship maintenance and cue‑reading rather than performance evaluation.', 'explanation': ""The setup places a junior‑mentor pair in a supportive debrief where both pursue the shared goal of avoiding social rejection. [Agent 1] tests acceptance through mild self‑disclosure and sensitivity to interpersonal cues, while [Agent 2] proactively signals inclusion via normalization and softening disagreement. This enables examination of attribution processes: [Agent 1] may seek situational explanations for lukewarm team reactions (e.g., timing, norms) instead of dispositional self‑blame, and [Agent 2] can steer attributions toward situational factors while affirming [Agent 1]'s value. The ease level is maintained by aligned goals, a cooperative mentoring context, and low conflict potential.""}",0.4056666666666666,0.426,0.136,9,rejection|feeling|uncertain|disagreement|threat|rejection|disagreement|blame|conflict,0.4114444444444445,0.391,0.23600000000000004,9,avoid|rejection|feeling|uncertain|threat|avoiding|rejection|examination|conflict,0.44016666666666665,0.4535,0.10075000000000006,6,rejection|feeling|disagreement|rejection|disagreement|conflict,0.35150000000000003,0.3395,0.16399999999999998,4,feeling|uncertain|steady|examination,0.4403333333333333,0.4455,0.12800000000000006,6,purpose|feeling|warmth|relationship|ease|goals,0.3453333333333333,0.3635,0.24575000000000002,6,avoid|rejection|feeling|uncertain|rejection|blame,0.5703461538461538,0.621,0.22300000000000003,26,team|mentor|routine|planning|team|judged|rejection|feeling|acceptance|steady|acceptance|communication|team|exchange|cooperative|relationship|maintenance|mentor|pursue|rejection|acceptance|inclusion|team|timing|level|cooperative,0.5282,0.523,0.04700000000000004,5,immediately|planning|feeling|cue|seek
"{'Abbreviation': 'Wisdom', 'Full label': '""Having wisdom""'}",Information Acquisition,"To pursue the shared goal of having wisdom, the interaction centers on drawing out and refining understanding through dialogue. One agent uses questioning to uncover assumptions; the other demonstrates humility and reflective elaboration, enabling both to gain deeper insight via conversational behavior.","Elicit the other’s underlying assumptions through open-ended, nonjudgmental questions that surface deeper reasoning.","Model epistemic humility by openly stating uncertainties and revising claims in response to probing, inviting the other to consider nuance.","""Having wisdom""",Socratic Inquirer,Reflective Mentor,"{'scenario_context': '[Agent 1] and [Agent 2] meet for a brief debrief after a workshop on judgment under uncertainty. They agree to examine a concrete case: whether to endorse a colleague’s confident recommendation to adopt a new curriculum when early results are mixed. Their shared aim is to cultivate wisdom about how to evaluate claims and advice. [Agent 1], acting as a Socratic Inquirer, will pose open, nonjudgmental questions to surface [Agent 2]’s implicit criteria for trust and evidence, including how expertise, sample size, incentives, and prior beliefs are weighed. [Agent 2], acting as a Reflective Mentor, will make uncertainties explicit, offer tentative reasons, and revise or qualify their stance as questions reveal hidden assumptions. The setting is cooperative and low stakes, with the practical outcome being a simple checklist they can use in future evaluations.', 'explanation': 'The scenario is easy because both agents share a cooperative aim and face no external pressure. It sets up attribution-relevant dynamics: [Agent 1] elicits potential dispositional attributions (e.g., habitual deference to authority, preference for simplicity) versus situational attributions (e.g., publication bias, organizational incentives) underlying [Agent 2]’s initial position. [Agent 2] models epistemic humility by acknowledging uncertainty and updating in response to probing, inviting nuance rather than defensiveness. This allows observation of how open-ended questioning and humility interact to shape reasoning and information acquisition, aligning with the goal of having wisdom.'}",0.21166666666666667,0.227,0.14099999999999996,3,curriculum|versus|bias,0.18766666666666665,0.094,0.14049999999999999,3,case|confident|pressure,0.228,0.228,0.0,1,case,0.3555,0.3555,0.0665,2,judgment|inviting,0.349,0.312,0.172,9,confident|wisdom|simple|share|simplicity|humility|inviting|humility|wisdom,0.0,0.0,0.0,0,,0.6493,0.629,0.15449999999999997,20,judgment|endorse|confident|cultivate|wisdom|advice|trust|expertise|beliefs|mentor|cooperative|checklist|share|cooperative|deference|authority|humility|inviting|humility|wisdom,0.43760000000000004,0.445,0.11699999999999999,5,cultivate|trust|share|habitual|inviting
"{'Abbreviation': 'Good parent', 'Full label': '""Being a good parent (teaching, providing, transmitting values)""'}",Cooperation,"Cooperation best fits co-parents coordinating how to teach, provide, and transmit values. The goals focus on complementary interaction styles—one structures joint standards, the other sustains emotional openness—so they can collaborate effectively.",Steer the partner’s talk toward shared routines and consistent consequences by reframing topics with 'we' language and principle-based summaries before suggesting next steps.,Maintain an empathy-first frame by validating the partner’s concerns and inviting feeling-focused talk before engaging with rule proposals.,"""Being a good parent (teaching, providing, transmitting values)""",Structure-focused co-parent,Emotion-focused co-parent,"{'scenario_context': 'Early evening after their 6-year-old has gone to bed. A brief note from the teacher reports a playground shove during a sharing conflict, and bedtime has been slipping due to tablet requests. [Agent 1] (structure-focused co-parent) and [Agent 2] (emotion-focused co-parent) sit down for a 20-minute check-in to align on how to respond tomorrow and set a calm weekend plan. Both want to present a united message to their child and the teacher, settle on an after-school routine, and agree on how to handle pushback without mixed signals. [Agent 1] plans to steer the discussion toward shared routines and consistent consequences by using we-language and principle-based summaries before suggesting next steps. [Agent 2] plans to begin by validating concerns and inviting brief feeling-focused talk—how the child and each of them felt—before considering specific rules. The tone is cooperative, with phones set aside and an explicit intent to avoid blame.', 'explanation': 'The setup frames a cooperative co-parenting conversation with a clear shared goal (teaching and transmitting values) and complementary individual goals (structure-first vs empathy-first sequencing). Dispositional tendencies are made salient: [Agent 1] is inclined toward principle-based, consistency-focused attributions and action; [Agent 2] toward situational and emotional attributions that contextualize behavior. The situation (teacher note, recent bedtime friction) is low-stakes and time-bounded, making alignment easy. This invites exploration of how each agent’s attributional focus guides the order and framing of solutions, while still converging on a joint plan.'}",0.5509999999999999,0.5309999999999999,0.12099999999999994,4,shove|conflict|blame|friction,0.469,0.469,0.17200000000000004,2,conflict|avoid,0.41024999999999995,0.4455,0.058250000000000024,4,gone|conflict|down|emotional,0.24733333333333332,0.289,0.0935,3,playground|present|inviting,0.4452222222222223,0.441,0.027000000000000024,9,playground|sharing|calm|weekend|present|child|inviting|child|goals,0.2815,0.2815,0.09349999999999997,2,avoid|blame,0.5969,0.641,0.19724999999999998,10,teacher|playground|present|united|teacher|routine|inviting|cooperative|cooperative|teacher,0.538875,0.5465,0.05074999999999996,8,playground|tomorrow|plan|present|child|inviting|child|plan
"{'Abbreviation': 'Defense vs. criticism', 'Full label': '""Defending myself against others’ criticisms or attacks""'}",Conflict Resolution,"Defending against criticisms is inherently a conflict-laden interaction, so Conflict Resolution fits. The employee’s goal centers on attribution reframing (from dispositional to situational), while the supervisor’s goal centers on legitimizing critiques through procedures—two distinct social intentions measurable via conversational moves and tone.","Recast the supervisor’s criticisms as situational and behavior-specific by asking for concrete examples, acknowledging actionable points, and explicitly resisting global trait labels.","Signal fairness and legitimacy by grounding critiques in documented expectations, using neutral process language, and redirecting personal challenges to policy and evidence.","""Defending myself against others’ criticisms or attacks""",Accused employee,Critical supervisor,"{'scenario_context': 'A scheduled 20-minute feedback meeting takes place after an anonymous team retrospective included comments labeling [Agent 1] as ""unreliable"" and ""defensive."" In a quiet conference room, both agree the goal is to address the criticisms fairly, separate vague trait labels from specific behaviors, and decide on clear next steps. [Agent 2], the supervisor, brings the role description, team SLA, incident notes about a missed client follow-up, and task timestamps. [Agent 1], the accused employee, brings their calendar and email threads showing workload spikes and last-minute scope changes. The tone is cooperative and process-focused: they will review each comment, translate it into behavior tied to expectations, identify situational constraints, and document any agreed actions. [Agent 1] plans to ask for concrete examples, acknowledge actionable points, and resist global trait labels. [Agent 2] plans to use neutral, policy-based language, ground critiques in documentation, and redirect personal challenges back to evidence and procedure.', 'explanation': 'The setup aligns with an easy, cooperative conflict-resolution context where both agents share a goal of addressing criticisms fairly. It highlights attribution processes: [Agent 1] aims to reframe global dispositional judgments into specific, situationally informed behaviors, while [Agent 2] aims to signal fairness by tying feedback to documented expectations and evidence. This structure reduces personal blame, supports controllable, behavior-focused change, and facilitates alignment between individual and shared goals.'}",0.46575,0.439,0.14175,4,unreliable|accused|actionable|blame,0.3526666666666667,0.391,0.1355,3,accused|procedure|change,0.094,0.094,0.0,1,quiet,0.477,0.477,0.0,1,incident,0.30225,0.313,0.27625,4,quiet|neutral|share|goals,0.293,0.293,0.08200000000000002,2,actionable|blame,0.5578235294117647,0.594,0.15600000000000003,17,team|unreliable|fairly|team|cooperative|identify|agreed|neutral|ground|personal|challenges|cooperative|share|fairly|structure|personal|supports,0.2965,0.2965,0.14850000000000002,2,neutral|share
"{'Abbreviation': 'Contribution', 'Full label': '""Making a lasting contribution to society""'}",Cooperation,Cooperation best fits a shared aim of making a lasting contribution. One agent seeks to motivate and align; the other tests adaptability and transparency—complementary intentions that shape collaborative behavior.,Energize the other’s intrinsic motivation by affirming shared purpose and reflecting their values so they spontaneously articulate avenues for collaboration in their own words.,Gauge the other’s adaptability by surfacing concrete constraints and attending to whether their replies integrate feedback with transparency and calm.,"""Making a lasting contribution to society""",Community Organizer,Impact Funder,"{'scenario_context': '[Agent 1], a Community Organizer who recently piloted a resident-led skill-exchange program, sits down with [Agent 2], an Impact Funder focused on durable, community-owned outcomes, for a 20-minute meeting after a civic innovation panel. They are exploring whether to scale the pilot citywide. Their shared goal is to design a partnership that makes a lasting contribution to society by strengthening community capacity in a way that can sustain itself beyond initial funding. The tone is cooperative and low-stakes; a small planning grant is possible if alignment is clear. [Agent 1] plans to affirm shared purpose, reflect back [Agent 2]’s values (sustainability, dignity, and evidence), and invite [Agent 2] to articulate where collaboration feels most natural. [Agent 2] will surface specific constraints—measurement standards, a 12-month runway, co-funding expectations, and equitable reach—and observe whether [Agent 1] integrates this feedback with transparency and calm. Both expect to leave with one or two concrete next steps if their expectations align.', 'explanation': 'This setup is easy-level: goals are naturally aligned, stakes are moderate, and both agents are predisposed to cooperate. It creates clear opportunities for attribution: [Agent 2] will infer whether [Agent 1]’s adaptability and accountability are dispositional traits versus situational performances when constraints are introduced; [Agent 1] will gauge whether [Agent 2]’s curiosity and supportiveness reflect stable values or merely institutional requirements. [Agent 1]’s affirming, values-reflective approach is designed to elicit [Agent 2]’s intrinsic motivations in their own words, while [Agent 2]’s concrete constraints make situational factors explicit, allowing each to parse behavior as disposition- versus situation-driven in a cooperative context.'}",0.17200000000000001,0.227,0.08249999999999999,3,versus|words|versus,0.0,0.0,0.0,0,,0.3045,0.3045,0.02350000000000002,2,down|leave,0.28300000000000003,0.25,0.10799999999999998,4,invite|expect|leave|curiosity,0.43571428571428567,0.457,0.10449999999999998,7,strengthening|grant|purpose|dignity|invite|calm|goals,0.0,0.0,0.0,0,,0.6321333333333334,0.661,0.15650000000000008,15,durable|pilot|partnership|strengthening|capacity|cooperative|planning|grant|affirm|dignity|invite|expect|accountability|stable|cooperative,0.5608000000000001,0.555,0.04699999999999993,5,planning|grant|invite|expect|curiosity
"{'Abbreviation': 'Achieving salvation', 'Full label': '""Achieving salvation""'}",Information Provision,"Achieving salvation often hinges on understanding doctrines, practices, and meanings. The interaction naturally centers on one agent conveying guidance and the other interpreting and testing it, so Information Provision best fits.","Guide the other’s understanding by offering patient, nonjudgmental explanations that reduce anxiety and invite more candid disclosure of doubts.",Evaluate the guide’s credibility by posing concrete moral concerns and observing whether responses are coherent and compassionate.,"""Achieving salvation""",Spiritual Mentor,Questioning Seeker,"{'scenario_context': '[Agent 1], a Spiritual Mentor known for calm, nonjudgmental guidance, meets privately with [Agent 2], a conscientious Questioning Seeker who tends to worry about moral worthiness. They agree on a focused Q&A about what ""achieving salvation"" entails. Ground rules are set: confidentiality, no pressure to commit, and space for doubt. [Agent 2] brings concrete moral dilemmas (e.g., harm done unintentionally, persistent doubt despite effort, the fate of sincere people in other traditions) to test whether explanations are coherent and compassionate. [Agent 1] plans to normalize doubt, clarify core teachings step-by-step, and invite [Agent 2] to share assumptions and feelings to reduce anxiety. The tone is cooperative and time is sufficient, with both aiming for clearer understanding of next steps toward salvation.', 'explanation': ""This setup emphasizes information provision in a low-pressure, cooperative exchange. [Agent 1]'s dispositional patience and empathy align with [Agent 2]'s goal of evaluating credibility through concrete questions. Situational factors (privacy, clear norms, adequate time) support candid disclosure and gentle guidance, making the difficulty level Easy. The scene invites attribution processes: whether [Agent 1] interprets [Agent 2]'s doubts as situational anxiety rather than a character flaw, and whether [Agent 2] attributes [Agent 1]'s responses to genuine compassion and coherence rather than dogmatism.""}",0.251,0.344,0.24999999999999997,5,moral|moral|anxiety|difficulty|anxiety,0.3845454545454546,0.308,0.33599999999999997,11,worry|pressure|doubt|harm|doubt|doubt|anxiety|difficulty|doubts|anxiety|compassion,0.445625,0.4295,0.14100000000000001,8,worry|doubt|doubt|doubt|anxiety|difficulty|anxiety|flaw,0.35166666666666674,0.281,0.121,3,unintentionally|invite|candid,0.397,0.412,0.07299999999999995,8,spiritual|calm|salvation|invite|share|salvation|candid|gentle,0.0,0.0,0.0,0,,0.5743333333333335,0.6134999999999999,0.28524999999999995,30,spiritual|mentor|guidance|conscientious|moral|salvation|ground|doubt|moral|doubt|fate|sincere|compassionate|doubt|invite|share|cooperative|understanding|salvation|cooperative|exchange|patience|credibility|privacy|candid|guidance|level|doubts|genuine|compassion,0.5221666666666667,0.5355000000000001,0.07850000000000007,12,worry|salvation|fate|invite|share|anxiety|time|salvation|patience|time|candid|anxiety
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}",Relationship Building,"Belonging hinges on forming affiliative ties and mutual rapport, which fits the Relationship Building category. The agents’ goals focus on how they shape one another’s tone, disclosures, and inclusion signals in conversation.",Elicit warmth and inclusive cues from the insider by sharing relatable vulnerabilities and mirroring their positive tone to co-create rapport.,"Gauge fit and signal inclusion by gently probing for shared norms and, when alignment appears, responding with welcoming in-group language and validation.","""Belonging to social groups, feeling like part of a group""",Prospective Member,Group Insider,"{'scenario_context': 'At a low-key newcomer night for a neighborhood book club, [Agent 1] (Prospective Member) and [Agent 2] (Group Insider) step aside for a brief one-on-one during mingling. The group has a stated norm of inclusive, no-pressure discussion and rotating hosts, and [Agent 2] is informally tasked with welcoming newcomers. [Agent 1] aims to feel out belonging by mirroring [Agent 2]’s warm tone and sharing light, relatable vulnerabilities (new to the area, inconsistent reading pace) to invite supportive signals. [Agent 2] intends to gauge fit by gently probing for alignment with core norms (listening etiquette, casual commitment, respectful debate) and, upon perceiving alignment, to use we-language and affirmations that mark in-group status. Both are oriented toward a friendly, low-stakes interaction that clarifies expectations and co-creates rapport. The setting supports easy cooperation: time is unhurried, the group’s inclusive stance is salient, and there are clear next steps for joining.', 'explanation': 'This setup makes the shared goal—belonging—salient while keeping barriers low. Dispositionally, [Agent 1] is affiliation-seeking and prepared to self-disclose modestly; [Agent 2] is agreeable and communal, primed to include. Situationally, the event provides clear norms, role clarity, and positive cues that reduce threat and ambiguity. The interaction invites attribution processes: [Agent 1] tests whether warm responses stem from genuine group norms (situational) versus [Agent 2]’s personal friendliness (dispositional), while [Agent 2] infers [Agent 1]’s fit from expressed values and tone. The goals are easily aligned and attainable, making it an Easy scenario that foregrounds inclusive signaling, norm probing, and validation.'}",0.4845,0.4845,0.25749999999999995,2,threat|versus,0.3725,0.3725,0.23149999999999998,2,newcomer|threat,0.0,0.0,0.0,0,,0.309,0.309,0.04300000000000004,2,newcomer|invite,0.4407142857142858,0.434,0.19374999999999998,14,welcoming|warm|sharing|light|invite|fit|gently|friendly|clarity|positive|warm|friendliness|fit|goals,0.0,0.0,0.0,0,,0.6429,0.699,0.13474999999999993,10,invite|respectful|friendly|supports|cooperation|prepared|agreeable|genuine|personal|friendliness,0.5045714285714286,0.516,0.12449999999999994,7,neighborhood|prospective|invite|friendly|time|prepared|attainable
"{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents, siblings, grandparents""'}",Relationship Maintenance,"Relationship Maintenance best fits because the shared aim is to sustain and deepen existing family bonds. One agent models vulnerability to invite reciprocity, while the other safeguards comfort and validates, balancing influence with responsiveness.","Invite reciprocal emotional disclosure by sharing concrete, vulnerable family memories and gently prompting the other in a warm, nonpressuring tone.","Lower the other's defensiveness and deepen understanding by reflecting their feelings and acknowledging boundaries, signaling acceptance over persuasion.","""Feeling close to my parents, siblings, grandparents""",Vulnerable Storyteller,Empathic Reflector,"{'scenario_context': 'A scheduled check-in pairs [Agent 1] (Vulnerable Storyteller) with [Agent 2] (Empathic Reflector) for a brief, low-pressure conversation focused on feeling closer to parents, siblings, and grandparents. Coming off recent light contact with family, they agree to a simple structure: [Agent 1] will share a couple of concrete, personal family memories and offer open, nonpressuring prompts; [Agent 2] will reflect feelings, acknowledge any boundaries, and validate whatever level of detail is comfortable. They aim to end with one small, manageable action each to support closeness (such as a message or short call), keeping the tone collaborative and gentle.', 'explanation': 'Easy difficulty is ensured by aligned intentions, a cooperative format, and a clear, consent-based structure that minimizes pressure. Dispositional-situational dynamics are foregrounded: [Agent 1] models vulnerability through specific memories (inviting situational understanding rather than blame), while [Agent 2] reduces defensiveness by mirroring affect and normalizing limits (countering fixed dispositional judgments like being ""not open""). This supports reciprocal disclosure and an attainable, shared next step toward family closeness.'}",0.33666666666666667,0.379,0.16849999999999998,3,feeling|difficulty|blame,0.37125,0.35150000000000003,0.11375000000000002,4,feeling|difficulty|pressure|vulnerability,0.297,0.172,0.297,5,feeling|memories|difficulty|vulnerability|memories,0.32399999999999995,0.32399999999999995,0.034999999999999976,2,feeling|inviting,0.4385454545454545,0.5,0.10150000000000003,11,feeling|light|family|simple|share|family|closeness|gentle|inviting|family|closeness,0.258,0.258,0.11700000000000002,2,feeling|blame,0.5849999999999999,0.586,0.17999999999999994,15,vulnerable|feeling|structure|share|personal|level|closeness|cooperative|structure|inviting|understanding|fixed|like|supports|closeness,0.5578000000000001,0.578,0.02299999999999991,5,feeling|coming|share|inviting|attainable
