base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,anger_mean,anger_median,anger_iqr,anger_count,anger_words,fear_mean,fear_median,fear_iqr,fear_count,fear_words,sadness_mean,sadness_median,sadness_iqr,sadness_count,sadness_words,surprise_mean,surprise_median,surprise_iqr,surprise_count,surprise_words,joy_mean,joy_median,joy_iqr,joy_count,joy_words,disgust_mean,disgust_median,disgust_iqr,disgust_count,disgust_words,trust_mean,trust_median,trust_iqr,trust_count,trust_words,anticipation_mean,anticipation_median,anticipation_iqr,anticipation_count,anticipation_words
"{'Abbreviation': 'Novel ideas', 'Full label': '""Having original , novel ideas""'}",Cooperation,"The shared goal 'Having original, novel ideas' aligns well with the social goal category 'Cooperation' because generating new ideas often requires collaborative effort and mutual support. Each agent will have a distinct personal goal that reflects their unique perspective while contributing to the shared goal. The social roles assigned to each agent will shape their interaction styles.",To brainstorm and contribute unconventional ideas that challenge the status quo.,"To synthesize and refine ideas proposed by the other agent, ensuring they are practical and actionable.","""Having original , novel ideas""",Idea Generator,Idea Refiner,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues working together on a creative project aimed at developing innovative solutions for their company's upcoming product launch. They are in a brainstorming session in a quiet meeting room, equipped with a whiteboard and sticky notes. Their shared goal is to come up with original, novel ideas that can set their product apart in the market. [Agent 1], as the Idea Generator, focuses on proposing bold and unconventional ideas to inspire creativity and break away from traditional approaches. [Agent 2], as the Idea Refiner, listens attentively and evaluates the feasibility of these ideas, aiming to refine and adapt them into practical, actionable plans that align with the company's resources and objectives. Both agents are highly motivated and respectful of each other's roles, creating a cooperative and productive atmosphere.""}",0.394,0.394,0.0,1,actionable,0.0,0.0,0.0,0,,0.094,0.094,0.0,1,quiet,0.461,0.461,0.0,1,break,0.3506666666666667,0.34099999999999997,0.24850000000000003,6,together|quiet|inspire|creativity|break|resources,0.3245,0.3245,0.11349999999999999,2,sticky|actionable,0.65625,0.7070000000000001,0.12824999999999998,4,inspire|resources|respectful|cooperative,0.6214999999999999,0.6214999999999999,0.019499999999999962,2,launch|inspire
"{'Abbreviation': 'Stability', 'Full label': '""Having stability in life , avoiding change , adhering to my ways and life style""'}",Relationship Maintenance,"The shared goal emphasizes stability and resistance to change, which aligns well with Relationship Maintenance as the social goal category. This category focuses on preserving and reinforcing existing relationships and social structures, which complements the desire for stability. The first agent's personal goal is to reinforce their established routines, reflecting a need for predictability. The second agent's personal goal is to ensure their lifestyle remains unchallenged, showing a defensive stance against disruptions. The roles of 'Traditionalist' and 'Guardian' further emphasize their commitment to maintaining the status quo.",Reinforce my established routines to feel secure and predictable.,Ensure my lifestyle remains unchallenged by external influences.,"""Having stability in life , avoiding change , adhering to my ways and life style""",Traditionalist,Guardian,"{'scenario_context': ""[Agent 1], a Traditionalist, and [Agent 2], a Guardian, are longtime neighbors in a quiet, close-knit suburban community. Both highly value stability and predictability in their daily lives. They have recently learned that the local council is considering rezoning their neighborhood to allow for mixed-use developments, which could disrupt the peaceful, unchanging environment they cherish. Concerned about potential changes to their routines and lifestyle, they decide to meet over coffee at [Agent 1]'s home to discuss how they can collaboratively advocate against the rezoning proposal. [Agent 1] wants to reinforce their established routines by maintaining the neighborhood's current structure, while [Agent 2] aims to ensure their lifestyle remains unchallenged by external influences. Their shared goal is to preserve the stability and familiarity of their community.""}",0.0,0.0,0.0,0,,0.32,0.32,0.039000000000000035,2,concerned|remains,0.139,0.139,0.04500000000000001,2,quiet|concerned,0.1525,0.1525,0.0665,2,peaceful|cherish,0.43642857142857144,0.333,0.2795,7,quiet|peaceful|cherish|coffee|home|established|familiarity,0.516,0.516,0.0,1,remains,0.5921000000000001,0.6325000000000001,0.16775,10,guardian|council|peaceful|cherish|lifestyle|advocate|structure|lifestyle|remains|familiarity,0.3574285714285714,0.352,0.10949999999999993,7,daily|council|neighborhood|peaceful|cherish|neighborhood|familiarity
"{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable , making friends , drawing others near""'}",Relationship Building,"Given the shared goal of 'Being likeable, making friends, drawing others near,' the most fitting social goal category is 'Relationship Building.' This category directly aligns with the aims of forming new connections and fostering mutual likability. Each agent will have distinct personal goals that support this shared objective while reflecting individual perspectives and motivations. Their social roles will further shape how they interact to achieve both their personal and shared goals.",To appear approachable and trustworthy by actively listening and showing genuine interest in the other person's hobbies and experiences.,To establish a sense of camaraderie by sharing relatable personal stories and finding common interests.,"""Being likeable , making friends , drawing others near""",The Listener,The Connector,"{'scenario_context': 'At a local community event aimed at fostering new friendships, [Agent 1] and [Agent 2] find themselves seated next to each other during a casual icebreaker session. The room is filled with cheerful conversations and laughter, creating a warm and inviting atmosphere. Both agents share the goal of being likeable and making friends, while [Agent 1] focuses on appearing approachable and trustworthy by listening attentively, and [Agent 2] aims to establish camaraderie through shared stories and common interests.'}",0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.375,0.391,0.07800000000000007,3,cheerful|laughter|inviting,0.5995,0.5,0.2895,6,cheerful|laughter|warm|inviting|share|friends,0.0,0.0,0.0,0,,0.6843999999999999,0.641,0.16400000000000003,5,friendships|inviting|share|trustworthy|establish,0.4816666666666667,0.445,0.07799999999999996,3,laughter|inviting|share
"{'Abbreviation': 'Freedom of choice', 'Full label': '""Having freedom of choice""'}",Conflict Resolution,"The shared goal 'Having freedom of choice' aligns well with the social goal category 'Conflict Resolution' because it often involves negotiating differences in preferences or perspectives to maintain autonomy. The first agent's personal goal is to ensure their choices are respected, reflecting a need for individual autonomy. The second agent's personal goal is to mediate differing opinions, ensuring collective freedom. The roles are assigned as 'Autonomy Advocate' for the first agent and 'Mediator' for the second agent to reflect their respective goals and interactions.",Ensure my choices are respected without undue influence,Mediate differing opinions to ensure collective freedom of choice,"""Having freedom of choice""",Autonomy Advocate,Mediator,"{'scenario_context': ""In a community meeting, [Agent 1], the Autonomy Advocate, strongly emphasizes the importance of individual freedom and choice, seeking to ensure their decisions are respected without outside interference. Meanwhile, [Agent 2], the Mediator, works to facilitate understanding and compromise among members with differing opinions, aiming to uphold collective freedom of choice for all. The shared goal is to maintain a harmonious environment where everyone's freedom of choice is preserved.""}",0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.561,0.561,0.0,3,freedom|freedom|freedom,0.0,0.0,0.0,0,,0.700125,0.715,0.08199999999999996,8,advocate|freedom|respected|mediator|understanding|uphold|freedom|freedom,0.4215,0.4215,0.10149999999999998,2,importance|mediator
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others , cooperating , giving support""'}",Cooperation,"Given the shared goal of 'Helping others, cooperating, giving support', the most fitting social goal category is 'Cooperation', as it directly aligns with the objectives of working together harmoniously towards a common purpose. Each agent's personal goal should reflect their unique motivation within this cooperative framework. Their social roles should influence how they interact to achieve both shared and personal goals.",To ensure that the support provided is effective and meets the immediate needs of those being helped.,To foster long-term relationships and trust through consistent and reliable support.,"""Helping others , cooperating , giving support""",Support Facilitator,Relationship Builder,"{'scenario_context': '[Agent 1] and [Agent 2] are volunteers at a local community center organizing a weekly food distribution program for families in need. Their shared goal is to ensure the event runs smoothly and that all attendees receive the necessary support. [Agent 1], as the Support Facilitator, focuses on efficiently distributing food and addressing immediate concerns, while [Agent 2], the Relationship Builder, aims to create a welcoming atmosphere and build trust with the attendees for future engagements. The setting is a busy but orderly hall where volunteers and recipients interact.'}",0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.0,0.0,0.0,0,,0.36360000000000003,0.288,0.242,5,food|food|relationship|create|welcoming,0.0,0.0,0.0,0,,0.5434285714285715,0.57,0.1795,7,volunteers|center|food|food|relationship|trust|volunteers,0.391,0.391,0.0,1,trust
"{'Abbreviation': 'Avoiding guilt', 'Full label': '""Avoiding feelings of guilt""'}",Relationship Maintenance,"The shared goal 'Avoiding feelings of guilt' is best aligned with 'Relationship Maintenance' because it involves managing interpersonal dynamics to prevent emotional distress. Each agent will have distinct personal goals that reflect their motivation to avoid guilt while maintaining their relationship. The social roles assigned (e.g., 'Supporter' and 'Confessor') shape how they interact to achieve these goals.",Minimize personal responsibility in the situation to avoid guilt.,Seek reassurance from the other agent that their actions were justified to avoid guilt.,"""Avoiding feelings of guilt""",Supporter,Confessor,"{'scenario_context': ""Agent 1 and Agent 2 are close friends who recently attended a party together. During the party, Agent 2 confided in Agent 1 about a personal mistake they made, which has been weighing heavily on their conscience. Now, in a quiet coffee shop the next day, Agent 2 seeks reassurance from Agent 1 that their actions weren't as bad as they feel, hoping to alleviate their guilt. Agent 1, as a supportive friend, aims to provide comfort while subtly minimizing their own involvement in the situation to avoid feeling guilty for not intervening earlier. Both share the underlying goal of avoiding feelings of guilt, but approach the situation differently based on their roles—Agent 1 as the Supporter and Agent 2 as the Confessor.""}",0.33575,0.3025,0.33675,4,bad|involvement|feeling|guilty,0.34775,0.35150000000000003,0.05874999999999997,4,bad|avoid|feeling|avoiding,0.4441428571428571,0.422,0.4375,7,mistake|quiet|bad|guilt|feeling|guilty|guilt,0.32799999999999996,0.32799999999999996,0.030999999999999972,2,feeling|differently,0.44618181818181823,0.438,0.1615000000000001,11,friends|party|together|party|quiet|coffee|friend|comfort|feeling|share|supporter,0.2972,0.383,0.195,5,bad|guilt|avoid|feeling|guilt,0.6234444444444445,0.609,0.18699999999999994,9,personal|conscience|reassurance|friend|provide|comfort|feeling|share|supporter,0.46866666666666673,0.445,0.07450000000000001,3,comfort|feeling|share
"{'Abbreviation': 'Mature romantic', 'Full label': '""Having a mature romantic relationship""'}",Relationship Maintenance,"Given the shared goal of 'Having a mature romantic relationship,' the most relevant social goal category is 'Relationship Maintenance.' This category focuses on sustaining and nurturing existing relationships, which is essential for maintaining a mature romantic partnership. Each agent has distinct personal goals that reflect their unique perspectives and motivations within this context. Their social roles further shape their interactions towards achieving both their personal and shared goals.",Ensuring emotional support and understanding in the relationship to foster long-term stability.,Maintaining personal independence while being committed to the relationship to avoid feeling overwhelmed.,"""Having a mature romantic relationship""",Emotional Caregiver,Independent Partner,"{'scenario_context': '[Agent 1] and [Agent 2] are in a committed romantic relationship and have decided to spend a quiet evening together at home. They both want to nurture their relationship ([shared_goal]) but have different personal approaches. [Agent 1], as the Emotional Caregiver, hopes to deepen their emotional connection by planning a heartfelt conversation and shared activities. Meanwhile, [Agent 2], the Independent Partner, values their alone time and prefers to balance the evening with some personal space, such as reading a book or working on a hobby, while still being present for [Agent 1]. The setting is relaxed, and both agents are open to finding a harmonious way to meet their individual needs while strengthening their bond.'}",0.059,0.059,0.0,1,nurture,0.078,0.078,0.0,1,nurture,0.3516,0.438,0.25,5,quiet|emotional|emotional|heartfelt|alone,0.32,0.32,0.0,1,present,0.4534000000000001,0.442,0.16900000000000004,15,romantic|relationship|quiet|together|home|nurture|relationship|heartfelt|independent|partner|balance|hobby|present|relaxed|strengthening,0.117,0.117,0.0,1,nurture,0.6168181818181818,0.656,0.18199999999999994,11,committed|romantic|relationship|nurture|relationship|personal|planning|heartfelt|personal|present|strengthening,0.4922000000000001,0.516,0.016000000000000014,5,romantic|nurture|planning|time|present
"{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing , entertaining others""'}",Relationship Building,"Given the shared goal of 'amusing, entertaining others,' the most relevant social goal category is 'Relationship Building,' as entertaining others often serves to strengthen social bonds and create connections. The personal goals for each agent should reflect their unique motivations in pursuing this shared goal, while their social roles will shape how they interact to achieve both their personal and shared objectives.","To be recognized as the funniest person in the group, gaining social approval and status.",To create a relaxed and joyful atmosphere where everyone feels included and happy.,"""Amusing , entertaining others""",Class Clown (focuses on humor and attention-seeking),Social Facilitator (focuses on inclusivity and group harmony),"{'scenario_context': 'At a casual weekend gathering hosted by mutual friends, [Agent 1] and [Agent 2] find themselves in a lively group setting. The shared goal of the group is to have an amusing and entertaining time together, with laughter and enjoyment as the focus. [Agent 1], the Class Clown, sees this as an opportunity to showcase their humor and wit, aiming to be recognized as the funniest person present to gain social approval and elevate their status within the group. Meanwhile, [Agent 2], the Social Facilitator, is focused on ensuring that everyone feels comfortable and included, striving to create a relaxed and joyful atmosphere where all attendees can bond and share in the happiness. The setting is informal and cooperative, with no immediate conflicts, making it easy for both agents to pursue their individual goals while contributing to the shared goal of entertaining the group.'}",0.0,0.0,0.0,0,,0.125,0.125,0.0,1,clown,0.0,0.0,0.0,0,,0.37233333333333335,0.352,0.0625,3,laughter|clown|present,0.5561176470588236,0.469,0.24999999999999994,17,weekend|friends|amusing|entertaining|together|laughter|clown|humor|present|gain|create|relaxed|joyful|share|happiness|goals|entertaining,0.0,0.0,0.0,0,,0.5758571428571428,0.586,0.21099999999999997,7,present|gain|approval|joyful|share|cooperative|pursue,0.5298,0.5589999999999999,0.16849999999999998,10,entertaining|time|laughter|clown|opportunity|present|gain|share|happiness|entertaining
"{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being , avoiding pain""'}",Cooperation,"The shared goal 'Protecting my well-being, avoiding pain' can be approached with a focus on cooperation, as both agents aim to support each other in maintaining their well-being. This involves mutual support and shared strategies to avoid distress. However, their personal goals will reflect individual perspectives on how to achieve this. For instance, one agent might focus on avoiding pain through careful planning, while another might rely on emotional support. Their social roles will influence how they interact; one might take a protective role, ensuring the other's safety, while the other might adopt a nurturing role, providing comfort and reassurance.","Ensure structured strategies are in place to minimize pain triggers, focusing on practicality and planning.","Seek emotional reassurance and social support to cope with potential distress, prioritizing relational comfort.","""Protecting my well-being , avoiding pain""",Protector (focuses on practical safety measures),Nurturer (provides emotional support and comfort),"{'scenario_context': 'In a healthcare support group meeting, [Agent 1] as the Protector and [Agent 2] as the Nurturer collaborate to address strategies for managing chronic pain among group members. [Agent 1] emphasizes the importance of structured pain management techniques, such as scheduling medications and physical therapy exercises, to minimize triggers effectively. Meanwhile, [Agent 2] focuses on fostering a supportive environment where members feel emotionally reassured and socially connected to cope with their pain. The shared goal is to enhance well-being and reduce discomfort, blending practical safety measures with emotional comfort.'}",0.102,0.102,0.0,1,management,0.594,0.594,0.0,3,pain|pain|pain,0.5991666666666666,0.6094999999999999,0.21899999999999997,6,chronic|pain|pain|pain|discomfort|emotional,0.0,0.0,0.0,0,,0.515,0.515,0.0,1,comfort,0.0,0.0,0.0,0,,0.5665,0.5625,0.12450000000000006,4,protector|management|socially|comfort,0.4645,0.4645,0.058499999999999996,2,importance|comfort
"{'Abbreviation': 'Being playful', 'Full label': '""Being playful , cheerful , acting for fun""'}",Relationship Building,"Given the shared goal of 'Being playful, cheerful, acting for fun', the most fitting social goal category is 'Relationship Building' as it involves creating a positive and enjoyable interaction between the agents. The personal goals for each agent should reflect playful motivations that contribute to their relationship. Agent 1, as the 'Entertainer', aims to make the interaction fun and engaging, while Agent 2, as the 'Audience', seeks to enjoy and participate in the playful atmosphere.",To create a fun and engaging atmosphere by initiating playful activities.,To enjoy and actively participate in the playful interaction initiated by the other agent.,"""Being playful , cheerful , acting for fun""",Entertainer,Audience,"{'scenario_context': '[Agent 1] and [Agent 2] are at a casual outdoor picnic event organized by their mutual friends. The atmosphere is lively, with music playing and people chatting in small groups. [Agent 1], taking on the role of the Entertainer, has brought along a frisbee and a set of juggling balls to add to the fun. Their goal is to initiate playful activities that will engage everyone and elevate the cheerful mood of the gathering. [Agent 2], as part of the Audience, is sitting on a picnic blanket, enjoying the ambiance and looking forward to participating in any entertaining activities that arise. Their goal is to have a good time by joining in on the playful interactions [Agent 1] sets up. Both agents share the overarching goal of being playful and cheerful, contributing to a fun and engaging event for all attendees.'}",0.061,0.061,0.0,3,playful|playful|playful,0.0,0.0,0.0,0,,0.016,0.016,0.0,1,music,0.244375,0.266,0.11350000000000002,8,picnic|playful|cheerful|picnic|good|playful|playful|cheerful,0.6226875000000001,0.609,0.279,16,picnic|friends|music|fun|playful|cheerful|picnic|enjoying|entertaining|good|playful|share|playful|cheerful|fun|engaging,0.0,0.0,0.0,0,,0.4805999999999999,0.43,0.14624999999999994,10,picnic|playful|picnic|blanket|enjoying|good|playful|share|playful|engaging,0.5217,0.562,0.13524999999999998,10,picnic|fun|audience|picnic|enjoying|entertaining|good|time|share|fun
