base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,average_entailment_score,slot_entailment_scores
"{'Abbreviation': 'Novel ideas', 'Full label': '""Having original , novel ideas""'}",Cooperation,"The shared goal 'Having original, novel ideas' aligns well with the social goal category 'Cooperation' because generating new ideas often requires collaborative effort and mutual support. Each agent will have a distinct personal goal that reflects their unique perspective while contributing to the shared goal. The social roles assigned to each agent will shape their interaction styles.",To brainstorm and contribute unconventional ideas that challenge the status quo.,"To synthesize and refine ideas proposed by the other agent, ensuring they are practical and actionable.","""Having original , novel ideas""",Idea Generator,Idea Refiner,"{'scenario_context': ""Two agents, [Agent 1] and [Agent 2], are collaborating in a creative brainstorming session for an innovation workshop. [Agent 1], the Idea Generator, is focused on contributing bold, unconventional ideas that push boundaries, while [Agent 2], the Idea Refiner, aims to ensure these ideas are polished and feasible. Tension arises as [Agent 1] feels constrained by [Agent 2]'s practicality, whereas [Agent 2] struggles to keep [Agent 1]'s ideas grounded. Their shared goal is to produce original, novel ideas that are both groundbreaking and actionable.""}",0.9179862340291342,"{'shared_goal_score': 0.9970666766166687, 'social_goal_category_score': 0.6922995448112488, 'first_agent_goal_score': 0.9999284148216248, 'second_agent_goal_score': 0.9998294115066528, 'first_agent_role_score': 0.9019303321838379, 'second_agent_role_score': 0.9168630242347717}"
"{'Abbreviation': 'Stability', 'Full label': '""Having stability in life , avoiding change , adhering to my ways and life style""'}",Relationship Maintenance,"The shared goal emphasizes stability and resistance to change, which aligns well with Relationship Maintenance as the social goal category. This category focuses on preserving and reinforcing existing relationships and social structures, which complements the desire for stability. The first agent's personal goal is to reinforce their established routines, reflecting a need for predictability. The second agent's personal goal is to ensure their lifestyle remains unchallenged, showing a defensive stance against disruptions. The roles of 'Traditionalist' and 'Guardian' further emphasize their commitment to maintaining the status quo.",Reinforce my established routines to feel secure and predictable.,Ensure my lifestyle remains unchallenged by external influences.,"""Having stability in life , avoiding change , adhering to my ways and life style""",Traditionalist,Guardian,"{'scenario_context': ""[Agent 1], a Traditionalist, and [Agent 2], a Guardian, are longtime neighbors in a quiet, close-knit suburban community. Both value stability and resist change, preferring to maintain their established routines and lifestyles. Recently, the local homeowners' association proposed a new community initiative to modernize the neighborhood by introducing shared communal spaces and updated landscaping, which would alter the current, familiar environment. [Agent 1] is determined to reinforce their established routines to feel secure and predictable, while [Agent 2] is focused on ensuring their lifestyle remains unchallenged by these external influences. They have decided to meet to discuss how to approach the upcoming homeowners' association meeting, where the proposal will be voted on. Their shared goal is to preserve the stability and familiarity of their neighborhood, but each has their own approach to achieving this.""}",0.9139152665932974,"{'shared_goal_score': 0.9988630414009094, 'social_goal_category_score': 0.5917553901672363, 'first_agent_goal_score': 0.9992550015449524, 'second_agent_goal_score': 0.9989129900932312, 'first_agent_role_score': 0.9845839738845825, 'second_agent_role_score': 0.9101212024688721}"
"{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable , making friends , drawing others near""'}",Relationship Building,"Given the shared goal of 'Being likeable, making friends, drawing others near,' the most fitting social goal category is 'Relationship Building.' This category directly aligns with the aims of forming new connections and fostering mutual likability. Each agent will have distinct personal goals that support this shared objective while reflecting individual perspectives and motivations. Their social roles will further shape how they interact to achieve both their personal and shared goals.",To appear approachable and trustworthy by actively listening and showing genuine interest in the other person's hobbies and experiences.,To establish a sense of camaraderie by sharing relatable personal stories and finding common interests.,"""Being likeable , making friends , drawing others near""",The Listener,The Connector,"{'scenario_context': ""A community event organized to foster social connections among newcomers in the neighborhood. [Agent 1], a reserved but observant participant, aims to appear approachable and trustworthy by actively listening and showing genuine interest in others' hobbies and experiences. [Agent 2], an outgoing and sociable attendee, seeks to establish camaraderie by sharing relatable personal stories and discovering common interests. The shared goal of both agents is to be likeable, make friends, and draw others near, but their differing roles—one as The Listener and the other as The Connector—introduce subtle challenges in balancing their approaches while maintaining mutual comfort and engagement.""}",0.8440002699693044,"{'shared_goal_score': 0.9997918605804443, 'social_goal_category_score': 0.8367040753364563, 'first_agent_goal_score': 0.9998496770858765, 'second_agent_goal_score': 0.9999529719352722, 'first_agent_role_score': 0.5574504137039185, 'second_agent_role_score': 0.6702526211738586}"
"{'Abbreviation': 'Freedom of choice', 'Full label': '""Having freedom of choice""'}",Conflict Resolution,"The shared goal 'Having freedom of choice' aligns well with the social goal category 'Conflict Resolution' because it often involves negotiating differences in preferences or perspectives to maintain autonomy. The first agent's personal goal is to ensure their choices are respected, reflecting a need for individual autonomy. The second agent's personal goal is to mediate differing opinions, ensuring collective freedom. The roles are assigned as 'Autonomy Advocate' for the first agent and 'Mediator' for the second agent to reflect their respective goals and interactions.",Ensure my choices are respected without undue influence,Mediate differing opinions to ensure collective freedom of choice,"""Having freedom of choice""",Autonomy Advocate,Mediator,"{'scenario_context': ""[Agent 1] and [Agent 2] are members of a community council tasked with deciding on a new policy that affects everyone's freedom of choice. [Agent 1], as an Autonomy Advocate, strongly believes in individual rights and wants to ensure that personal choices are respected without external pressure. [Agent 2], the Mediator, is focused on balancing diverse opinions within the group to uphold collective freedom of choice. The tension arises as [Agent 1] resists compromises they perceive as limiting personal autonomy, while [Agent 2] seeks to find common ground that satisfies all council members. The shared goal of 'having freedom of choice' is at risk if their differing approaches cannot be reconciled.""}",0.9778967201709747,"{'shared_goal_score': 0.9980666637420654, 'social_goal_category_score': 0.9299235343933105, 'first_agent_goal_score': 0.9993560314178467, 'second_agent_goal_score': 0.9999476075172424, 'first_agent_role_score': 0.9830396771430969, 'second_agent_role_score': 0.9570468068122864}"
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others , cooperating , giving support""'}",Cooperation,"Given the shared goal of 'Helping others, cooperating, giving support', the most fitting social goal category is 'Cooperation', as it directly aligns with the objectives of working together harmoniously towards a common purpose. Each agent's personal goal should reflect their unique motivation within this cooperative framework. Their social roles should influence how they interact to achieve both shared and personal goals.",To ensure that the support provided is effective and meets the immediate needs of those being helped.,To foster long-term relationships and trust through consistent and reliable support.,"""Helping others , cooperating , giving support""",Support Facilitator,Relationship Builder,"{'scenario_context': 'The scenario takes place in a community center where [Agent 1] and [Agent 2] are working together to organize a support program for local residents affected by a recent natural disaster. [Agent 1], as the Support Facilitator, is focused on providing immediate relief supplies and short-term solutions to address the urgent needs of the affected individuals. [Agent 2], as the Relationship Builder, is more concerned with creating sustainable partnerships with local organizations and fostering trust among the community members to ensure ongoing support beyond the initial crisis. Both agents share the goal of helping others and cooperating, but their differing priorities—meeting immediate needs versus building long-term relationships—create a medium level of tension as they navigate how to allocate resources and plan the program effectively.'}",0.9550082882245382,"{'shared_goal_score': 0.9963366389274597, 'social_goal_category_score': 0.8942183256149292, 'first_agent_goal_score': 0.9997746348381042, 'second_agent_goal_score': 0.9999165534973145, 'first_agent_role_score': 0.9442209005355835, 'second_agent_role_score': 0.8955826759338379}"
"{'Abbreviation': 'Avoiding guilt', 'Full label': '""Avoiding feelings of guilt""'}",Relationship Maintenance,"The shared goal 'Avoiding feelings of guilt' is best aligned with 'Relationship Maintenance' because it involves managing interpersonal dynamics to prevent emotional distress. Each agent will have distinct personal goals that reflect their motivation to avoid guilt while maintaining their relationship. The social roles assigned (e.g., 'Supporter' and 'Confessor') shape how they interact to achieve these goals.",Minimize personal responsibility in the situation to avoid guilt.,Seek reassurance from the other agent that their actions were justified to avoid guilt.,"""Avoiding feelings of guilt""",Supporter,Confessor,"{'scenario_context': '[Agent 1] and [Agent 2] are close friends who recently collaborated on a project that ended poorly due to misunderstandings and miscommunication. Both feel guilty about the outcome but are hesitant to admit their faults directly. They meet for coffee to discuss what went wrong, with [Agent 1] taking on the role of the Supporter, aiming to downplay their own involvement to avoid guilt, while [Agent 2] acts as the Confessor, seeking validation that their actions were justified to alleviate their own feelings of guilt. The shared goal is to avoid guilt, but their individual approaches create tension in reconciling their perspectives.'}",0.9470395843187968,"{'shared_goal_score': 0.9994542598724365, 'social_goal_category_score': 0.7306281924247742, 'first_agent_goal_score': 0.9998889565467834, 'second_agent_goal_score': 0.9999496936798096, 'first_agent_role_score': 0.9723817110061646, 'second_agent_role_score': 0.9799346923828125}"
"{'Abbreviation': 'Mature romantic', 'Full label': '""Having a mature romantic relationship""'}",Relationship Maintenance,"Given the shared goal of 'Having a mature romantic relationship,' the most relevant social goal category is 'Relationship Maintenance.' This category focuses on sustaining and nurturing existing relationships, which is essential for maintaining a mature romantic partnership. Each agent has distinct personal goals that reflect their unique perspectives and motivations within this context. Their social roles further shape their interactions towards achieving both their personal and shared goals.",Ensuring emotional support and understanding in the relationship to foster long-term stability.,Maintaining personal independence while being committed to the relationship to avoid feeling overwhelmed.,"""Having a mature romantic relationship""",Emotional Caregiver,Independent Partner,"{'scenario_context': '[Agent 1], who naturally assumes the role of an Emotional Caregiver, and [Agent 2], who prefers to maintain their independence as an Independent Partner, are in a long-term romantic relationship. They have decided to spend a weekend getaway together to strengthen their bond. While both share the goal of having a mature romantic relationship, [Agent 1] is focused on ensuring emotional support and understanding to foster long-term stability, whereas [Agent 2] is cautious about maintaining personal independence to avoid feeling overwhelmed by the relationship. The setting is a cozy cabin in the woods, providing both intimacy and space for reflection. As they plan their activities for the weekend, their differing approaches to the relationship may lead to subtle tensions, but their shared commitment offers a foundation for reconciliation.'}",0.8581403369704882,"{'shared_goal_score': 0.9941760301589966, 'social_goal_category_score': 0.1964140385389328, 'first_agent_goal_score': 0.9999425411224365, 'second_agent_goal_score': 0.9833025336265564, 'first_agent_role_score': 0.9885110259056091, 'second_agent_role_score': 0.986495852470398}"
"{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing , entertaining others""'}",Relationship Building,"Given the shared goal of 'amusing, entertaining others,' the most relevant social goal category is 'Relationship Building,' as entertaining others often serves to strengthen social bonds and create connections. The personal goals for each agent should reflect their unique motivations in pursuing this shared goal, while their social roles will shape how they interact to achieve both their personal and shared objectives.","To be recognized as the funniest person in the group, gaining social approval and status.",To create a relaxed and joyful atmosphere where everyone feels included and happy.,"""Amusing , entertaining others""",Class Clown (focuses on humor and attention-seeking),Social Facilitator (focuses on inclusivity and group harmony),"{'scenario_context': ""A group of co-workers is gathered for an informal team-building event at a local escape room. The shared goal is to solve the puzzles and escape the room while enjoying each other's company. [Agent 1], the Class Clown, sees this as an opportunity to showcase their humor and wit, aiming to be the center of attention and earn the group's laughter and admiration. [Agent 2], the Social Facilitator, is focused on ensuring that everyone feels comfortable and engaged, striving to maintain a positive and cohesive group dynamic where no one feels left out or overshadowed. The escape room's challenging puzzles and time pressure add a layer of tension, making it a test of both problem-solving and interpersonal skills.""}",0.8855098734299341,"{'shared_goal_score': 0.9753462672233582, 'social_goal_category_score': 0.33847925066947937, 'first_agent_goal_score': 0.9999533891677856, 'second_agent_goal_score': 0.9997740983963013, 'first_agent_role_score': 0.9998210668563843, 'second_agent_role_score': 0.9996851682662964}"
"{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being , avoiding pain""'}",Cooperation,"The shared goal 'Protecting my well-being, avoiding pain' can be approached with a focus on cooperation, as both agents aim to support each other in maintaining their well-being. This involves mutual support and shared strategies to avoid distress. However, their personal goals will reflect individual perspectives on how to achieve this. For instance, one agent might focus on avoiding pain through careful planning, while another might rely on emotional support. Their social roles will influence how they interact; one might take a protective role, ensuring the other's safety, while the other might adopt a nurturing role, providing comfort and reassurance.","Ensure structured strategies are in place to minimize pain triggers, focusing on practicality and planning.","Seek emotional reassurance and social support to cope with potential distress, prioritizing relational comfort.","""Protecting my well-being , avoiding pain""",Protector (focuses on practical safety measures),Nurturer (provides emotional support and comfort),"{'scenario_context': '[Agent 1] and [Agent 2] are colleagues working on a project aimed at reducing workplace stress and discomfort for their team. Both share the goal of protecting their well-being and avoiding pain, but approach it differently. [Agent 1], the Protector, wants to implement structured strategies like scheduled breaks, ergonomic assessments, and clear task delegation to minimize physical and emotional pain triggers. [Agent 2], the Nurturer, believes emotional reassurance and team-building activities like group discussions and peer support systems are more effective. Their meeting today is to finalize the project plan, balancing practicality with relational comfort.'}",0.9580246110757192,"{'shared_goal_score': 0.9951844811439514, 'social_goal_category_score': 0.8112162351608276, 'first_agent_goal_score': 0.9990399479866028, 'second_agent_goal_score': 0.9996902346611023, 'first_agent_role_score': 0.947848379611969, 'second_agent_role_score': 0.9951683878898621}"
"{'Abbreviation': 'Being playful', 'Full label': '""Being playful , cheerful , acting for fun""'}",Relationship Building,"Given the shared goal of 'Being playful, cheerful, acting for fun', the most fitting social goal category is 'Relationship Building' as it involves creating a positive and enjoyable interaction between the agents. The personal goals for each agent should reflect playful motivations that contribute to their relationship. Agent 1, as the 'Entertainer', aims to make the interaction fun and engaging, while Agent 2, as the 'Audience', seeks to enjoy and participate in the playful atmosphere.",To create a fun and engaging atmosphere by initiating playful activities.,To enjoy and actively participate in the playful interaction initiated by the other agent.,"""Being playful , cheerful , acting for fun""",Entertainer,Audience,"{'scenario_context': ""[Agent 1] and [Agent 2] find themselves at a casual weekend gathering at a friend's backyard barbecue. The atmosphere is relaxed, with music playing softly in the background and a few guests mingling. [Agent 1], who thrives on entertaining others, notices the mood could use a lift and decides to inject some playful energy into the event. Meanwhile, [Agent 2], though initially reserved, is in the mood to unwind and enjoy some lighthearted fun, hoping to engage in whatever lively activities [Agent 1] has in mind. Their shared goal is to create and partake in a cheerful, playful interaction that enhances the overall enjoyment of the gathering.""}",0.9244253039360046,"{'shared_goal_score': 0.9633135795593262, 'social_goal_category_score': 0.7208145260810852, 'first_agent_goal_score': 0.9999586939811707, 'second_agent_goal_score': 0.9997511506080627, 'first_agent_role_score': 0.9483993649482727, 'second_agent_role_score': 0.9143145084381104}"
