base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,anger_mean,anger_median,anger_iqr,anger_count,anger_words,fear_mean,fear_median,fear_iqr,fear_count,fear_words,sadness_mean,sadness_median,sadness_iqr,sadness_count,sadness_words,surprise_mean,surprise_median,surprise_iqr,surprise_count,surprise_words,joy_mean,joy_median,joy_iqr,joy_count,joy_words,disgust_mean,disgust_median,disgust_iqr,disgust_count,disgust_words,trust_mean,trust_median,trust_iqr,trust_count,trust_words,anticipation_mean,anticipation_median,anticipation_iqr,anticipation_count,anticipation_words
"{'Abbreviation': 'Novel ideas', 'Full label': '""Having original , novel ideas""'}",Cooperation,"The shared goal 'Having original, novel ideas' aligns well with the social goal category 'Cooperation' because generating new ideas often requires collaborative effort and mutual support. Each agent will have a distinct personal goal that reflects their unique perspective while contributing to the shared goal. The social roles assigned to each agent will shape their interaction styles.",To brainstorm and contribute unconventional ideas that challenge the status quo.,"To synthesize and refine ideas proposed by the other agent, ensuring they are practical and actionable.","""Having original , novel ideas""",Idea Generator,Idea Refiner,"{'scenario_context': ""In a high-stakes innovation workshop for a cutting-edge tech company, [Agent 1] and [Agent 2] are paired together to tackle the challenge of developing groundbreaking ideas for the company's next product launch. The workshop encourages radical thinking and originality, with the overarching goal of 'having original, novel ideas.' [Agent 1], the Idea Generator, is eager to push boundaries and disrupt conventional thinking, aiming to brainstorm and contribute unconventional ideas that challenge the status quo. Meanwhile, [Agent 2], the Idea Refiner, is focused on synthesizing and refining the proposed ideas to ensure they are practical and actionable, aligning with the company's strategic objectives. The tension lies in [Agent 1]'s desire for unfiltered creativity versus [Agent 2]'s need for feasibility, creating a dynamic where their shared goal is hard to achieve without significant compromise or conflict.""}",0.43928571428571433,0.394,0.1975,7,tackle|challenge|challenge|actionable|tension|versus|conflict,0.401,0.281,0.18,3,challenge|challenge|conflict,0.469,0.469,0.0,1,conflict,0.5,0.496,0.15999999999999998,4,tackle|originality|eager|dynamic,0.48819999999999997,0.484,0.045999999999999985,5,together|eager|desire|creativity|achieve,0.211,0.211,0.0,1,actionable,0.5975,0.5975,0.058499999999999996,2,eager|achieve,0.6915,0.6915,0.05049999999999999,2,launch|eager
"{'Abbreviation': 'Stability', 'Full label': '""Having stability in life , avoiding change , adhering to my ways and life style""'}",Relationship Maintenance,"The shared goal emphasizes stability and resistance to change, which aligns well with Relationship Maintenance as the social goal category. This category focuses on preserving and reinforcing existing relationships and social structures, which complements the desire for stability. The first agent's personal goal is to reinforce their established routines, reflecting a need for predictability. The second agent's personal goal is to ensure their lifestyle remains unchallenged, showing a defensive stance against disruptions. The roles of 'Traditionalist' and 'Guardian' further emphasize their commitment to maintaining the status quo.",Reinforce my established routines to feel secure and predictable.,Ensure my lifestyle remains unchallenged by external influences.,"""Having stability in life , avoiding change , adhering to my ways and life style""",Traditionalist,Guardian,"{'scenario_context': ""[Agent 1], a Traditionalist who finds comfort in strict routines and predictability, and [Agent 2], a Guardian fiercely protective of their unchanging lifestyle, are long-time neighbors in a quiet, close-knit community. Their shared goal is maintaining stability and resisting any changes to their familiar way of life. However, the local homeowners' association has proposed a new policy that would allow younger families to modify the neighborhood's strict architectural guidelines to accommodate modern needs. [Agent 1] wants to reinforce their daily routines and sense of security by opposing any alterations, fearing even minor changes could disrupt their carefully structured life. Meanwhile, [Agent 2] is determined to prevent any external influences from challenging their lifestyle, viewing the proposal as a direct threat to the neighborhood's longstanding traditions. The tension arises as they must collaborate to stop the policy, but their individual goals—rooted in deep-seated resistance to change—make compromise or unified action difficult, risking the erosion of their shared stability.""}",0.554,0.573,0.14850000000000002,4,resisting|threat|tension|resistance,0.3727142857142857,0.359,0.367,7,resisting|guidelines|fearing|prevent|threat|change|difficult,0.2015,0.2015,0.10749999999999998,2,quiet|resisting,0.352,0.352,0.0,1,modify,0.4096,0.438,0.030999999999999972,5,comfort|quiet|life|life|goals,0.0,0.0,0.0,0,,0.5404545454545455,0.516,0.14400000000000002,11,comfort|guardian|protective|lifestyle|familiar|association|policy|lifestyle|policy|rooted|resistance,0.3225,0.309,0.09949999999999998,4,comfort|neighborhood|daily|neighborhood
"{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable , making friends , drawing others near""'}",Relationship Building,"Given the shared goal of 'Being likeable, making friends, drawing others near,' the most fitting social goal category is 'Relationship Building.' This category directly aligns with the aims of forming new connections and fostering mutual likability. Each agent will have distinct personal goals that support this shared objective while reflecting individual perspectives and motivations. Their social roles will further shape how they interact to achieve both their personal and shared goals.",To appear approachable and trustworthy by actively listening and showing genuine interest in the other person's hobbies and experiences.,To establish a sense of camaraderie by sharing relatable personal stories and finding common interests.,"""Being likeable , making friends , drawing others near""",The Listener,The Connector,"{'scenario_context': 'At a professional networking event focused on fostering meaningful connections, [Agent 1] (The Listener) and [Agent 2] (The Connector) find themselves paired for a speed networking activity. Both agents aim to build likability and forge a genuine connection, but [Agent 1] prioritizes trustworthiness through attentive listening, while [Agent 2] seeks to quickly establish camaraderie by exchanging personal anecdotes. The time-constrained, high-pressure environment amplifies the difficulty of balancing their approaches, with [Agent 1] fearing superficiality and [Agent 2] worrying about failing to engage deeply enough.'}",0.3065,0.3065,0.07250000000000001,2,difficulty|failing,0.51425,0.5075000000000001,0.17875000000000008,4,difficulty|fearing|worrying|failing,0.5676666666666667,0.562,0.07050000000000001,3,difficulty|worrying|failing,0.0,0.0,0.0,0,,0.391,0.391,0.0,1,meaningful,0.0,0.0,0.0,0,,0.6376000000000001,0.641,0.06300000000000006,5,professional|genuine|attentive|establish|personal,0.461,0.461,0.07799999999999996,2,worrying|failing
"{'Abbreviation': 'Freedom of choice', 'Full label': '""Having freedom of choice""'}",Conflict Resolution,"The shared goal 'Having freedom of choice' aligns well with the social goal category 'Conflict Resolution' because it often involves negotiating differences in preferences or perspectives to maintain autonomy. The first agent's personal goal is to ensure their choices are respected, reflecting a need for individual autonomy. The second agent's personal goal is to mediate differing opinions, ensuring collective freedom. The roles are assigned as 'Autonomy Advocate' for the first agent and 'Mediator' for the second agent to reflect their respective goals and interactions.",Ensure my choices are respected without undue influence,Mediate differing opinions to ensure collective freedom of choice,"""Having freedom of choice""",Autonomy Advocate,Mediator,"{'scenario_context': ""In a community meeting to decide on new guidelines for shared public spaces, [Agent 1], the Autonomy Advocate, fiercely defends the right of individuals to make personal choices without interference, emphasizing the importance of personal freedom. Meanwhile, [Agent 2], the Mediator, strives to balance the diverse opinions of the group, aiming to find a middle ground where everyone's freedom of choice is respected without causing division. The tension arises as [Agent 1] resists any compromise perceived as limiting individual autonomy, while [Agent 2] pushes for consensus, creating a challenging dynamic where both shared and individual goals seem difficult to reconcile.""}",0.603,0.603,0.0,1,tension,0.2105,0.2105,0.14850000000000002,2,guidelines|difficult,0.0,0.0,0.0,0,,0.57,0.57,0.0,1,dynamic,0.4665,0.515,0.14050000000000007,4,freedom|balance|freedom|goals,0.0,0.0,0.0,0,,0.6066666666666668,0.609,0.242,9,advocate|personal|choices|personal|freedom|mediator|ground|freedom|respected,0.40599999999999997,0.375,0.10149999999999998,3,public|importance|mediator
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others , cooperating , giving support""'}",Cooperation,"Given the shared goal of 'Helping others, cooperating, giving support', the most fitting social goal category is 'Cooperation', as it directly aligns with the objectives of working together harmoniously towards a common purpose. Each agent's personal goal should reflect their unique motivation within this cooperative framework. Their social roles should influence how they interact to achieve both shared and personal goals.",To ensure that the support provided is effective and meets the immediate needs of those being helped.,To foster long-term relationships and trust through consistent and reliable support.,"""Helping others , cooperating , giving support""",Support Facilitator,Relationship Builder,"{'scenario_context': ""[Agent 1] and [Agent 2] are working together in a community outreach program aimed at providing immediate relief to homeless individuals during a severe winter storm. [Agent 1], as the Support Facilitator, is focused on distributing essential supplies like blankets, food, and warm clothing as efficiently as possible to address the urgent needs of the homeless population. [Agent 2], the Relationship Builder, is prioritizing building rapport with the recipients to ensure they feel valued and supported beyond the immediate crisis, with the hope of encouraging them to engage with long-term services like shelters and job training programs. The tension arises as [Agent 1] feels that [Agent 2]'s approach is slowing down the distribution process, potentially leaving some individuals without critical aid, while [Agent 2] believes [Agent 1]'s urgency is undermining the trust-building necessary for sustained support. The shared goal of helping others is complicated by the conflicting priorities of immediate effectiveness versus long-term relationship fostering, creating a high-stakes environment where both agents must navigate their differences to succeed.""}",0.3826,0.288,0.21900000000000003,5,homeless|storm|homeless|tension|versus,0.5098333333333334,0.5295,0.20325,6,homeless|urgent|homeless|crisis|shelters|urgency,0.50375,0.5075000000000001,0.45675,4,homeless|homeless|down|leaving,0.5155,0.5,0.26949999999999996,4,urgent|hope|urgency|succeed,0.40650000000000003,0.4335,0.1905,10,together|providing|relief|food|warm|relationship|hope|critical|relationship|succeed,0.438,0.438,0.0,2,homeless|homeless,0.5452999999999999,0.555,0.17200000000000004,10,providing|like|food|relationship|hope|like|believes|relationship|differences|succeed,0.5547142857142856,0.633,0.33599999999999997,7,providing|homeless|urgent|homeless|hope|urgency|succeed
"{'Abbreviation': 'Avoiding guilt', 'Full label': '""Avoiding feelings of guilt""'}",Relationship Maintenance,"The shared goal 'Avoiding feelings of guilt' is best aligned with 'Relationship Maintenance' because it involves managing interpersonal dynamics to prevent emotional distress. Each agent will have distinct personal goals that reflect their motivation to avoid guilt while maintaining their relationship. The social roles assigned (e.g., 'Supporter' and 'Confessor') shape how they interact to achieve these goals.",Minimize personal responsibility in the situation to avoid guilt.,Seek reassurance from the other agent that their actions were justified to avoid guilt.,"""Avoiding feelings of guilt""",Supporter,Confessor,"{'scenario_context': ""Two friends, [Agent 1] and [Agent 2], mutually agreed to help plan a surprise birthday party for another friend who was going through a difficult time. Due to miscommunication and lack of coordination, the party ended up being poorly executed, leaving the birthday friend feeling worse than before. Both agents now privately feel guilty and responsible for the outcome, but neither wants to admit it openly. They meet to discuss the party's failure, each aiming to navigate the conversation in a way that minimizes their own responsibility ([Agent 1], the Supporter) or seeks reassurance from the other that their actions weren't entirely to blame ([Agent 2], the Confessor). The tension lies in their shared goal of avoiding guilt while their individual motivations subtly conflict.""}",0.4806,0.578,0.10699999999999998,5,feeling|guilty|blame|tension|conflict,0.39449999999999996,0.375,0.21074999999999994,8,help|surprise|difficult|feeling|worse|failure|avoiding|conflict,0.5044285714285714,0.469,0.31999999999999995,7,leaving|feeling|worse|guilty|failure|guilt|conflict,0.56825,0.492,0.14275000000000004,4,surprise|birthday|birthday|feeling,0.5654545454545453,0.562,0.257,11,friends|surprise|birthday|party|friend|party|birthday|friend|feeling|party|supporter,0.32425000000000004,0.379,0.07025000000000003,4,feeling|failure|blame|guilt,0.6754444444444445,0.734,0.15600000000000003,9,agreed|friend|friend|feeling|responsible|admit|openly|supporter|reassurance,0.5814,0.57,0.07799999999999996,5,plan|birthday|time|birthday|feeling
"{'Abbreviation': 'Mature romantic', 'Full label': '""Having a mature romantic relationship""'}",Relationship Maintenance,"Given the shared goal of 'Having a mature romantic relationship,' the most relevant social goal category is 'Relationship Maintenance.' This category focuses on sustaining and nurturing existing relationships, which is essential for maintaining a mature romantic partnership. Each agent has distinct personal goals that reflect their unique perspectives and motivations within this context. Their social roles further shape their interactions towards achieving both their personal and shared goals.",Ensuring emotional support and understanding in the relationship to foster long-term stability.,Maintaining personal independence while being committed to the relationship to avoid feeling overwhelmed.,"""Having a mature romantic relationship""",Emotional Caregiver,Independent Partner,"{'scenario_context': ""[Agent 1] and [Agent 2] have been in a romantic relationship for over a year. Recently, [Agent 1] has felt increasingly responsible for ensuring emotional stability in the relationship, often initiating deep conversations and offering support, hoping to build a stronger foundation for the future. Meanwhile, [Agent 2] values their independence and has started to feel suffocated by [Agent 1]'s emotional demands, fearing the loss of personal space. Tonight, they are meeting for dinner at a quiet restaurant, both intending to discuss their feelings about the relationship's direction. Their shared goal is to maintain a mature romantic relationship, but their individual goals—[Agent 1] seeking emotional security and [Agent 2] striving for autonomy—create inherent tension.""}",0.4635,0.4635,0.1395,2,loss|tension,0.6930000000000001,0.6930000000000001,0.1150000000000001,2,fearing|loss,0.4192,0.438,0.0,5,emotional|emotional|loss|quiet|emotional,0.242,0.242,0.0,1,independence,0.5108,0.514,0.10350000000000004,10,romantic|relationship|relationship|independence|quiet|relationship|romantic|relationship|goals|create,0.0,0.0,0.0,0,,0.5873999999999999,0.6015,0.15600000000000003,10,romantic|relationship|responsible|relationship|offering|independence|personal|relationship|romantic|relationship,0.5206666666666667,0.5,0.031000000000000028,3,romantic|independence|romantic
"{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing , entertaining others""'}",Relationship Building,"Given the shared goal of 'amusing, entertaining others,' the most relevant social goal category is 'Relationship Building,' as entertaining others often serves to strengthen social bonds and create connections. The personal goals for each agent should reflect their unique motivations in pursuing this shared goal, while their social roles will shape how they interact to achieve both their personal and shared objectives.","To be recognized as the funniest person in the group, gaining social approval and status.",To create a relaxed and joyful atmosphere where everyone feels included and happy.,"""Amusing , entertaining others""",Class Clown (focuses on humor and attention-seeking),Social Facilitator (focuses on inclusivity and group harmony),"{'scenario_context': ""At a weekend retreat for a diverse group of colleagues, the team gathers around a bonfire for an evening of storytelling and games. The shared goal is to amuse and entertain each other, fostering a sense of camaraderie. [Agent 1], the Class Clown, sees this as an opportunity to assert their position as the funniest person in the group by cracking jokes and delivering punchlines, often at the expense of others, in pursuit of social approval and status. Meanwhile, [Agent 2], the Social Facilitator, strives to create a relaxed and joyful atmosphere where everyone feels included and happy, gently steering the group dynamic toward inclusivity and harmony. The tension arises as [Agent 1]'s attention-grabbing humor risks alienating some members, while [Agent 2] attempts to balance entertainment with sensitivity, making the shared goal of amusement harder to achieve without conflict.""}",0.5905,0.5905,0.012500000000000067,2,tension|conflict,0.383,0.383,0.258,2,clown|conflict,0.469,0.469,0.0,1,conflict,0.427,0.359,0.10899999999999999,3,clown|dynamic|entertainment,0.55625,0.622,0.35,16,weekend|amuse|entertain|clown|pursuit|create|relaxed|joyful|happy|gently|harmony|humor|balance|entertainment|amusement|achieve,0.0,0.0,0.0,0,,0.6092857142857142,0.648,0.06250000000000011,7,team|approval|joyful|happy|harmony|entertainment|achieve,0.498,0.547,0.11150000000000004,4,clown|opportunity|happy|entertainment
"{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being , avoiding pain""'}",Cooperation,"The shared goal 'Protecting my well-being, avoiding pain' can be approached with a focus on cooperation, as both agents aim to support each other in maintaining their well-being. This involves mutual support and shared strategies to avoid distress. However, their personal goals will reflect individual perspectives on how to achieve this. For instance, one agent might focus on avoiding pain through careful planning, while another might rely on emotional support. Their social roles will influence how they interact; one might take a protective role, ensuring the other's safety, while the other might adopt a nurturing role, providing comfort and reassurance.","Ensure structured strategies are in place to minimize pain triggers, focusing on practicality and planning.","Seek emotional reassurance and social support to cope with potential distress, prioritizing relational comfort.","""Protecting my well-being , avoiding pain""",Protector (focuses on practical safety measures),Nurturer (provides emotional support and comfort),"{'scenario_context': '[Agent 1] and [Agent 2] are roommates living together in a small apartment. [Agent 1], who values practicality and planning, has noticed that [Agent 2] often leaves sharp objects like knives and scissors lying around after use, which poses a potential safety hazard. Concerned about avoiding pain triggers and ensuring a structured environment, [Agent 1] proposes implementing strict rules for storing such items safely. Meanwhile, [Agent 2], who prioritizes emotional comfort and relational harmony, feels that [Agent 1]’s approach is overly rigid and stifles the relaxed atmosphere they cherish. [Agent 2] seeks reassurance and understanding from [Agent 1], wanting to balance safety with emotional well-being. The tension arises as both strive to protect their well-being but differ fundamentally in their methods—one through practical measures, the other through emotional support.'}",0.5055,0.5055,0.09750000000000003,2,lying|tension,0.5235,0.4925,0.25,4,hazard|concerned|avoiding|pain,0.4031666666666667,0.438,0.177,6,concerned|pain|emotional|wanting|emotional|emotional,0.219,0.219,0.0,1,cherish,0.48,0.442,0.256,7,living|together|comfort|harmony|relaxed|cherish|balance,0.531,0.531,0.0,1,lying,0.616,0.617,0.0685,8,planning|like|comfort|harmony|cherish|reassurance|understanding|strive,0.5155000000000001,0.5,0.09700000000000003,4,planning|comfort|cherish|strive
"{'Abbreviation': 'Being playful', 'Full label': '""Being playful , cheerful , acting for fun""'}",Relationship Building,"Given the shared goal of 'Being playful, cheerful, acting for fun', the most fitting social goal category is 'Relationship Building' as it involves creating a positive and enjoyable interaction between the agents. The personal goals for each agent should reflect playful motivations that contribute to their relationship. Agent 1, as the 'Entertainer', aims to make the interaction fun and engaging, while Agent 2, as the 'Audience', seeks to enjoy and participate in the playful atmosphere.",To create a fun and engaging atmosphere by initiating playful activities.,To enjoy and actively participate in the playful interaction initiated by the other agent.,"""Being playful , cheerful , acting for fun""",Entertainer,Audience,"{'scenario_context': ""[Agent 1], an energetic and charismatic Entertainer, has organized an impromptu game night for a group of friends to lighten the mood after a stressful week. The setting is a cozy living room with dim lighting and playful decorations, aiming to create a whimsical atmosphere. [Agent 1] hopes to engage everyone in lively and humorous activities, leveraging their natural flair for performance to ensure everyone laughs and forgets their worries. [Agent 2], a reserved but secretly playful Audience member, is hesitant to step into the spotlight but secretly longs to let loose and enjoy the fun. The tension arises from [Agent 1]'s push to involve [Agent 2] in the games, while [Agent 2] struggles between their desire to participate and their fear of embarrassment. The shared goal of fostering joy and connection is complicated by their conflicting approaches to achieving it.""}",0.30625,0.28049999999999997,0.46474999999999994,4,playful|playful|tension|fear,0.5427500000000001,0.48400000000000004,0.23025000000000007,4,stressful|worries|fear|embarrassment,0.531,0.531,0.0,1,embarrassment,0.34400000000000003,0.266,0.11699999999999999,3,playful|playful|embarrassment,0.5880714285714286,0.593,0.22675,14,friends|lighten|cozy|living|playful|create|whimsical|humorous|laughs|playful|enjoy|fun|desire|joy,0.0,0.0,0.0,0,,0.418,0.43,0.039000000000000035,4,playful|playful|enjoy|struggles,0.49899999999999994,0.562,0.11050000000000004,3,audience|enjoy|fun
