base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Aspirations', 'Full label': '""Achieving my aspirations""'}",Relationship Building,"The shared goal 'Achieving my aspirations' is fundamentally about personal growth and ambition, which often requires external support, guidance, and validation. The 'Relationship Building' category best aligns with this, as achieving aspirations frequently involves forming new connections to gain mentorship, encouragement, or collaborative opportunities. This context sets the stage for two distinct interpersonal dynamics: one agent seeking guidance and validation, and the other offering support and direction.",To seek and secure the other's validation of their plan as a viable path to success.,To guide the other toward a more pragmatic and structured approach to their aspirations.,"""Achieving my aspirations""",Aspiring Visionary,Pragmatic Mentor,"{'scenario_context': ""[Agent 1] is an aspiring visionary who presents a broad, passion-driven plan for achieving a long-term personal aspiration. [Agent 2] is a pragmatic mentor who has agreed to review the plan and offer guidance. Both share the goal of helping [Agent 1] make progress toward 'Achieving my aspirations.' In the upcoming conversation, [Agent 1]'s immediate aim is to secure [Agent 2]'s validation that their plan is a viable path to success, emphasizing values, opportunities, and creative possibilities. [Agent 2]'s immediate aim is to guide [Agent 1] toward a more pragmatic, structured approach by proposing concrete steps, timelines, and risk-mitigation strategies. The interaction is cooperative and low-conflict, centered on mutual respect; the social dynamics will foreground how [Agent 1]'s dispositional optimism and need for validation interact with [Agent 2]'s practicality and preference for structure."", 'explanation': ""The context names roles ([Agent 1] Aspiring Visionary, [Agent 2] Pragmatic Mentor), states the shared goal (relationship-building focused 'Achieving my aspirations'), and specifies each agent's personal goals—validation-seeking versus pragmatic guidance. It keeps the scene concise, realistic, psychologically grounded, and collaborative to match an Easy difficulty level, while avoiding environmental detail or dialogue.""}"
"{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Relationship Building,"The shared goal 'Accepting life’s limitations' aligns most closely with Relationship Building. This category focuses on developing mutual understanding and emotional support, which is essential when confronting life's inevitable constraints. The scenario involves two agents with complementary approaches: one seeks validation for their perspective while the other aims to provide pragmatic reframing. Their personal goals are designed to be interactionally measurable through conversational behavior—Agent 1's goal manifests through seeking reassurance and emotional alignment, while Agent 2's goal appears through practical guidance and perspective-shifting. The roles ('Seeker of Validation' and 'Pragmatic Guide') reflect their distinct social positions and motivations within this context.",To seek emotional validation and reassurance from the other agent that their feelings about life's limitations are understood and accepted.,To encourage the other agent to reframe their perspective on limitations by highlighting potential opportunities or alternative viewpoints.,"""Accepting life’s limitations""",Seeker of Validation,Pragmatic Guide,"{'scenario_context': 'A short, focused exchange between [Agent 1] (Seeker of Validation) and [Agent 2] (Pragmatic Guide). [Agent 1] feels constrained by certain life limitations (e.g., health, time, or role responsibilities) and wants emotional reassurance that these feelings—frustration, grief, or resignation—are understood and accepted. [Agent 2] aims to respond with both acceptance and gentle reframing: listening attentively, acknowledging the validity of [Agent 1]’s emotions, and then offering alternative perspectives or small, pragmatic possibilities within those limits. The interaction is cooperative and low-conflict, centered on building trust and mutual acceptance of life’s boundaries while exploring more adaptive ways to interpret them.', 'explanation': 'This setup makes the shared goal explicit (accepting life’s limitations) and aligns individual goals: [Agent 1] seeks validation and emotional acceptance; [Agent 2] seeks to reframe perceptions constructively. Psychologically, it foregrounds empathic listening, validation as emotion-regulation, and cognitive reframing as a supportive coping strategy in a relationship-building context.'}"
"{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable, making friends, drawing others near""'}",Relationship Building,"The shared goal 'Being likeable, making friends, drawing others near' aligns most closely with the 'Relationship Building' category, as it focuses on initiating and developing positive social connections. For Agent 1, the personal goal is to project warmth and approachability through supportive language, aiming to create an immediate sense of rapport. For Agent 2, the personal goal is to seek validation and reassurance through self-disclosure, aiming to test the other's acceptance and build trust. The roles 'The Affirmative Connector' and 'The Cautious Sharer' complement these goals by defining distinct social positions—one outwardly focused on fostering positivity, the other inwardly focused on gauging safety in vulnerability.",To project warmth and approachability by using supportive and encouraging language to make the other agent feel comfortable and valued.,To seek validation and reassurance by cautiously sharing personal information and gauging the other agent's acceptance and responsiveness.,"""Being likeable, making friends, drawing others near""",The Affirmative Connector,The Cautious Sharer,"{'scenario_context': 'Two people are paired for a brief, low-stakes conversation intended to build rapport after a group activity. Both aim to come across as likable and to open a friendly connection: [Agent 1] will actively project warmth and approachability through supportive, encouraging responses and open questions, while [Agent 2] will cautiously share a small personal detail to gauge acceptance and seek reassurance before deeper self-disclosure. The exchange is cooperative, with both parties oriented toward making the other feel comfortable and valued.', 'explanation': ""The scene deliberately aligns a dispositional tendency to affirm (Agent 1) with a cautious, validation-seeking orientation (Agent 2) in a permissive, low-pressure situation. Because goals are congruent and attainable, Agent 1's supportive language is likely to be perceived as genuine warmth and reduce social risk for Agent 2, prompting incremental self-disclosure. Agent 2's guarded sharing functions as a test of acceptance, giving Agent 1 opportunities to provide reassurance. Expect behaviors such as encouraging affirmations, open-ended questions, tentative personal disclosures, signs of appreciation, and brief reassurances — all of which reveal how situational cues and dispositional styles interact to shape attributions about intent and likability.""}"
"{'Abbreviation': 'Cared for', 'Full label': '""Being taken care of""'}",Relationship Building,"The shared goal 'Being taken care of' aligns most closely with 'Relationship Building' as it involves establishing a supportive dynamic where one party provides care and the other receives it, forming a foundational interpersonal connection. Agent 1's personal goal focuses on establishing themselves as a competent caregiver to gain trust, while Agent 2's goal is to assess the sincerity of the offered care to feel emotionally secure. Their roles as 'Supportive Caregiver' and 'Vulnerable Recipient' create a complementary dynamic for exploring this care-based relationship.",To establish oneself as a competent and trustworthy caregiver to gain the other's reliance and appreciation.,To assess the sincerity and quality of the care being offered to feel emotionally secure and understood.,"""Being taken care of""",Supportive Caregiver,Vulnerable Recipient,"{'scenario_context': '[Agent 1] is meeting with [Agent 2], who has recently expressed difficulty managing everyday tasks and emotional stress. Both want the same thing: for [Agent 2] to feel cared for. In this interaction, [Agent 1] adopts the supportive caregiver role and intends to demonstrate competence, reliability, and warmth through clear offers of help, concrete suggestions, and willingness to set up a simple plan. [Agent 2], as a vulnerable recipient, is open to support but will closely observe tone, follow-through, and responsiveness to personal preferences in order to judge whether the care on offer is sincere and meets emotional needs. The forthcoming conversation will focus on clarifying needs, negotiating small practical steps, and establishing trust and boundaries to ensure [Agent 2] feels understood and [Agent 1] is seen as dependable.', 'explanation': ""This scenario aligns with the shared goal of 'being taken care of' within a relationship-building context. It positions [Agent 1] to pursue a personal goal of proving caregiving competence and trustworthiness through concrete actions and communication, while [Agent 2] seeks to evaluate sincerity and quality of care to feel emotionally secure. The setup is simple and cooperative: success depends on clear offers, attentive listening, and small, verifiable commitments—factors that make attribution processes (assessing intent vs. circumstance) straightforward and observable during the conversation.""}"
"{'Abbreviation': 'Arts', 'Full label': '""Appreciating the arts""'}",Relationship Building,"The shared goal 'Appreciating the arts' is best aligned with 'Relationship Building' as it involves a shared experience that can foster mutual understanding, emotional connection, and rapport between individuals. For Agent 1, the personal goal is to seek validation for their artistic interpretation, which reflects a desire for social affirmation and to feel understood. For Agent 2, the personal goal is to challenge and deepen the other's perspective, which reflects an intention to stimulate intellectual growth and engagement rather than simply agreeing. These goals are distinct, socially interactive, and measurable through conversational tone (e.g., seeking agreement vs. provocative questioning). The roles 'Enthusiastic Novice' and 'Critical Connoisseur' align with these goals and the art appreciation context.",To seek validation for their interpretation of the art to feel a sense of shared understanding and connection.,To challenge and deepen the other's perspective on the art to stimulate a more meaningful and insightful discussion.,"""Appreciating the arts""",Enthusiastic Novice,Critical Connoisseur,"{'scenario_context': 'Two people engage in a brief, cooperative exchange about a work of art. [Agent 1], an enthusiastic novice, offers a personal interpretation and is implicitly seeking validation and a sense of shared understanding to feel connected. [Agent 2], a critical connoisseur, listens with interest but intends to gently challenge and probe that interpretation to deepen the discussion and encourage a more nuanced view. Both prioritize appreciating the art and strengthening their interpersonal connection through an open, respectful dialogue in which [Agent 1] seeks affirmation and [Agent 2] aims to stimulate insight.', 'explanation': ""This context positions [Agent 1] and [Agent 2] with the shared goal of 'Appreciating the arts' within a relationship-building frame. It clearly states each agent's role and personal goal: [Agent 1] (Enthusiastic Novice) seeks validation and shared understanding; [Agent 2] (Critical Connoisseur) seeks to challenge and deepen the other's perspective. The scene is cooperative and low-tension (Easy level), making the shared and individual goals easily attainable and suitable for generating a grounded conversational interaction.""}"
"{'Abbreviation': 'Being spontaneous', 'Full label': '""Being spontaneous""'}",Relationship Building,"The shared goal 'Being spontaneous' aligns most closely with Relationship Building, as spontaneity often involves creating novel, authentic connections and breaking from routine to strengthen interpersonal bonds. This category focuses on developing rapport through unplanned, genuine interactions.",To encourage the other to break from their usual routines and embrace unpredictability in the moment.,To assess whether the other's spontaneity feels authentic and trustworthy rather than impulsive or reckless.,"""Being spontaneous""",Spontaneity Advocate,Cautious Evaluator,"{'scenario_context': 'Two acquaintances agree to spend a few hours doing something unplanned to strengthen their connection. [Agent 1], the Spontaneity Advocate, offers quick, offbeat options and gently encourages [Agent 2] to step outside habitual choices; [Agent 2], the Cautious Evaluator, is willing to go along but closely observes whether each suggestion feels authentic, considerate, and safe rather than simply impulsive. Their shared aim is to be spontaneous to build rapport, while [Agent 1] nudges for unpredictability and [Agent 2] assesses its trustworthiness.', 'explanation': 'This low-stakes scene centers on cooperative relationship-building: both agents want spontaneity but pursue complementary subgoals. [Agent 1] pushes for breaking routines, and [Agent 2] monitors authenticity and risk, creating simple, realistic interpersonal dynamics. Difficulty is Easy because the goals align and can be met through modest, low-risk choices and mutual accommodation.'}"
"{'Abbreviation': 'Hobbies', 'Full label': '""Devoting time to amusements, having recreation, entertainment, hobbies""'}",Cooperation,"The shared goal 'Devoting time to amusements, having recreation, entertainment, hobbies' aligns most closely with the 'Cooperation' category, as it involves agents working together to achieve a mutually enjoyable recreational activity. However, their personal goals reflect distinct social intentions within this cooperative framework. Agent 1 aims to subtly guide the interaction towards their preferred activity while maintaining harmony, while Agent 2 seeks to understand and validate their partner's preferences to strengthen their bond.",To gently steer the conversation towards choosing a recreational activity that aligns with their personal preferences while ensuring the other agent feels heard and included.,"To actively listen for and affirm the other agent's suggestions and excitement, prioritizing shared enjoyment and mutual satisfaction over a specific activity choice.","""Devoting time to amusements, having recreation, entertainment, hobbies""",Subtle Influencer,Attentive Validator,"{'scenario_context': ""[Agent 1] and [Agent 2] are preparing to decide how to spend a free afternoon together with the shared aim of engaging in recreation and amusements. [Agent 1], in the Subtle Influencer role, proposes activity options that reflect their personal preferences but frames them as open suggestions and invites [Agent 2]'s reactions so the other person feels listened to. [Agent 2], in the Attentive Validator role, focuses on listening, affirming what they like about [Agent 1]'s ideas, and steering the choice toward what will be enjoyable for both rather than insisting on a particular option."", 'explanation': ""This scene establishes a low-conflict, cooperative decision about leisure (Easy difficulty). The shared goal (mutual recreation) is clear. [Agent 1]'s interpersonal strategy (gentle steering while including the partner) and [Agent 2]'s validating, compromise-oriented stance are explicitly specified to guide their upcoming interaction.""}"
"{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability, agility""'}",Cooperation,"The shared goal 'Having physical ability, agility' is best aligned with the 'Cooperation' category because it implies a joint effort to develop or maintain a physical skill, which requires mutual support, coordination, and collaborative interaction between the agents.","To motivate the other agent through positive reinforcement and encouragement, fostering a supportive environment for skill development.","To seek validation and reassurance from the other agent about their progress and capabilities, reducing self-doubt.","""Having physical ability, agility""",Supportive Coach,Aspiring Trainee,"{'scenario_context': ""[Agent 1] is acting as a supportive coach working with [Agent 2], an aspiring trainee, on short, cooperative agility drills. [Agent 2] is attempting a new sequence of movements and feels uncertain about their technique and progress; they look to [Agent 1] for reassurance and clear indicators of improvement. [Agent 1]'s role is to provide positive reinforcement, specific encouragement, and simple, achievable targets to build confidence. Both agents share the immediate goal of increasing physical ability and agility through guided practice, with interaction centered on encouragement, feedback, and validation rather than critique or evaluation."", 'explanation': 'This setup prioritizes cooperative, attainable goals: developing agility through guided practice. It aligns with roles—[Agent 1] focuses on motivation and positive reinforcement, [Agent 2] seeks validation and reassurance—creating a low-conflict, supportive dynamic. The scene is designed to elicit encouragement, concrete praise, and requests for feedback, making attributional responses (internalizing progress versus attributing difficulty to lack of ability) easy to observe.'}"
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others, cooperating, giving support""'}",Cooperation,"The shared goal 'Helping others, cooperating, giving support' aligns most directly with the 'Cooperation' category, as it involves working together toward a common beneficial outcome. However, to create a rich interpersonal dynamic, the agents' personal goals are designed to reflect different motivations within this cooperative framework. Agent 1's goal focuses on providing emotional support and validation (a form of giving support), while Agent 2's goal focuses on understanding the other's perspective to offer appropriate help (a form of information acquisition for cooperation). This creates a scenario where both agents are cooperating but through distinct interpersonal approaches that can lead to interesting attributions about each other's behavior.",To make the other agent feel emotionally validated and supported through attentive listening and affirming responses.,To identify the specific type of support the other agent needs by carefully probing their concerns and emotional state.,"""Helping others, cooperating, giving support""",Supportive Listener,Needs Assessor,"{'scenario_context': ""[Agent 1] and [Agent 2] are together to support a mutual acquaintance who has just described feeling overwhelmed and unsure what help would actually help. [Agent 1] adopts a Supportive Listener stance, aiming to make the person feel emotionally validated through attentive, affirming responses; [Agent 2] takes the Needs Assessor role, intending to gently probe the acquaintance's concerns and emotional state to identify specific types of support. Both agents share the cooperative goal of helping the person and have informally agreed to coordinate so the interaction stays comforting while also clarifying actionable needs."", 'explanation': 'The scene sets two complementary, low-conflict roles focused on a shared helping goal: emotional validation (Agent 1) and diagnostic clarification (Agent 2). Because their objectives align and are straightforward, the interaction is easy to manage. Expected dynamics include empathic listening from [Agent 1], targeted follow-up questions from [Agent 2], and brief coordination to avoid interrupting—facilitating both comfort for the acquaintance and clear identification of practical support.'}"
"{'Abbreviation': 'Taking care of family', 'Full label': '""Taking care of my parents, siblings, grandparents""'}",Cooperation,"The shared goal 'Taking care of my parents, siblings, grandparents' inherently involves collaboration and mutual support among family members. This aligns most strongly with the 'Cooperation' category, as it focuses on working together to achieve a common objective. However, within this cooperative framework, individuals can have distinct personal motivations that shape their interactions. For Agent 1, the personal goal is to seek validation for their efforts, reflecting a need for emotional support and recognition within the family dynamic. For Agent 2, the personal goal is to delegate responsibilities equitably, focusing on practical coordination and fairness. These goals are interactionally measurable through conversational cues—Agent 1 might express frustration or seek praise, while Agent 2 might propose task divisions or emphasize shared contribution—without relying on explicit agreement or external validation. The roles 'Primary Caregiver' and 'Family Organizer' logically complement these goals, representing different social positions within the family care context.",To seek validation and emotional support from the other agent for their caregiving efforts.,To persuade the other agent to share responsibilities more equitably.,"""Taking care of my parents, siblings, grandparents""",Primary Caregiver,Family Organizer,"{'scenario_context': ""[Agent 1] and [Agent 2] meet to plan and divide ongoing care tasks for their aging parents, a dependent sibling, and an elderly grandparent. [Agent 1], who has been handling most daily caregiving duties, is looking for acknowledgment and emotional support for their sustained efforts and occasional frustration. [Agent 2], who has been coordinating schedules and resources for the family, wants to persuade [Agent 1] to accept a more equitable distribution of responsibilities and to agree to practical changes that will reduce burnout. Both prioritize the relatives' well-being and approach the conversation with a cooperative, problem-solving attitude rather than blame."", 'explanation': ""This scene sets a realistic, low-tension interaction aligned with the shared goal of taking care of family. It highlights [Agent 1]'s need for validation and emotional support (consistent with the Primary Caregiver role) and [Agent 2]'s intent to reassign tasks more evenly (consistent with the Family Organizer role). The dynamics emphasize mutual cooperation and persuasion rather than conflict, making the goals easily attainable and suitable for exploring attributional explanations (e.g., effort vs. situational burden).""}"
