base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}",Relationship Building,"The shared goal 'Belonging to social groups, feeling like part of a group' aligns most closely with the 'Relationship Building' category. This category focuses on establishing new social connections and fostering a sense of inclusion, which is the core of the shared goal. Agent 1's personal goal is to seek validation and reassurance from the other agent to confirm their place in the group, while Agent 2's goal is to actively include and make the other agent feel welcomed and valued. Their roles as the 'Anxious Newcomer' and 'Established Welcomer' create a dynamic where their distinct social intentions—seeking reassurance and providing inclusion—interact to pursue the shared goal of belonging.",To seek reassurance and validation from the other agent that they are accepted and belong within the group.,"To actively include and make the other agent feel welcomed, valued, and an integral part of the group.","""Belonging to social groups, feeling like part of a group""",Anxious Newcomer,Established Welcomer,"{'scenario_context': '[Agent 1] is a recently accepted member of a tight-knit volunteer team and is attending their first collaborative planning meeting where membership decisions will be informally observed. Anxious about fitting in and aware of prior subtle exclusions in similar groups, [Agent 1] seeks overt reassurance that they are genuinely accepted and belongs. [Agent 2], a respected, long-standing member tasked with integrating newcomers, intends to actively include [Agent 1], highlight their contributions, and signal that they are valued. The group atmosphere is guarded: a skeptical subgroup watches interactions closely, time for one-on-one reassurance is limited, and many gestures of welcome could be interpreted as either genuine inclusion or mere courtesy — creating pressure and ambiguous social cues that complicate straightforward acceptance.', 'explanation': 'This setup creates high difficulty by combining [Agent 1]’s dispositional social anxiety and sensitivity to exclusion with situational constraints (a surveilling clique, time pressure, and ambiguous signals). [Agent 1]’s need for explicit validation risks misattributing warm behavior to pity or politeness, while [Agent 2] must balance authentic inclusion with managing others’ impressions and limited opportunity to reassure. The scenario foregrounds attributional ambiguity, potential defensive attributions from [Agent 1], and the challenge for [Agent 2] to communicate inclusion convincingly under social scrutiny.'}"
"{'Abbreviation': 'Being playful', 'Full label': '""Being playful, cheerful, acting for fun""'}",Relationship Building,"The shared goal 'Being playful, cheerful, acting for fun' aligns most closely with 'Relationship Building' as it focuses on creating a positive, enjoyable social connection and fostering camaraderie through lighthearted interaction. For Agent 1, the personal goal is to encourage the other's playful engagement by validating their contributions, which reflects a supportive and affirming social intention. For Agent 2, the personal goal is to initiate novel and amusing interactions to spark joy, reflecting a creative and stimulating social intention. The roles 'The Encouraging Friend' and 'The Playful Instigator' are assigned to reflect these distinct motivations and ensure diverse, measurable social behaviors within the playful context.",To encourage the other agent's playful engagement by validating their contributions and maintaining a positive tone.,To initiate novel and amusing interactions that spark joy and lightheartedness in the conversation.,"""Being playful, cheerful, acting for fun""",The Encouraging Friend,The Playful Instigator,"{'scenario_context': 'After a recent exchange in which a joke landed poorly and left mutual friends awkward and guarded, [Agent 1] and [Agent 2] are attempting to revive a playful, lighthearted tone between them. Both want to act for fun, but the situation is fragile: [Agent 1], the Encouraging Friend, is focused on validating small contributions, keeping remarks upbeat, and preventing further discomfort; [Agent 2], the Playful Instigator, wants to spark novel, amusing interactions and push the mood back into spontaneity. The tension comes from differing tolerance for risk—every teasing prompt or absurd suggestion could either dissolve the awkwardness or reopen wounds—so they must negotiate when to escalate humor and when to reassure, while aware that others are still watching and judging.', 'explanation': ""This scenario produces hard difficulty because recent negative feedback raises social stakes and makes attributions ambiguous. Dispositional tendencies (encouraging vs. boundary-pushing) interact with situational constraints (awkward audience, fear of repeating the misstep), so each agent must infer whether the other's behavior stems from supportive intent or risky impulse. That ambiguity and the need to manage group impressions make achieving both the shared playful goal and each personal goal challenging.""}"
"{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing, entertaining others""'}",Relationship Building,"The shared goal of 'Amusing, entertaining others' aligns most closely with the 'Relationship Building' category. This is because humor and entertainment are often used as social tools to foster connection, rapport, and positive feelings between individuals, which is the core of relationship building. The personal goals are designed to reflect distinct social intentions: one agent aims to actively influence the social atmosphere by initiating humor, while the other seeks to understand and validate the first agent's efforts through positive reinforcement. Their roles as 'The Comedian' and 'The Appreciative Audience' logically support these goals and the shared objective.",To establish a lighthearted and jovial social atmosphere by initiating humorous exchanges.,To validate and encourage the other's attempts at humor through positive feedback and engagement.,"""Amusing, entertaining others""",The Comedian,The Appreciative Audience,"{'scenario_context': ""During a tense project post-mortem where the team is still smarting from a public failure and two senior managers are present, [Agent 1] attempts to initiate lighthearted, self-deprecating humor to break the strain and make the room more jovial. [Agent 2], sitting nearby and motivated to validate and encourage those attempts, must offer positive engagement and applause while being careful not to appear tone-deaf, defensive, or overly aligned with management. Both aim to amuse and entertain others, but the recent criticism, hierarchical scrutiny, and coworkers' sensitivity create a fraught social environment in which humor is risky and easily misread."", 'explanation': ""[Agent 1]'s dispositional drive to use humor (high extraversion/affiliative motivation) clashes with situational constraints: a faulted project, power dynamics, and anxious colleagues that make jokes vulnerable to negative attribution. [Agent 2]'s agreeableness and desire to encourage can support the shared goal but also triggers impression-management concerns—encouragement may be construed as minimization or partisan support. These trait-by-situation interactions raise ambiguity: observers may attribute the humor to stable personality (carefree/insensitive) or to the immediate coping situation, and [Agent 2]'s responses will similarly be interpreted through those attributional lenses, making successful relationship-building difficult.""}"
"{'Abbreviation': 'Erotic relationship', 'Full label': '""Having an erotic relationship""'}",Relationship Building,"The shared goal 'Having an erotic relationship' inherently involves building a deep, intimate connection between two individuals. This aligns most closely with the 'Relationship Building' category, as it focuses on developing emotional bonds, trust, and mutual understanding, which are foundational to an erotic relationship. The personal goals are designed to reflect distinct social intentions: one agent seeks to build trust through emotional openness, while the other aims to understand compatibility through subtle cues. These goals are interactionally measurable through conversational behavior, such as tone, responsiveness, and depth of dialogue, without relying on explicit agreements or external actions.",To build trust by gradually revealing personal vulnerabilities and emotional depth.,To assess emotional and physical compatibility through subtle conversational cues and responsiveness.,"""Having an erotic relationship""",Emotional Initiator,Compatibility Assessor,"{'scenario_context': ""Two consenting adults, [Agent 1] and [Agent 2], have agreed to explore an erotic relationship and are meeting to negotiate whether and how to proceed. [Agent 1], the Emotional Initiator, aims to build trust by gradually revealing personal vulnerabilities and emotional depth to elicit closeness and reciprocal disclosure. [Agent 2], the Compatibility Assessor, aims to judge emotional and physical fit by reading subtle conversational cues, responsiveness, and boundary signals while keeping a deliberate emotional distance. Difficulty arises because their interaction is a negotiation: [Agent 1]'s disclosures may be perceived as rushed or needy, while [Agent 2]'s caution can be read as coldness or lack of interest; both must manage reputational concerns, prior relational wounds, and the temptation to attribute ambiguous behaviors to stable traits instead of situational pressures, making the shared erotic goal fragile and contested."", 'explanation': 'This setup creates high interpersonal tension by pitting a disclosure-driven strategy against a cautious evaluative strategy. Attributional processes will be central: each agent risks committing the fundamental attribution error (interpreting hesitation as dispositional aloofness) or defensive attributions (seeing vulnerability as manipulation). Stakes (emotional exposure, reputational risk, and differing pacing preferences) amplify ambiguity, so small cues are likely to be overinterpreted and undermine coordinated movement toward the shared erotic goal, fitting the requested Hard difficulty.'}"
"{'Abbreviation': 'Things in order', 'Full label': '""Keeping things in order (my desk, office, house, etc.)""'}",Cooperation,"The shared goal 'Keeping things in order' is fundamentally a cooperative task that requires joint effort and coordination. The social goal category 'Cooperation' best captures this, as it involves working together harmoniously to achieve a common objective. The personal goals are designed to reflect distinct social intentions that influence the interaction: one agent seeks validation for their efforts to maintain a positive self-image within the partnership, while the other aims to subtly guide the process to ensure their preferred standard of order is met, reflecting a more controlling disposition. The roles of 'Validating Partner' and 'Subtle Director' align with these goals, placing the agents in complementary social positions.",To seek acknowledgment from the other agent that their contribution to maintaining order is valuable and appreciated.,To gently steer the organizing process according to their own preferred methods without appearing overtly critical.,"""Keeping things in order (my desk, office, house, etc.)""",Validating Partner,Subtle Director,"{'scenario_context': '[Agent 1] and [Agent 2] share a small, clutter-prone office and have an important external review in two days that requires the workspace to look orderly. Recently [Agent 1] has taken on most of the visible tidying—stacking papers, clearing surfaces—and wants clear verbal appreciation for that effort, while remaining sensitive to past remarks about their methods. [Agent 2] favors a more systematic approach (labeling, consistent storage locations) and intends to introduce those procedures during the organizing session, but will try to do so indirectly to avoid seeming critical. Both must cooperate quickly to present a neat space, yet time pressure, differing standards, and a history of perceived judgment make acknowledgment and subtle redirection difficult to achieve without friction.', 'explanation': ""Shared goal: prepare and keep the office orderly for an impending review. [Agent 1]'s personal goal is social validation for visible effort; [Agent 2]'s goal is to implement their preferred organizing methods without provoking defensiveness. Difficulty arises from time constraints, prior sensitivity to criticism, and asymmetric contributions—making sincere acknowledgment and gentle influence hard to coordinate. This setup invites attributional tensions (e.g., [Agent 1] may see [Agent 2]'s suggestions as criticism of character or effort; [Agent 2] may downplay the need for explicit praise to avoid seeming controlling), increasing the likelihood of miscommunication despite a cooperative objective.""}"
"{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}",Cooperation,"The shared goal 'Accomplishing difficult things' inherently requires joint effort and coordination between individuals to overcome challenges. This aligns most closely with the 'Cooperation' category, as it focuses on working together interdependently to achieve a common objective. The personal goals are designed to reflect distinct social motivations that drive cooperative behavior—one agent seeks to build consensus and shared understanding, while the other aims to maintain momentum and task focus. These goals are interactionally measurable through conversational cues like tone, reassurance, and directive language, without relying on explicit task completion or external validation.",To foster a sense of mutual confidence and reduce the other's anxiety about the challenge.,To maintain forward progress by minimizing distractions and keeping focus on actionable steps.,"""Accomplishing difficult things""",Supportive Partner,Pragmatic Driver,"{'scenario_context': '[Agent 1] and [Agent 2] are co-leading the final push to complete a highly complex project deliverable with tight, nonnegotiable deadlines and visible stakeholders watching. They must present coherent, high-quality results together, but rising uncertainty about technical details and limited time have increased stress. [Agent 1] adopts a supportive stance, trying to reduce anxiety, reinforce mutual confidence, and keep morale steady; [Agent 2] adopts a pragmatic stance, cutting side discussions, enforcing a strict agenda, and pressing for concrete next steps. The interaction centers on negotiating reassurance versus efficiency under pressure as they try to cooperate to accomplish a difficult shared goal.', 'explanation': ""This setup creates high tension because time pressure, technical uncertainty, and stakeholder scrutiny make success hard. It cleanly maps the shared goal (accomplishing difficult things) and each agent's personal goals: [Agent 1] focuses on emotional regulation and building confidence, while [Agent 2] prioritizes task momentum and minimizing distractions. The scenario yields realistic conflict between dispositional supportiveness and situationally driven pragmatism, ideal for examining attribution and interpersonal dynamics.""}"
"{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""'}",Cooperation,"The shared goal 'Being committed to a cause' aligns best with 'Cooperation' as the agents are working together towards a common environmental objective. However, their personal goals reflect different social intentions within this cooperation: one agent seeks to inspire and motivate through emotional connection (relationship building), while the other aims to strategically persuade through logical argumentation (information provision). This creates an interesting dynamic where both work towards the same cause but through distinct interpersonal approaches.","To inspire the other agent through emotional appeals and personal stories about environmental loss, making them feel more deeply connected to the cause.","To persuade the other agent through logical arguments and factual evidence about environmental impact, making them more analytically convinced of the cause's importance.","""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""",Passionate Advocate,Strategic Planner,"{'scenario_context': ""Two colleagues meet in a cramped conference room at a small environmental nonprofit to finalize the public messaging for an imminent city-wide campaign. The organization's limited budget, an upcoming city council vote, and pressure from skeptical donors create high stakes that force a choice between a bold, emotional outreach and a measured, evidence-based strategy. [Agent 1], the Passionate Advocate, intends to center personal stories of environmental loss and vivid emotional appeals to deepen public commitment; [Agent 2], the Strategic Planner, insists on fact-driven messaging, impact metrics, and targeted data to persuade undecided stakeholders. Both share the goal of showing committed support for the cause, but conflicting methods, time pressure, and board scrutiny make agreement and mutual influence difficult."", 'explanation': ""This setup foregrounds a cooperative shared goal (commitment to the environmental cause) while specifying distinct personal goals: [Agent 1] seeks emotional inspiration, [Agent 2] seeks analytical persuasion. The situation introduces realistic constraints (budget, deadlines, skeptical audiences, board oversight) that raise tension and make the agents' aims hard to achieve. It emphasizes interpersonal dynamics where dispositional tendencies (emotional advocacy vs. strategic analysis) will interact with situational pressures, setting the stage for observable attributional interpretations and conflict over motives and tactics.""}"
"{'Abbreviation': 'Looking fit', 'Full label': '""Looking physically fit""'}",Cooperation,"The shared goal 'Looking physically fit' aligns with 'Cooperation' as it involves two agents working together to achieve a common objective through mutual support, shared activities, and encouragement. This category best captures the collaborative effort required in a fitness context, where interpersonal dynamics are key to maintaining motivation and progress.",To motivate the other agent by providing positive reinforcement and highlighting their progress.,To seek validation and reassurance from the other agent about their efforts and appearance.,"""Looking physically fit""",Supportive Trainer,Insecure Gym-Goer,"{'scenario_context': ""[Agent 1] (Supportive Trainer) and [Agent 2] (Insecure Gym-Goer) meet for a progress check midway through an intense, time-limited training cycle aimed at helping [Agent 2] look physically fit for an upcoming event. [Agent 2] is highly self-critical, fixates on perceived flaws and visible short-term changes, and repeatedly seeks reassurance about effort and appearance; a recent plateau and a minor niggling injury have amplified their doubts. [Agent 1]'s goal is to motivate by emphasizing progress and offering positive reinforcement, but they also must manage professional credibility and injury risk, and feel pressure from past clients' expectations and limited session time. The interaction is tense: [Agent 2] expects validation and may interpret neutral feedback as criticism, while [Agent 1] must balance encouraging attributions (situational, controllable factors) with realistic, sometimes corrective observations, making cooperation toward the shared goal difficult."", 'explanation': ""This setup creates high difficulty through time pressure, a performance plateau, and recent injury—factors that increase emotional stakes and ambiguous cause attributions. It aligns with the shared goal (looking physically fit) while specifying [Agent 1]'s motivational mandate and [Agent 2]'s need for reassurance. The scenario foregrounds attributional conflict (dispositional self-blame vs. situational explanations from the trainer) and role-based tensions (encouragement vs. realism), which will shape the forthcoming conversation.""}"
"{'Abbreviation': 'Ethical', 'Full label': '""Being an ethical person""'}",Identity Recognition,"The shared goal 'Being an ethical person' is fundamentally about aligning one's actions with a moral code. This aligns most strongly with the 'Identity Recognition' category, as the agents are negotiating and validating their own and each other's ethical identities through their interaction. Their personal goals are designed to be distinct yet complementary social intentions: one agent seeks to affirm its ethical stance by gaining validation, while the other seeks to understand the ethical framework behind the other's actions. Their roles, 'The Moral Affirmer' and 'The Principled Inquirer', logically support these goals and the social context of discussing ethics.",To have their ethical choices and reasoning validated by the other agent.,To probe and understand the depth and consistency of the other agent's ethical principles.,"""Being an ethical person""",The Moral Affirmer,The Principled Inquirer,"{'scenario_context': 'A tense meeting between two colleagues who are both publicly invested in being ""ethical people."" [Agent 1], known among peers for advocating moral standards, has recently defended a controversial decision that prioritized practical outcomes over stated principles. Seeking social reassurance, [Agent 1] wants their ethical choices and underlying reasoning validated. [Agent 2], positioned as a careful evaluator of principles, intends to probe the consistency and depth of [Agent 1]’s moral commitments through pointed questions and hypothetical variations. Both are aware that others will judge their identities as ethical actors based on this exchange, creating pressure to appear sincere and principled while navigating ambiguous situational pressures and potential reputational consequences.', 'explanation': 'This setup centers on Identity Recognition: both agents share the goal of ""being an ethical person"" but pursue different interpersonal strategies. The scenario is hard because social evaluation, reputational stakes, and situational ambiguity make validation difficult—[Agent 1] may feel defensive or impression-managing, and [Agent 2] may interpret responses as dispositional (true character) or situationally driven. The interaction is likely to generate attributional tension (are choices principled or pragmatic?), tests of consistency, and potential cognitive dissonance, all of which challenge both agents\' ability to achieve their personal and shared goals.'}"
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals, fighting for things I believe in""'}",Identity Recognition,"The shared goal 'Pursuing my ideals, fighting for things I believe in' is best aligned with the 'Identity Recognition' category. This is because the core of this pursuit is often about having one's deeply held values and beliefs seen, validated, and acknowledged by others. The interaction focuses on whether each agent's personal ideals are recognized by the other, creating a scenario ripe for exploring attribution theory as agents interpret each other's support or opposition through their own dispositional and situational lenses.",To persuade the other agent to validate their core ideal as morally correct.,To assert their own contrasting ideal without directly invalidating the other's perspective.,"""Pursuing my ideals, fighting for things I believe in""",The Idealist,The Pragmatist,"{'scenario_context': ""[Agent 1] and [Agent 2] are seated at a community coalition meeting where the group must endorse a public campaign statement by the end of the session. Both are long-time members of the coalition and staunch about different principles: [Agent 1] frames the campaign as a moral crusade demanding uncompromising language and direct action to signal what they believe is the ethically correct stance; [Agent 2] favors a pragmatic, incremental strategy that frames the same aims in compromise-ready, strategically viable terms. The immediate shared task is to produce a single statement that reflects the coalition's identity and will be presented publicly; failure risks internal splintering and loss of external support. Social stakes are high (public visibility, reputational consequences, and a pending vote), so each person seeks identity recognition in different ways: [Agent 1] wants explicit moral validation of their ideal, while [Agent 2] intends to assert their contrasting ideal as equally legitimate without overtly dismissing [Agent 1]. The setting forces them to negotiate under time pressure, with other members watching, creating tension between defending core beliefs and preserving group cohesion."", 'explanation': ""This setup is hard because deeply held moral identities collide with situational constraints (time pressure, public audience, group vote), producing identity threat and strong motivational incentives to control impressions. [Agent 1]'s dispositional idealism drives a demand for moral validation; [Agent 2]'s dispositional pragmatism drives subtle assertion and face-saving. The scenario invites attributional processes (e.g., interpreting the other's motives as principled versus strategic), reactive devaluation, and impression management strategies, making mutual goals (a unified public statement) difficult to achieve without nuanced persuasion, concession, or perceived loss of identity. It therefore foregrounds how dispositional traits and contextual pressures interact to shape causal attributions and interpersonal behavior.""}"
