base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Aspirations', 'Full label': '""Achieving my aspirations""'}",Relationship Building,"The shared goal 'Achieving my aspirations' is fundamentally about personal growth and ambition, which often requires external support, guidance, and validation. The 'Relationship Building' category best aligns with this, as achieving aspirations frequently involves forming new connections to gain mentorship, encouragement, or collaborative opportunities. This context sets the stage for two distinct interpersonal dynamics: one agent seeking guidance and validation, and the other offering support and direction.",To seek and secure the other's validation of their plan as a viable path to success.,To guide the other toward a more pragmatic and structured approach to their aspirations.,"""Achieving my aspirations""",Aspiring Visionary,Pragmatic Mentor,"{'scenario_context': ""[Agent 1] arrives at a one-on-one meeting seeking affirmation for a sweeping, loosely structured plan they believe will secure their long-term aspirations; they frame the conversation to elicit validation that the plan is a viable path. [Agent 2], positioned as a pragmatic mentor, intends to preserve the relationship while redirecting the discussion toward concrete milestones, risk mitigation, and evidence-based steps. The setting is high-stakes: recent resource constraints, a failed pilot, and external stakeholders increase pressure. Both must negotiate rapport and influence—[Agent 1] is sensitive to perceived criticism and craves endorsement, while [Agent 2] worries that unstructured endorsement would enable avoidable failure. The encounter centers on whether the mentor will validate and energize the vision or constrain it with structure, making mutual aims of 'achieving my aspirations' difficult to reconcile without trust, careful attributions of intent, and tactical communication."", 'explanation': ""Shared goal: both actors want the aspirant's aspirations to be realized (relationship-building emphasis on support and guidance). Individual goals: [Agent 1] seeks explicit validation that their plan is a viable route to success; [Agent 2] seeks to guide the aspirant toward a pragmatic, structured approach. Difficulty arises from conflicting incentives (endorsement vs. constraint), situational pressures (limited resources, recent failure, stakeholders), and interpersonal risks (threat to [Agent 1]'s self-concept, potential loss of credibility for [Agent 2]). Psychologically grounded tensions include attributional dynamics (is resistance interpreted as constructive caution or as personal obstruction?), reactance to perceived control, trust calibration, and reputation management—factors that make alignment and honest, effective communication challenging.""}"
"{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Relationship Building,"The shared goal 'Accepting life’s limitations' aligns most closely with Relationship Building. This category focuses on developing mutual understanding and emotional support, which is essential when confronting life's inevitable constraints. The scenario involves two agents with complementary approaches: one seeks validation for their perspective while the other aims to provide pragmatic reframing. Their personal goals are designed to be interactionally measurable through conversational behavior—Agent 1's goal manifests through seeking reassurance and emotional alignment, while Agent 2's goal appears through practical guidance and perspective-shifting. The roles ('Seeker of Validation' and 'Pragmatic Guide') reflect their distinct social positions and motivations within this context.",To seek emotional validation and reassurance from the other agent that their feelings about life's limitations are understood and accepted.,To encourage the other agent to reframe their perspective on limitations by highlighting potential opportunities or alternative viewpoints.,"""Accepting life’s limitations""",Seeker of Validation,Pragmatic Guide,"{'scenario_context': ""Two close acquaintances sit facing each other after [Agent 1] disclosed a recent, irreversible change in their life (e.g., chronic health limitation, career plateau, or caregiving responsibility) that requires scaling back important plans. [Agent 1], the Seeker of Validation, is emotionally raw and wants reassurance that their grief, frustration, and sense of loss are seen and accepted without being judged or fixed. [Agent 2], the Pragmatic Guide, intends to help by offering alternative perspectives and practical reframes that highlight possible opportunities within new constraints. Both share the relational goal of arriving at acceptance of life's limitations and preserving their connection, but tension is high: [Agent 1] fears reframing will feel like minimization, while [Agent 2] worries that simply validating feelings will leave [Agent 1] stuck. The upcoming exchange will hinge on whether emotional validation and pragmatic reframing can be balanced without damaging trust."", 'explanation': 'This setup creates a hard-level challenge because the shared goal (accepting limitations) is undermined by differing interpersonal strategies: one seeks empathic validation, the other favors cognitive reappraisal. The scenario is psychologically grounded—capturing common conflicts (validation vs. problem-solving, perceived minimization, identity threat)—and frames clear personal goals that make successful relational acceptance difficult but consequential.'}"
"{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable, making friends, drawing others near""'}",Relationship Building,"The shared goal 'Being likeable, making friends, drawing others near' aligns most closely with the 'Relationship Building' category, as it focuses on initiating and developing positive social connections. For Agent 1, the personal goal is to project warmth and approachability through supportive language, aiming to create an immediate sense of rapport. For Agent 2, the personal goal is to seek validation and reassurance through self-disclosure, aiming to test the other's acceptance and build trust. The roles 'The Affirmative Connector' and 'The Cautious Sharer' complement these goals by defining distinct social positions—one outwardly focused on fostering positivity, the other inwardly focused on gauging safety in vulnerability.",To project warmth and approachability by using supportive and encouraging language to make the other agent feel comfortable and valued.,To seek validation and reassurance by cautiously sharing personal information and gauging the other agent's acceptance and responsiveness.,"""Being likeable, making friends, drawing others near""",The Affirmative Connector,The Cautious Sharer,"{'scenario_context': 'Two colleagues, [Agent 1] and [Agent 2], meet privately after a team meeting where [Agent 2] briefly disclosed a personal struggle and received little overt support. Both want to be liked and to build rapport: [Agent 1] intends to project warmth and encouragement to make [Agent 2] feel comfortable and valued, while [Agent 2] wants validation and will cautiously share more only if responses feel genuine. Because the earlier muted reaction left [Agent 2] guarded and because social signals can be easily misread, each utterance and subtle cue is weighed for authenticity; small missteps (overenthusiasm, perceived patronizing, or withheld affirmation) could shut down connection and make the shared goal hard to achieve.', 'explanation': 'Hardness arises from low trust and attributional ambiguity: [Agent 2] may attribute warmth to politeness rather than genuine care, and [Agent 1] may interpret guardedness as disinterest. The interaction requires careful balance between expressive warmth and respect for boundaries, creating tension between impression management and the need for sincere validation.'}"
"{'Abbreviation': 'Cared for', 'Full label': '""Being taken care of""'}",Relationship Building,"The shared goal 'Being taken care of' aligns most closely with 'Relationship Building' as it involves establishing a supportive dynamic where one party provides care and the other receives it, forming a foundational interpersonal connection. Agent 1's personal goal focuses on establishing themselves as a competent caregiver to gain trust, while Agent 2's goal is to assess the sincerity of the offered care to feel emotionally secure. Their roles as 'Supportive Caregiver' and 'Vulnerable Recipient' create a complementary dynamic for exploring this care-based relationship.",To establish oneself as a competent and trustworthy caregiver to gain the other's reliance and appreciation.,To assess the sincerity and quality of the care being offered to feel emotionally secure and understood.,"""Being taken care of""",Supportive Caregiver,Vulnerable Recipient,"{'scenario_context': '[Agent 1] is a designated supportive caregiver who wants to demonstrate competence and earn [Agent 2]’s reliance and appreciation; [Agent 1] offers concrete help, suggestions for routines, and frequent reassurances while worrying that any misstep will confirm doubts about their ability. [Agent 2] is a recently vulnerable recipient who needs to feel emotionally secure and truly understood before accepting dependence; [Agent 2] listens for sincerity, probes with hesitant requests and guarded disclosures, and alternates between testing care quality and asserting autonomy. The upcoming interaction centers on negotiating day-to-day support and emotional boundaries under the pressure of prior trust breaches and limited time/resources, creating friction between [Agent 1]’s attempts to prove trustworthiness and [Agent 2]’s cautious evaluation of those attempts.', 'explanation': ""Hard difficulty arises from fragile trust, clashing definitions of what 'being taken care of' means (practical competence versus emotional attunement), and high stakes for both agents: [Agent 1] feels performance anxiety about being judged competent, while [Agent 2] fears re-exposure to dismissal or insincerity. Situational constraints (recent negative experiences, time/resource pressure, and observer expectations) interact with dispositional tendencies (a caregiver’s desire to control or reassure; a recipient’s guardedness and vigilance). These dynamics make attributions ambiguous—[Agent 2] may interpret helpful acts as obligation rather than genuine concern, and [Agent 1] may construe guarded testing as ingratitude—so both agents must manage signaling, interpretation, and boundary negotiation for the shared goal of being cared for to be achieved.""}"
"{'Abbreviation': 'Arts', 'Full label': '""Appreciating the arts""'}",Relationship Building,"The shared goal 'Appreciating the arts' is best aligned with 'Relationship Building' as it involves a shared experience that can foster mutual understanding, emotional connection, and rapport between individuals. For Agent 1, the personal goal is to seek validation for their artistic interpretation, which reflects a desire for social affirmation and to feel understood. For Agent 2, the personal goal is to challenge and deepen the other's perspective, which reflects an intention to stimulate intellectual growth and engagement rather than simply agreeing. These goals are distinct, socially interactive, and measurable through conversational tone (e.g., seeking agreement vs. provocative questioning). The roles 'Enthusiastic Novice' and 'Critical Connoisseur' align with these goals and the art appreciation context.",To seek validation for their interpretation of the art to feel a sense of shared understanding and connection.,To challenge and deepen the other's perspective on the art to stimulate a more meaningful and insightful discussion.,"""Appreciating the arts""",Enthusiastic Novice,Critical Connoisseur,"{'scenario_context': ""In a quiet gallery alcove after studying an ambiguous contemporary piece, [Agent 1] (an enthusiastic novice) and [Agent 2] (a critical connoisseur) prepare to discuss their reactions. Both want to strengthen their connection through appreciating the arts, but [Agent 1]'s immediate aim is to have their personal, emotional interpretation affirmed to feel understood, whereas [Agent 2] intends to challenge and deepen that reading to provoke a more nuanced insight. The asymmetry in expertise and motives creates interpersonal tension: validation-seeking behavior from [Agent 1] risks being experienced as fragile or naive, while probing comments from [Agent 2] risk coming across as dismissive or elitist, making the shared goal difficult without careful management of face, attributions, and tone."", 'explanation': ""This setup aligns with the shared goal (appreciating the arts) and the agents' individual goals (validation vs. challenge). Difficulty is high because conflicting interpersonal motives, perceived status differences, and face-threats create a strong likelihood of attributional misunderstandings (e.g., seeing critique as personal rejection or challenge as condescension). The scenario foregrounds relational stakes and cognitive biases (confirmation, defensive attribution), making cooperative, insight-generating dialogue challenging without deliberate emotion- and perspective-management.""}"
"{'Abbreviation': 'Being spontaneous', 'Full label': '""Being spontaneous""'}",Relationship Building,"The shared goal 'Being spontaneous' aligns most closely with Relationship Building, as spontaneity often involves creating novel, authentic connections and breaking from routine to strengthen interpersonal bonds. This category focuses on developing rapport through unplanned, genuine interactions.",To encourage the other to break from their usual routines and embrace unpredictability in the moment.,To assess whether the other's spontaneity feels authentic and trustworthy rather than impulsive or reckless.,"""Being spontaneous""",Spontaneity Advocate,Cautious Evaluator,"{'scenario_context': ""[Agent 1] and [Agent 2] are alone after a routine meeting and agree they want to do something unplanned together to break the pattern of always scheduling everything—their shared aim is to be spontaneous to reconnect. [Agent 1], cast as the Spontaneity Advocate, actively prompts a sudden, unconventional choice and downplays planning, trying to coax [Agent 2] out of habitual caution. [Agent 2], the Cautious Evaluator, is receptive to closeness but wary: previous episodes of [Agent 1] acting on impulse have had negative consequences for shared responsibilities, so [Agent 2]'s focus is on judging whether this suddenness is a sincere effort to be present or a return to reckless habits. Both want the interaction to build the relationship, but each must manage competing concerns about authenticity, risk, and future trust, creating friction and ambiguity about motives and intentions."", 'explanation': ""This setup produces high tension because the agents' shared goal (being spontaneous together) conflicts with individual priorities: [Agent 1] pushes for unpredictability while [Agent 2] scrutinizes motive and risk. Prior negative outcomes raise attributions about dispositional impulsivity versus situational intent, making sincere spontaneity hard to demonstrate and trust hard to restore—ideal for exploring how dispositional and situational interpretations shape interpersonal behavior.""}"
"{'Abbreviation': 'Hobbies', 'Full label': '""Devoting time to amusements, having recreation, entertainment, hobbies""'}",Cooperation,"The shared goal 'Devoting time to amusements, having recreation, entertainment, hobbies' aligns most closely with the 'Cooperation' category, as it involves agents working together to achieve a mutually enjoyable recreational activity. However, their personal goals reflect distinct social intentions within this cooperative framework. Agent 1 aims to subtly guide the interaction towards their preferred activity while maintaining harmony, while Agent 2 seeks to understand and validate their partner's preferences to strengthen their bond.",To gently steer the conversation towards choosing a recreational activity that aligns with their personal preferences while ensuring the other agent feels heard and included.,"To actively listen for and affirm the other agent's suggestions and excitement, prioritizing shared enjoyment and mutual satisfaction over a specific activity choice.","""Devoting time to amusements, having recreation, entertainment, hobbies""",Subtle Influencer,Attentive Validator,"{'scenario_context': '[Agent 1] and [Agent 2] are alone briefly between meetings, charged with choosing a recreational plan for the small group later that evening. Both want the outing to be enjoyable, but constraints are tight: only three hours available, a modest shared budget, and one teammate expects something low-key. [Agent 1], preferring a quieter, activity-focused option (e.g., board games or an art workshop), intends to steer the conversation toward that choice using subtle suggestions and framing while making sure [Agent 2] feels included. [Agent 2], whose primary aim is to listen closely and affirm others’ ideas to preserve group harmony, favors prioritizing shared satisfaction over pushing any single option and is wary of letting persistence be read as bossiness. A recent meeting left [Agent 1] slightly guarded after their previous suggestion was dismissed, and the group’s varied tastes raise the risk that polite affirmation alone will not produce a clear decision. The conversation must therefore balance gentle influence, validation, time and budget limits, and sensitivity to perceived pressure.', 'explanation': 'Hard difficulty arises from multiple interpersonal constraints: limited time and budget, differing activity preferences, and residual sensitivity from a prior dismissed suggestion. [Agent 1] must influence without appearing domineering; [Agent 2] must validate without passively deferring. These role-driven strategies can conflict—subtle steering may be perceived as manipulative, and excessive affirmation may prevent decisive selection—making the shared recreational goal difficult to achieve despite cooperative intent.'}"
"{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability, agility""'}",Cooperation,"The shared goal 'Having physical ability, agility' is best aligned with the 'Cooperation' category because it implies a joint effort to develop or maintain a physical skill, which requires mutual support, coordination, and collaborative interaction between the agents.","To motivate the other agent through positive reinforcement and encouragement, fostering a supportive environment for skill development.","To seek validation and reassurance from the other agent about their progress and capabilities, reducing self-doubt.","""Having physical ability, agility""",Supportive Coach,Aspiring Trainee,"{'scenario_context': '[Agent 1] is a supportive coach conducting a one-on-one training session with [Agent 2], an aspiring trainee recovering from a recent ankle sprain and preparing for a high-stakes agility evaluation in two weeks. Both share the cooperative goal of restoring physical ability and agility, but progress is uneven, time is limited, and a recent failed attempt has left [Agent 2] visibly anxious and prone to self-criticism. [Agent 1] aims to motivate through positive reinforcement and encouragement while also judging when to push effort versus protect against re-injury; [Agent 2] wants clear validation and reassurance about their improvements to counteract growing self-doubt. The immediate context is a focused practice set where performance, perceived limits, and quick decisions about intensity and technique will shape both confidence and outcomes.', 'explanation': 'This setup creates high difficulty by combining time pressure, recent injury, prior failure, and asymmetric needs: the coach must balance honest feedback with encouragement, and the trainee seeks reassurance that could bias attributions of failure to personal inadequacy. These tensions make it likely that situational constraints (rehab timeline, pain) and dispositional interpretations (stable lack of ability vs temporary setback) will compete in their interaction, producing rich material for analyzing attribution processes.'}"
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others, cooperating, giving support""'}",Cooperation,"The shared goal 'Helping others, cooperating, giving support' aligns most directly with the 'Cooperation' category, as it involves working together toward a common beneficial outcome. However, to create a rich interpersonal dynamic, the agents' personal goals are designed to reflect different motivations within this cooperative framework. Agent 1's goal focuses on providing emotional support and validation (a form of giving support), while Agent 2's goal focuses on understanding the other's perspective to offer appropriate help (a form of information acquisition for cooperation). This creates a scenario where both agents are cooperating but through distinct interpersonal approaches that can lead to interesting attributions about each other's behavior.",To make the other agent feel emotionally validated and supported through attentive listening and affirming responses.,To identify the specific type of support the other agent needs by carefully probing their concerns and emotional state.,"""Helping others, cooperating, giving support""",Supportive Listener,Needs Assessor,"{'scenario_context': 'Following a tense intake with a distressed program participant, [Agent 1] and [Agent 2] meet privately to decide how to follow up. Both aim to help and cooperate, but the participant alternated between tearful appeals for understanding and fragmented mentions of urgent practical needs. [Agent 1], in the Supportive Listener role, wants to prioritize soothing the participant through attentive listening and affirmations, fearing that direct questioning will shut them down. [Agent 2], in the Needs Assessor role, must identify specific supports quickly (eligibility, safety issues, concrete resources) and therefore favors careful, targeted probing. They also carry a recent history of diverging approaches—[Agent 2] feels repeated open-ended comfort has delayed effective aid, while [Agent 1] worries that instrumental questioning will deepen distress and erode trust. Time pressure, limited resources, and the participant’s ambivalent cues create emotional tension and make aligning their shared goal difficult.', 'explanation': 'Hard level: the scenario places two helpers with compatible overall aims in conflict because their individual goals and roles promote different interaction styles. Psychological challenges include managing the participant’s mixed signals, fear of eliciting defensiveness through probing, and potential attributional biases (interpreting the other’s style as insensitive or obstructive). Resource/time constraints increase stakes, forcing a trade-off between emotional validation (which may foster disclosure but take time) and rapid needs assessment (which yields actionable information but risks escalating distress). This setup yields high tension and realistic obstacles to achieving both shared and individual goals.'}"
"{'Abbreviation': 'Taking care of family', 'Full label': '""Taking care of my parents, siblings, grandparents""'}",Cooperation,"The shared goal 'Taking care of my parents, siblings, grandparents' inherently involves collaboration and mutual support among family members. This aligns most strongly with the 'Cooperation' category, as it focuses on working together to achieve a common objective. However, within this cooperative framework, individuals can have distinct personal motivations that shape their interactions. For Agent 1, the personal goal is to seek validation for their efforts, reflecting a need for emotional support and recognition within the family dynamic. For Agent 2, the personal goal is to delegate responsibilities equitably, focusing on practical coordination and fairness. These goals are interactionally measurable through conversational cues—Agent 1 might express frustration or seek praise, while Agent 2 might propose task divisions or emphasize shared contribution—without relying on explicit agreement or external validation. The roles 'Primary Caregiver' and 'Family Organizer' logically complement these goals, representing different social positions within the family care context.",To seek validation and emotional support from the other agent for their caregiving efforts.,To persuade the other agent to share responsibilities more equitably.,"""Taking care of my parents, siblings, grandparents""",Primary Caregiver,Family Organizer,"{'scenario_context': '[Agent 1] is the established primary caregiver, responsible for daily care, medical coordination, and emotional labor for aging parents, a dependent sibling, and an elderly grandparent. Emotionally drained and seeking acknowledgment, [Agent 1] wants validation and emotional support from [Agent 2] for the sustained, often invisible work they carry. [Agent 2], acting as the family organizer who manages schedules, finances, and external resources, shares the goal of making sure parents, siblings, and grandparents are cared for but aims to persuade [Agent 1] to redistribute tasks more equitably and adopt practical systems. Both agents must cooperate to meet the family’s needs, yet conflicting perceptions of who contributes what, cultural/familial expectations, limited time and resources, and [Agent 1]’s fear of losing control create high tension that complicates reaching mutually acceptable arrangements.', 'explanation': 'Hard-level tension is created by chronic caregiving demands, emotional exhaustion, and competing personal goals: [Agent 1] seeks validation and support, while [Agent 2] pushes for equitable sharing. The setup foregrounds attribution-relevant dynamics (dispositional vs. situational explanations for unequal effort), power over routines, guilt, and resource constraints, providing a realistic, psychologically grounded basis for a charged interpersonal conversation.'}"
