shared_goal,base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,agent1_role,agent2_role,scenario,difficulty
"""Having firm values""","{'Abbreviation': 'Firm values', 'Full label': '""Having firm values""'}",Identity Recognition,"The shared goal 'Having firm values' is best aligned with the 'Identity Recognition' category, as it involves agents asserting, understanding, and negotiating their core beliefs and principles. This creates a scenario where dispositional traits and situational factors interact, as one agent (the Advocate) is motivated to persuade and align the other with their values, while the second agent (the Questioner) is driven to critically examine and understand the depth and consistency of those same values. Their personal goals are distinct, measurable through conversational behavior (e.g., persuasive language vs. probing questions), and reflect a fundamental social intention to influence and understand, respectively.",To persuade the other agent to adopt their value system as the correct one.,To critically examine the other agent's values for consistency and depth.,Moral Advocate,Skeptical Inquirer,"{'scenario_context': ""[Agent 1] and [Agent 2] agree to have a focused, respectful conversation about what it means to 'have firm values.' Both want a clearer, more stable sense of identity through articulated principles: [Agent 1] adopts the role of Moral Advocate, presenting a coherent value system and aiming to persuade [Agent 2] that those principles should be endorsed; [Agent 2] adopts the role of Skeptical Inquirer, gently probing for consistency, edge cases, and motivations to evaluate the depth of [Agent 1]'s commitments. The interaction is collaborative and oriented toward mutual clarification rather than confrontation."", 'explanation': ""This setup makes the shared goal (achieving firm values) explicit while specifying each agent's personal aims—persuasion versus critical examination—so their behaviors will naturally reflect dispositional and situational influences. The scene is easy because both participants are cooperative, the stakes are low, and the objective (clarifying and testing values) is realistically attainable through conversation, allowing clear observation of attribution processes without high tension.""}",Easy
"""Achieving my aspirations""","{'Abbreviation': 'Aspirations', 'Full label': '""Achieving my aspirations""'}",Relationship Building,"The shared goal 'Achieving my aspirations' is fundamentally about personal growth and ambition, which often requires external support, guidance, and validation. The 'Relationship Building' category best aligns with this, as achieving aspirations frequently involves forming new connections to gain mentorship, encouragement, or collaborative opportunities. This context sets the stage for two distinct interpersonal dynamics: one agent seeking guidance and validation, and the other offering support and direction.",To seek and secure the other's validation of their plan as a viable path to success.,To guide the other toward a more pragmatic and structured approach to their aspirations.,Aspiring Visionary,Pragmatic Mentor,"{'scenario_context': ""[Agent 1] is an aspiring visionary who presents a broad, passion-driven plan for achieving a long-term personal aspiration. [Agent 2] is a pragmatic mentor who has agreed to review the plan and offer guidance. Both share the goal of helping [Agent 1] make progress toward 'Achieving my aspirations.' In the upcoming conversation, [Agent 1]'s immediate aim is to secure [Agent 2]'s validation that their plan is a viable path to success, emphasizing values, opportunities, and creative possibilities. [Agent 2]'s immediate aim is to guide [Agent 1] toward a more pragmatic, structured approach by proposing concrete steps, timelines, and risk-mitigation strategies. The interaction is cooperative and low-conflict, centered on mutual respect; the social dynamics will foreground how [Agent 1]'s dispositional optimism and need for validation interact with [Agent 2]'s practicality and preference for structure."", 'explanation': ""The context names roles ([Agent 1] Aspiring Visionary, [Agent 2] Pragmatic Mentor), states the shared goal (relationship-building focused 'Achieving my aspirations'), and specifies each agent's personal goals—validation-seeking versus pragmatic guidance. It keeps the scene concise, realistic, psychologically grounded, and collaborative to match an Easy difficulty level, while avoiding environmental detail or dialogue.""}",Easy
"""Accepting life’s limitations""","{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Relationship Building,"The shared goal 'Accepting life’s limitations' aligns most closely with Relationship Building. This category focuses on developing mutual understanding and emotional support, which is essential when confronting life's inevitable constraints. The scenario involves two agents with complementary approaches: one seeks validation for their perspective while the other aims to provide pragmatic reframing. Their personal goals are designed to be interactionally measurable through conversational behavior—Agent 1's goal manifests through seeking reassurance and emotional alignment, while Agent 2's goal appears through practical guidance and perspective-shifting. The roles ('Seeker of Validation' and 'Pragmatic Guide') reflect their distinct social positions and motivations within this context.",To seek emotional validation and reassurance from the other agent that their feelings about life's limitations are understood and accepted.,To encourage the other agent to reframe their perspective on limitations by highlighting potential opportunities or alternative viewpoints.,Seeker of Validation,Pragmatic Guide,"{'scenario_context': 'A short, focused exchange between [Agent 1] (Seeker of Validation) and [Agent 2] (Pragmatic Guide). [Agent 1] feels constrained by certain life limitations (e.g., health, time, or role responsibilities) and wants emotional reassurance that these feelings—frustration, grief, or resignation—are understood and accepted. [Agent 2] aims to respond with both acceptance and gentle reframing: listening attentively, acknowledging the validity of [Agent 1]’s emotions, and then offering alternative perspectives or small, pragmatic possibilities within those limits. The interaction is cooperative and low-conflict, centered on building trust and mutual acceptance of life’s boundaries while exploring more adaptive ways to interpret them.', 'explanation': 'This setup makes the shared goal explicit (accepting life’s limitations) and aligns individual goals: [Agent 1] seeks validation and emotional acceptance; [Agent 2] seeks to reframe perceptions constructively. Psychologically, it foregrounds empathic listening, validation as emotion-regulation, and cognitive reframing as a supportive coping strategy in a relationship-building context.'}",Easy
"""Having friends I love, close companionship""","{'Abbreviation': 'Having friends', 'Full label': '""Having friends I love, close companionship""'}",Relationship Maintenance,"The shared goal 'Having friends I love, close companionship' aligns most closely with Relationship Maintenance, as it focuses on preserving and deepening existing emotional bonds rather than initiating new ones. For this scenario, Agent 1's personal goal is to seek validation of their importance in the friendship, which manifests through conversational behaviors like fishing for compliments or reassurance. Agent 2's personal goal is to gently encourage emotional openness, demonstrated through supportive questioning and creating a safe space for vulnerability. Their roles—'The Needy Friend' and 'The Supportive Confidant'—complement these goals and create a dynamic where both dispositional traits and situational factors influence their interaction.",To seek validation that they are a valued and important part of the friendship,To gently encourage the other to open up emotionally and share deeper feelings,The Needy Friend,The Supportive Confidant,"{'scenario_context': 'Two close friends are alone together after spending time with their usual group. [Agent 1] has been dropping hints of feeling insecure about their role in the friendship and wants clear reassurance that they are valued and important. [Agent 2] is warm and attentive, committed to maintaining the closeness; they plan to offer validation while gently encouraging [Agent 1] to open up about the feelings underlying their insecurity so the friendship can remain emotionally honest and supportive. Both prioritize preserving their close companionship and want the conversation to leave them feeling connected.', 'explanation': ""This setup centers on the shared relationship-maintenance goal (close companionship) while specifying complementary individual aims: [Agent 1] seeks validation and belonging, [Agent 2] seeks to encourage emotional disclosure and provide support. The situation is low-conflict and cooperative (Easy): reassurance and deeper sharing are mutually reinforcing and attainable. Psychologically, it creates opportunities to observe attributional processes (e.g., whether [Agent 2] interprets [Agent 1]'s behavior as dispositional insecurity or a response to recent stressors) and how supportive responses shape subsequent openness and perceived relational value.""}",Easy
"""Being involved in seeking equality, brotherhood, equal opportunity for all""","{'Abbreviation': 'Seeking equality', 'Full label': '""Being involved in seeking equality, brotherhood, equal opportunity for all""'}",Cooperation,"The shared goal of 'seeking equality, brotherhood, equal opportunity for all' aligns most closely with the 'Cooperation' category, as it inherently involves working together toward a common, prosocial objective. To create a dynamic interaction, the agents are assigned complementary roles and personal goals. The Advocate's goal is to persuade and inspire commitment, while the Skeptic's goal is to critically evaluate the plan's feasibility. This setup allows for an analysis of how dispositional optimism and pragmatism interact within a cooperative framework, driving a conversation that balances idealism with practical concerns.","To persuade the other agent to fully commit to a specific, actionable plan for promoting equality.",To critically evaluate the proposed plan's feasibility and ensure risks are mitigated before agreeing.,Idealistic Advocate,Pragmatic Evaluator,"{'scenario_context': ""[Agent 1] and [Agent 2] are collaborators in a grassroots effort committed to promoting equality and equal opportunity. They meet to decide whether to adopt a concrete outreach plan [Agent 1] has drafted—an actionable set of steps (target groups, timelines, measurable outcomes, and volunteer responsibilities)—and [Agent 1] aims to secure [Agent 2]'s full commitment to implement it. [Agent 2], adopting a pragmatic evaluator stance, intends to probe the plan's feasibility, identify logistical or legal risks, ask for cost and capacity estimates, and request mitigations or adjustments before endorsing it. Both seek the same cooperative end—advancing equality—and the interaction centers on aligning idealistic motivation with practical safeguards so the plan can be adopted smoothly and responsibly."", 'explanation': ""This setup places an Idealistic Advocate ([Agent 1]) and a Pragmatic Evaluator ([Agent 2]) in a low-tension, cooperative decision context where goals are aligned. It clearly frames the shared objective (equality) and each agent's personal aim (persuasion vs. critical evaluation), creating a simple, realistic scenario suited to exploring attribution of motives and responses without high conflict.""}",Easy
"""Carrying myself well, looking distinguished""","{'Abbreviation': 'Looking distinguished', 'Full label': '""Carrying myself well, looking distinguished""'}",Identity Recognition,"The shared goal 'Carrying myself well, looking distinguished' primarily concerns how individuals present themselves and wish to be perceived by others. This aligns most closely with the 'Identity Recognition' category, as it involves agents seeking validation, acknowledgment, or a specific impression of their social identity and personal qualities from their interaction partner.",To elicit compliments and validation from the other agent regarding their appearance and demeanor.,"To subtly challenge the other agent's projected image by offering measured, constructive feedback rather than outright praise.",Image-Conscious Peer,Candid Confidant,"{'scenario_context': '[Agent 1] and [Agent 2] are preparing together immediately before a small, semi-formal gathering where both want to appear composed and distinguished. Their shared task is straightforward: help each other carry themselves well and present a polished image. [Agent 1], an image-conscious peer, is seeking verbal validation—compliments about posture, outfit, and overall demeanor—to reinforce a confident appearance. [Agent 2], a candid confidant, is cooperative and supportive but plans to offer measured, constructive observations that may gently challenge elements of [Agent 1]’s projected image rather than giving unqualified praise. The interaction is cooperative and low-stakes, focused on impression management and mutual polish rather than confrontation.', 'explanation': ""This setup makes the shared goal (appearing distinguished) explicit while contrasting personal goals: [Agent 1] wants affirmation; [Agent 2] wants to give honest, restrained feedback. Because the situation is cooperative and low-stakes (Easy level), both goals are compatible and attainable. Expect [Agent 1] to use self-enhancement strategies and seek external validation; positive feedback will likely be interpreted dispositional (the responder genuinely admires me) or situational (they're being polite). [Agent 2] will balance politeness norms with candid remarks, prompting attributions about whether appearance issues stem from controllable choices (dispositional: tailoring, posture) or situational factors (lighting, fit). The scene highlights attribution processes (self-serving bias, actor–observer differences, and the role of politeness conventions) in a realistic, cooperative social exchange.""}",Easy
"""Keeping things in order (my desk, office, house, etc.)""","{'Abbreviation': 'Things in order', 'Full label': '""Keeping things in order (my desk, office, house, etc.)""'}",Cooperation,"The shared goal 'Keeping things in order' is fundamentally a cooperative task that requires joint effort and coordination. The social goal category 'Cooperation' best captures this, as it involves working together harmoniously to achieve a common objective. The personal goals are designed to reflect distinct social intentions that influence the interaction: one agent seeks validation for their efforts to maintain a positive self-image within the partnership, while the other aims to subtly guide the process to ensure their preferred standard of order is met, reflecting a more controlling disposition. The roles of 'Validating Partner' and 'Subtle Director' align with these goals, placing the agents in complementary social positions.",To seek acknowledgment from the other agent that their contribution to maintaining order is valuable and appreciated.,To gently steer the organizing process according to their own preferred methods without appearing overtly critical.,Validating Partner,Subtle Director,"{'scenario_context': '[Agent 1] and [Agent 2] share a small, clutter-prone office and have an important external review in two days that requires the workspace to look orderly. Recently [Agent 1] has taken on most of the visible tidying—stacking papers, clearing surfaces—and wants clear verbal appreciation for that effort, while remaining sensitive to past remarks about their methods. [Agent 2] favors a more systematic approach (labeling, consistent storage locations) and intends to introduce those procedures during the organizing session, but will try to do so indirectly to avoid seeming critical. Both must cooperate quickly to present a neat space, yet time pressure, differing standards, and a history of perceived judgment make acknowledgment and subtle redirection difficult to achieve without friction.', 'explanation': ""Shared goal: prepare and keep the office orderly for an impending review. [Agent 1]'s personal goal is social validation for visible effort; [Agent 2]'s goal is to implement their preferred organizing methods without provoking defensiveness. Difficulty arises from time constraints, prior sensitivity to criticism, and asymmetric contributions—making sincere acknowledgment and gentle influence hard to coordinate. This setup invites attributional tensions (e.g., [Agent 1] may see [Agent 2]'s suggestions as criticism of character or effort; [Agent 2] may downplay the need for explicit praise to avoid seeming controlling), increasing the likelihood of miscommunication despite a cooperative objective.""}",Hard
"""Feeling close to my parents, siblings, grandparents""","{'Abbreviation': 'Feeling close to family', 'Full label': '""Feeling close to my parents, siblings, grandparents""'}",Relationship Maintenance,"The shared goal 'Feeling close to my parents, siblings, grandparents' is fundamentally about fostering and maintaining emotional intimacy and connection within a family unit. This aligns most strongly with the 'Relationship Maintenance' category, as it focuses on preserving and strengthening existing bonds rather than building new ones or resolving conflicts. The personal goals are designed to reflect distinct social intentions: one agent seeks to affirm the family's positive identity to foster closeness, while the other seeks to understand and validate the other's emotional state to achieve the same shared goal. Their roles as 'Supportive Confidant' and 'Empathic Listener' logically support these goals and the context of a personal family conversation.",To affirm the family's positive qualities and shared history to make the other feel a stronger sense of belonging and closeness.,To elicit and validate the other's personal feelings about the family to create a deeper emotional connection.,Supportive Confidant,Empathic Listener,"{'scenario_context': ""[Agent 1] and [Agent 2], adult family members, are in a private conversation shortly before a high-stakes family gathering. Both share the goal of feeling closer to parents, siblings, and grandparents, but they approach it differently: [Agent 1] aims to affirm the family's positive qualities and shared history to foster belonging, while [Agent 2] aims to elicit and validate personal feelings to build a deeper emotional connection. A recent hurtful revelation and long-standing resentments make the situation fragile—time pressure to present unity to older relatives and fear of reigniting conflict increase defensiveness. The dynamic is tense because [Agent 1]'s reassurances risk being perceived as minimization, and [Agent 2]'s probing risks being seen as dredging up pain; each may interpret the other's motives as dispositional (coldness or oversensitivity) rather than situational, complicating their shared goal."", 'explanation': ""Hard difficulty arises from competing interpersonal strategies, a recent family rupture, and time pressure that heighten emotional stakes. This setup foregrounds attributional processes: how each agent's dispositional tendencies (reassuring vs. probing) and situational constraints (secrecy, impending gathering) can lead to misinterpretation of motives, defensive responses, and difficulty achieving both the shared goal (closeness) and their individual goals (affirmation vs. validation).""}",Hard
"""Being an ethical person""","{'Abbreviation': 'Ethical', 'Full label': '""Being an ethical person""'}",Identity Recognition,"The shared goal 'Being an ethical person' is fundamentally about aligning one's actions with a moral code. This aligns most strongly with the 'Identity Recognition' category, as the agents are negotiating and validating their own and each other's ethical identities through their interaction. Their personal goals are designed to be distinct yet complementary social intentions: one agent seeks to affirm its ethical stance by gaining validation, while the other seeks to understand the ethical framework behind the other's actions. Their roles, 'The Moral Affirmer' and 'The Principled Inquirer', logically support these goals and the social context of discussing ethics.",To have their ethical choices and reasoning validated by the other agent.,To probe and understand the depth and consistency of the other agent's ethical principles.,The Moral Affirmer,The Principled Inquirer,"{'scenario_context': 'A tense meeting between two colleagues who are both publicly invested in being ""ethical people."" [Agent 1], known among peers for advocating moral standards, has recently defended a controversial decision that prioritized practical outcomes over stated principles. Seeking social reassurance, [Agent 1] wants their ethical choices and underlying reasoning validated. [Agent 2], positioned as a careful evaluator of principles, intends to probe the consistency and depth of [Agent 1]’s moral commitments through pointed questions and hypothetical variations. Both are aware that others will judge their identities as ethical actors based on this exchange, creating pressure to appear sincere and principled while navigating ambiguous situational pressures and potential reputational consequences.', 'explanation': 'This setup centers on Identity Recognition: both agents share the goal of ""being an ethical person"" but pursue different interpersonal strategies. The scenario is hard because social evaluation, reputational stakes, and situational ambiguity make validation difficult—[Agent 1] may feel defensive or impression-managing, and [Agent 2] may interpret responses as dispositional (true character) or situationally driven. The interaction is likely to generate attributional tension (are choices principled or pragmatic?), tests of consistency, and potential cognitive dissonance, all of which challenge both agents\' ability to achieve their personal and shared goals.'}",Hard
"""Having an erotic relationship""","{'Abbreviation': 'Erotic relationship', 'Full label': '""Having an erotic relationship""'}",Relationship Building,"The shared goal 'Having an erotic relationship' inherently involves building a deep, intimate connection between two individuals. This aligns most closely with the 'Relationship Building' category, as it focuses on developing emotional bonds, trust, and mutual understanding, which are foundational to an erotic relationship. The personal goals are designed to reflect distinct social intentions: one agent seeks to build trust through emotional openness, while the other aims to understand compatibility through subtle cues. These goals are interactionally measurable through conversational behavior, such as tone, responsiveness, and depth of dialogue, without relying on explicit agreements or external actions.",To build trust by gradually revealing personal vulnerabilities and emotional depth.,To assess emotional and physical compatibility through subtle conversational cues and responsiveness.,Emotional Initiator,Compatibility Assessor,"{'scenario_context': ""Two consenting adults, [Agent 1] and [Agent 2], have agreed to explore an erotic relationship and are meeting to negotiate whether and how to proceed. [Agent 1], the Emotional Initiator, aims to build trust by gradually revealing personal vulnerabilities and emotional depth to elicit closeness and reciprocal disclosure. [Agent 2], the Compatibility Assessor, aims to judge emotional and physical fit by reading subtle conversational cues, responsiveness, and boundary signals while keeping a deliberate emotional distance. Difficulty arises because their interaction is a negotiation: [Agent 1]'s disclosures may be perceived as rushed or needy, while [Agent 2]'s caution can be read as coldness or lack of interest; both must manage reputational concerns, prior relational wounds, and the temptation to attribute ambiguous behaviors to stable traits instead of situational pressures, making the shared erotic goal fragile and contested."", 'explanation': 'This setup creates high interpersonal tension by pitting a disclosure-driven strategy against a cautious evaluative strategy. Attributional processes will be central: each agent risks committing the fundamental attribution error (interpreting hesitation as dispositional aloofness) or defensive attributions (seeing vulnerability as manipulation). Stakes (emotional exposure, reputational risk, and differing pacing preferences) amplify ambiguity, so small cues are likely to be overinterpreted and undermine coordinated movement toward the shared erotic goal, fitting the requested Hard difficulty.'}",Hard
