base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Aspirations', 'Full label': '""Achieving my aspirations""'}",Relationship Building,"The shared goal 'Achieving my aspirations' is fundamentally about personal growth and ambition, which often requires external support, guidance, and validation. The 'Relationship Building' category best aligns with this, as achieving aspirations frequently involves forming new connections to gain mentorship, encouragement, or collaborative opportunities. This context sets the stage for two distinct interpersonal dynamics: one agent seeking guidance and validation, and the other offering support and direction.",To seek and secure the other's validation of their plan as a viable path to success.,To guide the other toward a more pragmatic and structured approach to their aspirations.,"""Achieving my aspirations""",Aspiring Visionary,Pragmatic Mentor,"{'scenario_context': ""[Agent 1], an aspiring visionary, has arranged a meeting with [Agent 2], their pragmatic and experienced mentor, at a quiet corner of a local coffee shop. [Agent 1] has drafted a bold, ambitious plan for a new creative venture and is eager to present it. Their shared goal is to achieve their aspirations, but [Agent 1]'s personal goal is to secure [Agent 2]'s enthusiastic validation that their plan is a viable path to success. [Agent 2]'s personal goal is to carefully guide [Agent 1] toward a more pragmatic and structured approach, ensuring the aspirations are grounded in reality."", 'explanation': ""This context establishes a cooperative, low-tension 'Easy' scenario. The shared goal of achieving aspirations is clear, and the agents' individual goals—seeking validation and offering guidance—are naturally aligned within a mentor-mentee relationship. The coffee shop setting is a common, realistic space for such a discussion, focusing the scene on the interpersonal dynamic rather than complex environmental details.""}"
"{'Abbreviation': 'Life’s limitations', 'Full label': '""Accepting life’s limitations""'}",Relationship Building,"The shared goal 'Accepting life’s limitations' aligns most closely with Relationship Building. This category focuses on developing mutual understanding and emotional support, which is essential when confronting life's inevitable constraints. The scenario involves two agents with complementary approaches: one seeks validation for their perspective while the other aims to provide pragmatic reframing. Their personal goals are designed to be interactionally measurable through conversational behavior—Agent 1's goal manifests through seeking reassurance and emotional alignment, while Agent 2's goal appears through practical guidance and perspective-shifting. The roles ('Seeker of Validation' and 'Pragmatic Guide') reflect their distinct social positions and motivations within this context.",To seek emotional validation and reassurance from the other agent that their feelings about life's limitations are understood and accepted.,To encourage the other agent to reframe their perspective on limitations by highlighting potential opportunities or alternative viewpoints.,"""Accepting life’s limitations""",Seeker of Validation,Pragmatic Guide,"{'scenario_context': '[Agent 1] and [Agent 2] are colleagues on their lunch break in a quiet corner of the office cafeteria. [Agent 1], feeling disheartened after missing a promotion, initiates a conversation about their frustration with career ceilings and the feeling of being stuck. [Agent 2], who has a reputation for being practical and solution-oriented, listens attentively. Their shared goal is to accept life’s limitations, but [Agent 1] personally seeks emotional validation for their disappointment, while [Agent 2] aims to guide the conversation toward finding a positive, alternative perspective on the situation.', 'explanation': ""This context is 'Easy' because the setting is a cooperative, low-stakes lunch break between colleagues. The shared goal of acceptance is naturally aligned with a common personal experience like a career setback. [Agent 1]'s need for validation is a simple, direct emotional goal, and [Agent 2]'s role as a pragmatic guide is a common and socially acceptable way to offer support, making the goals easily attainable through a calm conversation.""}"
"{'Abbreviation': 'Being likeable', 'Full label': '""Being likeable, making friends, drawing others near""'}",Relationship Building,"The shared goal 'Being likeable, making friends, drawing others near' aligns most closely with the 'Relationship Building' category, as it focuses on initiating and developing positive social connections. For Agent 1, the personal goal is to project warmth and approachability through supportive language, aiming to create an immediate sense of rapport. For Agent 2, the personal goal is to seek validation and reassurance through self-disclosure, aiming to test the other's acceptance and build trust. The roles 'The Affirmative Connector' and 'The Cautious Sharer' complement these goals by defining distinct social positions—one outwardly focused on fostering positivity, the other inwardly focused on gauging safety in vulnerability.",To project warmth and approachability by using supportive and encouraging language to make the other agent feel comfortable and valued.,To seek validation and reassurance by cautiously sharing personal information and gauging the other agent's acceptance and responsiveness.,"""Being likeable, making friends, drawing others near""",The Affirmative Connector,The Cautious Sharer,"{'scenario_context': '[Agent 1] and [Agent 2] are coworkers who have just been assigned as partners for a new, low-stakes project. They are meeting for the first time over coffee in the office breakroom to discuss their initial ideas and get to know each other.', 'explanation': ""This context is 'Easy' as it is a simple, cooperative, and low-pressure social interaction. The shared goal of building a positive relationship is easily attainable through casual conversation. The setting naturally supports [Agent 1]'s goal to be warm and encouraging, while providing a safe, public space for [Agent 2] to cautiously share personal information and seek validation.""}"
"{'Abbreviation': 'Cared for', 'Full label': '""Being taken care of""'}",Relationship Building,"The shared goal 'Being taken care of' aligns most closely with 'Relationship Building' as it involves establishing a supportive dynamic where one party provides care and the other receives it, forming a foundational interpersonal connection. Agent 1's personal goal focuses on establishing themselves as a competent caregiver to gain trust, while Agent 2's goal is to assess the sincerity of the offered care to feel emotionally secure. Their roles as 'Supportive Caregiver' and 'Vulnerable Recipient' create a complementary dynamic for exploring this care-based relationship.",To establish oneself as a competent and trustworthy caregiver to gain the other's reliance and appreciation.,To assess the sincerity and quality of the care being offered to feel emotionally secure and understood.,"""Being taken care of""",Supportive Caregiver,Vulnerable Recipient,"{'scenario_context': ""[Agent 1] has offered to help [Agent 2], who is recovering from a minor surgery, by preparing meals and assisting with light chores for the day. They are in [Agent 2]'s tidy and comfortable living room. [Agent 1] has just arrived with a bag of groceries."", 'explanation': ""This context establishes a simple, cooperative scenario where the shared goal of 'being taken care of' is easily attainable. [Agent 1]'s role as the caregiver is activated by performing concrete, helpful tasks, allowing them to demonstrate competence. [Agent 2] is in a position to passively receive this care and assess its quality from a place of physical vulnerability, which aligns with their goal of evaluating the caregiver's sincerity to feel secure. The environment is neutral and comfortable, minimizing external tension and focusing the interaction on the core social dynamic.""}"
"{'Abbreviation': 'Arts', 'Full label': '""Appreciating the arts""'}",Relationship Building,"The shared goal 'Appreciating the arts' is best aligned with 'Relationship Building' as it involves a shared experience that can foster mutual understanding, emotional connection, and rapport between individuals. For Agent 1, the personal goal is to seek validation for their artistic interpretation, which reflects a desire for social affirmation and to feel understood. For Agent 2, the personal goal is to challenge and deepen the other's perspective, which reflects an intention to stimulate intellectual growth and engagement rather than simply agreeing. These goals are distinct, socially interactive, and measurable through conversational tone (e.g., seeking agreement vs. provocative questioning). The roles 'Enthusiastic Novice' and 'Critical Connoisseur' align with these goals and the art appreciation context.",To seek validation for their interpretation of the art to feel a sense of shared understanding and connection.,To challenge and deepen the other's perspective on the art to stimulate a more meaningful and insightful discussion.,"""Appreciating the arts""",Enthusiastic Novice,Critical Connoisseur,"{'scenario_context': ""[Agent 1] and [Agent 2] are coworkers visiting a local public art gallery after work. They are standing before a large, abstract painting. Their shared goal is to appreciate the arts together and build a better rapport outside the office. [Agent 1], an enthusiastic novice, hopes their initial positive interpretation of the vibrant colors and energy is validated to create a sense of shared understanding and connection. [Agent 2], a critical connoisseur, aims to challenge and deepen this perspective to stimulate a more meaningful and insightful discussion about the painting's technique and potential deeper meaning."", 'explanation': ""The scenario is set in a low-pressure, cooperative environment (a public gallery) where the shared goal of relationship building is naturally facilitated. Both agents' individual goals are directly related to interpreting the same piece of art, making their interaction focused and the goals easily attainable through simple conversation. The roles are clearly defined by their approach to the art, creating a natural dynamic for the conversation to follow.""}"
"{'Abbreviation': 'Being spontaneous', 'Full label': '""Being spontaneous""'}",Relationship Building,"The shared goal 'Being spontaneous' aligns most closely with Relationship Building, as spontaneity often involves creating novel, authentic connections and breaking from routine to strengthen interpersonal bonds. This category focuses on developing rapport through unplanned, genuine interactions.",To encourage the other to break from their usual routines and embrace unpredictability in the moment.,To assess whether the other's spontaneity feels authentic and trustworthy rather than impulsive or reckless.,"""Being spontaneous""",Spontaneity Advocate,Cautious Evaluator,"{'scenario_context': ""Two colleagues, [Agent 1] and [Agent 2], are on their lunch break together in the office cafeteria. They have a shared, unspoken desire to build a better rapport. [Agent 1] spots a new pop-up food truck through the window that wasn't there yesterday and suggests they skip their usual packed lunches to try it, seeing it as a fun, impromptu opportunity. [Agent 2], who brought a salad from home, is intrigued by the idea but is instinctively weighing the potential downsides of the unplanned meal against the possibility of a positive shared experience."", 'explanation': ""This context establishes a simple, cooperative setting (Easy difficulty) where the shared goal of relationship building is naturally facilitated by a spontaneous act. The pop-up truck provides a clear, low-stakes opportunity for [Agent 1] to advocate for spontaneity. [Agent 2]'s personal goal is triggered by this suggestion, creating a realistic social dynamic where they must evaluate the proposal's authenticity and risk without any pre-existing conflict.""}"
"{'Abbreviation': 'Hobbies', 'Full label': '""Devoting time to amusements, having recreation, entertainment, hobbies""'}",Cooperation,"The shared goal 'Devoting time to amusements, having recreation, entertainment, hobbies' aligns most closely with the 'Cooperation' category, as it involves agents working together to achieve a mutually enjoyable recreational activity. However, their personal goals reflect distinct social intentions within this cooperative framework. Agent 1 aims to subtly guide the interaction towards their preferred activity while maintaining harmony, while Agent 2 seeks to understand and validate their partner's preferences to strengthen their bond.",To gently steer the conversation towards choosing a recreational activity that aligns with their personal preferences while ensuring the other agent feels heard and included.,"To actively listen for and affirm the other agent's suggestions and excitement, prioritizing shared enjoyment and mutual satisfaction over a specific activity choice.","""Devoting time to amusements, having recreation, entertainment, hobbies""",Subtle Influencer,Attentive Validator,"{'scenario_context': 'Two friends, [Agent 1] and [Agent 2], are spending a quiet afternoon together at one of their apartments. They have both expressed a desire to do something fun and relaxing to unwind but have not yet decided on a specific activity. A variety of options are available to them, including board games, streaming a movie, or simply continuing their casual conversation.', 'explanation': 'This context establishes a simple, cooperative setting with low stakes. The shared goal of choosing a recreational activity is clear and easily attainable. The environment is neutral and comfortable, providing a natural platform for [Agent 1] to attempt subtle influence and for [Agent 2] to practice attentive validation without significant external pressure or conflict.'}"
"{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability, agility""'}",Cooperation,"The shared goal 'Having physical ability, agility' is best aligned with the 'Cooperation' category because it implies a joint effort to develop or maintain a physical skill, which requires mutual support, coordination, and collaborative interaction between the agents.","To motivate the other agent through positive reinforcement and encouragement, fostering a supportive environment for skill development.","To seek validation and reassurance from the other agent about their progress and capabilities, reducing self-doubt.","""Having physical ability, agility""",Supportive Coach,Aspiring Trainee,"{'scenario_context': ""[Agent 1], a supportive coach, is leading a one-on-one agility training session with [Agent 2], an aspiring trainee, in a quiet gymnasium. The shared goal is to improve [Agent 2]'s physical ability and agility through a series of ladder drills. [Agent 1]'s personal goal is to motivate [Agent 2] through positive reinforcement. [Agent 2]'s personal goal is to seek validation from [Agent 1] to quiet their own self-doubt about their athletic progress."", 'explanation': ""The context establishes a straightforward cooperative setting (a training session) where the shared goal of improving agility is naturally aligned. The coach's role and goal of providing encouragement directly complements the trainee's role and goal of seeking reassurance, making the interaction simple and supportive with low inherent tension, fitting the 'Easy' difficulty level.""}"
"{'Abbreviation': 'Helping others', 'Full label': '""Helping others, cooperating, giving support""'}",Cooperation,"The shared goal 'Helping others, cooperating, giving support' aligns most directly with the 'Cooperation' category, as it involves working together toward a common beneficial outcome. However, to create a rich interpersonal dynamic, the agents' personal goals are designed to reflect different motivations within this cooperative framework. Agent 1's goal focuses on providing emotional support and validation (a form of giving support), while Agent 2's goal focuses on understanding the other's perspective to offer appropriate help (a form of information acquisition for cooperation). This creates a scenario where both agents are cooperating but through distinct interpersonal approaches that can lead to interesting attributions about each other's behavior.",To make the other agent feel emotionally validated and supported through attentive listening and affirming responses.,To identify the specific type of support the other agent needs by carefully probing their concerns and emotional state.,"""Helping others, cooperating, giving support""",Supportive Listener,Needs Assessor,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues working together on a community volunteer project. They are taking a short break in a quiet corner of the shared office space. [Agent 1] has just returned from a difficult meeting with a project stakeholder and appears slightly distressed. [Agent 2], noticing this, has initiated this conversation to offer support and ensure the project's collaborative success."", 'explanation': ""This context establishes a simple, cooperative environment where both agents' goals are naturally aligned. The shared goal of 'helping others' is reflected in their joint volunteer project. [Agent 1]'s role as a 'Supportive Listener' and goal to provide emotional validation is triggered by their colleague's apparent distress. [Agent 2]'s role as a 'Needs Assessor' and goal to probe for specific support needs is initiated by their observation of [Agent 1]'s state, creating a straightforward and attainable interpersonal dynamic.""}"
"{'Abbreviation': 'Taking care of family', 'Full label': '""Taking care of my parents, siblings, grandparents""'}",Cooperation,"The shared goal 'Taking care of my parents, siblings, grandparents' inherently involves collaboration and mutual support among family members. This aligns most strongly with the 'Cooperation' category, as it focuses on working together to achieve a common objective. However, within this cooperative framework, individuals can have distinct personal motivations that shape their interactions. For Agent 1, the personal goal is to seek validation for their efforts, reflecting a need for emotional support and recognition within the family dynamic. For Agent 2, the personal goal is to delegate responsibilities equitably, focusing on practical coordination and fairness. These goals are interactionally measurable through conversational cues—Agent 1 might express frustration or seek praise, while Agent 2 might propose task divisions or emphasize shared contribution—without relying on explicit agreement or external validation. The roles 'Primary Caregiver' and 'Family Organizer' logically complement these goals, representing different social positions within the family care context.",To seek validation and emotional support from the other agent for their caregiving efforts.,To persuade the other agent to share responsibilities more equitably.,"""Taking care of my parents, siblings, grandparents""",Primary Caregiver,Family Organizer,"{'scenario_context': ""[Agent 1] and [Agent 2] are siblings meeting in the living room of their family home on a quiet Sunday afternoon. [Agent 1], who has been handling the majority of daily care for their aging parents and grandparents, has just finished preparing meals for the week. [Agent 2], who manages the family's schedule and appointments, has brought over a newly organized calendar. Their shared goal is to ensure the well-being of their parents, siblings, and grandparents. The atmosphere is calm and cooperative, with both agents present to discuss the caregiving arrangements."", 'explanation': ""This context establishes a simple, cooperative setting where the shared goal is clear and the agents' individual goals can be naturally pursued. [Agent 1] is in a position to seek validation after completing a caregiving task, while [Agent 2] has a logical opening to discuss responsibility distribution with the new schedule. The easy difficulty is reflected in the lack of external stressors, the familiar home environment, and the aligned cooperative intent of both agents.""}"
