base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}",Relationship Building,"The shared goal 'Belonging to social groups, feeling like part of a group' aligns most closely with the 'Relationship Building' category. This category focuses on establishing new social connections and fostering a sense of inclusion, which is the core of the shared goal. Agent 1's personal goal is to seek validation and reassurance from the other agent to confirm their place in the group, while Agent 2's goal is to actively include and make the other agent feel welcomed and valued. Their roles as the 'Anxious Newcomer' and 'Established Welcomer' create a dynamic where their distinct social intentions—seeking reassurance and providing inclusion—interact to pursue the shared goal of belonging.",To seek reassurance and validation from the other agent that they are accepted and belong within the group.,"To actively include and make the other agent feel welcomed, valued, and an integral part of the group.","""Belonging to social groups, feeling like part of a group""",Anxious Newcomer,Established Welcomer,"{'scenario_context': 'Two agents are at the first official meeting of a prestigious university research group they have both recently been accepted into. [Agent 1], the anxious newcomer, is sitting slightly apart from the main table, visibly uncomfortable. [Agent 2], an established member who helped form the group, is organizing the meeting agenda. The shared goal is to solidify their place within this new, high-status social group. The meeting is about to start, and the other members are engaged in their own conversations, creating a palpable atmosphere of exclusivity and intellectual pressure.', 'explanation': ""This context establishes a high-pressure social situation where the shared goal of belonging is challenged by the newcomer's anxiety and the established group's exclusivity. The public setting and the high-stakes nature of the group (prestigious, intellectual) heighten the tension, making reassurance difficult to seek and genuine inclusion difficult to demonstrate, aligning with the 'Hard' difficulty level.""}"
"{'Abbreviation': 'Being playful', 'Full label': '""Being playful, cheerful, acting for fun""'}",Relationship Building,"The shared goal 'Being playful, cheerful, acting for fun' aligns most closely with 'Relationship Building' as it focuses on creating a positive, enjoyable social connection and fostering camaraderie through lighthearted interaction. For Agent 1, the personal goal is to encourage the other's playful engagement by validating their contributions, which reflects a supportive and affirming social intention. For Agent 2, the personal goal is to initiate novel and amusing interactions to spark joy, reflecting a creative and stimulating social intention. The roles 'The Encouraging Friend' and 'The Playful Instigator' are assigned to reflect these distinct motivations and ensure diverse, measurable social behaviors within the playful context.",To encourage the other agent's playful engagement by validating their contributions and maintaining a positive tone.,To initiate novel and amusing interactions that spark joy and lightheartedness in the conversation.,"""Being playful, cheerful, acting for fun""",The Encouraging Friend,The Playful Instigator,"{'scenario_context': ""[Agent 1] and [Agent 2] are long-time friends who have recently reconnected after [Agent 2] moved back to town following a difficult period of personal loss that has left them emotionally withdrawn. They are at a local board game cafe, having agreed to meet for a casual evening. The shared goal is to be playful and cheerful, acting for fun to rebuild their friendship. [Agent 1]'s personal goal is to encourage [Agent 2]'s playful engagement by validating their contributions and maintaining a positive tone, hoping to draw them out of their shell. [Agent 2]'s personal goal is to initiate novel and amusing interactions that spark joy, but they are internally struggling with feelings of grief and a fear that their attempts at humor will fall flat or feel forced, creating a tension between their desire for lightheartedness and their current emotional state."", 'explanation': ""This scenario is 'Hard' difficulty because it introduces a significant psychological barrier ([Agent 2]'s recent grief and emotional withdrawal) that directly conflicts with the shared goal of playful cheerfulness. [Agent 1]'s goal of validation is challenged by [Agent 2]'s potential inability to engage authentically. [Agent 2]'s goal to initiate fun is hampered by their own internal state, creating a high-tension situation where the shared and individual goals are hard to achieve due to the stark contrast between the desired social facade and the underlying emotional reality.""}"
"{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing, entertaining others""'}",Relationship Building,"The shared goal of 'Amusing, entertaining others' aligns most closely with the 'Relationship Building' category. This is because humor and entertainment are often used as social tools to foster connection, rapport, and positive feelings between individuals, which is the core of relationship building. The personal goals are designed to reflect distinct social intentions: one agent aims to actively influence the social atmosphere by initiating humor, while the other seeks to understand and validate the first agent's efforts through positive reinforcement. Their roles as 'The Comedian' and 'The Appreciative Audience' logically support these goals and the shared objective.",To establish a lighthearted and jovial social atmosphere by initiating humorous exchanges.,To validate and encourage the other's attempts at humor through positive feedback and engagement.,"""Amusing, entertaining others""",The Comedian,The Appreciative Audience,"{'scenario_context': ""[Agent 1] and [Agent 2] are colleagues at a high-stakes company awards dinner. [Agent 1], a mid-level manager known for their sharp wit but also for recent professional setbacks, is the scheduled after-dinner speaker tasked with delivering a humorous roast of the senior executives to lighten the formal mood. [Agent 2], a well-respected senior colleague who is generally amiable but acutely aware of the tense corporate climate and recent layoffs, is seated at the head table and is expected to signal to the rest of the audience how to receive the potentially risky humor. The shared goal is to amuse and entertain the anxious crowd, but [Agent 1]'s personal goal is to re-establish their social standing and prove their value through comedy, while [Agent 2]'s goal is to carefully validate only the appropriate jokes to maintain morale without encouraging anything that could be perceived as offensive or insubordinate."", 'explanation': ""This scenario is 'Hard' difficulty because it introduces high tension through the professional stakes and recent setbacks, making the shared goal of entertainment precarious. [Agent 1]'s need for personal redemption through humor conflicts with the high-risk context, and [Agent 2]'s role as a validator is complicated by their need to police the content for appropriateness, creating a natural conflict between their individual goals that challenges the shared objective.""}"
"{'Abbreviation': 'Erotic relationship', 'Full label': '""Having an erotic relationship""'}",Relationship Building,"The shared goal 'Having an erotic relationship' inherently involves building a deep, intimate connection between two individuals. This aligns most closely with the 'Relationship Building' category, as it focuses on developing emotional bonds, trust, and mutual understanding, which are foundational to an erotic relationship. The personal goals are designed to reflect distinct social intentions: one agent seeks to build trust through emotional openness, while the other aims to understand compatibility through subtle cues. These goals are interactionally measurable through conversational behavior, such as tone, responsiveness, and depth of dialogue, without relying on explicit agreements or external actions.",To build trust by gradually revealing personal vulnerabilities and emotional depth.,To assess emotional and physical compatibility through subtle conversational cues and responsiveness.,"""Having an erotic relationship""",Emotional Initiator,Compatibility Assessor,"{'scenario_context': ""[Agent 1] and [Agent 2] are on their third date, having dinner at an intimate, softly lit restaurant. They have both expressed a strong mutual attraction and a shared desire to explore a deeper, erotic relationship. [Agent 1], feeling a growing connection, seeks to build trust by carefully revealing a past emotional wound that made them guarded about intimacy. [Agent 2], while attracted, is acutely aware of past relationships that failed due to incompatibility and is intently observing [Agent 1]'s reactions for signs of emotional availability and physical chemistry, fearing another misstep."", 'explanation': ""The scenario is set to 'Hard' difficulty because the goals are in inherent tension. [Agent 1]'s strategy of building trust through vulnerability is high-risk, as revealing past wounds could be perceived as emotional baggage, directly conflicting with [Agent 2]'s goal of assessing for compatibility and responsiveness. The pressure of a third date and the explicit shared goal of an erotic relationship heightens the stakes, making the conversation a delicate balancing act where a misstep by either agent could jeopardize the entire endeavor.""}"
"{'Abbreviation': 'Things in order', 'Full label': '""Keeping things in order (my desk, office, house, etc.)""'}",Cooperation,"The shared goal 'Keeping things in order' is fundamentally a cooperative task that requires joint effort and coordination. The social goal category 'Cooperation' best captures this, as it involves working together harmoniously to achieve a common objective. The personal goals are designed to reflect distinct social intentions that influence the interaction: one agent seeks validation for their efforts to maintain a positive self-image within the partnership, while the other aims to subtly guide the process to ensure their preferred standard of order is met, reflecting a more controlling disposition. The roles of 'Validating Partner' and 'Subtle Director' align with these goals, placing the agents in complementary social positions.",To seek acknowledgment from the other agent that their contribution to maintaining order is valuable and appreciated.,To gently steer the organizing process according to their own preferred methods without appearing overtly critical.,"""Keeping things in order (my desk, office, house, etc.)""",Validating Partner,Subtle Director,"{'scenario_context': ""Two colleagues, [Agent 1] and [Agent 2], are tasked with reorganizing a shared, chronically cluttered office supply closet before an important client visit. The space is small and the disarray is significant, requiring a coordinated effort under a tight deadline. Both agents have a shared, urgent goal of creating a pristine and functional space, but [Agent 1]'s personal goal is to have their meticulous efforts and past attempts to organize the closet explicitly acknowledged, while [Agent 2]'s personal goal is to implement a new, complex labeling system they've designed without directly criticizing [Agent 1]'s previous methods."", 'explanation': ""This scenario is 'Hard' because the high-stakes pressure of the client visit and the physical constraints of the small, messy closet create inherent tension. The shared goal is difficult to achieve due to the scale of the task and the time constraint. The individual goals are in subtle conflict: [Agent 1]'s need for validation is vulnerable to being overlooked in the rush, while [Agent 2]'s desire to introduce a new system risks being perceived as a critique of [Agent 1]'s past work, making their goal of appearing non-critical exceptionally challenging to navigate.""}"
"{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}",Cooperation,"The shared goal 'Accomplishing difficult things' inherently requires joint effort and coordination between individuals to overcome challenges. This aligns most closely with the 'Cooperation' category, as it focuses on working together interdependently to achieve a common objective. The personal goals are designed to reflect distinct social motivations that drive cooperative behavior—one agent seeks to build consensus and shared understanding, while the other aims to maintain momentum and task focus. These goals are interactionally measurable through conversational cues like tone, reassurance, and directive language, without relying on explicit task completion or external validation.",To foster a sense of mutual confidence and reduce the other's anxiety about the challenge.,To maintain forward progress by minimizing distractions and keeping focus on actionable steps.,"""Accomplishing difficult things""",Supportive Partner,Pragmatic Driver,"{'scenario_context': ""[Agent 1] and [Agent 2] are two members of a four-person team attempting a final, grueling ascent on a high-altitude mountain climb. They are in a small, exposed tent at a high camp, battered by high winds, with a narrow weather window to summit the next day. Their shared goal is to successfully complete this difficult climb. [Agent 1], the Supportive Partner, is acutely aware that [Agent 2], the Pragmatic Driver, is showing subtle signs of exhaustion and altitude-induced anxiety, which could jeopardize the attempt. [Agent 1]'s personal goal is to bolster [Agent 2]'s confidence and alleviate their worry. [Agent 2], however, is intensely focused on the critical pre-dawn start time and the precise logistical checklist, viewing any emotional discussion as a dangerous distraction from the meticulous focus required for survival and success."", 'explanation': ""This scenario is 'Hard' because the high-stakes, physically taxing environment creates inherent tension. The agents' individual goals are in direct conflict: [Agent 1]'s supportive approach (addressing anxiety) is perceived by [Agent 2] as counter to their pragmatic goal (maintaining strict focus). The situational pressure (danger, fatigue, limited time) makes achieving both the shared goal and their individual goals exceptionally difficult, as the very methods each agent believes will ensure success actively undermine the other's approach.""}"
"{'Abbreviation': 'Cause', 'Full label': '""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""'}",Cooperation,"The shared goal 'Being committed to a cause' aligns best with 'Cooperation' as the agents are working together towards a common environmental objective. However, their personal goals reflect different social intentions within this cooperation: one agent seeks to inspire and motivate through emotional connection (relationship building), while the other aims to strategically persuade through logical argumentation (information provision). This creates an interesting dynamic where both work towards the same cause but through distinct interpersonal approaches.","To inspire the other agent through emotional appeals and personal stories about environmental loss, making them feel more deeply connected to the cause.","To persuade the other agent through logical arguments and factual evidence about environmental impact, making them more analytically convinced of the cause's importance.","""Being committed to a cause (e.g., earth, environment, anticrime, antidrugs)""",Passionate Advocate,Strategic Planner,"{'scenario_context': ""[Agent 1] and [Agent 2] are co-leaders of a local environmental action group. They are in a small, cluttered office the night before a critical city council meeting where they will present a proposal to block a new commercial development project threatening a local wetland. The shared goal is to finalize a powerful, unified presentation that will convince the council to protect the area. [Agent 1]'s personal goal is to craft a presentation centered on emotional, personal stories from community members who will lose their connection to the land, believing this is the only way to truly move the councilors. [Agent 2]'s personal goal is to structure the presentation around hard data, cost-benefit analyses, and legal precedents, convinced that emotional appeals will be dismissed as sentimental and weaken their case. The pressure is high, with limited time and the knowledge that a disjointed strategy will likely result in failure."", 'explanation': ""The scenario is set to 'Hard' difficulty by creating a high-pressure, time-sensitive situation with a significant consequence for failure. The agents' personal goals, while both aimed at success, are fundamentally opposed in their approach (emotional vs. logical persuasion). This creates inherent tension and a challenging negotiation dynamic, as integrating both styles into a single, coherent presentation is a complex task. The context is kept realistic and psychologically grounded by focusing on the interpersonal conflict between co-leaders with different expertise and convictions under stress.""}"
"{'Abbreviation': 'Looking fit', 'Full label': '""Looking physically fit""'}",Cooperation,"The shared goal 'Looking physically fit' aligns with 'Cooperation' as it involves two agents working together to achieve a common objective through mutual support, shared activities, and encouragement. This category best captures the collaborative effort required in a fitness context, where interpersonal dynamics are key to maintaining motivation and progress.",To motivate the other agent by providing positive reinforcement and highlighting their progress.,To seek validation and reassurance from the other agent about their efforts and appearance.,"""Looking physically fit""",Supportive Trainer,Insecure Gym-Goer,"{'scenario_context': ""[Agent 1], a supportive personal trainer, and [Agent 2], a client with deep-seated body image insecurities, are meeting for a scheduled check-in at a quiet corner of the gym after [Agent 2]'s workout. The shared goal is for both to feel that [Agent 2] is 'looking physically fit.' [Agent 1]'s personal goal is to motivate by providing positive reinforcement and highlighting progress, while [Agent 2]'s personal goal is to seek explicit validation and reassurance that their efforts are visibly paying off, a need driven by their insecurity."", 'explanation': ""The context establishes a high-tension 'Hard' difficulty scenario. The shared goal is abstract and subjective, making it inherently challenging. [Agent 1]'s strategy of positive reinforcement may clash with [Agent 2]'s need for direct, emotional validation, creating a potential for misattribution. [Agent 2]'s insecurity is a major obstacle, as they are likely to discount or misinterpret [Agent 1]'s feedback, believing it to be merely professional courtesy rather than genuine praise. This psychological dynamic makes achieving both the shared and individual goals difficult.""}"
"{'Abbreviation': 'Ethical', 'Full label': '""Being an ethical person""'}",Identity Recognition,"The shared goal 'Being an ethical person' is fundamentally about aligning one's actions with a moral code. This aligns most strongly with the 'Identity Recognition' category, as the agents are negotiating and validating their own and each other's ethical identities through their interaction. Their personal goals are designed to be distinct yet complementary social intentions: one agent seeks to affirm its ethical stance by gaining validation, while the other seeks to understand the ethical framework behind the other's actions. Their roles, 'The Moral Affirmer' and 'The Principled Inquirer', logically support these goals and the social context of discussing ethics.",To have their ethical choices and reasoning validated by the other agent.,To probe and understand the depth and consistency of the other agent's ethical principles.,"""Being an ethical person""",The Moral Affirmer,The Principled Inquirer,"{'scenario_context': ""[Agent 1] and [Agent 2] are members of a university ethics committee reviewing a complex case involving a promising student athlete, [Name Redacted], who was caught plagiarizing a significant portion of a final paper. The committee must decide whether to recommend expulsion, which would also terminate the student's scholarship and athletic career, or a lesser penalty. [Agent 1] has drafted a preliminary recommendation for expulsion, arguing it is the only ethically consistent choice. [Agent 2] has requested this meeting to discuss the recommendation before the full committee vote. They sit across a table in a quiet conference room, the case file open between them."", 'explanation': ""The scenario establishes a high-stakes, realistic context where the shared goal of 'being an ethical person' is directly tested by a difficult decision with serious consequences. [Agent 1]'s personal goal (validation of their ethical reasoning) is challenged by [Agent 2]'s role as an inquisitor probing for consistency, creating inherent tension. The 'Hard' difficulty arises from the moral dilemma itself and the interpersonal dynamic where one agent's stance is under direct scrutiny by the other, making validation and understanding difficult to achieve.""}"
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals, fighting for things I believe in""'}",Identity Recognition,"The shared goal 'Pursuing my ideals, fighting for things I believe in' is best aligned with the 'Identity Recognition' category. This is because the core of this pursuit is often about having one's deeply held values and beliefs seen, validated, and acknowledged by others. The interaction focuses on whether each agent's personal ideals are recognized by the other, creating a scenario ripe for exploring attribution theory as agents interpret each other's support or opposition through their own dispositional and situational lenses.",To persuade the other agent to validate their core ideal as morally correct.,To assert their own contrasting ideal without directly invalidating the other's perspective.,"""Pursuing my ideals, fighting for things I believe in""",The Idealist,The Pragmatist,"{'scenario_context': ""Two colleagues, [Agent 1] and [Agent 2], are in a quiet conference room after hours, reviewing a final proposal for a high-stakes community project they have co-developed. Their shared goal is to finalize the proposal for submission, a project that represents their deeply held belief in 'pursuing ideals and fighting for what they believe in'. [Agent 1], driven by a need for moral validation, seeks to frame the project's core message as an uncompromising ethical stand. [Agent 2], while equally invested, believes the proposal must be tempered with practical concessions to ensure its acceptance and real-world impact, creating a tense negotiation over the project's fundamental identity."", 'explanation': ""The context establishes a high-stakes, time-sensitive situation (after hours, final proposal) where the shared goal is concrete but the path to achieving it is conflicted. The Idealist's personal goal (moral validation) directly clashes with the Pragmatist's goal (asserting a contrasting, practical approach), creating inherent tension. The quiet, isolated setting amplifies the psychological pressure, forcing a difficult negotiation over the project's core identity, which is central to both agents' self-concept, making alignment exceptionally challenging.""}"
